DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
13/11/1995,José Roberto Magalhães Teixeira,1,[...],
13/11/1995,José Roberto Magalhães Teixeira,2,Heródoto Barbeiro,"Boa noite. No centro do Roda Viva, que começa agora pela TV Cultura, está o prefeito de uma das mais importantes cidades brasileiras, que adotou o programa de assistência à população, conhecido como Renda Mínima. O programa já atende quase duas mil famílias e teve repercussão nacional. Várias cidades do país, inclusive São Paulo, já se interessaram pelo projeto. Um programa idêntico para todo o país está em andamento no Senado Federal brasileiro. Vamos conversar com o prefeito de Campinas, José Roberto Magalhães Teixeira."
13/11/1995,José Roberto Magalhães Teixeira,3,[Comentarista],"Com 58 anos, nascido em Andradas, Minas Gerais, José Roberto Magalhães Teixeira é prefeito de Campinas pela segunda vez. Ele começou como vereador em 1968 e se elegeu prefeito em 1983 pelo PMDB. Em 1990, foi deputado federal, e em 1992, voltou à Prefeitura Municipal de Campinas pelo PSDB. A cidade com cerca de um milhão de habitantes é uma das mais ricas do país, mas tem problemas sociais graves, por ser um pólo de atração de imigrantes. Em seu primeiro mandato, há dez anos, Magalhães quase não encontrou bolsões de miséria. Hoje, os números assustam. Campinas tem sessenta mil desempregados, 75 mil favelados e um déficit habitacional de vinte mil moradias. Para enfrentar essa situação, Magalhães Teixeira lançou o chamado pacto contra a miséria, o que o tornou pioneiro na implantação do programa Renda Mínima, que prevê a complementação da renda por parte do governo para as famílias carentes. Para receber a ajuda, essas famílias precisam morar em Campinas há mais de dois anos, os pais são obrigados a manter os filhos na escola e a comprovar que eles frequentam as aulas. Cada família tem garantida uma renda mínima de 35 reais por pessoa. Mas de 1,7 mil famílias, somando quase 5,5 mil crianças, já estão sendo atendidas nessa experiência pioneira e também polêmica, já que está ampliando a discussão sobre as formas de se enfrentar a miséria."
13/11/1995,José Roberto Magalhães Teixeira,4,Heródoto Barbeiro,"Para entrevistar o prefeito Magalhães Teixeira, nós convidamos o senador Eduardo Suplicy, que é autor do projeto de renda mínima, que está em andamento no Congresso Nacional. Também contamos com a presença do economista Eduardo Gianetti da Fonseca, que é professor da Faculdade de Economia e Administração da Universidade de São Paulo. Por parte da imprensa, convidamos: o ex-deputado federal Márcio Moreira Alves, que é articulista do jornal O Globo; o jornalista Roberto Godoy, que é diretor de redação do jornal Correio Popular, de Campinas; Luciano Suassuna, chefe de redação da revista Isto é; José Paulo Kupfer, editor-chefe do jornal Zero Hora; Nelson Blecher, que é repórter especial do jornal Folha de S.Paulo. Prefeito, boa noite."
13/11/1995,José Roberto Magalhães Teixeira,5,José Roberto Magalhães Teixeira,Boa noite.
13/11/1995,José Roberto Magalhães Teixeira,6,Heródoto Barbeiro,"Vamos começar exatamente por aquilo que a nossa reportagem chamava de questão “mais polêmica”, que é a questão da renda mínima. Gostaria, inicialmente, que o senhor contasse para a gente qual é o percentual do orçamento municipal que o senhor destina a esse programa e como isso pode atingir a população. Pelos cálculos que eu tenho aqui, há cerca de seis mil favelados em Campinas. Esse número está correto? E quanto o orçamento municipal permite que o senhor use desse dinheiro?"
13/11/1995,José Roberto Magalhães Teixeira,7,José Roberto Magalhães Teixeira,"Na verdade, é 1% do orçamento municipal, que está por volta de três milhões de reais, já que nosso orçamento previsto para 1995 é de trezentos milhões. O número de favelados de Campinas é por volta de 10% de sua população. Mas, as pessoas que estão em fase de miserabilidade não atingem esse número, porque muitos favelados, hoje, têm casa de alvenaria e uma renda superior à prevista pelo nosso projeto. Ele está voltado para famílias que têm filhos de zero a 14 anos de idade, cuja renda média per capita por pessoa não ultrapassa 35 reais. Para se ter um exemplo, Heródoto, para uma família de seis pessoas que recebe cem reais, isto é, um salário mínimo, a prefeitura complementa com mais cento e dez reais, totalizando duzentos e dez que, divididos por seis, são 35 reais para cada membro da família. Isso com a obrigação de a família manter os filhos na escola, assistir a todas as aulas formais e informais, frequentar postos de saúde periodicamente e ter o programa de vacinação acompanhado mês a mês. O objetivo desse programa é justamente dar a dignidade à família, não é apenas dar o dinheiro, porque não é um programa assistencialista e nem paternalista, é um programa que quer promover as pessoas e as famílias. Temos reuniões mensais com técnicos da prefeitura, um psicólogo e um assistente social, com objetivo de saber como está sendo o procedimento da família, o relacionamento entre pais e filhos, os pais entre si, a família com a comunidade e se ele está participando daquilo que ele tem direito como cidadão. Isso porque os excluídos se excluem: se forem uma vez ao posto de saúde e houver fila, eles não voltam; se o filho deixa de frequentar a aula, o pai não vai procurar saber da diretora ou do professor por que ele não está mais frequentando a escola. Nesse sentido, nós também procuramos fazer com que esse dinheiro ajude o cidadão a arrumar um serviço ou ter sua própria renda. O objetivo é fazer com que a dignidade da família seja restabelecida."
13/11/1995,José Roberto Magalhães Teixeira,8,Heródoto Barbeiro,"OK, prefeito. Vamos agora à pergunta do jornalista Nelson Blecher."
13/11/1995,José Roberto Magalhães Teixeira,9,Nelson Blecher,"Com esses três milhões de reais, que é o custo anual do programa, quantos empregos poderiam ser gerados por meio de outros investimentos públicos?"
13/11/1995,José Roberto Magalhães Teixeira,10,José Roberto Magalhães Teixeira,"Nós não queremos ter um plano paternalista. O emprego do dinheiro público deve ser justamente necessidade. Por exemplo, nós temos a Sanasa, que é nossa empresa de saneamento básico, levando água e esgoto para toda a cidade. Para esse trabalho nas favelas e nos bairros mais distantes, nós contratamos pessoas das próprias regiões para fazer a instalação de esgoto e da água. O intuito é contratar por conta da necessidade e não apenas arrumar um emprego, para que mais uma vez o Estado fique sem condições de pagar. Ao mesmo tempo, entendemos que esse programa é para que as pessoas tenham condições de criar seu próprio negócio. Temos diversos exemplos. Diversas pessoas têm comprado um tanquinho de lavar roupa, que dá uma renda para a família...uma mulher que chegou em uma dessas reuniões mensais para discutir como estava usando o dinheiro, relatou que estava se associando à vizinha, que cozinhava muito bem, pra servir marmitex para as pessoas de sua região. Então, com isso, estamos promovendo uma renda familiar."
