DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
21/04/2008,Julio Medaglia,1,Carlos Eduardo Lins da Silva,"Boa noite. Setenta anos de idade, cinqüenta de música. Para não dizer que ele já fez tudo, ele fez quase tudo na área musical, do erudito ao popular. Compositor, arranjador e maestro, regeu algumas das mais importantes orquestras do Brasil e do exterior. Aproximou a música sinfônica de nossas raízes culturais e esteve à frente de movimentos de vanguarda que marcaram a música popular brasileira nos anos 1960. O Roda Viva entrevista esta noite o maestro Júlio Medaglia, voz sempre crítica da produção musical brasileira e que continua perguntando por onde andará nossa música popular. Você vê a entrevista num instante."
21/04/2008,Julio Medaglia,2,[...],
21/04/2008,Julio Medaglia,3,Carlos Eduardo Lins da Silva,"O maestro Júlio Medaglia tem uma das mais completas formações que a carreira da música pode oferecer: instrumentista, regente, arranjador, compositor, acabou se tornando um agitador cultural e há anos vem provocando o debate em torno da música clássica e principalmente da música popular no Brasil."
21/04/2008,Julio Medaglia,4,[Comentarista - narração Valério Grillo],"O paulistano Júlio Medaglia conta que foi por acaso que se interessou por música. Quando menino, começou a brincar com um violino muito simples, de onde tirou seus primeiros sons, aos 12 anos ganhou um violino de verdade e iniciou os estudos. Ainda jovem, tocou em pequenas orquestras e foi parar em Salvador, na Bahia. Entrou em contato com artistas de várias áreas, fez o curso de maestro e ganhou uma bolsa na Escola Superior de Música de Freiburg, na Alemanha, onde completou sua formação em regência sinfônica. Depois de dez anos na Europa, voltou ao Brasil em 1965. Além da música clássica, se envolveu com a música popular brasileira, que passava por reviravoltas naqueles primeiros anos de regime militar. Em 1967, se juntou ao tropicalismo de Gilberto Gil e Caetano Veloso e fez o arranjo original de “Tropicália”, principal canção manifesto do movimento. “O monumento é de papel crepom e prata; os olhos verdes da mulata; a cabeleira esconde atrás da verde mata; O luar do sertão...” Época dos festivais da TV Record de música de protesto, de polêmicas e rivalidades. Júlio Medaglia estava no júri do segundo festival, quando o compositor Sérgio Ricardo, irritado pelas vias, quebrou e jogou seu violão contra a platéia. Nas salas de concerto, a música seguia mais calma, e ele regeu as principais orquestras do Brasil, criou a Amazonas Filarmônica, com músicos de várias partes do mundo. Foi diretor do Teatro Municipal do Rio de Janeiro e do Festival de Inverno de Campos do Jordão; montou espetáculos, compôs música para teatro e cinema; ganhou o prêmio de melhor trilha no Festival de Gramado, em 1982, com o filme O segredo da múmia, que também lhe valeu o prêmio de melhor ator coadjuvante daquele ano. Uma espécie de DJ da música clássica - como foi chamado há vinte anos - tem um programa na rádio Cultura FM de São Paulo. Na TV Cultura, produziu vários programas, cursos e a série Prelúdio, criada para revelar jovens talentos da música erudita. Além de regente, o compositor e professor Júlio Medaglia se destacou como voz crítica da música clássica e popular no Brasil ao longo desses anos. Convidado para palestras em todo o país, ele também escreve para jornais e revistas, é autor do livro Música impopular, em que analisa caminhos e descaminhos da música erudita e da nossa música popular, perdida entre inovações e mesmices, entre arte e consumo."
21/04/2008,Julio Medaglia,5,Carlos Eduardo Lins da Silva,"Para entrevistar o maestro Júlio Medaglia convidamos: Lázaro de Oliveira, chefe de pauta do programa Metrópolis, da TV Cultura; Carlos Haag, diretor de núcleo da revista Trip; Norma Couri, correspondente da revista Visão; Nelson Kunze, diretor e editor da revista Concerto; Zuza Homem de Mello, jornalista e produtor musical; João Marcos Coelho, crítico musical do jornal O Estado de S. Paulo; e Luiza Moraes, repórter do núcleo de jornalismo da TV Cultura, que traz para a entrevista as perguntas enviadas por telespectadores e internautas. Também temos a participação de Paulo Caruso com pincéis e tintas para registrar em seus desenhos os momentos e os flagrantes deste programa. O Roda Viva é transmitido em rede nacional de TV para todo o Brasil. Por este se tratar de um programa gravado, as perguntas dos telespectadores que vamos apresentar aqui foram enviados antecipadamente pela Internet. Se você quiser consultar o nosso site, se informar sobre os próximos programa e enviar críticas e sugestões, basta acessar no endereço www.tvcultura.com.br/rodaviva. Boa noite, maestro Júlio Medaglia."
21/04/2008,Julio Medaglia,6,Júlio Medaglia,Boa noite.
21/04/2008,Julio Medaglia,7,Carlos Eduardo Lins da Silva,"Maestro, em dezembro de 2006 foi criada a Liga das Orquestras Sinfônicas Brasileiras, em um seminário aqui em São Paulo. Nesse seminário, mais uma vez se chegou à conclusão que a música erudita no Brasil depende muito do Estado, mas que não há políticas públicas para realizar alguma coisa que realmente seja importante. Primeiro, o senhor concorda com esse argumento? E segundo: alguma coisa aconteceu desde a criação da Liga ou continuamos no mesmo patamar daquele momento?"
21/04/2008,Julio Medaglia,8,Júlio Medaglia,"Bom, na realidade é uma coisa muito positiva a criação dessa Liga, porque é uma tomada de consciência da realidade da música sinfônica no Brasil. Agora, a música clássica brasileira vai muito bem, tem muita gente estudando música, tem muitos projetos culturais incentivados pelas empresas e secretarias de cultura e com isso eu tenho a impressão que, ampliando o número de músicos, criando um profissionalismo maior, essa questão da organização e da atuação sinfônica e da atuação dos organismos culturais mais desenvolvidos, sofisticados, vão se, com o tempo, vão chegar a um resultado cada vez melhor."
21/04/2008,Julio Medaglia,9,Carlos Eduardo Lins da Silva,"O senhor mencionou empresas, mas e o Estado tem feito alguma coisa?"
21/04/2008,Julio Medaglia,10,Júlio Medaglia,"O Estado tem uma importância muito grande nos dias de hoje. Eu sou favorável às grandes privatizações que tem acontecido nos últimos anos em todos os setores. Elas só tem trazido benefício à sociedade brasileira e ao mercado de bens e consumo de modo geral. Mas acontece que existe uma coisa muito curiosa nos últimos anos que foi uma grande decepção na minha vida, que é essa relação da criação cultural com os grandes meios de comunicação. Villa Lobos teria chamado atenção sobre isso na década de 1930, quando ele disse: “Vamos tomar cuidado com a indústria cultural que está chegando e, de repente, nessa voracidade mercadológica não vai colocar o que há de melhor à disposição do grande público”. E o que aconteceu, no final do século, início do XXI, é que, realmente, o grande giro desse mercado, dessa enorme quantidade de dinheiro que se gasta com música no mundo inteiro - parece que só perde para o petróleo, em termos de movimentação financeira - ficou muito ágil essa produção cultural e nem sempre, como disse o Villa Lobos, o que há de melhor está sendo colocado à disposição do grande público. Nesse caso, a atuação do Estado se torna muito importante. Assim como o Estado é importante quando, de repente, tem uma nova comunidade lá na Vila Cajaíba ou não sei aonde, que precisa por linha de ônibus, não tem interesse comercial e, então, entra o Estado para suprir a deficiência até que a economia de mercado chegue lá. Em termos culturais acontece isso também. Quer dizer, é necessário... A função dele não é de colocar os caminhos, é cortar caminhos; o Estado tem que facilitar, criando condições para que a atividade de uma música inteligente, de uma música de elevado nível possa sobreviver neste país aqui, independente de grandes movimentações financeiras ou da chamada economia de mercado."
21/04/2008,Julio Medaglia,11,Carlos Eduardo Lins da Silva,Carlos Haag tem uma questão.
21/04/2008,Julio Medaglia,12,Carlos Haag,"O senhor está fazendo cinquenta anos de vida musical, o senhor tem a idade da bossa nova, o senhor já pegou o que há de melhor e o senhor também é conhecido por ser, com todo o respeito e com toda a razão, uma metralhadora giratória contra o que há de ruim na música, contra a indústria cultural de baixa qualidade. Mas nessas críticas, algumas delas muito boas, o senhor colocou, por exemplo, ícones como Caetano, Gil em xeque, dizendo que eles teriam entrado na indústria cultural depois de um primeiro momento de rebeldia. Para pegar, um pouco, a primeira questão que foi colocada. Ou seja, a partir desse momento, o senhor pegou o que havia de “filé mignon”, acompanhou o que houve de mais revolucionário e foi se integrando... Se a gente imaginar hoje: axé, funk... Já até imagino o que o senhor acha disso e que ache também rock um horror. Mas, primeiro, qual é sua visão de futuro da música? Ou seja, para onde caminha a música popular brasileira? E, segundo, nessa visão - não sei se é pessimista ou realista do senhor - como é fazer música ou tentar fazer música tendo essa visão tão crítica a respeito da realidade musical?"
21/04/2008,Julio Medaglia,13,Júlio Medaglia,"O problema é que eu não acredito que o talento musical brasileiro tenha acabado, tenha sido extinto e que não haja pessoas fazendo boa música. Eu, praticamente, implantei a universidade de música há 15 anos, que agitou um pouco lá as idéias etc, e eu me lembro que a cada ano tinha 15 mil candidatos, vinte mil candidatos para estudarem música e dois mil, três mil eram aceitos. A universidade ainda existe, trabalha com os melhores músicos de São Paulo e não tenho a menor dúvida que essa gente toda, até para fazer música popular, está estudando música; ninguém acredita na caixa de fósforo e no talento espontâneo, individual. Então, tanto na área da música erudita como na música popular, existe muita gente produzindo. Agora, criar as condições para que a música possa existir, no caso da música erudita, eu falei da questão do Estado aqui. E, no caso da música popular, infelizmente o que ocorreu nos últimos anos é que a grande máquina de comunicação eletrônica fechou as portas para uma música inteligente, como você disse há pouco. É preciso correr muito para vender tudo muito depressa, essa filosofia do consumo e descarte que existe para o celular, para o automóvel, para tudo que você compra, de bens de consumo comuns foi transportada para a música. O negócio não é produzir coisa muito boa. Quer dizer, Pixinguinha não interessa, o homem fez “Carinhoso” há oitenta anos e nós não o ouvimos ainda hoje. Então, tem que ser uma música que seja ouvida, gostada um pouquinho e jogado fora logo para comprar outra baboseira, entendeu? Produzida hoje em salas fechadas, com ar condicionado, por produtores que decidem o que vai ser a música brasileira."
21/04/2008,Julio Medaglia,14,Carlos Eduardo Lins da Silva,"Maestro, sobre arte e educação, o músico Tom Zé tem uma pergunta que foi gravada para o senhor, nós vamos mostrá-la agora."
21/04/2008,Julio Medaglia,15,Tom Zé,"Júlio, Julíssimo, medalha olímpica da agitação cultural, está aqui uma mensagem sonora do seu artigo na revista Concerto que me fez trabalhar o ano inteiro para fazer isso. Júlio, sobre ensino, os burocratas estão sempre em plantão cívico para transformar a arte numa coisa tediosa e amarrada como Décio Pignatari diria: “Um pasto de entropia”. Então, eu, que estou com inveja das crianças que estão convivendo com você e com outros mestres aí nesse programa de televisão, quero perguntar: como anda o ensino no Brasil?"
21/04/2008,Julio Medaglia,16,Júlio Medaglia,"É, o ensino, infelizmente... Existe um detalhe: o ensino musical nas escolas - vamos começar por aí - deixou de existir desde 1972, quando era ministro de Educação, Cultura, o coronel Jarbas Passarinho, senador e ministro de três governos: Costa e Silva, Médici e Figueiredo... Entreguei, né? Infelizmente, esse ensino voltou com pouca força, quase não existe mais educação musical e artística nas escolas. Foi até uma luta pessoal minha, estivemos em Brasília, eu e... não vou me lembrar, mas estivemos em Brasília e fomos brigar no Congresso e fomos expulsos do Congresso pelos deputados ali, que tinha lobby contra a inclusão do ensino musical do currículo escolar, e eu acho que aí já é um ponto chave. Ou seja, a música, na escola, é onde a criança pode, realmente, já na mais tenra idade ter contato com outros repertórios que não são aqueles que ele escuta diariamente na televisão. O ensino musical dificilmente vai voltar à escola. Está muito complicado. Estamos lutando há muitos anos, mas eu espero que, no futuro, isso aconteça. Mas existe o ensino específico que, hoje em dia, graças aos projetos culturais de secretarias de culturas e de empresas estão fazendo investimentos em periferias para tirar a criança do tráfico de drogas e trazê-las para tocar violino. Quem sabe ele não anestesia sua voracidade mercadológica e possa, através do violino, descobrir o seu talento pessoal e a sua sensibilidade. Isso tem dado muito certo. Existe um projeto político que tem mais de seiscentos núcleos aqui, do interior de São Paulo, que faz música. Então, a música clássica vai melhor que a popular no Brasil."
21/04/2008,Julio Medaglia,17,Carlos Eduardo Lins da Silva,Temos uma pergunta de um internauta que a Luiza Moraes vai fazer para o senhor.
21/04/2008,Julio Medaglia,18,Luiza Moraes,"O nome dele é Marcelo, me perdoe se eu não falar corretamente o sobrenome, Dargães, do Rio de Janeiro, capital: “O senhor acha que os ícones de nossa cultura são omissos? Não seria o caso de pessoas consagradas das diversas formas de cultura se unirem para cobrar das autoridades em educação um currículo escolar cultural?” A pergunta engloba tudo que foi falado até agora."
