|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|12/11/2001|Leonel Brizola|1|Paulo Markun| Boa noite. Ele tem 55 anos de vida política, participou de vários episódios da história do país, desde o getulismo até a redemocratização plena do Brasil. Aos 79 anos, diz que não disputa mais eleições, mas continua na vida partidária procurando influenciar o cenário político brasileiro. No centro do Roda Viva esta noite, Leonel Brizola, presidente nacional do PDT, o Partido Democrático Trabalhista.
1|12/11/2001|Leonel Brizola|2|[Vídeo] [Imagens da trajetória política de Leonel Brizola. Narração| Laila Dawa] Leonel Brizola foi tema de repercussão política na última semana depois da reportagem da revista Veja, que revelava que ele teria quadruplicado sua fortuna nos últimos vinte anos, período em que ele foi eleito duas vezes governador do Rio de Janeiro. A reportagem, que levou o ex-governador a decidir mover processo contra a revista, trouxe de volta à cena nacional um personagem que ,por mais de cinco décadas, viveu de perto e, às vezes, de muito perto os acontecimentos políticos do país. Militante do Partido Trabalhista Brasileiro, de Getúlio Vargas, na década de 1940, foi duas vezes deputado estadual e depois deputado federal, foi prefeito de Porto Alegre, governador do Rio Grande do Sul, deputado federal pela Guanabara, duas vezes governador do Rio de Janeiro e duas vezes candidato a presidente da República. Foi quando governou o Rio Grande do Sul que ganhou projeção nacional no episódio crítico da história política do Brasil. Ele formou a Cadeia da Legalidade, usando o rádio e chegando perto do confronto armado para defender a posse do vice-presidente João Goulart, após a renúncia de Jânio Quadros, em 1961. Os ministros militares consideravam Jango comunista e não queriam que ele assumisse. Casado com Neusa Goulart, Brizola não só era cunhado, como também velho companheiro de Jango no PTB, e comandava o movimento em favor da Constituição e da posse do vice-presidente. A crise foi contornada com o Congresso implantando o parlamentarismo, Jango assumiu a Presidência da República, mas sem poderes. Tancredo Neves foi o primeiro ministro do novo regime, que não deu certo. Em 1963, um plebiscito restabeleceu o presidencialismo, e, um ano depois, veio o golpe militar com a cassação de vários líderes políticos, entre eles, Leonel Brizola que saiu do país num exílio que durou quinze anos. Com a anistia, retornou em 1979 e foi morar no Rio de Janeiro, onde tentou, mas não conseguiu, obter a sigla PTB. Junto com outros trabalhistas, articulou a criação do PDT, Partido da Democracia Trabalhista pelo qual elegeu-se duas vezes governador do Rio de Janeiro e, por duas vezes, disputou a Presidência de República, em 1989 e 1994. Em 1998, voltou à campanha presidencial, mas como candidato a vice na chapa encabeçada por Lula e que representou a frente de oposições à reeleição de Fernando Henrique Cardoso. Passada a eleição, e desfeita a união com o PT, Leonel Brizola retomou sua articulações políticas que se intensificam agora, mais uma vez, em busca de uma união de partidos de esquerda para enfrentar as eleições presidenciais de 2002.
2|12/11/2001|Leonel Brizola|3|Paulo Markun| Para entrevistar o ex-governador Leonel Brizola, presidente nacional do PDT, nós convidamos Pedro Cafardo, editor executivo do jornal Valor Econômico; Dora Kramer, colunista de política do Jornal do Brasil e do jornal O Estado de S. Paulo; Tereza Cruvinel, colunista de política do jornal O Globo; Leonardo Trevisan, professor do Departamento de Economia da Pontifícia Universidade Católica, a PUC de São Paulo, e jornalista do jornal O Estado de S. Paulo; Rosane de Oliveira, editora de política do jornal Zero Hora, comentarista de política da TV Com de Porto Alegre e o cientista político Carlos Novaes. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília  Governador, o senhor estava dizendo, antes de começar o programa, que o senhor gosta de falar mais do futuro do que do passado, então queria começar por aí. O senhor ainda acredita - nós já perguntamos isso aqui no Jornal da Cultura, mas eu queria que o senhor aprofundasse a questão - na possibilidade de um candidato de aliança de centro esquerda, quem seria esse candidato?
3|12/11/2001|Leonel Brizola|4|Leonel Brizola| Olha, eu acredito francamente, porque eu acredito no Brasil, no futuro do nosso país. Nós somos uma das poucas nações neste mundo que são viáveis. Brasília é viável. Brasília tem uma classe de gente ruim, não soube levar o país para o seu destino. Então, eu sou um homem de esperança. Eu acho que seria muito importante, resolveria essa equação indeterminada que tem marcado a nossa história, se pudesse haver um entendimento. Eu, sinceramente, não compreendo como um homem como o Lula , que tem a origem que tem, é centro de tantas esperanças, não entendo isso.
4|12/11/2001|Leonel Brizola|5|Tereza Cruvinel| O senhor quer dizer, então, que o Lula devia renunciar para apoiar outro candidato da esquerda?
5|12/11/2001|Leonel Brizola|6|Leonel Brizola| Eu acho que ele devia abrir mão e não dizer: “nós queremos uma união, mas  comigo”. Sabe que isso aí já está espantando todo mundo. Ele tem é que abrir, quem sabe até poderia ser ele, mas ele teria que colocar de maneira diferente.
6|12/11/2001|Leonel Brizola|7|[sobreposição de vozes]|
7|12/11/2001|Leonel Brizola|8|Tereza Cruvinel|  Mas quem poderia ser outro candidato viável, Itamar Franco, o Ciro Gomes?
8|12/11/2001|Leonel Brizola|9|Paulo Markum|  Aliás, o Ciro, o senhor já descartou ali naquela...
9|12/11/2001|Leonel Brizola|10|Tereza Cruvinel| O Ciro, o senhor mesmo disse que se decepcionou com ele...
