DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
01/12/1986,Luís Carlos Prestes,1,Rodolpho Gamberini,"Boa noite! Nós estamos começando nesse momento mais um Roda Viva, programa de entrevistas e debates da TV Cultura. Nesta noite o nosso entrevistado é Luís Carlos Prestes, ex-secretário do Partido Comunista Brasileiro. E para entrevistar Luís Carlos Prestes estão aqui conosco, nos estúdios da TV Cultura, Wladir Nader, jornalista e escritor; Luiz Gonzalez, jornalista da TV Globo de São Paulo; Armando Sartori, jornalista do jornal Retrato do Brasil; Maria Angélica de Oliveira, da TV Cultura; Marcos Faermann, da Rádio Cultura; Luiz Fernando Emediato, de O Estado de S. Paulo; Armando Figueiredo, da TV Cultura; Cláudio Abramo, da Folha de S. Paulo. Estão também conosco o poeta Mário Chamie, o historiador Marco Aurélio Garcia e o sociólogo Otacvio Ianni. Eu gostaria de lembrar aos senhores que estas pessoas que ocupam o andar superior do nosso cenário são convidados do entrevistado, convidados dos entrevistadores e também convidados da produção do programa."
01/12/1986,Luís Carlos Prestes,2,[...],"Senhor Prestes, o senhor é um homem que participa da vida política brasileira há mais de 60 anos. Com toda essa experiência que o senhor adquiriu em todos esses anos, qual é a avaliação que o senhor faz hoje da Nova República?"
01/12/1986,Luís Carlos Prestes,3,Luís Carlos Prestes,"Na minha opinião, não há nenhuma Nova República. Se há alguma Nova República, ela nasceu igual a Velha. Não houve nenhuma alteração em profundidade. Todas foram superficiais. Eu nego, portanto, essa existência de uma Nova República."
01/12/1986,Luís Carlos Prestes,4,Rodolpho Gamberini,"Ela nasceu igual a velha no quê, senhor Prestes?"
01/12/1986,Luís Carlos Prestes,5,Luís Carlos Prestes,"Primeiro, nenhum torturador, nenhum assassino de presos políticos, foi punido até hoje. Todos eles continuam aí, os generais todos são os mesmos, do DOI-CODI é a mesma organização que está intacta, não foi desmantelada, pronta para entrar em ação novamente. A legislação fascista, depois da posse do senhor Sarney, que a imprensa dizia que seria revogada, passado um mês, dois meses de um silêncio absoluto, e chegamos às eleições da Assembléia Constituinte com toda essa legislação fascista de pé. Lei de Segurança, lei contra as greves, lei contra os estrangeiros, lei de imprensa, enfim, toda essa legislação acumulada nestes 21 anos de ditadura militar. Tudo de pé. Então, não houve nenhuma alteração. O poder militar continua intervindo na política brasileira, acima do Estado. Intervém no Estado. Em qualquer democracia burguesa, as Forças Armadas são um instrumento do Estado. No Brasil, as Forças Armadas é que ditam ao Estado o que deve fazer. E continua a mesma coisa. De maneira que não houve nenhuma alteração profunda. Houve alteração, naturalmente, em elementos táticos. Hoje já podemos chamar os generais de torturadores e eles ficam calados. Porque, do ponto de vista tático, para eles é melhor calar, realmente."
01/12/1986,Luís Carlos Prestes,6,Rodolpho Gamberini,Eu gostaria que o senhor agora respondesse a pergunta do jornalista Armando Figueiredo.
01/12/1986,Luís Carlos Prestes,7,Armando Figueiredo,"Agora, o senhor não admite nenhuma melhoria ou pelo menos alguma liberação em termos de movimentos reivindicatórios, por exemplo, em relação aos partidos comunistas, que o senhor liderou durante tantos anos, hoje está podendo falar, inclusive, no horário gratuito da televisão. O senhor não reconhece nem essas modificações?"
01/12/1986,Luís Carlos Prestes,8,Luís Carlos Prestes,"Reconheço. Reconheço isso, porque quem mudou mais foi o próprio partido. O partido é que não é mais comunista, de comunista só tem o nome. O que tem avançado no Brasil nestes últimos anos é a consciência dos trabalhadores. Ainda ontem eu estive em duas Câmaras Municipais, aqui em São Bernardo e em São Caetano e entregaram-me o título de cidadão honorário desses municípios. Isso significa que esses representantes do povo refletem a mentalidade democrática do povo desses municípios. Isso sim tem avançado. A cabeça dos trabalhadores avança. Já pensam de maneira diferente e são eles que estão tendo algumas conquistas. Mas, não no Estado. No Estado não houve nenhuma alteração."
01/12/1986,Luís Carlos Prestes,9,Armando Figueiredo,"E com relação à Constituinte, o senhor acabou de falar que não houve ainda a remoção do chamado “entulho autoritário”. O senhor acha que isso poderá ocorrer na nova Constituinte?"
01/12/1986,Luís Carlos Prestes,10,Luís Carlos Prestes,"A nova Constituinte, eu penso, no ambiente em que ela vai se realizar, com as limitações que determinam as eleições dos membros da Assembléia Constituinte, não vai modificar em nada, vai ser a mesma coisa. Muita pouca coisa será alterada. O projeto de Constituição apresentada pelo senhor Afonso Arinos mostra perfeitamente isso. Uma somatória de reivindicações, que não tem nem caráter lógico, esquemático de uma Constituição, quatrocentos e tanto artigos, limitações tremendas ao direito de greve. É o modelo que será a futura Constituinte."
01/12/1986,Luís Carlos Prestes,11,Luiz Fernando Emediato,"Senhor Prestes, o senhor disse agora há pouco que a Nova República não mudou o país. Na verdade, pouca coisa mudou neste país. Para o senhor, que dedicou 60 anos ou mais da sua vida à transformação do país, para a revolução, como é que o senhor se sente, à essa altura da vida, ao fazer um balanço e ver que foi tudo, na verdade, em vão, se nada mudou?"
01/12/1986,Luís Carlos Prestes,12,Luís Carlos Prestes,"Primeiro, mesmo antes, eu sempre me senti um cidadão livre. Sempre enfrentei a repressão e sempre opinei o que pensava. Por isso, fui punido diversas vezes. Tive que viver na clandestinidade durante anos, cerca de 20 anos quase de clandestinidade. Mas, sinto-me, certamente, na possibilidade de falar mais livremente. Isso existe."
01/12/1986,Luís Carlos Prestes,13,Luiz Fernando Emediato,"Mas o senhor não se sente frustrado ao ver que nada mudou, apesar da sua luta?"
