DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
09/07/1990,Luiz Paulo Vellozo Lucas,1,[...],
09/07/1990,Luiz Paulo Vellozo Lucas,2,Rodolfo Konder,"Boa noite. Estamos começando mais um Roda Viva. Este programa é transmitido ao vivo pelas tevês educativas de Porto Alegre, Minas Gerais, Espírito Santo, Piauí, TV Cultura de Curitiba e TV Cultura do Pará. É ainda retransmitido para mais 15 emissoras que formam a Rede Brasil, através da TV Educativa do Rio de Janeiro. O convidado desta noite é o diretor do Departamento da Indústria e do Comércio da Secretaria Nacional de Economia, Luiz Paulo Vellozo Lucas. Para entrevistá-lo, nós convidamos os seguintes jornalistas: Fábio Paim, repórter especial do Jornal da Tarde; José Márcio Mendonça, comentarista político da TV Bandeirantes; Luiz Roberto Serrano, jornalista; Mauro Chaves, editor de O Estado de S. Paulo e comentarista político da Rádio Eldorado; Frederico Vasconcelos, editor do Painel Econômico da Folha de S. Paulo; Gustavo Camargo, editor de economia da revista Exame; Stephen Kanitz, professor da USP, e Rik Turner, correspondente da revista The Economist. Para registrar os melhores momentos do programa, está conosco também o cartunista Paulo Caruso. Na platéia assistem também ao programa convidados da produção. Luiz Paulo Vellozo Lucas tem 33 anos, mas não vai ser crucificado hoje aqui. Ele nasceu em Vitória, no Espírito Santo, é engenheiro de produção formado pela Universidade Federal do Rio de Janeiro com especialização em desenvolvimento econômico e economia industrial. Depois de formado, Vellozo Lucas deu aulas de economia para alunos do curso de engenharia da PUC carioca. Até março deste ano trabalhava como engenheiro e chefe do Departamento de Planejamento do Banco Nacional de Desenvolvimento. É conferencista e professor em curso sobre desenvolvimento brasileiro e técnicas de planejamento estratégico. Atualmente Luiz Paulo Vellozo Lucas dirige o Departamento da Indústria e Comércio da Secretaria Nacional de Economia. Sua principal tarefa neste momento é implantar a nova política de importações do governo federal. Boa noite, doutor Luiz Paulo."
09/07/1990,Luiz Paulo Vellozo Lucas,3,Luiz Paulo Vellozo Lucas,"Boa noite, Rodolfo."
09/07/1990,Luiz Paulo Vellozo Lucas,4,Rodolfo Konder,"Bom, nós estamos vendo aí esse processo de integração, podemos começar a nossa conversa por aí, esse processo de integração entre Brasil e Argentina. O presidente Collor esteve na Argentina, e está se formando aí um mercado comum entre Brasil e Argentina. Há até críticas dos setores ligados a SBPC, hoje, dizendo que nesse comércio estaria se tratando mais de biscoitos e chás do que de biotecnologia, por exemplo. De qualquer forma seria interessante vermos o que significa isso, inclusive em termos de importações, que é a sua área, e se isso é um passo importante, por exemplo, na direção da formação desse Mercado Comum das Américas, proposto recentemente pelo presidente George Bush."
09/07/1990,Luiz Paulo Vellozo Lucas,5,Luiz Paulo Vellozo Lucas,"Bem, Rodolfo, eu queria em primeiro lugar fazer uma pequena correção aí no currículo no que diz respeito a minha tarefa no Departamento da Indústria e Comércio. A nossa preocupação hoje, nossa questão central, além da abertura comercial, é a capacitação tecnológica. A política industrial e de comércio exterior divulgada pelo governo há duas semanas atrás tem duas pernas importantes: abertura ao comércio exterior e um decidido trabalho no sentido de apoiar a capacitação tecnológica das empresas que operam no país. Agora, indo a sua pergunta, efetivamente as iniciativas de integração anteriores na América Latina e particularmente na Argentina vinham muito marcadas pela estratégica de industrialização que cada um desses países tinha, que era muito voltada para si próprio. Quer dizer, dos países que se industrializaram por substituição de importações. Então integração é sempre uma barganha: você me dá um mercadinho de dez mil réis que eu lhe dou um mercadinho aqui e tal. E agora, eu acho que o presidente Collor colocou uma perspectiva diferente com o presidente Menem, no sentido de que sistemas gerais de integração sejam montados a partir do trabalho de uma comissão não por setor, mas que pense na sistemática das tarifas, nos acordos com terceiros países, para que antes de 1994 a gente tenha efetivamente um mercado comum entre Brasil e Argentina."
09/07/1990,Luiz Paulo Vellozo Lucas,6,Rodolfo Konder,"E a questão do Mercado das Américas, como é que o senhor vê?"
09/07/1990,Luiz Paulo Vellozo Lucas,7,Luiz Paulo Vellozo Lucas,"Olha, nós vimos isso, em primeiro lugar, com a satisfação de que os Estados Unidos passaram a ter uma proposta qualquer para a América Latina. Do ponto de vista diplomático, os Estados Unidos estavam sem uma proposta. Eles tinham uma questão da iniciativa do Caribe, que era uma questão; tinham outra ligada aos países que vivem mais o problema da droga, e tinham como sua principal questão diplomática este ano a Rodada Uruguai. Para a América Latina, porém, não havia qualquer proposta. E isso foi uma coisa positiva. Sobre a repercussão e a importância dela, ainda estamos refletindo, porque é uma coisa bastante importante para que a gente possa ter uma posição definitiva a esse respeito. Para mim, pessoalmente, foi uma surpresa."
09/07/1990,Luiz Paulo Vellozo Lucas,8,Luis Roberto Serrano,"Existe alguma possibilidade dessa integração entre Brasil e Estados Unidos, esse aumento da integração, ser alguma coisa diferente de um acordo entre a “raposa e a galinha”, em que o Brasil faria o papel de galinha?"
09/07/1990,Luiz Paulo Vellozo Lucas,9,Luiz Paulo Vellozo Lucas,"Possibilidade, ninguém pode dizer nada a priori, por isso que eu digo que é um assunto da maior importância. Os Estados Unidos são o maior mercado do mundo, com um PIB aí de 4,4 trilhões de dólares. Você tem que somar toda a Europa para chegar mais ou menos perto. Ele polariza não só a América, ele polariza o mundo inteiro, ele dá o tom da economia internacional. Então, não é a mesma coisa do que está acontecendo na Europa nem a unificação asiática; é uma coisa talvez até mais importante do que isso, cujas repercussões têm que ser analisadas com muita calma."
09/07/1990,Luiz Paulo Vellozo Lucas,10,Luis Roberto Serrano,"Mas as importações de produtos americanos para o Brasil, se abertas, não podem pôr em sério risco a indústria nacional instalada aqui ou mesmo as multinacionais instaladas aqui?"
