|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|26/03/2007|Mac Maharaj|1|Paulo Markun| Boa noite. Ele viveu e lutou por liberdade num país e num tempo em que isso era impossível. Sofreu segregação em ônibus, escolas, hospitais e até igrejas. Era obrigado a entrar nos prédios por uma porta especial e não podia usar o mesmo elevador. Tudo isso por um motivo: não ser branco. Preso, acusado de sabotagem, foi julgado, condenado e passou doze anos em uma prisão de segurança máxima. E hoje está aqui, no centro do Roda Viva. Nosso convidado é o professor sul-africano Mac Maharaj. Fundador do movimento anti-apartheid ao lado de Nelson Mandela, ele ajudou o líder sul-africano a redemocratizar o país. O sul-africano Mac Maharaj começou na vida política no início da década de cinqüenta. Morou na Inglaterra e retornou ao seu país para lutar pela liberdade, que só viu depois de ficar preso e ver companheiros morrerem nas ruas e na prisão. Mac Maharaj era discriminado num país onde a segregação de raças era oficial.
1|26/03/2007|Mac Maharaj|2|[Comentarista]| Mac Maharaj tem 72 anos e passou os últimos cinqüenta envolvido na luta política contra o regime racista da África do Sul. Um dos fundadores do movimento anti-apartheid, foi preso nos anos 1960, junto com outros militantes, incluindo o amigo e companheiro de luta Nelson Mandela, cuja biografia mais recente teve Mac Maharaj como um dos consultores editoriais. Mandela: retrato autorizado não é um livro nem uma história convencional. A edição volumosa e graficamente bem tratada é volumosa e repleta de ilustrações. O texto se baseia nos relatos de sessenta entrevistados de todo o mundo: amigos, familiares, personalidades internacionais que tiveram alguma ligação com Mandela e que, em seus depoimentos, firmam a imagem do líder sul-africano como um dos homens de maior importância na história humana do século XX. De estudante de direito a primeiro presidente negro da África do Sul, Nelson Mandela tem sua história pessoal profundamente marcada por um dos mais odiosos regimes racistas já vistos no mundo. Colônia holandesa e depois inglesa, a África do Sul adotou, no final da década de 1940, uma política oficial de segregação racial, tornando ainda mais humilhante a vida da maioria negra; 75% da população do país ficou mais de três séculos sob dominação européia. Com o apartheid, os casamentos inter-raciais foram proibidos, os negros não podiam votar e a segregação se tornou ostensiva em ônibus, escolas, hospitais e lugares públicos delimitados para uso exclusivo da minoria branca. Foram mais de quarenta anos de racismo absoluto, que veio abaixo no final da década de 1980, por conta das pressões internacionais e, principalmente, do movimento negro, que teve em Mandela seu mais expressivo líder. Pacifista de início que depois decidiu recorrer à luta armada, passando 27 anos na prisão por causa disso, Nelson Mandela dominou a cena política após ser libertado em 1990. Ganhou o Prêmio Nobel da Paz em 1993 e ganhou também a primeira eleição multirracial do país, governando a África do Sul de 1994 a 1999. Mac Maharaj participou desse governo como ministro dos Transportes e vivenciou com Mandela o desafio que a queda do apartheid deixou ao movimento de libertação: governar o país negro mais rico do mundo por seus diamantes, enfrentar uma desigualdade social que concentra 90% da riqueza nacional nas mãos da minoria branca e combater um dos piores índices de infecção e morte que a aids  tem causado no planeta. Fora da vida pública desde 2005, Nelson Mandela tem se dedicado a causas sociais e direitos humanos, especialmente através de sua fundação. Mac Maharaj também se afastou da vida política e hoje é professor da Universidade de Benington, em Vermont, nos Estados Unidos.
2|26/03/2007|Mac Maharaj|3|Paulo Markun| Para entrevistar o professor e escritor Mac Maharaj, convidamos: Renato Rovai, editor da revista Fórum; Christian Lohbauer, cientista político do Gacint (Grupo de Análise de Conjuntura Internacional) da USP; Maria Amélia Rocha, jornalista; Kátia Mello, editora-assistente de comportamento da revista Isto É; Leila Leite Hernandez, escritora e professora doutora de história da África da Universidade de São Paulo e Vicente Adorno, editor-chefe de documentários da TV Cultura e comentarista internacional da Rádio Cultura FM. Temos também a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV para todo o Brasil. Como o programa de hoje está sendo gravado, não é possível a participação dos telespectadores. Boa noite, professor.
3|26/03/2007|Mac Maharaj|4|Mac Maharaj| Boa noite e muito obrigado por suas palavras gentis.
4|26/03/2007|Mac Maharaj|5|Paulo Markun| Eu queria perguntar o seguinte: a África do Sul hoje é um país onde não há racismo?
5|26/03/2007|Mac Maharaj|6|Mac Maharaj| De modo nenhum. Ainda há racismo. Algo que existiu ao longo de um período de mais de 350 anos não pode ser removido em 13 anos. Porque racismo é uma questão de mentalidade, de como as pessoas pensam e como reagem. Assim, continua sendo um problema. E continua sendo um problema como alcançar a verdadeira igualdade. Na nossa Constituição existe igualdade, está escrito. Não temos mais o direito de discriminar pessoas, seja pela raça, cor, religião, cultura, idioma... 
6|26/03/2007|Mac Maharaj|7|Paulo Markun| Aqui no Brasil também a Constituição diz isso. Agora, o fato de um setor dos negros na África do Sul ter avançado, no sentido de uma condição financeira melhor, de surgir uma classe média negra começa a estabelecer a desigualdade e a discriminação entre os negros também?
7|26/03/2007|Mac Maharaj|8|Mac Maharaj| O que está acontecendo é uma coisa muito importante, porque vem estabelecendo a base para todos terem oportunidades iguais. O crescimento da classe média negra é muito importante, mas não é o fim da história. É o começo da história.
8|26/03/2007|Mac Maharaj|9|Maria Amélia Rocha| Gostaria de falar um pouquinho sobre o livro que vai ser lançado aqui, sobre o seguinte: quando se faz um livro dessa dimensão com um personagem da dimensão do Mandela levantam-se todos os lados da história, tanto a nobreza, que está estampada no livro, quanto as fraquezas desse ser humano. Eu queria que o senhor falasse se descobriu fraquezas no Mandela e quais são elas. 
9|26/03/2007|Mac Maharaj|10|Mac Maharaj| Muitas. Muitas fraquezas. Para começar, o modo como me perturbava quando eu estava preso. Em segundo lugar, um de seus grandes amigos, Ahmed Kathrada  afirma no livro que Mandela pode ser um homem muito vaidoso. E ele também tinha fama de mulherengo. Então, ele é muito humano, como você e eu. A diferença é que, como líder, ele é um dos poucos que não escondem nem fingem que não têm fraquezas nem falhas.
