|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|20/11/2000|Manoel de Oliveira|1|[Programa gravado, não permitindo pergunta de telespectadores]|
1|20/11/2000|Manoel de Oliveira|2|Cunha Jr.| Boa noite. Ele se tornou um dos grandes nomes do cinema internacional aos 70 anos de idade, quando, em geral, os cineastas já estão aposentados. Com uma média de um filme por ano, ele é um dos cineastas mais atuantes no mundo e há mais tempo, uma produção incrível, imensa, como se diz lá em Portugal. O Roda Viva entrevista hoje, esta noite, o diretor Manoel de Oliveira, o patriarca do cinema português.
2|20/11/2000|Manoel de Oliveira|3|[Comentarista]| O cinema contemplativo, reflexão de palavras e utopias e uma homenagem à vida, assim é um pouco da obra de Manoel de Oliveira, que chega aos seus 92 anos com 40 filmes, sete como ator e 33 como diretor. O veterano Manoel já viu tudo nessa vida de cinema. Não é apenas um herdeiro, mas também ajudou a criar o melhor do cinema mundial. Pertence ao grupo restrito dos mestres da categoria de Michelangelo Antonioni  e Federico Fellini , aqueles que têm carinho por uma idéia. No cinema de Manoel de Oliveira os assuntos são quase sempre espirituais, o que não significa distâncias, e sim aproximações. O público recebe filmes cuidadosos, serenos na sua busca de significados.
3|20/11/2000|Manoel de Oliveira|4|Cunha Jr.|" Para entrevistar o cineasta português Manoel de Oliveira, nós convidamos o jornalista Leon Cakoff, diretor da Mostra Internacional de Cinema de São Paulo; Inácio Araújo, crítico de cinema do jornal Folha de S. Paulo; Lúcia Nagib, professora de cinema da Unicamp – Universidade de Campinas – e diretora do Centro de Estudos de Cinema da Pontifícia Universidade Católica de São Paulo (PUC); a jornalista Norma Couri, colaboradora do jornal O Estado de S. Paulo; Vicente Adorno, editor de internacional da TV Cultura de São Paulo; Maria do Rosário Caetano, repórter de Cultura do Jornal de Brasília, e Amir Labaki, articulista da Folha de S. Paulo e diretor do festival ""É tudo verdade"". O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília, mas vamos lembrar que o programa de hoje está gravado, portanto, infelizmente, você não vão poder participar enviando suas perguntas. Vamos começar, então, nosso programa. Manoel, boa noite, tudo bem?"
4|20/11/2000|Manoel de Oliveira|5|Manoel de Oliveira| Muito boa noite, tudo bem.
5|20/11/2000|Manoel de Oliveira|6|Cunha Jr.| Você está trazendo para o Brasil seu filme mais recente, que se chama Palavra e utopia (2000), em que o personagem principal é o padre Antonio Vieira. Infelizmente, ainda é pouco conhecida a sua história aqui mesmo no Brasil. E tinha conversado antes com você e você disse que, infelizmente, isso acontece em Portugal. Você também é um homem de palavras, imagens e utopias. Para a gente ter uma idéia de quem você é, uma reflexão sobre você mesmo, gostaria de saber o que vocês têm em comum, você e o padre Vieira, por exemplo? O que você acha que vocês têm em comum?
6|20/11/2000|Manoel de Oliveira|7|Manoel de Oliveira| Em comum, somos dois homens.
7|20/11/2000|Manoel de Oliveira|8|[risos]|
8|20/11/2000|Manoel de Oliveira|9|Cunha Jr.| Para começar. É um bom começo.
9|20/11/2000|Manoel de Oliveira|10|Manoel de Oliveira| Eu... Ele é padre, eu não sou...
10|20/11/2000|Manoel de Oliveira|11|Cunha Jr.| Certo.
11|20/11/2000|Manoel de Oliveira|12|Manoel de Oliveira| Sou ateu. Ateu não sou, sou religioso. Na verdade, sou religioso, mas sou leigo. Sou leigo, do ponto de vista religioso, literário e cinematográfico...
12|20/11/2000|Manoel de Oliveira|13|Cunha Jr.| E enquanto ativista...
13|20/11/2000|Manoel de Oliveira|14|Manoel de Oliveira| ...mas sou atrevido, daí faço filmes.
14|20/11/2000|Manoel de Oliveira|15|Cunha Jr.| ...Porque você também é um homem ativista, você é um homem teimoso na sua arte, assim como padre Vieira era um teimoso nas suas lutas. Nessa questão, acho, vocês têm bastante em comum. E nas utopias : ele acreditava naquilo, ia em frente, mesmo achando que era muito difícil, e você também continua fazendo cinema, apesar das dificuldades enfrentadas muitas vezes. Estou dando a resposta já por você também, não é?
15|20/11/2000|Manoel de Oliveira|16|[risos]|
16|20/11/2000|Manoel de Oliveira|17|Manoel de Oliveira| Já se dizia antigamente: “Teima, teima, que consegue”. É o que faço.
17|20/11/2000|Manoel de Oliveira|18|Cunha Jr.| Agora você... Só para complementar aqui. Não é a primeira vez que você se refere, em seus filmes, ao padre Vieira. Não me lembro especificamente, mas já vi em outros filmes uma citação ou outra...
18|20/11/2000|Manoel de Oliveira|19|Manoel de Oliveira| Non, ou a vã glória de mandar .
19|20/11/2000|Manoel de Oliveira|20|Cunha Jr.| ...e nesse, mais explicitamente, porque aí é uma frase do padre Antonio Vieira em que ele falava o quê mesmo? Qual era a frase que ele dizia?
20|20/11/2000|Manoel de Oliveira|21|Manoel de Oliveira|" A palavra terrível é o ""non"" , por qualquer lado que tu vais é sempre non."
21|20/11/2000|Manoel de Oliveira|22|Cunha Jr.| É sempre non, quer dizer, já era uma coisa que você gostaria de fazer? O padre Antonio Vieira já era uma idéia que você tinha, fixa, de que um dia ia fazer alguma coisa?
22|20/11/2000|Manoel de Oliveira|23|Manoel de Oliveira|" Já era uma pessoa pela qual tinha uma grande admiração e, quando pensei nesse filme, Non, ou a vã glória de mandar, que é um filme sobre a dádiva e sobre a derrota, e não sobre a vitória, pensei que o ""non"" tirado do Vieira seria bem para reedificar e para dar o nome ao filme. E, juntamente com a palavra non, que é do Vieira, juntei outra, que é de Camões, também muito interessante que é ""a vã glória de mandar"". Mandar é vão."
23|20/11/2000|Manoel de Oliveira|24|Norma Couri| Manoel, há outro ponto em comum entre você e o padre Antonio Vieira, que é a longevidade. Ele atravessou o século XVII e você atravessou o XX e estamos no XXI. Queria saber – acho que eu e todo mundo– qual é o seu segredo.
24|20/11/2000|Manoel de Oliveira|25|Manoel de Oliveira| É melhor perguntar a padre Vieira.
25|20/11/2000|Manoel de Oliveira|26|[risos]|
26|20/11/2000|Manoel de Oliveira|27|Norma Couri| Ah, não. Quero saber o seu! 
27|20/11/2000|Manoel de Oliveira|28|Manoel de Oliveira| Nasci em 1908 e padre Vieira creio que nasceu em 1608, se não é...
28|20/11/2000|Manoel de Oliveira|29|Norma Couri| 1608.
29|20/11/2000|Manoel de Oliveira|30|Manoel de Oliveira| 1608. E eu em 1908, faz uma diferença de 300 anos. Mas a tolerar, Vieira está presente ainda hoje, no meu entender.
30|20/11/2000|Manoel de Oliveira|31|Norma Couri| Mas ambos viveram muito e sempre trabalhando e você é uma surpresa para o mundo, você não pára de filmar.
31|20/11/2000|Manoel de Oliveira|32|Manoel de Oliveira| Talvez, não sei bem.
32|20/11/2000|Manoel de Oliveira|33|Norma Couri| Mas não há um segredo?
33|20/11/2000|Manoel de Oliveira|34|Manoel de Oliveira| Sou sempre uma grande surpresa...
34|20/11/2000|Manoel de Oliveira|35|Leon Cakoff| O segredo que me contou uma vez ele está querendo guardar: ele me disse que eram os grelhados.
35|20/11/2000|Manoel de Oliveira|36|[risos]|
36|20/11/2000|Manoel de Oliveira|37|Manoel de Oliveira| O grelhado .
37|20/11/2000|Manoel de Oliveira|38|Leon Cakoff| Comer grelhado sempre. É isso mesmo?
38|20/11/2000|Manoel de Oliveira|39|Manoel de Oliveira| É. Mas isso aí são fraquezas do estômago.
39|20/11/2000|Manoel de Oliveira|40|[risos]|
40|20/11/2000|Manoel de Oliveira|41|Maria do Rosário Caetano| Manoel, o produtor francês Anatole Dauman  dizia que os cineastas, à medida que o tempo passa, perdem a fertilidade, a criatividade. Você, à medida que o tempo vai passando, você vai ficando melhor, vai produzindo mais, vai criando mais. Você é a exceção que confirma a regra do Dauman ou você discorda dessa idéia?
41|20/11/2000|Manoel de Oliveira|42|Manoel de Oliveira| Acho que não é uma regra absoluta, não é. Penso que, com a idade, se perde a juventude, mas à medida que se perde a juventude e certas vitalidades próprias da juventude, aumenta-se a sabedoria, a prudência e várias outras qualidades. Enfim, Deus “dá as nozes a quem não tem dentes”.
42|20/11/2000|Manoel de Oliveira|43|[risos]|
43|20/11/2000|Manoel de Oliveira|44|Lúcia Nagib|" Tenho uma questão que está relacionada ao título do seu filme – Palavra e utopia –. Gostaria de pegar a primeira parte, palavra. Tenho um poema de sua autoria aqui – ""Poema cinematográfico"" –,  começa: “Filmes, filmes. Os melhores se assemelham aos grandes livros que, pela sua riqueza e profundidade, se tornam de penetração difícil”. Vejo aqui uma ligação com cinema e literatura, que parece estar no cerne. Embora a interface entre várias artes seja uma constante no seu filme, pintura, literatura, sobretudo cinema e história... mas a literatura parece estar realmente no centro, é uma paixão. Penso um pouco nos filmes... como Agustina Bessa Luís, , que deu Vale Abraão (1993) e tantos outros filmes. Essa paixão literária e a paixão pela palavra e a palavra portuguesa, de onde nasceu? Qual que é a fonte dela?"
44|20/11/2000|Manoel de Oliveira|45|Manoel de Oliveira| Na verdade, a literatura tem um lugar extraordinário, porque a palavra é de uma riqueza enorme. Ela expressa por igual o sentimento ou o pensamento ou descreve qualquer das outras artes, coisa que as outras artes não descrevem. É capaz de descrever outro livro ou de descrever um quadro, de descrever um filme, de descrever uma personalidade, enfim, é um modo de expressão riquíssimo. E é um dom particular no homem, a palavra. Já dizia São Tomás  que o homem se distinguia pela mão e pela palavra, era o único animal que falava e que opunha o polegar aos outros dedos. Curiosamente, há um cientista espanhol que descobriu que os nervos que atuam nos dedos vêm diretamente do cérebro, não saem da coluna vertebral, vem diretamente do cérebro à mão, por isso é que a mão tem uma agilidade, uma habilidade extraordinária. Quando a gente não pode chegar com a mão, joga a palavra.
45|20/11/2000|Manoel de Oliveira|46|Leon Cakoff| O senhor acha que, hoje, a nova geração de cineastas está usando mal as mãos? Estou me referindo ao movimento Dogma, que é muita câmera na mão, muito movimento, muita agitação na tela.
