DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
27/11/2006,Marco Antonio Bologna,1,Paulo Markun,"Boa noite. A crise recente na aviação brasileira afetou o transporte aéreo, prejudicou milhares de consumidores e recriou dúvidas sobre a pontualidade e, principalmente, sobre a segurança das viagens. Controladores de vôo tiveram uma redução no número de aviões que eles precisam monitorar e, com isso, os atrasos e cancelamentos se tornaram rotineiros. Especialistas apontam a falta de investimento no setor e as empresas acumulam prejuízos. O entrevistado desta noite comanda a empresa líder do mercado nacional de aviação, e também do internacional entre as companhias aéreas brasileiras. Ele é Marco Antonio Bologna, presidente da TAM Linhas Aéreas e também do Sindicato Nacional das Empresas Aeroviárias. O Roda Viva começa num instante."
27/11/2006,Marco Antonio Bologna,2,[...],
27/11/2006,Marco Antonio Bologna,3,Paulo Markun,"Marco Antonio Bologna comanda uma empresa que completou 30 anos em 2006. Nessas três décadas o Brasil viu desaparecer algumas de suas companhias aéreas e também viu surgirem outras em meio às dificuldades que atingiram o setor, abalado agora também pelos problemas na operação aérea. Mas a conjuntura atual é ao mesmo tempo de otimismo e de crise. A TAM, que se tornou líder nacional, está ampliando sua presença no mercado internacional."
27/11/2006,Marco Antonio Bologna,4,[...],
27/11/2006,Marco Antonio Bologna,5,[...],"Em trinta anos, a TAM passou de uma pequena empresa de táxi aéreo para líder do mercado doméstico de aviação civil. Voa para 48 destinos no Brasil, incluindo todas as capitais e o Distrito Federal. As operações para o exterior abrangem vôos diretos para seis destinos entre Estados Unidos, Europa, Argentina e Chile. Com a TAM Mercosul, vai a outros cinco destinos na América do Sul. O diferencial da empresa sempre foi a tentativa de encantar o cliente. O maior desafio da companhia aconteceu após o acidente com o avião Fokker 100 em Congonhas. Os familiares das vítimas ainda buscam indenização na Justiça. Desde julho de 2003, a empresa lidera o mercado doméstico por causa da crise enfrentada pela Varig. Em julho de 2006, passou a liderar também o mercado internacional entre as companhias aéreas brasileiras. Em março de 2001, Marco Antonio Bologna aceitou o convite para trabalhar na companhia como vice-presidente de finanças e gestão, e diretor de relações com o mercado. Em janeiro de 2004, foi escolhido presidente da companhia, e em novembro assumiu também a direção do Snea, Sindicato Nacional das Empresas de Aviação. Marco Antonio Bologna é engenheiro de produção formado pela USP, com extensão em serviços financeiros pela Manchester Bussines School."
27/11/2006,Marco Antonio Bologna,6,[...],
27/11/2006,Marco Antonio Bologna,7,Paulo Markun,"Para entrevistar o presidente da TAM e do Sindicado Nacional das Empresas Aeroviárias, nós convidamos Guilherme Barros, editor da coluna Mercado Aberto do jornal Folha de S. Paulo, Hélcio Estrela, diretor editorial da revista Aviação e Revista, Valtécio Alencar, editor chefe da revista Aeromagazine, Ricardo Gandour, diretor de conteúdo do grupo O Estado de S. Paulo, Sidnei Basile, diretor, secretário editorial e de relações institucionais do grupo Abril, Darcio Oliveira, editor de negócios da revista Isto É Dinheiro, Amauri Segala, repórter especial da revista Época Negócios. Também temos a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa. O Roda Viva, você sabe, é transmitido pela rede pública de televisão para o país inteiro. Para você participar, você pode fazer a sua pergunta, a sua crítica, a sua sugestão, pelo telefone. O número é (0XX11) 3677 1310. O fax é outra alternativa: 3677 1311, ou ainda pela internet, você acessa o site do programa e manda o seu e-mail. O endereço está aí na telinha www.tvcultura.com.br /rodaviva. Boa noite, presidente."
27/11/2006,Marco Antonio Bologna,8,Marco Antonio Bologna,Boa noite. Boa noite a todos. É um prazer estar aqui e poder atender as respostas sobre essa crise do transporte aéreo.
27/11/2006,Marco Antonio Bologna,9,Paulo Markun,"Eu vou começar pela pergunta que eu fiz ao ministro da Defesa, o Waldir Pires, e que eu acho que não obtivemos aqui uma resposta definitiva - espero que a gente consiga algum dia aclarar o telespectador -: de quem é a responsabilidade por essa crise?"
27/11/2006,Marco Antonio Bologna,10,Marco Antonio Bologna,"Bom, essa crise na verdade tem um time line, uma história, que começa em 2000. A partir dessa época, o transporte aéreo começou a entrar num processo de crise. Em 2001, essa crise foi bastante aguda, lembrando os episódios de 11 de setembro, e em 2002 nós atingimos um estado onde as companhias aéreas entraram num processo de muita dificuldade, de muita debilidade financeira. Então, 2003, quando o novo governo assumiu, um novo plano nacional de aviação civil foi necessário, lembrando que teve a tentativa de uma fusão entre nós, a TAM, e a Varig. Nessa época surgiu, foi feita, em outubro de 2003, uma reunião do Conselho Nacional de Aviação Civil, que disciplinou 18 resoluções que deveriam ser executadas para propiciar um desenvolvimento auto-sustentado, moderno e eficiente da aviação no Brasil. Então eu diria... onde foi o erro? As resoluções foram editadas, ou seja, o planejamento, o diagnóstico e o planejamento foram feitos; errou-se em não executar essas 18 determinações."
27/11/2006,Marco Antonio Bologna,11,Paulo Markun,O senhor deixou o sujeito dessa frase oculto. Quem errou?
27/11/2006,Marco Antonio Bologna,12,Marco Antonio Bologna,"Quem? Acho que é sempre normal um governo planejar e falhar na execução. Temos que entender por que não se executou. Eu acho que os motivos que não se executou é que outros percalços apareceram pelo caminho. O principal, a crise da maior companhia aérea existente no Brasil, que era a Varig, tirou a atenção da não execução dessas resoluções, o que demandou muito tempo, por parte do regulador, do poder concedente, em endereçar uma solução que passava por mudanças de legislação, passava até por aspectos de resolver encontro de contas do passado e coisas do tipo."
27/11/2006,Marco Antonio Bologna,13,Guilherme Barros,"As obras não deixaram de ser feitas, né? O governo ampliou aeroportos, fez bastante obras de fachada nos aeroportos, aumentaram os fingers em Congonhas, enfim, esse plano parece que foi deixado de lado."
27/11/2006,Marco Antonio Bologna,14,Marco Antonio Bologna,"Não, eu diria que a Infraero, ela acabou tendo, através... a partir de 2003, a Infraero teve um programa de modernização dos aeroportos bastante denso, bastante robusto. Eu diria que ele não foi um plano simplesmente de cosmético na parte de fingers, ele buscou investimento também em pista, ou seja, a parte de terra, ela foi endereçada. A parte de conforto também, voltada ao passageiro, foi. Então, aquilo que coube à Infraero nos investimentos aeroportuários acabou acontecendo de uma maneira bastante significativa. O que não aconteceu é a execução daquilo que deveria ser, o que não é visível. Então, aquilo que estaria nos investimentos feitos no controle da aerovia que acabou dando esse problema no controlador do espaço aéreo."
27/11/2006,Marco Antonio Bologna,15,Guilherme Barros,E por que não foram feitos esses investimentos?
27/11/2006,Marco Antonio Bologna,16,Marco Antonio Bologna,"Eles não foram feitos, eu diria, por cinco motivos. Nós temos, nessas 18 resoluções, três que são... que se tivessem sido executadas, elas teriam endereçado, e esse problema hoje não estaríamos vivendo. A primeira resolução, número cinco, ela estabelecia, de uma forma muito clara, determinava... como o Conselho Nacional da Aviação Civil é interministerial, determinava a todos ministérios, incluindo o Ministério da Fazenda, o não contingenciamento de nenhum recurso proveniente do próprio setor - que são as taxas aeroportuárias de navegação e comunicação -, que a este ano de 2006 chega ao montante de R$ 950 milhões. Então, houve contingenciamento de recursos como outros setores também aconteceu. A resolução de número 11, ela estabelecia um plano nacional aeroviário que haveria a integração de todos os agentes do sistema, desde a Infraero, o Decea, o setor, inclusive estimulando a iniciativa privada nos investimentos necessários de infraestrutura. E a Resolução 15, que é a mais específica para o momento atual, ela determinava ao DAC - à época, hoje é Anac e Decea - que capacitasse recursos humanos e colocasse o efetivo necessário para os controladores do espaço aéreo."
27/11/2006,Marco Antonio Bologna,17,Ricardo Gandour,"O senhor, além da TAM, agora comanda o sindicato das empresas. A sua empresa tem planos já publicados de expansão para o ano que vem. Com base nesse diagnóstico, qual é a agenda que o senhor pretende implementar à frente do sindicato, no interesse das companhias?"
27/11/2006,Marco Antonio Bologna,18,Marco Antonio Bologna,"Quer dizer, primeiro vai ficar claro que nós não estamos conversando com o poder concedente a partir da crise. Essa colocação da não aplicabilidade das 18 resoluções, a gente vem debatendo e dizendo ao governo sucessivamente - e diria até que de forma quase que catequetética -, mas pelos motivos que eu citei acabaram sendo adiadas. Hoje, como presidente do Sindicato Nacional das Empresas Aeroviárias, acho que a plataforma, ela é muito clara, ela é de ajuda; nós temos que ter ações emergenciais de momento. O lado positivo é que o transporte aéreo, hoje, ele está saneado, ele é eficiente, ele é lucrativo, ele tem um plano de frota - como você disse - muito claro das companhias aéreas, e o Brasil há três anos que cresce a taxas chinesas em termos de transporte aéreo. Então, eu diria que a plataforma principal é ações imediatas de curto prazo, mas um planejamento de maior longo prazo que seja dentro de uma proposta de um transporte aéreo saudável, eficiente e auto sustentável."
27/11/2006,Marco Antonio Bologna,19,Amauri Segalla,"Voltando à questão da segurança, antes do acidente da Gol as companhias aéreas sabiam que era precário o controle do tráfego aéreo no Brasil?"
