|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|08/12/2003|Maurício Corrêa|1|[Programa ao vivo, permitindo a participação dos telespectadores. Devido a um problema de audição, algumas perguntas de entrevistadores foram repetidas mais de uma vez e outras foram feitas mas ficaram sem respostas. Dessa forma alguns pequenos trechos que constam do vídeo foram suprimidos para facilitar a leitura]|
1|08/12/2003|Maurício Corrêa|2|Paulo Markun| Boa noite. O brasileiro não acredita na Justiça. Acha que, além de ela demorar, tem falhas e alguns representantes que, com freqüência, aparecem em denúncias de irregularidades. Uma pesquisa recente mostrou que o poder judiciário é uma das instituições com menos credibilidade no país. Mas revelou também que a população não conhece direito o trabalho da Justiça e faz confusão entre os diversos organismos que compõe o judiciário. Hoje, oito de dezembro, Dia da Justiça, o convidado do Roda Viva é o ministro Maurício Corrêa, presidente do Supremo Tribunal Federal , com quem vamos conversar sobre a importância da Justiça para a sociedade, a reforma que o judiciário precisa e como ela pode mudar o sistema.
2|08/12/2003|Maurício Corrêa|3|[Comentarista]| Maurício José Corrêa tem uma carreira pública relativamente discreta. Mineiro de São João do Manhuaçu e formado em direito em Belo Horizonte, foi para Brasília nos anos sessenta, onde fez carreira de advogado e chegou a presidir a Ordem dos Advogados do Brasil . Em 1986, foi eleito senador pelo PDT , no Distrito Federal. Em 1992, foi nomeado ministro da Justiça pelo presidente Itamar Franco  que, posteriormente, o indicou ministro do Supremo Tribunal Federal. Neste ano, o ministro Maurício Corrêa foi eleito presidente do STF. Já no discurso de posse, em junho, deu o tom de como seria o relacionamento do judiciário com o executivo nos meses seguintes. O presidente Lula, anteriormente, ao defender a reforma judiciária, tinha falado sobre a existência de uma caixa-preta na Justiça . Maurício Corrêa reagiu ao assumir o Supremo e criticou a reforma previdenciária do governo, que atingia o sistema de aposentadoria da magistratura. As divergências públicas entre o presidente do Supremo e o presidente da República duraram quatro meses e criaram alguns constrangimentos. A situação já foi considerada superada e agora os dois poderes preparam o terreno para a discussão da reforma do judiciário que, segundo o próprio ministro, passa por uma fase difícil. O sistema está atolado em uma infinidade de processos. As ações são demoradas e se tornam quase eternas por conta de recursos permitidos pelos Código Civil e Código Penal, que também por isso, precisam ser mudados. Além do descrédito causado pela lentidão e pelo distanciamento com a sociedade, a Justiça também piorou sua imagem com o envolvimento de juízes e funcionários em irregularidades. A recente operação Anaconda , que investiga a venda de sentenças judiciais em São Paulo, expôs ainda mais os problemas do judiciário, que já tinha sido apontado por uma pesquisa da OAB como uma das instituições mais desacreditadas do Brasil. O ministro Maurício Corrêa tem mais cinco meses de prazo para tentar inverter esse descrédito e encaminhar a reforma do judiciário. Em maio de 2004, ele completa setenta anos de idade e, pela regra previdenciária, terá que se aposentar.
3|08/12/2003|Maurício Corrêa|4|Paulo Markun| Para entrevistar o ministro Maurício Corrêa, presidente do Supremo Tribunal Federal, nós convidamos; Juliano Basile, repórter da sucursal de Brasília do jornal Valor Econômico; Márcio Chaer, diretor do site Consultor Jurídico; Rui Nogueira, diretor da Sucursal de Brasília da revista Primeira Leitura; Fausto Macedo, repórter de política do jornal O Estado de S. Paulo; Eliane Cantanhêde, diretora da sucursal de Brasília do jornal Folha de S.Paulo; Luciano Suassuna, diretor de redação da revista Isto é Gente. O Roda Viva, como você sabe, é transmitido em rede para todos os estados brasileiros e também para Brasília. Boa noite, ministro.
4|08/12/2003|Maurício Corrêa|5|Maurício Corrêa| Boa noite.
5|08/12/2003|Maurício Corrêa|6|Paulo Markun| O senhor acha mesmo que a gente tem o que comemorar no Dia da Justiça?
6|08/12/2003|Maurício Corrêa|7|Maurício Corrêa| Bem, o Dia da Justiça existe por um ato legislativo do presidente Linhares . Naquela época, a Justiça tinha um colorido bem mais alegre do que hoje. Lamentavelmente, em face de um conjunto de circunstâncias, o judiciário passou a ser uma instituição desacreditada. Mas, esse dia é da mais alta importância, porque visa comemorar o organismo que simboliza a Justiça, portanto a Justiça. Infelizmente, ocorreram todos esses fatos ao longo do tempo. Hoje, aproveitando o Dia da Justiça, vou responder todas as perguntas sem omitir nada, com visibilidade total. Essa é a pretensão que nós desejamos transformar o Dia da Justiça, sempre em uma explicação, que começa hoje, mas que vai permanecer sempre para que o judiciário apareça perante a sociedade brasileira.
7|08/12/2003|Maurício Corrêa|8|Paulo Markun|" Hoje, no Brasil inteiro, juízes de diversas instâncias realmente se comunicaram, principalmente por intermédio da imprensa, com o público em geral. Agora, a questão é a seguinte: na opinião do senhor, quando é que ""o carro pega""? Qual seria a coisa mais importante a se mexer para que a Justiça funcione e melhore a sua imagem?"
8|08/12/2003|Maurício Corrêa|9|Maurício Corrêa| Olha, o que ocorre com a Justiça brasileira é que a preocupação gira em torno da reforma constitucional do poder judiciário, quer dizer, criando controle externo, o efeito vinculante  das decisões proferidas pelos tribunais e uma série de outras situações previstas. Mas, na verdade, essas medidas não respondem a essa ansiedade do povo brasileiro. O que deseja o cidadão brasileiro? Ele deseja que a Justiça se acelere, seja mais rápida, e não essa coisa difícil que é o processo, que atrasa tudo e impede o juiz de exercer a jurisdição com rapidez. Portanto, não é a reforma constitucional do poder judiciário que vai resolver o problema do povo. Transformaram a reforma constitucional na grande expectativa presente. Pois bem, isso não vai resolver...
9|08/12/2003|Maurício Corrêa|10|Fausto Macedo| O que vai resolver, ministro?
10|08/12/2003|Maurício Corrêa|11|Maurício Corrêa| Posso me virar? 
11|08/12/2003|Maurício Corrêa|12|Paulo Markun| Claro.
