DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
16/10/2000,Michael Bloomberg,1,Paulo Markun,"Boa noite! Ele é considerado um mito de Wall Street. Pioneiro do jornalismo eletrônico especializado em notícias sobre finanças e negócios, expandiu a idéia para vários países e se tornou uma milionária estrela da mídia norte-americana. No centro do Roda Viva esta noite, Michael Bloomberg, criador e dono da Agência de Notícias Bloomberg."
16/10/2000,Michael Bloomberg,2,[Comentarista],"A idéia surgiu nos anos de 1980. E a Bloomberg nasceu já se identificando como o primeiro maior jornal eletrônico dos Estados Unidos. Com escritório num endereço nobre de Nova Iorque, a Avenida Park, a agência procurou se diferenciar de tudo, e começar pela recepção, dominada por um grande aquário e uma lanchonete, onde tudo é de graça. No décimo andar, o coração do negócio, uma bateria de computadores que processa números e textos que chegam de todas as parte do mundo. A redação é formada só por profissionais especializados. Eles se dividem em setores que cobrem o mundo financeiro, acompanhando não só o movimento das bolsas mais importantes como também o valor de cada ação. Todos esses dados são organizados e distribuídos para os terminais dos clientes Bloomberg. Em geral, bancos e empresas que, de posse dessas informações, podem tomar decisões mais rápidas, fechar negócios ou até mesmo fazer transações financeiras imediatas no próprio terminal. Michael Bloomberg tinha 41 anos quando foi demitido de uma corretora de Nova Iorque e teve a idéia de criar a agência. Conseguiu um primeiro cliente e depois vieram outros, fazendo o negócio se expandir. Em vinte anos, a Bloomberg se tornou uma das vinte maiores empresas norte-americanas. Hoje, ela está presente em 100 países, inclusive o Brasil, onde a agência também opera um canal de televisão a cabo com sua inconfundível tela: informações sobre bolsas, finanças, valores de ações... correm na parte debaixo do vídeo. A parte de cima fica dividida entre notícias rápidas, escritas, e uma área onde os apresentadores se revesam com notícários durante 24 horas por dia."
16/10/2000,Michael Bloomberg,3,Paulo Markun,"Para entrevistar Michael Bloomberg convidamos: Rodrigo Mesquita, diretor da Agência Estado; Noênio Spinola, diretor de comunicação da BMF, a Bolsa Mercantil de Futuros; Cida Damasco, editora executiva da Gazeta Mercantil; Andréa Fornes, redatora chefe do jornal Último Segundo do Portal IG; o escritor Ivan Sant'Anna; Fátima Turci, apresentadora do programa Economia e Negócios da Rede Mulher; e Álvaro Almeida, sócio e diretor da Tempestade, empresa fornecedora de conteúdo para a internet. Boa noite, Bloomberg."
16/10/2000,Michael Bloomberg,4,Michael Bloomberg,
16/10/2000,Michael Bloomberg,5,Paulo Markun,"Eu queria começar com a notícia que saiu na primeira edição publicada no Brasil da revista Forbes, em que diz que a Bloomberg está comemorando um recorde de vendas de assinaturas, festeja os números de faturamento e de resultado da empresa, e diz que acha - a revista - que talvez fosse o momento de vender a Bloomberg. Então nada melhor do que perguntar para quem pode fazer esse negócio se existe essa perspectiva."
16/10/2000,Michael Bloomberg,6,Michael Bloomberg,"A empresa não está à venda. Não há motivo para vendê-la. Não sei por que escreveram isso, não foi dito nada."
16/10/2000,Michael Bloomberg,7,Fátima Turci,"Um dos fatores para que essa notícia tenha gerado uma especulação no mercado, realmente é uma tendência da própria economia mundial hoje, em particular da economia brasileira, que é o chamado vestir a noiva. Ou seja, quando a empresa está realmente com muito dinheiro, muito bem, saudável, com uma rentabilidade boa, como é o caso da Bloomberg, é a melhor hora se não de vender a sua totalidade, pelo menos uma parte. O segundo fator é uma possível candidatura sua à prefeitura de Nova York."
16/10/2000,Michael Bloomberg,8,Michael Bloomberg,"Uma nova carreira é sempre possível para mim. Eu sempre digo... que não quero fazer a mesma coisa para sempre. Dirijo a empresa há 20 anos, fiquei 15 anos no emprego anterior, antes de ser demitido. Talvez, nos próximos anos, eu deva tentar outra coisa. E acho que a empresa ficaria melhor se, após 20 anos, outra pessoa assumisse. Eu acredito nesse processo de renovação. Isso não significa que a empresa esteja à venda. Posso mudar de carreira e continuar como dono da empresa. Não vejo por que vender a empresa. Ela está indo bem, melhor do que nunca, e, se a idéia é vender quando tudo está bem e não quando há problemas, também para isso deve haver um motivo. Não tenho planos de vender e não sei de onde surgiu essa história."
16/10/2000,Michael Bloomberg,9,Álvaro Almeida,"Dentro dessa perspectiva, para onde a Bloomberg pode crescer? Quer dizer, quais mercados, quais atividades?"
16/10/2000,Michael Bloomberg,10,Michael Bloomberg,"Mais da metade das nossas operações está fora dos Estados Unidos. O que eu venho tentando fazer é deslocar a sede, que fica em Nova Iorque, para diferentes lugares do mundo. As operações de TV são controladas em Londres agora, as operações de futuros se concentram lá, parte do comércio de dados é controlada em Tóquio. Estamos querendo estabelecer operações em São Paulo. Uma empresa globalizada precisa marcar presença em todos os mercados, em diferentes produtos e ter o poder descentralizado mundo afora. Acho que nosso grande potencial agora, com a expansão do mercado de capitais no Brasil, em vários países, é procurar crescer junto com eles. Os mercados de capitais tradicionais vão crescer mais lentamente que os mercados emergentes. Assim, o potencial da empresa está fora dos Estados Unidos, talvez também fora do Leste Europeu. Ele está no resto do mundo."
