DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
08/11/1999,Michel Serres,1,[...],
08/11/1999,Michel Serres,2,Paulo Markun,"Boa noite. A trajetória intelectual e acadêmica do nosso convidado de hoje é absolutamente multidisciplinar. Filósofo, tem sólida formação em ciências exatas, como matemática e física, uma formação que o ajudou a formular suas primeiras teses em ciências humanas. Michel Serres nasceu na França em 1930, é também historiador da ciência e epistemólogo e seus trabalhos são tão variados quanto sua ampla formação. Escreveu sobre os contatos entre as ciências exatas, as ciências duras, e as ciências humanas e sobre literatura, estética, antropologia e as relações do homem com a natureza, além de tratar também dos desafios da educação no mundo de hoje e de amanhã. Todos os trabalhos de Serres refletem preocupações com questões éticas suscitadas a partir da bomba atômica de Hiroshima e Nagasaki. Ele é um intelectual comprometido com o uso do saber e da comunicação na construção da paz. Michel Serres veio para São Paulo participar do Congresso Internacional do Desenvolvimento Humano, na Universidade São Marcos. No centro do Roda Viva, esta noite, o filósofo francês Michel Serres. Para entrevistá-lo, nós convidamos: o coordenador do projeto Escola do Futuro, presidente da Associação Brasileira de Educação a Distância e professor da Escola de Comunicações e Artes da USP, Frederic Litto; o professor Norval Baitello Júnior, diretor da Faculdade de Comunicação da PUC de São Paulo; o editor de cultura da Gazeta Mercantil e coordenador da revista Bravo!, Daniel Piza; Scarlett Marton, professora de filosofia moderna e contemporânea da Universidade de São Paulo; o antropólogo Edgard Assis Carvalho; a psicóloga Elvira Souza Lima, professora das Universidades de Nova Iorque e Salamanca, e Rogério da Costa, professor do Programa de Pós-Graduação em Comunicação e Semiótica da PUC de São Paulo. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. E hoje, evidentemente, você não pode participar do programa, porque ele está sendo gravado neste momento e exibido posteriormente de modo a permitir a tradução e a legendagem das respostas do professor Serres. Boa noite, professor."
08/11/1999,Michel Serres,3,Michel Serres,Boa noite.
08/11/1999,Michel Serres,4,Paulo Markun,"Eu tomei contato superficial – como todo jornalista costuma fazer – com a obra do senhor, muito recentemente, mas sei que, entre outras coisas, o senhor chegou a pensar e a escrever também sobre o Brasil, inclusive sobre esse grande caldeirão de raças que é o nosso país. Eu sou um. Markun, sobrenome de origem iugoslava, mas não sei nem de que região da Iugoslávia vem meu sobrenome, porque sou, como muitos aqui, se o senhor verificar, a maior parte dos nossos entrevistadores tem sobrenomes estrangeiros, mas somos todos brasileiros. Então eu queria que o senhor definisse: no que isso é bom e é ruim para o país, esse caldeirão cultural?"
08/11/1999,Michel Serres,5,Michel Serres,"Não pode ser ruim, muito pelo contrário. Parece-me, de fato, que, hoje, o mundo está em pleno processo de “mundialização” e esse processo de globalização é acompanhado – e vocês sabem bem disso – de conflitos, de guerras e oposições muito fortes entre diversas nações, entre diversas regiões e, há cerca de quinze anos, somos assolados por notícias cada vez mais trágicas. Por quê? Porque a globalização se opõe cada vez mais às pessoas, pois as fronteiras tornaram-se porosas. Quando lecionei, em 1973, na Universidade de São Paulo, no final de minha estadia, que foi muito feliz, fizeram-me exatamente esta mesma pergunta: “O que acha do Brasil?” Respondi – e continuo pensando assim – que o Brasil, antes de tudo, é um país muito grande, do ponde vista de área, já que é um dos países mais importantes do planeta e, por ser o maior ou um dos maiores, tem todos os problemas. Ou seja, é um modelo reduzido, absolutamente perfeito, do mundo atual. E, enquanto modelo reduzido, suporta quase todos os grandes problemas que o mundo inteiro está suportando. Mas..."
08/11/1999,Michel Serres,6,Paulo Markun,E pode suportar as mesmas soluções?
08/11/1999,Michel Serres,7,Michel Serres,"Espere. Ele tem os mesmos problemas, do ponto de vista econômico, social, político etc. Mas, há muito tempo, está pronto porque tem uma solução que, raramente, o resto do mundo pode ter. Por quê? Pelo motivo que citou com relação aos seus ancestrais. Seus ancestrais iugoslavos, que você andou esquecendo. No Brasil, o que me encanta, é que a maioria dos brasileiros tem uma genealogia totalmente cruzada, múltipla, complexa, extremamente rica e que, em seus corpos vivos, há muito tempo, eles atenuaram os conflitos de hoje. Escrevi um livro, muito mais tarde, que chamei de O terceiro instruído e que foi traduzido por um belo título em português onde aparece o adjetivo “mestiço”. E, nesse livro, eu dizia que todo processo de conhecimento é uma mestiçagem. Porque, quando falamos uma outra língua – e lamento muito não falar o português – temos um outro corpo. Quando pensamos em outra ciência, entramos em outro ser humano. E, de tanto falar línguas diferentes, de tanto conhecer disciplinas diferentes, fabricamos em nós um mestiço intelectual. E há, no conhecimento mestiço, uma espécie de paz entre as disciplinas, uma espécie de armistício entre as oposições do saber. É uma imagem intelectual do que acontece na vida real no Brasil. Vocês conseguiram tantas mestiçagens entre todas as populações do mundo, porque, no Brasil, o mundo inteiro está representado: asiáticos, europeus, americanos, nativos da América, do Hemisfério Sul etc. Portanto, vocês conseguiram tão bem, na paz, esse tipo de mestiçagem, que creio que deveriam ter consciência de que têm o modelo das soluções requeridas hoje pelas guerras mundiais."
08/11/1999,Michel Serres,8,Paulo Markun,"Mas, quando nós falamos em soluções e falamos em ciência, imediatamente se coloca a questão de que... E, evidentemente, isso também acontece na economia, até na política – mas nós vamos ficar na ciência – da questão do modelo do Primeiro Mundo e do Terceiro Mundo. Aqui no Brasil, hoje em dia, a expressão “isso é uma coisa do Primeiro Mundo” é algo que é dito com enorme entusiasmo, pode ser um copo de água, pode ser um restaurante, pode ser um motel ou pode ser um automóvel ou uma tese de doutorado, tudo que é “coisa de Primeiro Mundo” é bom. E a pergunta que faço é a seguinte: como é que esses mestiços, que somos nós aqui, que temos esse potencial de desenvolver e achar uma solução para os grandes problemas que existem aqui, como lá fora, o senhor disse, podemos almejar obter, não digo as fórmulas do Primeiro Mundo, mas as condições de produzir aqui as soluções nossas com recursos equivalentes, investimento equivalente em termos de pessoas, de tempo, de dinheiro, se nós somos, efetivamente, mestiços do Terceiro Mundo?"
08/11/1999,Michel Serres,9,Michel Serres,"Acho que a distinção que fazemos, há muito tempo, entre o Primeiro e o Terceiro Mundo, por exemplo, é uma distinção que talvez esteja se apagando por causa do processo de globalização. E desejo que ela se apague. Porque, de certa forma, já que falou em saber, o saber já não tem mais fronteiras. Experimento, há muito tempo, em minha própria pele e em minha profissão, o fato de ter ensinado em quase todas as latitudes e longitudes, de ter me dirigido a populações de estudantes de todo tipo de cultura. E acho que, hoje, com as novas tecnologias, das quais falaremos depois, a distinção entre os mundos vai se apagar de certa forma. Quando você fala em modelo de Primeiro Mundo e de “nosso mundo”, parece-me que faz parte de velhos conceitos da história antiga. Algo está acontecendo hoje que torna essa fronteira porosa. E eu, que nasci naquele que é chamado de Primeiro Mundo, quando vou à África, percebo, muitas vezes, que temos tanto a aprender em soluções humanas, em coisas que vejo na África, que hoje está em má situação econômica e sanitária, que temos muito mais a aprender do que pensamos. Em conseqüência, acho que essa distinção está se apagando. E quero muito que isso ocorra. Provavelmente, a ajuda das novas tecnologias vai ser eficaz para que essa distinção se apague completamente."
08/11/1999,Michel Serres,10,Norval Baitello Jr.,"Professor Serres, essa verdade-realidade que todos nós temos que aprender também com os pobres, também com o chamado Terceiro Mundo, teve um filósofo alemão, chamado Dietmar Kamper – que conhece o senhor e que talvez o senhor conheça – que tem veiculado hoje o conceito de “ocidentação”, ao invés de “orientação”. Enquanto o Oriente era considerado o princípio orientador, a própria palavra já mostra isso, Kamper fala hoje em ocidentação, então, talvez, o modelo ou a meta não seja mais o Oriente, talvez seja o Ocidente. E ele vai um pouco mais longe. Enquanto essa ocidentação, durante um longo tempo, foi considerada a Califórnia, ele disse que a ocidentação é São Paulo. Gostaria de que o senhor falasse um pouco sobre o seu contato com São Paulo, com essa realidade tão complexa que o senhor já conhece há longos anos."
08/11/1999,Michel Serres,11,Michel Serres,"Fico feliz ao ouvi-lo falar em orientação, porque sou parte da minoria humana chamada “os canhotos”. E, quando era criança, ensinaram-me a escrever com a mão direita. Portanto, era canhoto e, no entanto, era obrigado a escrever com a direita. Acho que, hoje, os psicólogos não recomendam que se force a escrever com a direita. Acho que lamento um pouco isso, porque, quando meu professor, já falecido – e o abençôo por ter feito isso – me ensinou a escrever com a mão direita, nem assim me tornou um destro. Continuo a fazer gestos com a mão esquerda, seguro a raquete com a esquerda para jogar tênis, seguro o martelo com a esquerda para martelar, mas escrevo com a direita. Conseqüentemente, nesse processo de aprender o outro lado, a orientação, como o senhor disse, a orientação fez com que eu fosse um corpo completo. Diziam, na França, que quem fosse forçado a escrever com a direita era um “canhoto contrariado”. Essa contrariedade nunca me fez sofrer. Digo sempre “canhoto completado”. Isso é muito importante, por imagem, digamos assim. Tudo no corpo é muito importante, porque permite entender que os que são só destros ou só canhotos, os que têm corpos orientados ou ocidentados, se quiser, são pessoas hemiplégicas, têm o corpo dividido em dois. Têm um corpo vivo e um corpo morto. Mas, quando aprendemos os dois lados, temos os dois lados vivos. Portanto, estou apto para ensinar aos canhotos a fazer gestos com a direita e, aliás, como complemento, para ensinar aos destros a fazer gestos com a esquerda. Por quê? Pelo seguinte: isso lhes ensina que em seu corpo pode haver um outro. Ensina o altruísmo, ensina a tolerância. Ensina que, se diante de nós há alguém que pode ser um inimigo, podemos nos reconciliar, ser tolerantes com ele, entender seu ponto de vista. Entendo os destros, porque escrevo com a direita, embora seja canhoto. Entende? E tenho a impressão de que, ao falar em orientação ou ocidentação, é um pouco o mesmo problema. Eu transporia, no sentido social ou político, essa experiência fundamental do meu corpo."
08/11/1999,Michel Serres,12,Scarlett Marton,"Mas, professor, eu pergunto se nesse processo de globalização pelo qual nós estamos passando, que estamos testemunhando, não está também havendo a imposição de uma única e mesma forma de pensar, sentir e viver. De sorte de que o outro com o qual tenho contato nada mais é do que a imagem que faço do outro e que, portanto, é a minha própria?"
08/11/1999,Michel Serres,13,Michel Serres,"É verdade que muita gente teme a globalização, na medida em que tem-se a impressão de que uma só cultura vai dominar. E, de fato, hoje, estamos numa situação em que uma cultura domina. Talvez não por muito tempo, mas, por ora, é o que parece. Mas acho que posso tranqüilizá-la. Por quê? Porque nós somos feitos assim, criamos sempre diferenças. Suponhamos, cara amiga, que – mas pode acontecer – o mundo inteiro fale uma única língua. Pois bem, essa única língua, quando falada em São Paulo, ao ser falada no Japão e ao ser falada em Paris, seria tão diferente em sotaque, intenção, entonação e cultura geral, que, muito rapidamente, não seria mais a mesma. Aliás, alguns lingüistas acham que, na origem, graças aos computadores, pôde-se obter a hipótese de que talvez, na origem, houve uma única língua, mas ela logo se bifurcou numa árvore extremamente complexa de línguas diversas. Não tenho muito medo da globalização pelos seguintes motivos: o primeiro é que criamos diferenças e o segundo é que eu tenho uma cultura. Cresci num pequeno vilarejo agrícola no sul da França, que tem seus costumes, sua cultura etc. Mas o que é um homem culto em geral? É alguém que vai buscar a outra cultura, que vai procurar viajar, encontrar o outro e conhecer outras culturas. No fundo, ele está se globalizando um pouco. A palavra globalização tem seu lado positivo e negativo. Tem-se muito medo, mas ouçam: sou dessa cultura, mas estou encantado por estar no Brasil, porque estou em outra cultura. Ser culto é querer mudar a própria cultura. O movimento de globalização, que causa tanto medo, não me assusta por isso. Criamos diferenças e ser culto é ir em busca da diferença."
08/11/1999,Michel Serres,14,Edgard Assis Carvalho,"Professor Serres, uma das... Acho que na quinta entrevista do seu livro, o senhor, quando fala em “Terra global”, usa uma série de termos de que particularmente gosto muito, o senhor fala da “Terra global” como sendo matizada, arlequinada, tigrada, zebrada em redes múltiplas e interligadas. Parece-me que essa “Terra global”, como se pensa no futuro, no século XXI, exigirá uma ética da tolerância e da solidariedade transnacional. A pergunta que lhe faço é a seguinte: sei que o senhor participou, no final dos anos 60, do Grupo dos Dez. Esse Grupo dos Dez, do qual faziam parte o Henri Atlan, Edgard Morin, Jacques Attali e outros... Vendo agora, 30 anos depois, esse grupo, como o senhor vê esses seus colegas que, no final dos anos 60, também estavam investindo na reconciliação da parte e do todo, estavam investindo contra a fragmentação disciplinar, na convergência da cibernética, da teoria da informação e da biologia? Como é que o senhor mexe com essas idéias tendo em vista essa ética do futuro que todos nós devemos nos empenhar?"
08/11/1999,Michel Serres,15,Michel Serres,"Na realidade, sua pergunta engloba duas. A primeira se refere à cor, ou seja, à própria estrutura dessa mistura e fico feliz por ter lembrado quantas vezes eu disse “tigrada”, “zebrada”, “mutante”. São todas qualificações que fazem com que, ao misturarmos cores ou formas, cheguemos a um tipo de marchetaria muito diversa e, talvez, a globalização, da qual falamos há pouco, leve a essa marchetaria. Não seria, necessariamente, uma cultura que teria uma só cor ou forma, mas uma marchetaria de diferenças bem complexa. E a segunda pergunta é o que houve com esse grupo que, há cerca de 30 anos, projetava um certo tipo de “interdisciplinaridade” ou de modelo de saber. E responderei, de bom grado, que houve com ele o que ocorre com qualquer outro que, num dado momento, está feliz ou estabelece um paradigma numa certa geração, mas que, na geração seguinte, se transforma profundamente. Algumas das idéias que foram abordadas naquela época transformaram-se tanto, que desapareceram. Outras, pelo contrário, fortaleceram-se e passaram a ocupar o primeiro plano da cena. Se tivéssemos de voltar àquela época, eu diria que, hoje, a situação da ciência é irreconhecível com relação à situação de 30 anos atrás. Por quê? Porque o modelo cibernético se apagou um pouco, a idéia de ordem por meio do barulho quase desapareceu e, ao contrário, na biologia, surgiram idéias inovadoras, referentes à complexidade orgânica, ao suicídio celular, uma nova idéia da vida e da morte e assim por diante. Portanto, o que deveríamos fazer é criar outro grupo. Aliás, estamos juntos aqui, podíamos criar outro com o qual delinearíamos o modelo da ciência de amanhã. Nos enganaríamos tanto quanto nos enganamos há 30 anos, mas faríamos um balanço da situação atual e é sempre bom fazer isso. Foi o que fizemos."
08/11/1999,Michel Serres,16,Elvira Souza Lima,O senhor leciona nos Estados Unidos já há 20 anos. Eu gostaria de voltar a essa questão da mestiçagem.
