DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
25/04/2005,MV Bill,1,Paulo Markun,"Boa noite! Ele fez uma declaração de guerra pela paz. Nascido e criado numa favela do Rio de Janeiro, onde continua vivendo, fez da música sua arma de luta contra a violência, seu protesto contra a exclusão social e a situação absurda vivida hoje na periferia das grandes cidades. O Roda Viva desta noite entra no mundo de MV Bill, o mais famoso rapper carioca, que colocou em CDs, em documentário e agora em livro uma realidade brasileira que ele vem denunciando e que quer que o Brasil conheça melhor."
25/04/2005,MV Bill,2,[Comentarista],"“Minha condição é sinistra, não posso ficar de rolé, não posso dar bobeira na pista...”. Ele traz o som da favela de hoje, nada a ver com o samba-enredo que o pai cantava na favela de ontem. Mistura de batida eletrônica, atabaques e vocais, seu rap nasce nos becos e vielas da favela de tijolo, concreto e esquadrias de alumínio onde bandidos e meninos, trabalhadores, desempregados e polícia convivem e buscam sobreviver na realidade violenta da periferia brasileira. As iniciais MV são de “mensageiro da verdade” e ele pretende ser a voz dos que não têm voz nem identidade. Mas até seu nome é um pseudônimo: Alex Pereira Barbosa mantém oculto seu verdadeiro nome. No início dos anos 1990, ele se encantou com o hip hop, o movimento de cultura de rua que nasceu nos EUA e conquistou o Brasil misturando rap, grafite e o break numa onda de protesto e crítica social. Em pouco tempo, o rap tornou-se o segmento musical que mais cresce no mundo e nesse campo o Brasil ficou com o segundo lugar. MV Bill gravou seu primeiro CD em 1998 e no ano seguinte provocou polêmica ao exibir a arma que portava debaixo da camisa no palco do Free Jazz Festival. Ele explicou que a arma de brinquedo simbolizava a luta pela paz e pelo desarmamento que defende publicamente, ao lado da preservação dos telefones públicos. “Soldado do morro”, nome de música e de um clipe, virou um manifesto contra a cultura da violência na periferia das grandes cidades. O clipe rendeu-lhe uma acusação formal de apologia ao crime. Foi no convívio direto com o crime e o tráfico de drogas que MV Bill encontrou a matéria-prima do protesto que vem fazendo. Ele vive até hoje na Cidade de Deus, favela da zona oeste do Rio de Janeiro onde nasceu há 30 anos. O bairro ganhou as telas do mundo com o filme de Fernando Meirelles e Kátia Lund, que o rapper critica por apresentar uma visão parcial da favela. MV Bill também se aventurou no campo do audiovisual. Percorrendo favelas e bairros pobres do país inteiro para filmar os “falcões”, garotos entre 12 e 18 anos, armados até de fuzil, que trabalham para os traficantes vigiando as favelas e alertando sobre a chegada de rivais ou da polícia. O trabalho, feito em conjunto com seu empresário, Celso Athayde, virou um documentário hoje vetado pelos próprios autores. A dupla se associou ao antropólogo Luiz Eduardo Soares, estudioso e especialista em políticas de segurança pública, para escrever Cabeça de porco. Eles dizem que a intenção do livro não é denunciar, mas apontar saídas, que é importante revelar com todos os detalhes mais vívidos a realidade em que crianças e jovens vivem hoje no mundo do crime. No dicionário, cabeça-de-porco é cortiço, mas na gíria das favelas cariocas significa situação confusa, beco sem saída. A situação criada pela violência na periferia das cidades brasileiras. É o rap de MV Bill."
25/04/2005,MV Bill,3,Paulo Markun,"Para entrevistar MV Bill, nós convidamos: Maria Rita Kehl, psicanalista; Renato Lombardi, comentarista do Jornal da Cultura; Fernanda Mena, repórter de cotidiano do jornal Folha de S. Paulo; Jorge Antônio Barros, editor-assistente da editoria Rio do jornal O Globo; Pedro Alexandre Sanches, escritor, repórter e crítico de música da revista Carta Capital e Cunha Jr., jornalista e apresentador do programa Metrópolis, da TV Cultura. Nós também temos a participação do cartunista Paulo Caruso, registrando com seu humor os principais momentos da entrevista de hoje. Boa noite, MV Bill."
25/04/2005,MV Bill,4,MV Bill,Boa noite.
25/04/2005,MV Bill,5,Paulo Markun,"Eu queria começar falando um pouco de como era a sua vida antes de você virar um sujeito famoso, de adotar esse nome, de entrar no mundo do rap. Enfim, de se transformar num artista."
25/04/2005,MV Bill,6,MV Bill,"Bom, como a maioria dos jovens tem a mesma característica que a minha – nascidos em comunidades, pobre e preto – eu segui o padrão, que é um estilo meio que moldado, meio que predestinado para as pessoas como eu. Estudei pouco, tive que começar a trabalhar cedo também."
25/04/2005,MV Bill,7,Paulo Markun,Você estudou até que ano?
25/04/2005,MV Bill,8,MV Bill,"No início estudei até a 5ª série, depois estudei um pouco mais e consegui terminar o 1º grau. E eu era vítima da invisibilidade."
25/04/2005,MV Bill,9,Paulo Markun,E começou a trabalhar com que idade?
25/04/2005,MV Bill,10,MV Bill,Comecei com 12.
25/04/2005,MV Bill,11,Paulo Markun,Fazendo o quê?
