DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
06/03/2000,Nelson Motta (2000),1,[...],
06/03/2000,Nelson Motta (2000),2,Paulo Markun,"Boa noite. Ele viveu de perto a revolução musical que o Brasil conheceu no início dos anos 60, conviveu com gênios e pilantras, roqueiros e sambistas, pirados e doidões, e resolveu colocar neste livro, Noites Tropicais, as memórias de trinta anos de história de bastidores da música popular brasileira. O Roda Viva entrevista o compositor, produtor artístico, crítico musical e revelador de talentos, Nelson Motta."
06/03/2000,Nelson Motta (2000),3,[Comentarista],"João Gilberto: estava naquele jeito de cantar, na puxada do violão, na melodia surpreendente e na harmonia sofisticada, a nova forma brasileira de fazer música. Uma legião de jovens enfadados pelos boleros e sambas-canções que inundavam rádios e vitrolas, se deixaram seduzir pela nova onda. Nelson Motta era um deles. Também não entendia direito o que ocorria, mas gostava. A bossa nova chegava como trilha sonora da vida jovem do Rio de Janeiro daquele tempo. Era o novo fim do musical para a vida que se levava nos apartamentos, nas praias, nas ruas de Copacabana, situações comuns vivenciadas nas letras de uma música moderna, nova, diferente, que revelava o novo estado de espírito da cidade, que ainda se podia dizer maravilhosa. É nesse mundo que Noites Tropicais dá seu mergulho inicial. Rio de Janeiro, 1957, ele diz que não gostava de música, mas relata nessas páginas de memória e histórias de bastidores como foi se apaixonar pelo novo som que estava surgindo. Vivendo de perto a febre da nova onda, Nelson Motta foi se juntar àquela turma jovem que multiplicava cantinhos e violões para consolidar a nova música popular brasileira: João Gilberto, Tom Jobim, Vinicius de Moraes, Dorival Caymmi, Nara Leão, Sylvia Telles, Maysa, Dick Farney, Lúcio Alves, Roberto Menescal, Ronaldo Bôscoli e outras centenas de jovens entusiasmados se embrenhavam numa fenomenal aventura que as polêmicas nunca definiram se foi um movimento ou um surto cultural. Nelson Motta percorre, no livro, o cenário dessa corrida que abriu o horizonte musical brasileiro, que sofisticou o trabalho de compositores, músicos, cantores e poetas. Deixou, na contracapa do livro, o registro de que essa virada musical foi uma das maiores contribuições brasileiras à beleza e à alegria do mundo."
06/03/2000,Nelson Motta (2000),4,Paulo Markun,"Para entrevistarmos o analista, escritor e produtor musical Nelson Motta, convidamos: o escritor Marcelo Rubens Paiva; o jornalista Mauro Dias, crítico de música do jornal O Estado de S. Paulo; Regina Echeverria, jornalista da Rede TV!; a jornalista Lorena Calábria, apresentadora do Metrópolis, aqui da TV Cultura; Okky de Souza, editor de “Artes e Espetáculos” da revista Veja; Carlos Calado, crítico de música e colaborador da Folha de S.Paulo. Hoje você não pode fazer perguntas, infelizmente, porque este programa está sendo gravado. Mas, em compensação, nós temos o nosso Nelsinho Motta aqui, ao vivo e a cores. Boa noite."
06/03/2000,Nelson Motta (2000),5,Nelson Motta,Boa noite a todos.
06/03/2000,Nelson Motta (2000),6,Paulo Markun,"Você viveu esses momentos da bossa nova, do Tropicalismo, do movimento do rock, uma série de instantes importantes da música e revela no seu livro, além de histórias muito saborosas, que houve uma certa tristeza apenas em relação a um gênero musical: o sertanejo, ou melhor, o predomínio absoluto do sertanejo durante o governo Collor. Hoje vivemos no Brasil ainda o pagode e alguma sobra do axé. Você imagina que possa vir aí um novo gênero musical hegemônico? E que gênero seria?"
06/03/2000,Nelson Motta (2000),7,Nelson Motta,"Eu acho que é inevitável que venha um novo gênero hegemônico e, com toda a certeza, será pior do que esses. É verdade, porque é uma constante na música brasileira e de outros países que têm tradição musical. O problema do gênero hegemônico...como a bossa nova no início dos anos 60, que durou no Brasil três, quatro anos, no máximo, como um movimento atuante. Por quê? Porque quando Tom Jobim e João Gilberto fizeram sucesso, todo mundo virou “bossa nova”. Então todos os picaretas, os sub-bossas, os sub-sub-imitadores do Tom, do João Gilberto, do Carlos Lyra, passaram a fazer bossa nova também. O público do rádio se chateia porque, ao mesmo tempo que quer aquele gênero de sucesso, vê que os melhores e os piores ficam muito próximos, porque a batida, o ritmo é parecido. Então, a tendência é nivelar João Gilberto e Tom Jobim com todos esses picaretas e esses sub-compositores, cantores dos anos 60 e ninguém mais lembra o nome dessa gente. Nada, ninguém lembra. Eu acho que o gênero hegemônico do momento, que foi a bossa nova até uns anos, que foi a MPB nos anos 70, o rock brasileiro nos anos 80 - nos anos 80 tocava rock brasileiro o dia inteiro no rádio, de um monte de bandas que ninguém mais lembra o nome, que imitavam os Titãs, que imitavam os Paralamas do Sucesso - então os melhores e os piores ficaram muito parecidos e chega uma hora que ninguém agüenta mais aquilo. E o que sobra? Desses gêneros hegemônicos todos, sobram João Gilberto, Tim Maia, Elis Regina, Marisa Monte, Ed Motta, Cássia Eller, que são grandes artistas que navegam nesse rio de vulgaridade, que é o gênero hegemônico, pela própria definição. Ninguém lembra aqui direito qual era a música hegemônica nos anos 60, antes da época áurea do Chico Buarque, do Caetano Veloso, do Gilberto Gil, de Roberto Carlos e Erasmo Carlos? Antes, era aquele sambão jovem, eu nem me lembro, ninguém lembra..."
06/03/2000,Nelson Motta (2000),8,Carlos Calado,"Havia brasileiros gravando em inglês também, aqueles caras..."
06/03/2000,Nelson Motta (2000),9,Nelson Motta,"É, mas vocês são profissionais, mas isso é uma porcariada, é um lixo que ninguém lembra, é a água do rio onde correm os barcos dos artistas de talento que existem em todos os gêneros musicais."
06/03/2000,Nelson Motta (2000),10,Regina Echeverria,É assim que tem que acontecer.
