DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
10/01/2000,Nicholas Negroponte,1,Paulo Markun,"Boa noite. Ele é um guru internacional da computação e um dos mais importantes estudiosos da vida digital, dos rumos que a tecnologia vai seguir e das mudanças que isso pode provocar na vida das pessoas e das empresas. O Roda Viva entrevista, esta noite, Nicholas Negroponte, diretor do Media Lab, o Laboratório de Mídia do Instituto de Tecnologia de Massachussets, nos Estados Unidos. Professor, empresário, ideólogo da informática, Nicholas Negroponte foi quem primeiro detectou a tendência da televisão e do rádio se difundirem por cabos, e da telefonia mudar para um sistema sem fio. Ele também foi um dos primeiros a falar que a televisão a cabo, o telefone e o computador se juntariam em um novo modelo de entretenimento e de comunicação. Começaram aí os chamados sonhos digitais. Para entrevistar o diretor do Media Lab do MIT, Nicholas Negroponte, nós convidamos Rodrigo Mesquita, diretor da Agência Estado; Marcelo Tas, apresentador do programa Vitrine, aqui da TV Cultura; Carmem Sílvia Maia, diretora de desenvolvimento tecnológico da Universidade Anhembi Morumbi; Luciane de Paula Schermann, diretora de relações internacionais da Universidade São Marcos; Paulo Henrique Amorim, apresentador do programa Conversa Afiada, da TV Cultura; Graciliano Toni, diretor-adjunto de conteúdo do Universo Online; e Wilson Moherdaui, diretor editorial do jornal Informática Hoje. O Roda Viva desta noite está sendo gravado e sua transmissão é feita em rede nacional para todos os estados brasileiros e também para Brasília. A gravação deste programa foi, pela primeira vez, acompanhada via internet por centenas de telespectadores, alguns até do exterior. Através de seus microcomputadores, eles acessaram a página do Universo Online e também da TV Cultura para assistirem à gravação do Roda Viva e enviar e-mails com perguntas ao nosso convidado. Boa noite, Nicholas Negroponte. Antes de mais nada, eu gostaria de agradecer a sua presença aqui. Eu sei que o senhor está fazendo um esforço nesse sentido, em função da sua agenda, e eu confesso que, para a TV Cultura, é uma honra tê-lo aqui. Como eu disse agora há pouco, essa é a primeira vez, pelo menos aqui na televisão brasileira, em que um programa gravado vai ao ar online, ao vivo, via internet. E eu também admito que isso foi resultado da leitura que eu fiz do seu livro, onde o senhor diz que as redes de televisão e as redes de computador são muito diferentes e são comandadas por pessoas que pensam diferente. O senhor acha que essa distância entre as redes de TV e de computadores vai diminuir?"
10/01/2000,Nicholas Negroponte,2,Nicholas Negroponte,"As diferenças técnicas entre a TV e a internet desaparecerão. A televisão fará parte da internet e, quer as pessoas saibam ou não, daqui a dez anos, quando ligarem a TV, elas estarão na internet. Mas o conceito de transmissão e de divulgação de histórias - ter uma história para contar e pessoas querendo ouví-la - não mudará. Pode-se dizer que a internet, como a conhecemos hoje, é muito mais um meio de comunicação de pessoa para pessoa. E a televisão é de um ponto para muitos pontos. As duas irão conviver. Por acaso, usarão o mesmo canal, que será a internet."
10/01/2000,Nicholas Negroponte,3,Paulo Markun,"Muita gente, os mais jovens... Meu filho, por exemplo, que tem 14 anos, passa horas ao dia diante do computador. Chegou a passar, em alguns dias, 12 horas. Até o ponto em que eu tive que interferir pra que ele também fizesse outras coisas. E imagino que ele esteja agora na frente do computador acompanhando essa transmissão. A minha geração passava horas diante da televisão. E a minha mãe e o meu pai faziam esse mesmo tipo de advertência em relação à minha insistência de assistir televisão. O senhor acha que esse é um caminho irreversível? Ou seja, que as pessoas vão passar cada vez mais tempo diante da... Porque ele passa o tempo no computador na internet, em grupos de bate-papo, em jogos eletrônicos, ou outras atividades, e não vendo televisão no computador. O senhor acha que essa tendência vai acontecer? Que tempo a internet e os meios de comunicação vão ocupar na vida das pessoas?"
10/01/2000,Nicholas Negroponte,4,Nicholas Negroponte,"Para começar, uma criança não deve passar 12 horas fazendo uma coisa só. Faz parte do papel dela fazer muitas coisas. Mas é curioso que, quando uma criança passa muito tempo na internet, os pais se preocupam. Eu acho desnecessário. Se a criança passa muito tempo ao piano ou muito tempo lendo um livro, os pais não se preocupam tanto. Há um duplo padrão curioso. É muito melhor passar o tempo na internet do que vendo TV. Eles têm sorte que seja assim. A audiência televisiva, especialmente a infantil, cairá significativamente. Já caiu muito, e isso não é relatado de forma adequada em termos de como a criança pequena vê TV atualmente. Da mesma forma que os jovens não lêem jornais do modo como os mais velhos liam jornais. Há uma disputa pela atenção, e boa parte da atenção das pessoas, no lazer e no trabalho, será dedicada à internet. Não significa que não serão as histórias que estão nos jornais ou na TV, mas será na internet."
10/01/2000,Nicholas Negroponte,5,Paulo Henrique Amorim,"Mr. Negroponte, o presidente do Banco Central americano, Alan Greenspan, recentemente admitiu, depois de muita resistência, que a economia americana está num patamar de crescimento econômico sólido e sustentado devido aos ganhos com inovações tecnológicas. E ele atribui à internet um papel decisivo nesse continuado crescimento da economia americana que ele chama de um crescimento sólido e duradouro por causa da tecnologia. Como é que um país cresce por causa da internet?"
10/01/2000,Nicholas Negroponte,6,Nicholas Negroponte,"A melhor forma de um país crescer, por meio da internet, é pela educação. Não há forma melhor para um país se desenvolver do que a educação, em especial, a educação básica. Tudo o mais vem em seguida. É um investimento a muito longo prazo. Quando se investe em educação básica, os resultados vêm em 15 ou 20 anos. Um investimento de prazo mais curto está, por exemplo, no comércio eletrônico, atraindo setores da população que podem não ter sido tão empreendedores quanto... Os pais podem não ter sido tão empreendedores quanto os filhos. O que se vê em países em desenvolvimento são pessoas aproveitando-se da internet de forma mais agressiva que seu equivalente no mundo desenvolvido. Isso contraria a lógica, mas acontece porque há muito valor envolvido nisso tudo. Eu acredito muito que, em um curto período, em menos de 14 meses, metade da população da internet será do mundo em desenvolvimento. Ninguém mais acredita nisso agora. Ela é considerada domínio americano e, em breve, também de domínio europeu. Acho que não é verdade. Pelo menos, metade dos usuários de internet será do mundo em desenvolvimento."
10/01/2000,Nicholas Negroponte,7,Paulo Henrique Amorim,Mas por que os países em desenvolvimento têm essa sede de internet? Como é que o senhor explica isso?
10/01/2000,Nicholas Negroponte,8,Nicholas Negroponte,"Porque o retorno é muito alto. Se você está em uma posição confortável, em uma posição satisfatória, não assumirá riscos. Não tentará, quer seja na educação ou no comércio, fazer coisas que ponham em risco essa satisfação. O ministro da Educação da França ou da Alemanha fará pequenas mudanças. Se falarmos de um ministro aqui, no Brasil, há tantas necessidades, é preciso fazer grandes mudanças. Há uma tendência natural de se ousar mais. Eu vejo isso acontecendo de modo mais agressivo nos países em desenvolvimento."
10/01/2000,Nicholas Negroponte,9,Marcelo Tas,"Professor Negroponte, eu não sei o quanto o senhor conhece a cultura brasileira, mas tem uma palavra extremamente relacionada com a cultura brasileira diante da tecnologia e que eu gostaria de contar para o senhor. Chama-se gambiarra Não sei nem se é traduzível essa palavra, talvez gambiarra seja o mais próximo! Mas é a gambiarra uma saída criativa de um povo que tem poucos recursos diante da tecnologia. Então, aqui no Brasil, tem muita gente que consegue capturar televisão em lugares em que seria impossível, com uma bacia, ou com um pedacinho de bombril na antena da televisão. E muita gente tem se virado e feito coisas incríveis nas favelas brasileiras e nas... Enfim, são projetos que têm crescido bastante aqui justamente nas camadas mais pobres da nossa sociedade. O senhor acha qual é... Como que um povo pode exercitar essa habilidade, essa criatividade, diante de um mundo tão competitivo que é o mundo da tecnologia, que obriga geralmente o Brasil e outros países subdesenvolvidos... São usados para despejar computadores que já não são muito atuais, enfim. A gente vive geralmente na contra-corrente das tais inovações. Como que um povo que tem criatividade deve se comportar diante dessa aparente velocidade insaciável das indústrias da tecnologia?"
10/01/2000,Nicholas Negroponte,10,Nicholas Negroponte,"Primeiro, você tem que entender o quanto da situação atual é artificial. Os custos são artificiais, em termos de telecomunicações e computadores. No momento, há um desequilíbrio, no qual as pessoas não têm acesso à tecnologia, mas poderiam ter num futuro muito próximo. Talvez se possa aproveitar os aparelhos de TV e transformá-los em uma janela para a internet. Pode-se olhar para a telefonia celular, pode-se olhar para outras plataformas. Não precisa ser um caro computador pessoal. Se houver maior penetração, maior acesso, os jovens verão as oportunidades naturalmente. É a analogia com o fato de, há 50 anos, a pessoa se mudar para a cidade em busca de emprego. Agora não se muda para a cidade, muda-se para o mundo digital. E encontram-se oportunidades e uma promessa, ou uma esperança, que, em si mesma, gera energia para novas idéias, empreendedores e pessoas que trabalham com outras de uma forma que não existia no passado."
