|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|06/06/1988|Norma Bengell|1|[Programa ao vivo]|
1|06/06/1988|Norma Bengell|2|Jorge Escosteguy| Boa noite. Está começando mais um programa Roda Viva. Roda Viva está sendo transmitido simultaneamente pela rádio Cultura AM e pelas TVs educativas de Bahia, Piauí e Porto Alegre, e retransmitido pelas TVs educativas do Mato Grosso do Sul, Minas Gerais e Espírito Santo. A entrevistada do Roda Viva desta noite é a atriz e diretora de cinema Norma Bengell. Norma Bengell, 53 anos, uma das atrizes mais carismáticas do cinema brasileiro, começou a ganhar fama com o filme Os cafajestes , de Ruy Guerra. Ela fez o primeiro nu frontal do cinema brasileiro. Norma Bengell estudou em colégio de freiras, foi modelo da casa Canadá, no Rio , e trabalhou em teatro de revista com Carlos Machado . Fez mais de 70 filmes no Brasil e no exterior. Norma Bengell trabalhou em teatro, planeja escrever um livro de memórias e estreou recentemente como diretora de cinema. Ela dirigiu Eternamente Pagu , um filme sobre Patrícia Galvão, cujo roteiro tornou-se uma polêmica na imprensa. Para entrevistá-la no Roda Viva desta noite, nós convidamos Edmar Pereira, crítico de cinema do Jornal da Tarde; Ricardo Kotscho, repórter do Jornal do Brasil; Roberto Ethel, chefe de reportagem do jornal O Globo; Moacir Jupiassu, redator-chefe da revista Elle; Luis Fernando Emediato, diretor de jornalismo do SBT, Sistema Brasileiro de Televisão; Sergio Lhamas, editor de cultura da Folha da Tarde; Antonio Bivar, autor de teatro. Está aqui para registrar os melhores momentos do Roda Viva o cartunista Paulo Caruso. Vocês que estão assistindo ao programa podem fazer perguntas à entrevistada desta noite pelo telefone 252-6525. A Bernadete, a Iara e a Denise estarão anotando as suas perguntas. Os alunos de comunicação social da Faculdade Anhembi Morumbi são os convidados da produção. Norma Bengell, você estreou como diretora de cinema, dirigindo o filme sobre Pagu e, imediatamente, acendeu-se uma polêmica sobre a autoria do roteiro do filme, primeiro com a jornalista Márcia de Almeida, e agora com um dos irmãos Campos , assumindo a autoria desse roteiro. Afinal, qual é a história do roteiro?
2|06/06/1988|Norma Bengell|3|Norma Bengell|" Bom, em primeiro lugar, eu quero agradecer a todo o público que está indo ver  Pagu, porque Pagu merece ser vista e ser conhecida. Quero agradecer à imprensa que me deu a maior força, à televisão, à imprensa escrita e falada, enfim, aos críticos que criticaram o filme como bons críticos, e quero abominar aqui as pessoas que só vomitaram ódio em cima desse trabalho, as pessoas que não respeitaram os leitores de seus jornais, falando coisas horrorosas, coisas realmente que de um jornalista não devia sair, não é? De um jornalista,  que eu considero jornalistas superintelectuais... Então, acho que eles deveriam ter um pouco mais de consideração com o público que lê os seus jornais. Crítica é construtiva, agora, o que eles fizeram, alguns, não é construtivo. Então, eu queria pegar... Desculpe, eu vou “alugar” as pessoas aqui por cinco minutos, porque eu vim a este programa hoje para falar o que está acontecendo, que eu acho uma coisa muito desagradável, não é? A ""Ilustrada"" , ""Folha Ilustrada"" que se chama, não é? E a revista Veja, que eu particularmente chamo de “não veja”, por terem me mostrado, eu quero agradecer a eles por terem me mostrado . Eu escrevi, porque senão eu vou esquecer tudo... Por terem me mostrado a alma e o caráter e a falta de sensibilidade de alguns de seus jornalistas, e a pretensão dessa menina, que agora já está uma coroa, que é a  Márcia de Almeida, e do  Geraldo Carneiro. A Márcia de Almeida eu conheci em 68, quando ela jogava pedra na polícia.  quis dar uma chance a ela e a chamei para fazer as pesquisas da Pagu, não é? Ela trabalhou o ano de 83, ganhou 4 milhões de cruzeiros, que era uma nota preta na época, e me entregou um roteiro infilmável. Não dava para filmar, eu perdi uma co-produção na França e  foi recusado na Embrafilme  por seis vezes. Aí chamamos o Geraldo Carneiro, para dar uma mexida nesse roteiro e ele fez . Bom, a Folha de S.Paulo vem dizendo... Aí a Márcia diz que não viu o filme para não se aborrecer. Eu digo: é melhor mesmo , porque ela vai ficar louca, porque o filme é lindo e mostra a ela que ela não tem talento, porque do roteiro dela só sobrou vinte por cento, porque não era bom. Porque era uma guerra dela com o Partido Comunista, e eu não ia filmar isso, porque eu nunca fui do partido e nem entrei em guerra com partido nenhum. Quanto à declaração dela, dizendo que do roteiro original dela consta o nome do senhor  Campos, eu tenho aqui nas minhas mãos, para provar que ela é mentirosa e covarde, o original do roteiro dela, que está aqui. “A quem interessar possa” . “Trata-se, aqui, do chamado first treatment – ela fala inglês –, do longa-metragem Fogo, Pagu.” Já Fogo, Pagu não era o título dela original; eu tive que tirar, e botei Eternamente Pagu, porque Fogo, Pagu parece que é de um outro escritor aí. Bom : “Como sempre, as cenas que estão apenas indicadas, assinaladas para a informação do PIC e da corrente do enredo.” Eu não entendi nada do que ela escreveu.  “A roteirista ainda entrevistará pessoas já aqui citadas por terem entendido melhor ter/dar o ‘quadro geral', baseados nas pesquisas e versões por ela escolhidas para, depois, trabalharem as cenas junto com as versões mais subjetivas. A roteirista, conforme assinala no início, não se ateve às informações, mas utilizou-se delas também e muitas vezes para criar situações paraficcionais. Para o roteiro final, sugiro a inclusão de depoimentos dos raros que conviveram com a escritora Patrícia Galvão, intercalando os fatos e as aventuras a critério da diretora Norma Bengell.” Óbvio, não é? Como dizia o Glauber, diretor é aquele que arranja dinheiro para fazer o filme.  “Os diálogos serão mexidos, as cenas ampliadas, algumas coisas carecendo de confirmação  inseridas. À disposição para quaisquer esclarecimentos, sem mais, agradeço. Márcia de Almeida, 15 de dezembro de 1984.” E aqui, quando ela diz ao senhor  Campos que ela mandou para a produção, dizendo que no roteiro dela tinha o nome dele, é mentira. “Pesquisa, argumento e roteiro: Márcia de Almeida. Adaptação livre entre aparência e libertária da vida de Patrícia Galvão, 83/84.” Está ? Então, eu vou continuar aqui, desculpe, estou alugando..."
3|06/06/1988|Norma Bengell|4|Ricardo Kotscho|  Norma, o programa está começando agora, é melhor fazer perguntas e se, ao final, alguma coisa faltar a ouvir... Senão fica muito longo, eu acho. Eu gostaria de perguntar coisas que talvez até estejam respondidas aí.
4|06/06/1988|Norma Bengell|5|Norma Bengell| É, pode até ser.
5|06/06/1988|Norma Bengell|6|Jorge Escosteguy| Norma, você mencionou a frase do Glauber,  que diretor é aquele que arranja dinheiro.
6|06/06/1988|Norma Bengell|7|Norma Bengell| Para dirigir .
7|06/06/1988|Norma Bengell|8|Jorge Escosteguy| Você teve que pedir ajuda ao presidente da República José Sarney  para fazer esse filme?
8|06/06/1988|Norma Bengell|9|Norma Bengell| Claro, porque o machismo e a misoginia eram tão grandes, que não me deixavam...
9|06/06/1988|Norma Bengell|10|Jorge Escosteguy| Você se sentiu sabotada? O que aconteceu? Por que não lhe deram dinheiro para dirigir o filme?
10|06/06/1988|Norma Bengell|11|Norma Bengell| Não me deixavam dirigir meu filme. Eu sou uma mulher que trabalha há 34 anos em cinema e tenho o direito de dirigir um filme e dar o meu primeiro passo. Eu não vim aqui atacar de Orson Welles , apenas dei um primeiro passo, e eu tenho certeza que o meu filme é lindo, tem gente que vai gostar do meu filme e tem gente que não vai gostar do meu filme.
11|06/06/1988|Norma Bengell|12|Jorge Escosteguy| Mas quem não deixava você dirigir?
12|06/06/1988|Norma Bengell|13|Norma Bengell| Os burocratas...
13|06/06/1988|Norma Bengell|14|Jorge Escosteguy| Eles que não lhe davam financiamento da Embrafilme?
14|06/06/1988|Norma Bengell|15|Norma Bengell| Eu não quero falar na Embrafilme aqui. Mas, na época, realmente, a Embrafilme não queria me dar  esse projeto. Então, eu fui sim ao José Sarney; agradeço imensamente a ele, ele não me deu dinheiro não, ele apenas pediu ao ministro  Celso Furtado que olhasse o meu projeto, e o ministro olhou e o filme foi feito. Dinheiro eu arranjei com a Lei Sarney .
15|06/06/1988|Norma Bengell|16|Roberto Ethel| O que alegavam para não lhe dar o dinheiro? Quais alegações que tinham para não lhe dar o dinheiro?
16|06/06/1988|Norma Bengell|17|Norma Bengell| Olha,  porque você é a atriz, como você vai dirigir? O roteiro não é bom, essas coisas.
17|06/06/1988|Norma Bengell|18|Jorge Escosteguy| Mas quem lhe dizia essas coisas?
18|06/06/1988|Norma Bengell|19|Norma Bengell| As pessoas.
19|06/06/1988|Norma Bengell|20|Edmar Pereira| E uma vez que o filme ficou pronto, Norma, parece que a Embrafilme apostou nele, quer dizer, mudaram de atitude?
20|06/06/1988|Norma Bengell|21|Norma Bengell| Não. Quando mudou a gestão, que foi o , aos quais agradeço imensamente, que me respeitaram como mulher e artista e nunca me criaram nenhum problema. Porque, do momento em que eu apresentava o meu filme dentro do organograma, dentro de tudo que foi combinado, eles também se comportaram comigo como eu estava me comportando com eles, e não tenho queixa nenhuma da gestão deles, e apostaram no filme. Agora, também essa mídia toda que eu tive foi uma mídia de trabalho, e não pensem que eles me deram cinqüenta milhões e nem  pagaram  Globo Repórter, porque de repente, daqui a pouco, inventam essa história também.
21|06/06/1988|Norma Bengell|22|Jorge Escosteguy| Mas, com essa polêmica, você seguramente teve mais publicidade para o seu filme e ele obteve um sucesso de bilheteria melhor?
22|06/06/1988|Norma Bengell|23|Norma Bengell| Olha, eu não acredito que a polêmica tenha levado o público a ver o filme, porque o público que está correspondendo  mais ao meu filme é o povão. O cinema Palácio 2, no Rio, quando ele dá pouco , ele dá 450, 480 pessoas, e esse povão lê o jornal O Dia , e O Dia não deu  polêmica.
23|06/06/1988|Norma Bengell|24|Ricardo Kotscho| Eu li há algum tempo – só para sair um pouquinho da polêmica, depois a gente volta –, em 84, você deu uma longa entrevista para a revista IstoÉ, contando nessa entrevista que você já fez 18 abortos. Então, eu queria comparar esses 18 abortos...
24|06/06/1988|Norma Bengell|25|Norma Bengell| Você aumentou dois.
