|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|01/01/1995|Oliviero Toscani|1|Matinas Suzuki| Boa Noite! Ele transformou o sonho da publicidade na mais dura realidade. Mexeu com tabus religiosos, preconceitos raciais e provocou as cores unidas do moralismo em todo o mundo. No centro do Roda Viva desta noite, está o fotógrafo italiano Oliviero Toscani. Ele é responsável pelas polêmicas campanhas de publicidade da Benetton. Para entrevistar Toscani hoje aqui nós convidamos: o publicitário Francesc Petit, diretor sócio, ou melhor, o P da DPZ. O publicitário Mario Cohen, presidente e diretor de criação da Futura Propaganda. Manuela Carta, repórter da revista Carta Capital. Gioconda Bordon, apresentadora do programa Espaço Informal da Rádio Eldorado. Caio Túlio Costa, diretor da “Revista da Folha” do jornal Folha de S. Paulo. Marco Antônio de Rezende, diretor de redação da revista Vip Exame e João Wady Cury, repórter do jornal O Globo. O Roda Viva é transmitido em rede nacional (...). Como este programa foi gravado, não recebemos perguntas dos telespectadores.
1|01/01/1995|Oliviero Toscani|2|Matinas Suzuki| Você está com uma exposição no Brasil. Você poderia contar para o nosso telespectador um pouco de como é que é essa exposição?
2|01/01/1995|Oliviero Toscani|3|Oliviero Toscani| Sim, minha fotografia está em todo o mundo. O Brasil é dos primeiros a apreciá-la. E está fazendo uma exposição em um museu. É verdade que minha fotografia não foi feita para museu. Pergunto-me se ficar em um museu será o fim de tudo. Assim, como aqui, me sinto um pouco como Galileu Galilei na Inquisição – porque disse que a Terra não era plana, mas redonda. Talvez a publicidade seja plana e alguns dizem que é redonda..... e, por isso, sou inquirido.
3|01/01/1995|Oliviero Toscani|4|Matinas Suzuki| Mas você vê alguma... você acaba de dizer que a sua publicidade não foi feita para o museu, que suas fotos não foram feitas para o museu. O seu suporte preferido, a sua maneira preferida de mostrar o seu trabalho, são os cartazes? São os outdoors nas ruas?
4|01/01/1995|Oliviero Toscani|5|Oliviero Toscani| Pessoalmente, prefiro manifestar-me na rua que é um meio mais primitivo e simples, e, talvez, menos custoso, porém, sempre muito eficaz. Mais que a televisão, que pessoalmente não uso.
5|01/01/1995|Oliviero Toscani|6|Matinas Suzuki| Você também faz um tipo de trabalho que lida com questões raciais e sociais. Há alguma diferença, para você, em mostrar esse trabalho no primeiro mundo, ou nos países europeus e num país como o Brasil, onde a miséria já está nas ruas, por exemplo?
6|01/01/1995|Oliviero Toscani|7|Oliviero Toscani| São temas verdadeiramente mundiais e devemos falar deles. Talvez o único modo de se entender alguma coisa no mundo. O modo como os países tratam esses temas comuns, mostra o nível crítico, moral e a qualidade que cada país conseguiu alcançar. Creio que nenhuma comunicação, como a publicidade, terá esse poder no futuro. Nenhuma outra comunicação é exposta ao olhar do mundo como a publicidade.
7|01/01/1995|Oliviero Toscani|8|Matinas Suzuki| Mas você vê diferenças entre mostrar essas fotos num país como o Brasil, por exemplo? Onde as pessoas estão vendo isso todos os dias nas ruas. Situação da miséria, situação racial?
8|01/01/1995|Oliviero Toscani|9|Oliviero Toscani| Sobretudo porque penso que o país é extremamente sensível e pretende estar mais à frente, como certos países europeus. Eles são menos tolerantes com esses problemas. É com o que deparo ao fazer a propaganda para a Benetton. Sucede que há imagens que são censuradas em certos países, e ganharam prêmios em outros. Por exemplo, a imagem da fronteira entre os soldados croatas e os iugoslavos mortos foi censurada em toda a Europa, mas ganhou o prêmio de melhor imagem do ano no Japão. Como você vê cada país está certo de ter razão. Cada cultura pensa que é justa, mas a realidade não é assim...
9|01/01/1995|Oliviero Toscani|10|Marco Antônio de Rezende| Toscani, ninguém duvida da força da comunicação, do poder de fogo da publicidade. Mas você dá à publicidade poderes excepcionais. Você acredita realmente que a publicidade deva ter este papel de conscientizar as pessoas, de provocar mudanças na consciência das pessoas ao redor do mundo? Ou, honestamente, a publicidade destina-se, no fundo no fundo, a vender produtos?
