DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
19/04/1993,Orlando Villas Bôas,1,[...],
19/04/1993,Orlando Villas Bôas,2,Jorge Escosteguy,"Boa noite. Hoje, 19 de abril, é o dia do índio; e a partir de agora, com o Roda Viva, a TV Cultura começa uma programação especial em homenagem aos índios brasileiros. Uma homenagem que também é um alerta, uma advertência em relação ao processo cada vez mais brutal e acelerado de extinção dos povos das florestas, de morte das nações indígenas. A partir de amanhã, e até sexta-feira, a Cultura estará apresentando uma série de documentários sobre o tema. E no Roda Viva de hoje nós vamos conversar com um homem que é um símbolo da luta pela preservação da vida e da identidade cultural dos índios. No centro da roda, nosso convidado desta noite é o sertanista Orlando Villas Bôas. Nascido no interior de São Paulo há 78 anos, Orlando Villas Bôas e seus irmãos Cláudio e Leonardo foram pioneiros da causa indígena. Uma história que começou há cinquenta anos com a expedição Roncador-Xingu, e ganhou fama nas décadas seguintes com o trabalho que só descansou, mas não parou de todo, em 1978, quando Orlando se aposentou. Na época, ele era diretor do Parque Nacional do Xingu. Ele dirigiu o parque durante 17 anos depois de passar uma década lutando pela sua criação. Orlando ganhou prêmios nacionais e internacionais, foi indicado para o prêmio Nobel, escreveu e publicou livros. Mas tem ainda muitas outras histórias para outros livros que está escrevendo. Lembramos aos telespectadores que o Roda Viva também é transmitido ao vivo pela TVE da Bahia; TVE do Ceará; TVE do Piauí; TVE de Porto Alegre; TVE do Espírito Santo; TVE do Mato Grosso do Sul; TV Minas Cultural e Educativa; e TV de Pernambuco. Para entrevistar Orlando Villas Bôas esta noite no Roda Viva, nós convidamos: Fernando Gabeira, repórter do jornal Zero Hora no Rio de Janeiro; Rosângela Petta, jornalista da TV Cultura; Ulisses Capozzoli, repórter do jornal O Estado de S. Paulo; Virgínia Valadão, antropóloga do Centro de Trabalho Indigenista; Arley Pereira, colunista do Diário Popular; Ronaldo Brasiliense, repórter especial da revista IstoÉ; Marcos Faerman, editor-chefe da revista Shalom; Maureen Bisilliat, curadora do pavilhão da Criatividade Popular do Memorial da América Latina. Lembramos aos telespectadores que estão em casa, e quiserem fazer perguntas por telefone, que podem chamar 252-6525. A Shizuka, a Cristina e a Márcia estarão anotando as suas perguntas. Na platéia, assistem ao programa um grupo de índios Guarani, da aldeia da Barragem, em Parelheiros, e um grupo de estudantes do curso de jornalismo da TV Cultura, além de amigos de Orlando Villas Bôas. Boa noite, Orlando."
19/04/1993,Orlando Villas Bôas,3,Orlando Villas Bôas,Boa noite.
19/04/1993,Orlando Villas Bôas,4,Jorge Escosteguy,"No começo do programa já chegou um recado de um amigo seu, o Bongermino, que diz: ""Espero que esta noite você possa dar uma aula sobre o modo de vida do povo indígena; fale sobre a estrutura da família, de sua educação e do respeito que tem pelo semelhante. Conte algum causo de bom humor do índio e do sertanejo. Um abraço do amigo de há 63 anos. Bongermino”. Orlando, hoje, 19 de abril, dia do índio, como é que você se sente cada vez que passa um 19 de abril e as pessoas homenageiam os índios, falam do índio?"
19/04/1993,Orlando Villas Bôas,5,Orlando Villas Bôas,"Cada vez mais penalizado com a situação do índio no Brasil de hoje. Essa data foi consagrada pelo Instituto Interamericano no México, que, claro, faz referência aos índios das três Américas. Os de lá eu não sei, mas eu sei que daqui, esta data em que a gente deve comemorar o índio não redime a sociedade brasileira do mal que nós fizemos a eles. Eles estão em processo de extinção por uma coisa puramente simples, que é a omissão do tutor com relação ao seu tutelado."
19/04/1993,Orlando Villas Bôas,6,Jorge Escosteguy,"Você diria que nesses últimos anos, nesses últimos 19 de abril, nada melhorou? As coisas tendem a piorar?"
19/04/1993,Orlando Villas Bôas,7,Orlando Villas Bôas,"Não, pelo contrário, têm piorado. Constantemente piorado. A cada ano piora. E este é ainda o pior de todos."
19/04/1993,Orlando Villas Bôas,8,Jorge Escosteguy,"O que você – Orlando Villas Bôas – tem feito em função disso? Você tem conversado com autoridades, tem procurado..."
19/04/1993,Orlando Villas Bôas,9,Orlando Villas Bôas,"Tenho; conversa, grita, chora, esperneia, escreve, fala, mas sem o menor resultado, sem a menor repercussão, porque a salvação, a defesa do nosso índio, a dívida que nós temos para com eles, só um setor pode pagar: é o poder central da República. Ele é o tutor do índio, e a Fundação Nacional do Índio exerce essa tutela em nome da União."
19/04/1993,Orlando Villas Bôas,10,Virgínia Valadão,"Orlando, eu queria lhe fazer uma pergunta, já que você tocou na questão da tutela, quer dizer, a sua experiência indigenista é de uma época em que a tutela competia inteiramente ao Estado. A partir da Constituição de 88, por um lado houve um avanço, na medida em que o Ministério Público pode... as comunidades podem entrar em juízo por conta própria; por outro, a tutela não ficou definida na Constituição, ela ficou para ser definida ao nível de Estatuto do Índio. E seguiram-se decretos, 22, 23, 24 etc, em que a Funai, no caso, tutor. As questões de saúde, educação etc foram esfaceladas entre os vários órgãos governamentais. Então, a minha pergunta é o no seguinte sentido: hoje em dia pode-se dizer que a Funai basicamente está concentrada na questão fundiária. Qual é a sua visão da tutela... essa tutela, no seu ponto de vista, deveria ser nos moldes em que ela era antigamente, congregando todas essas atividades, ou do que foi, do que passou até agora, qual é a nova proposta de tutela?"
19/04/1993,Orlando Villas Bôas,11,Orlando Villas Bôas,"A experiência está nos mostrando que ela deveria voltar a todos esses encargos quanto aos índios em relação a um órgão só. Isso deveria ter uma autonomia de tal arte, que é a mesma de um pequeno Estado, de um mini Estado. Porque lidar com gente viva, lidar com sociedades como a do índio é a mesma coisa que governar um pequeno Estado. Ali é preciso ter o trabalho de assistência, educação, segurança, tudo isso. De maneira que isso que está acontecendo agora, em separar em diversas necessidades, diversas assistências que o índio tem, por exemplo, educação: Ministério da Educação; saúde: Ministério da Saúde, isso é uma loucura. Porque a Fundação Nacional do Índio deveria ter uma estrutura tal que tivesse condições de socorrer o índio na sua área. E não esperar que o índio doente venha procurar o socorro fora da sua área. Então, eu acho que é uma loucura. Ele deveria ter uma dotação específica, certa, em primeiro lugar. E, em segundo lugar, ter um administrador capaz de dirigir essa coisa toda sem as coisas que aconteceram no passado com diversos presidentes que passaram pela Funai. No momento, nós temos um presidente da Funai que é um rapaz que conhece o problema e é responsável, e que é incapaz de desviar qualquer tipo de verba. De maneira que é uma judiação isso que está acontecendo: a indiferença do poder, distribuindo, esfacelando essas obrigações da Funai, por diversos órgãos."
19/04/1993,Orlando Villas Bôas,12,Arley Pereira,"Esse mini Estado a que você se refere deveria ser entregue aos índios? A direção desse mini Estado, quem deveria dirigi-lo?"
19/04/1993,Orlando Villas Bôas,13,Orlando Villas Bôas,"Não, ainda é cedo para entregar aos índios. Olha, um próprio civilizado nomeado pelo presidente da República, como é o caso, mas uma criatura responsável. Uma criatura responsável e capaz que conheça o problema do índio. E, por sua vez, teria que se cercar de uma série de auxiliares imediatos, que também... O serviço de índios passou, nesse tempo todo... o Serviço de Proteção aos Índios, depois mesmo a Funai, por direções as mais esdrúxulas possíveis. Você mesmo conhece algumas delas e sabe que o índio nunca foi assistido e nunca esteve no lugar que ele merece, nas atenções do poder central do país."
19/04/1993,Orlando Villas Bôas,14,Arley Pereira,"Durante muito tempo nós tivemos homens que conheciam isso de perto, como você e seus irmãos, na liderança deles, grandes sertanistas. Hoje nós teríamos pessoas com esse conhecimento?"
19/04/1993,Orlando Villas Bôas,15,Orlando Villas Bôas,"Aí, o nosso caso seria o trabalho de campo. No trabalho de campo, pode-se encontrar gente que venha a fazer o que nós fizemos. Agora, na direção do serviço de índios, o índio ainda foi amparado enquanto na vigência do marechal Rondon, de 1910, quando se criou o Serviço de Proteção aos Índios, até 1927, quando se criou o Conselho Nacional de Proteção aos Índios. Daí em diante o índio começou a cair em mãos de diretores que cediam às pressões dos governadores de estado, e foi quando o Brasil começou a se expandir para o interior. Você vê os pinheiros-do-paraná: dos 70 milhões de pinheiros-do-paraná, hoje restam apenas 1200 pés de araucária."
