DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
24/04/1989,Pedro Simon,1,Augusto Nunes,"Boa noite. Começa aqui mais um Roda Viva pela TV Cultura de São Paulo. Este programa é transmitido também ao vivo pela rádio Cultura AM e pelas tevês educativas do Piauí, do Ceará, da Bahia, de Porto Alegre e do Espírito Santo. É também transmitido simultaneamente pela TV Cultura de Curitiba e ainda retransmitido pelas tevês educativas de Mato Grosso do Sul e Minas Gerais. Os telespectadores que desejarem fazer perguntas ao nosso convidado desta noite poderão usar o telefone 252-6525. Repito: 252-6525. As perguntas serão anotadas pela Bernadete, pela Carla ou pela Iara e, em seguida, encaminhadas ao nosso convidado, que é o governador do Rio Grande do Sul, Pedro Simon. O governador Simon conhece profundamente o PMDB, conheceu bastante o MDB, conhece agora o PMDB e é um dos personagens mais importantes, sobretudo, nestes últimos tempos, nestes últimos meses, da cena política nacional. Ele sabe muito bem, por exemplo, o que está acontecendo no PMDB; talvez seja hoje o fato político mais importante em curso no quadro da sucessão presidencial. Para falar deste e de outros temas, o governador Pedro Simon estará sentado ao centro de uma Roda Viva, formada pelos seguintes entrevistadores: Marilena Dêgelo, repórter do jornal O Estado de S.Paulo; José Marcio Mendonça, editorialista do Jornal da Tarde e comentarista político da TV Bandeirantes; Emanuel Nery, repórter do jornal Folha de S. Paulo; Carlos Alberto Sardenberg, editor do informe econômico do Jornal do Brasil; Roberto Fernandes, diretor da sucursal de Brasília da revista Isto é – Senhor; Alex Solnik, repórter do jornal Folha da Tarde e Flávio Porcello, editor regional da TVS de Porto Alegre. Também estará conosco registrando cenas e momentos desse programa o cartunista Paulo Caruso. Também registramos e agradecemos a presença entre nós de convidados da produção do Roda Viva. Governador Pedro Simon, nós estamos a uma semana praticamente da convenção do PMDB, pelo menos é a data prevista, próximo fim de semana; todos os grandes partidos já escolheram os seus candidatos, falta a definição do PMDB. Qual é o candidato à presidente do PMDB? Ou se o partido não tiver, qual é o candidato presidente da República do senhor?"
24/04/1989,Pedro Simon,2,Pedro Simon,"Primeiro lugar: é uma satisfação estar aqui presente. E apenas em homenagem a todos os partidos, se me permitem uma pequena retificação: não dá para dizer que todos os grandes partidos escolheram o seu candidato. O PFL, que é o segundo partido, está inclusive com uma prévia marcada e o PDS que a rigor é o terceiro partido, também não escolheu. O PMDB tem a sua convenção marcada para o próximo domingo. Eu diria com muita tranqüilidade que o meu nome, se eu escolhesse, era o nome do doutor Ulysses Guimarães."
24/04/1989,Pedro Simon,3,Augusto Nunes,Doutor Ulysses... Nesse noticiário dos últimos dias foi publicada uma reportagem em que o senhor aparece fazendo uma espécie de censura aberta ao governador Orestes Quércia. Como que foi esse episódio e o que o senhor disse exatamente ao governador?
24/04/1989,Pedro Simon,4,Pedro Simon,"Não dá para a gente analisar em um debate feito entre catorze governadores, durante praticamente dois dias, ao longo de uma longa discussão. Na verdade, se debateu, se discutiu, se analisou e se chegou a conclusão de que nós não iríamos escolher o candidato a governador, à presidência da República. Eu faço justiça de que o governador Orestes Quércia teve desempenho. Leal, concreto, objetivo, ele se dizia não-candidato, entrou e saiu não-candidato, ele se dizia favorável à candidatura do doutor Ulysses e foi um dos que mais lutou pela candidatura do doutor Ulysses."
24/04/1989,Pedro Simon,5,Augusto Nunes,O senhor não fez nenhum tipo de censura ao governador Orestes?
24/04/1989,Pedro Simon,6,Pedro Simon,"Censura não, eu posso ter dito em um determinado momento que eu achava que ele poderia se desempenhar um pouco mais à ação com relação à defesa da candidatura do doutor Ulysses. Ele respondeu que está fazendo e eu acredito que ele que tinha razão - eu que estava equivocado - tudo aquilo que ele podia em termos da defesa da candidatura do doutor Ulysses."
24/04/1989,Pedro Simon,7,Augusto Nunes,"Alex Solnik, Folha da Tarde."
24/04/1989,Pedro Simon,8,Alex Solnik,"Governador, há poucos dias quando o senhor veio a São Paulo, o senhor foi um dos primeiros governadores a conseguir de Quércia que ele dissesse que, dependendo de uma pressão maior de todos, ele até poderia vir a ser candidato. Foi isso que o senhor declarou na imprensa e acabou parecendo como aquele governador conseguiu extrair esse depoimento do doutor Quércia. O senhor disse agora que o seu candidato é o doutor Ulysses, eu imaginava que seria doutor Quércia."
24/04/1989,Pedro Simon,9,Pedro Simon,"É que geralmente, quando a gente dá uma entrevista coletiva, nem sempre saem as coisas como a gente gostaria que saíssem, principalmente quando ela é feita não transmitindo a coletiva, mas junto com uma série de matérias. O que eu disse em Porto Alegre, quando me perguntaram, era que nós tínhamos três candidaturas e aí me perguntaram que o doutor Ulysses saindo, e Álvaro saindo e Waldir saindo, o que eu achava da candidatura do Orestes Quércia, se era ou não um bom candidato. Eu respondi: “Olha eu estou chegando de São Paulo, fiquei impressionado com o prestígio que o Quércia tem em São Paulo, eu acho que ele é um bom candidato”. Agora, a bem da verdade eu devo dizer que em nenhum momento para mim o Quércia afirmou que seria candidato, pelo contrário: de todas as oportunidades que eu falei com ele, ele sempre foi categórico, “eu não sou candidato”."
24/04/1989,Pedro Simon,10,Augusto Nunes,"Marilena Dêgelo, Estadão."
