DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
03/11/1986,Pietro Maria Bardi,1,Rodolpho Gamberini,"Boa noite. Nós estamos começando neste momento mais um Roda Viva o programa de entrevistas e debates da TV Cultura. Esta noite como nosso entrevistado no Roda Viva está o professor Pietro Maria Bardi, diretor do Masp, o Museu de Arte de São Paulo. Para participar desta nossa conversa, deste nosso Roda Viva desta noite, estão aqui: Carlos Von Schmidt, editor da revista Artes; Aldemir Martins, artista plástico; Darcy Penteado, artista plástico; Milton Mesquita, também artista plástico; Maria Bonomi, artista plástica; Francesc Petit, publicitário e artista plástico; Radha Abramo, crítica de arte; Olney Krüse, crítico de arte também; e Tereza Cristina de Barros, repórter e apresentadora da TV Cultura. Professor, o senhor está à frente do Masp, é o fundador do Masp já há quase quarenta anos que o senhor dirige o museu."
03/11/1986,Pietro Maria Bardi,2,Pietro Maria Bardi,Quarenta anos.
03/11/1986,Pietro Maria Bardi,3,Rodolpho Gamberini,De 1947 a 86.
03/11/1986,Pietro Maria Bardi,4,Pietro Maria Bardi,Exato.
03/11/1986,Pietro Maria Bardi,5,Rodolpho Gamberini,O senhor considera sua missão cumprida?
03/11/1986,Pietro Maria Bardi,6,Pietro Maria Bardi,"Bom, naturalmente uma missão nunca é cumprida. Ela sempre continua. Resta saber se nos próximos anos nós conseguiremos declarar que a missão, de verdade, foi boa."
03/11/1986,Pietro Maria Bardi,7,Rodolpho Gamberini,"O que falta, o que o senhor acha para cumprir essa missão?"
03/11/1986,Pietro Maria Bardi,8,Pietro Maria Bardi,"Bom, naturalmente quando existia o senhor Assis Chateaubriand, ao qual me permito já de mandar dar um alô, as coisas eram muito fáceis, porque com o senhor Chateaubriand era possível realizar qualquer coisa. Se precisava de um dinheiro para comprar um quadro, precisava um dinheiro para ter uma sala no velho museu, aliás, um andar no velho museu, então se falava com ele e pronto. Dava um telefonema e tudo era feito. Hoje em dia, nós temos passado na Avenida Paulista... as dificuldades são numerosas, especialmente do ponto de vista econômico. O Chateaubriand fundou uma sociedade civil sem fim lucrativo, não quis fundar uma fundação. Essa sociedade foi reconhecida em 1952 pelo Getúlio Vargas como uma sociedade de utilidade pública. Então, nós vivemos, depois de cerca de vinte anos, de pequenas doações, de pequenos trabalhos que eu consigo fazer no museu como a bilheteria para os concertos, para o cinema, para os cursos, para obras de restauro que se fazem para terceiros... Alguma ou outra doação se recebe quando, não digo alugamos, mas quando nós emprestamos a nossa sala e temos um reconhecimento que nos paga um pouco de luz, um pouco de contínuos. Agora, é extraordinária. E, bem ou mal, bem ou mal até hoje eu consigo dar a este museu uma situação financeira que não é das melhores, aliás, diria que é das piores, mas quando às vezes precisou algum dinheiro no caixa, eu tirei do meu bolso pessoal..."
03/11/1986,Pietro Maria Bardi,9,Rodolpho Gamberini,"Radha Abramo, a crítica Abramo, está querendo..."
03/11/1986,Pietro Maria Bardi,10,Pietro Maria Bardi,"Devo declarar também, para desmentir vários boatos, que aqui a cidade é mesmo de boato, os boatos vão um depois do outro, um depois do outro, se multiplicam, entende?"
03/11/1986,Pietro Maria Bardi,11,Rodolpho Gamberini,Que boatos? A que boatos o senhor se refere?
03/11/1986,Pietro Maria Bardi,12,Pietro Maria Bardi,"Ao caixa do museu. A última vez, foi há sete, oito meses atrás, porque estava numa situação muito crítica. Eu dei do meu bolso 450 milhões de cruzeiros. Bom, então, um pouco com uma convenção, um pouco com outra armadilha, vamos dizer, um pouco pensando sempre no Chateaubriand, porque com o Chateaubriand nós éramos declarados uma dupla. E fomos, de fato, uma dupla. Uma dupla também do ponto de vista financeiro, porque o nosso museu precisava de dinheiro e, quando precisa de dinheiro, alguém deve sustentar."
03/11/1986,Pietro Maria Bardi,13,Rodolpho Gamberini,"Por favor, professor..."
03/11/1986,Pietro Maria Bardi,14,Pietro Maria Bardi,"Com o Chateaubriand, repito, era muito fácil, porque o Chateaubriand vivo resolvia qualquer problema, para lhe dizer, a esta espécie de tribunal que aqui está a me julgar."
03/11/1986,Pietro Maria Bardi,15,Rodolpho Gamberini,Mas é um tribunal amistoso. A Radha Abramo quer fazer uma intervenção.
03/11/1986,Pietro Maria Bardi,16,Pietro Maria Bardi,"Nós já fizemos algum ato que não é verdadeiramente um ato para um museólogo, e sim um ato de um comerciante, porque eu sempre declarei que fui comerciante de arte, que fui mercante de artes, nunca neguei isso porque é o meu sustento de vida. E fizemos alguma coisa, algum ato como o fato de comprar quadros, à crédito, por milhões de dólares, e a uma certa altura precisávamos pagar esses milhões de dólares. Os milhões de dólares eram nada menos que quatro milhões de dólares, que nós devíamos para pagar, que nós já tínhamos comprado à crédito no exterior. Então, eu tive a idéia de dizer ao Chateaubriand: “Veja doutor Assis, o senhor veja de fazer um empréstimo, um empréstimo para nós pagarmos esta quantia porque sempre temos pressões, pressões, pressões”. Eram contínuas, às vezes até telegráficas, para pagar. Chateaubriand me disse textualmente: “Veja, aqui ninguém me empresta um cruzeiro”. Eu digo: “Mas veja, um cruzeiro é pouco”."
03/11/1986,Pietro Maria Bardi,17,Darcy Penteado,"Professor, eu posso fazer uma intervenção? Eu gostaria de dizer, então, lembrar que o senhor foi quem primeiro teve o problema da dívida externa no Brasil, não é?"
03/11/1986,Pietro Maria Bardi,18,Pietro Maria Bardi,Sim.
03/11/1986,Pietro Maria Bardi,19,Darcy Penteado,Pelo jeito o senhor enfrentou muito antes dos nossos governos aqui.
