DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
30/09/1996,Raul Jungmann,1,[...],
30/09/1996,Raul Jungmann,2,Matinas Suzuki,"Boa noite. Ele é o responsável pela difícil tarefa de implementar uma reforma agrária no Brasil. No centro do Roda Viva, está o ministro Raul Belens Jungmann."
30/09/1996,Raul Jungmann,3,[...],
30/09/1996,Raul Jungmann,4,Narração de Milton Jung,"Raul Belens Jungmann Pinto, de 44 anos, nasceu no Recife, Pernambuco, e cursou psicologia, mas se destacou na política. Em 93 foi para o governo Itamar Franco como secretário executivo do Ministério do Planejamento; em março de 95, assumiu a presidência do Ibama, o Instituto Brasileiro do Meio Ambiente, no governo Fernando Henrique. Em abril de 96, depois do assassinato de 19 trabalhadores sem-terra em Eldorado dos Carajás, no Pará, o governo criou o Ministério de Política Fundiária, entregue a Raul Jungmann. Na posse, o ex-presidente do Ibama não esqueceu seus compromissos com o meio ambiente e prometeu executar uma reforma agrária sustentável, sem destruir florestas. Sua primeira ação foi descentralizar a reforma agrária. A União mantém a tarefa de comprar e desapropriar as terras, enquanto os estados e municípios passam a ter participação nos processos de assentamentos dos sem-terra. Outra decisão foi a de usar terras do Exército e de devedores do Banco do Brasil para a instalação de assentamentos. Em agosto, ele conseguiu uma vitória política: a Câmara dos Deputados aprovou o projeto do rito sumário, que vai acelerar os processos judiciais de desapropriações de terras. Essa proposta ainda precisa ser votada pelo Senado. Mas nem tudo vai bem para o ministro. As ocupações de fazendas e de prédios públicos, pelo MST, levaram o ministro a suspender as negociações com o movimento. O governo – alertou Jungmann – não irá mais permitir que funcionários do Incra sejam humilhados."
30/09/1996,Raul Jungmann,5,[...],"O senhor não negocia, então?"
30/09/1996,Raul Jungmann,6,Raul Jungmann,"Eu estou dizendo que enquanto continuarem desrespeitando direitos humanos de servidores, enquanto os próprios públicos, que são de toda a coletividade, forem invadidos, o governo não tem condições políticas de negociar."
30/09/1996,Raul Jungmann,7,Milton Jung,"Em setembro, divergências nas negociações com os sem-terra no Pontal do Paranapanema, em São Paulo, levaram o ministro a demitir o superintendente regional do Incra no estado, Miguel Abeche, abrindo uma crise interna no instituto. Hoje, uma das principais preocupações de Jungmann é a de evitar uma explosão de violência no Pontal, onde os fazendeiros recriaram a UDR e estão se armando para enfrentar as invasões dos sem-terra. Outra preocupação de Jungmann é cumprir a meta de assentar 60 mil famílias este ano e desativar os 157 acampamentos de sem-terra espalhados por 13 estados brasileiros. O governo espera fechar setembro com 35 mil famílias assentadas, comprometendo-se a instalar as outras 25 mil nos próximos três meses."
30/09/1996,Raul Jungmann,8,[...],
30/09/1996,Raul Jungmann,9,Matinas Suzuki,"Para entrevistar esta noite o ministro Jungmann nós convidamos o jornalista Raul Costa Júnior, que é diretor do canal rural da RBS Globosat; o engenheiro agrônomo Luis Carlos Guedes Pinto, presidente da Associação Brasileira de Reforma Agrária e professor do Instituto de Economia da Unicamp; a Mônica Teixeira, editora-chefe do programa SBT Repórter; Luciano Suassuna, redator-chefe da revista IstoÉ; George Alonso, repórter de política da Folha de S.Paulo; e o Enio Lucciola, chefe de reportagem da Rede Cultura de Televisão. O Roda Viva é transmitido em rede nacional com 150 outras emissoras de 21 estados brasileiros. Boa noite, ministro."
30/09/1996,Raul Jungmann,10,Raul Jungmann,"Boa noite, Matinas."
30/09/1996,Raul Jungmann,11,Matinas Suzuki,"Ministro, a nossa pequena reportagenzinha sobre a sua vida diz que o governo esperava assentar 35 mil famílias até o final de setembro. Como nós estamos no final do mês de setembro, qual é o balanço em termos de números de assentamentos que nós temos já realizados?"
30/09/1996,Raul Jungmann,12,Raul Jungmann,"35.057 famílias alcançadas hoje, no último dia de setembro."
30/09/1996,Raul Jungmann,13,Matinas Suzuki,"Certo, então o governo atingiu essa meta e espera assentar 60 mil até o final do ano."
