|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|13/07/1992|Ricardo Fiúza|1|[Programa ao vivo, permitindo a participação dos telespectadores]|
1|13/07/1992|Ricardo Fiúza|2|Jorge Escosteguy| Boa noite. A CPI que investiga o escândalo PC Farias e as ligações do empresário com o presidente da República poderá encerrar os seus trabalhos sugerindo o impeachment do presidente Fernando Collor de Mello. Essas informações foram dadas por alguns parlamentares. Uns dizendo que no mínimo deve ser feito isso para que eles não sejam acusados de coniventes ou omissos, outros porque os fatos levam a isso. Se o impeachment será aprovado ou não já é outra coisa. Nas últimas duas semanas, o Roda Viva discutiu aqui a crise política, com a CPI, ouvindo parlamentares de oposição. Ouvimos o deputado José Dirceu da CPI e do PT, e ouvimos o presidente nacional do PMDB, Orestes Quércia, ex-governador de São Paulo e ex-senador. Hoje no Roda Viva, que começa agora pela TV Cultura, nós vamos discutir a crise política sob o ponto de vista do governo, de um integrante do primeiro escalão do governo Collor. No centro da roda, está sentado o ministro da Ação Social, Ricardo Fiúza, um dos chamados ministros políticos do governo. Ricardo Fiúza tem 52 anos, nasceu no Ceará, formou-se em direito em Pernambuco. Há 22 anos é deputado federal, elegendo-se a primeira vez em 1970, pela então Arena. Foi escolhido ministro da Ação Social no começo deste ano. Para entrevistar Ricardo Fiúza esta noite no Roda Viva, nós convidamos Eliane Cantanhêde, editora de política do jornal O Estado de S. Paulo; o jornalista Hamilton Almeida Filho; Moacir Japiassu, colunista da revista Imprensa; Célia Chaim, chefe da redação da sucursal do Jornal do Brasil, em São Paulo; João Batista Natali, repórter do jornal Folha de S.Paulo; Luiz Weis, jornalista e diretor da  Redação, Jornalismo e Consultoria; Jan Rocha, correspondente do jornal The Guardian; Luiz Maklouf de Carvalho, repórter especial do Jornal da Tarde. Boa noite, ministro.
2|13/07/1992|Ricardo Fiúza|3|Ricardo Fiúza| Boa noite. É um prazer estar com vocês.
3|13/07/1992|Ricardo Fiúza|4|Jorge Escosteguy| Em uma entrevista que o senhor deu logo após ser nomeado, empossado ministro da Ação Social, ao Jornal do Brasil, ao Etevaldo Dias e à Dora Kramer, dentre várias coisas, o senhor disse que o presidente vai terminar o governo ovacionado pelo povo, o presidente Collor. O senhor reafirmaria essa resposta hoje?
4|13/07/1992|Ricardo Fiúza|5|Ricardo Fiúza| Com a mais absoluta tranqüilidade. E isso irá acontecer. E durante esse programa nós vamos demonstrar porque isso irá acontecer.
5|13/07/1992|Ricardo Fiúza|6|Jorge Escosteguy| Por que irá acontecer?
6|13/07/1992|Ricardo Fiúza|7|Ricardo Fiúza| Irá acontecer porque as grandes transformações que já se operaram no país fazem com que o país seja absolutamente viável e matematicamente impossível de dar errado. As pessoas preconceituosas estão analisando sob um ângulo extremamente superficial. Mas se nós analisarmos o que era o país na década de 80 e o que é o país hoje, nós vamos verificar que é um país completamente diferente. E com uma razão muito relevante: o país fez tudo isso sem o governo ter maioria no Congresso. O que é que significa isso? Que as grandes transformações, que parcela da sociedade não se apercebeu ainda, essas transformações foram feitas de forma consensual, ou seja, através de negociações com todos os partidos no Congresso. Significa que a sociedade aprovou isso. Não é como se tivéssemos um partido único, ou um partido majoritário, como é o caso do México, que amanhã, com a rotatividade do poder, a sociedade pudesse desfazer a linha que aí estivesse. E quando nós formos conversar, nós vamos fazer um breve cotejo das duas épocas, e a sociedade toda, inclusive quem me ouve, vai verificar que o Brasil é outro país completamente diferente.
7|13/07/1992|Ricardo Fiúza|8|Jorge Escosteguy|  Mas o senhor acha que essas questões como a CPI, escândalo PC Farias, essas acusações que se fazem contra o presidente da República, isso será absolutamente relevado pelos parlamentares e pelo povo? Ou seja, o senhor sequer admite a possibilidade de um pedido de impeachment do presidente?
8|13/07/1992|Ricardo Fiúza|9|Ricardo Fiúza| Bom, esse negócio que você leu antes aí, eu classifico como uma leviandade de quem disse, o deputado da oposição que eu não sei quem foi. Trata-se de um leviano e de um ditatorial desacostumado com o processo democrático. Há uma CPI a qual nós sempre defendemos, aliás, o presidente da República um ano antes pediu a apuração de todos os fatos quando fez aquela enfática declaração de que não tinha amigos autorizados a falar em seu nome. O que existe é uma CPI em processo de andamento. E esse leviano que aqui esteve, que eu não sei quem foi, acabou de afirmar, e você retransmite, que ...
9|13/07/1992|Ricardo Fiúza|10|Jorge Escosteguy|  Eu disse que alguns parlamentares, né?
