DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
17/04/1993,Roberto Mangabeira Unger,1,Jorge Escosteguy,"Boa noite! No Roda Viva que começa agora pela TV Cultura de São Paulo, nós vamos discutir as idéias e os rumos da universidade brasileira. Vamos falar também sobre política brasileira. O nosso convidado desta noite é o professor Roberto Mangabeira Unger, carioca, 46 anos. Mangabeira Unger é professor titular de direito da universidade de Harvard, onde leciona teoria social, econômica, jurídica e política, e é membro da Academia Americana de Ciências e Artes. Ele mesmo se define como um agitador político. Foi um dos redatores do manifesto de fundação do PMDB, partido que abandonou em 1980. Passou para o PDT, partido pelo qual foi candidato a deputado federal, sem se eleger, nas últimas eleições. Lembramos que o Roda Viva também é transmitido ao vivo pela TVE da Bahia, TVE do Ceará, TVE do Piauí, TVE de Porto Alegre, TVE do Espírito Santo, TVE do Mato Grosso do Sul e TV Minas Cultural e Educativa. Para entrevistar o professor Mangabeira Unger esta noite no Roda Viva, nós convidamos Marcelo Pontes, diretor de redação do Jornal do Brasil em São Paulo; Mauro Chaves, editorialista e articulista do jornal O Estado de S. Paulo; Caio Túlio Costa, diretor da Revista da Folha de S. Paulo, Ibsen Spartacus, chefe de pauta do Departamento de Telejornalismo da TV Cultura; professor Jacques Marcovich, professor do Instituto de Estudos Avançados da Universidade de São Paulo; professor Celso Campilongo, chefe do Departamento de Teoria Geral do Direito da Pontifícia Universidade Católica de São Paulo; professor Milton Lauheta, professor de teoria política da Unesp, Universidade do Estado de São Paulo; e o professor Stephen Kanitz. Como o programa de hoje foi gravado, não será possível haver telefonemas dos telespectadores ao vivo. Boa noite, professor!"
17/04/1993,Roberto Mangabeira Unger,2,Roberto Mangabeira Unger,Boa noite.
17/04/1993,Roberto Mangabeira Unger,3,Jorge Escosteguy,"Recentemente, em São Paulo, o senhor disse que a universidade brasileira é um satélite espiritual das universidades norte-americanas e européias. Por que isso?"
17/04/1993,Roberto Mangabeira Unger,4,Roberto Mangabeira Unger,"Eu acho que nós não afirmamos ainda no Brasil as condições para uma reflexão autônoma sobre o país. E há dois grandes obstáculos à afirmação dessa autonomia cultural. O primeiro obstáculo é a falta de condições materiais de pesquisa e, sobretudo, de conhecimento dos países que guardam o maior parentesco com o nosso; países como o México ou a Rússia ou a China ou a Índia. O segundo obstáculo é que uma grande parte da intelectualidade brasileira continua a praticar algo que não é idéia nem política, senão a política das idéias; não se expõe aos riscos de um pensamento capaz de levar a conclusões desconcertantes."
17/04/1993,Roberto Mangabeira Unger,5,Jorge Escosteguy,Por que o senhor diz que eles têm esta prática de fazer a política das idéias?
17/04/1993,Roberto Mangabeira Unger,6,Roberto Mangabeira Unger,"Porque eles raramente têm praticado uma forma de pensamento que procura não apenas ornamentar as posições já feitas, mas imaginar alternativas de pensamento e organização social. É isso que está faltando à cultura brasileira."
17/04/1993,Roberto Mangabeira Unger,7,Jorge Escosteguy,"O senhor diz alternativas; mas o senhor também afirmou que, por exemplo, se tivéssemos um projeto coerente de crescimento econômico, não seríamos capazes de executá-los. O senhor acha que não há pessoas no Brasil capazes para executá-los?"
17/04/1993,Roberto Mangabeira Unger,8,Roberto Mangabeira Unger,"Eu acho que o que mais choca no Brasil, hoje, é a falência imaginativa das elites. E eu não digo das elites universitárias, eu digo dos quadros dirigentes do país como um todo. Estes quadros abandonaram um antigo projeto nacional populista sem abraçarem a suposta alternativa neoliberal e colocaram o país no limbo em que está. O governo Itamar é o reflexo dessa indefinição, dessa bancarrota imaginativa das elites brasileiras."
17/04/1993,Roberto Mangabeira Unger,9,Jorge Escosteguy,"O senhor disse o governo Itamar, mas o governo Itamar é uma herança do processo de impeachment, do processo político que veio do Fernando Collor, ou seja, ele assumiu diante de uma crise."
17/04/1993,Roberto Mangabeira Unger,10,Roberto Mangabeira Unger,"Sim, mas essa rebelião nacional contra a corrupção teria um significado maior de representar a busca de uma vida pública, de um espaço público que não fosse apenas um instrumento ou o disfarce de um interesse privado. Essa rebelião só pode prosperar se ela encontrar o caminho das alternativas estruturais. Se não encontrar, ameaça perder-se num moralismo frustrado e frustrante."
