DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
26/02/2007,Sérgio Cabral,1,[...],
26/02/2007,Sérgio Cabral,2,Paulo Markun,"Boa noite. Ele é o governador proporcionalmente mais votado na eleição de segundo turno em 2006, e também conseguiu uma coisa inédita: a quase unanimidade de apoios políticos em sua campanha e uma aliança que, há tempos, não se via entre o estado e o governo federal. Mas, em contrapartida a todos esses apoios, tem pela frente talvez a mais dramática situação criada pela violência urbana no país. A banalização e a brutalidade do crime mais uma vez levaram o carioca,e todos os brasileiros, à comoção e à revolta, abrindo uma nova discussão sobre a legislação penal brasileira. Nosso convidado desta noite é Sérgio Cabral Filho, governador do Rio de Janeiro. Sérgio Cabral tem 16 anos de vida política, a maior parte no PSDB. Em 1999, ele se filiou ao PMDB e sua eleição como governador do Rio de Janeiro foi considerada uma vitória importante para a ala governista do partido. A aliança com o presidente Lula significa a única parceria do governo federal com um estado do Sudeste."
26/02/2007,Sérgio Cabral,3,[Comentarista],"Aos 43 anos, jornalista de formação, Sérgio de Oliveira Santos Filho, usa na vida política o mesmo nome do pai, Sérgio Cabral, também jornalista, além de escritor, produtor, crítico musical e três vezes vereador no Rio de Janeiro. Sérgio Cabral Filho, além do nome, herdou o lado político do pai. Aos 27 anos, em 1990, elegeu-se deputado estadual, sendo reeleito mais duas vezes até 2002, quando chegou ao Senado. Candidato ao governo do Rio pelo PMDB em 2006, foi surpreendido pela possibilidade de segundo turno quando as pesquisas davam sua vitória como certa em primeiro de outubro. Numa coligação com nove partidos, apoiando e recebendo apoio de Lula, Sérgio Cabral fez campanha procurando ficar longe de Anthony Garotinho, que se aliou a Geraldo Alckmin - ver entrevista com Alckmin no Roda Viva] e rachou ainda mais o PMDB fluminense. No final da crise interna e da apuração do segundo turno, vitória para Sérgio Cabral com 68% dos votos, e vitória para Lula que, ajudado por Cabral, levou 69% dos votos fluminenses, consolidando a aliança com o Rio. No dia da posse, no entanto, nem tudo foi festa. Sérgio Cabral precisou incluir no discurso um recado ao crime organizado que, no final do ano, aterrorizou a população atacando ônibus, delegacias e postos policiais. Dezenove pessoas morreram e 34 ficaram feridas. A ação mais cruel foi no dia 28 de dezembro, quando um ônibus da Viação Itapemirim foi incendiado e oito passageiros morreram carbonizados. Uma prova ainda maior da brutalidade veio este mês. Um roubo de carro na zona norte do Rio terminou com a morte bárbara do menino João Hélio Fernandes, de seis anos, que ao tentar sair do veículo, ficou preso pelo cinto de segurança e foi arrastado por sete quilômetros. No enterro do menino, comoção, revolta, cobranças e pedidos de penalidades mais duras para criminosos, mesmo menores de idade. Sérgio Cabral sugeriu um debate sobre a redução da maioridade penal. O assunto já é discutido no Congresso Nacional, onde a Câmara aprovou recentemente projetos de pena para condenados por crime hediondo, aumentando a punição para quem utilizar menores em crime e uso de celulares para presos. Sérgio Cabral ainda quer discutir a legalização de drogas. A idéia é que cada estado assuma a legislação penal, já que o crime tem tamanho e características diferentes em cada região do país. No Rio de Janeiro, a complexa rede do crime e corrupção revelou agora novos e peculiares personagens: os milicianos, grupos formados por policiais e ex-policiais que atuam contra bandidos e traficantes e que já dominam cerca de cem favelas da cidade. Cobrando taxa de segurança dos moradores, os paramilitares agem ilegalmente, exploram serviços clandestinos, como faziam os bandidos, e deixam claro que sua existência é resultado da ausência do Estado nas áreas em conflito."
26/02/2007,Sérgio Cabral,4,Paulo Markun,"E, para entrevistar o governador do Rio de Janeiro, Sérgio Cabral, nós convidamos: Ancelmo Gois, colunista do jornal O Globo e comentarista da TVE do Rio de Janeiro; Carlos Marchi, repórter e analista de política do O Estado de S. Paulo; Renata Lo Prete, editora da Folha de S.Paulo; Ana Carvalho, editora-chefe adjunta do Jornal do Brasil; Denise Rothenburg, colunista de política do Correio Braziliense; Dácio Malta, colunista de jornal O Dia; Mário Simas Filho, editor-chefe da revista IstoÉ. Temos também a participação de Paulo Caruso, registrando, em seus desenhos, os momentos e flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV para todo o Brasil. Para participar, o telefone é (11)3677-1310. Você também pode usar a internet, acessando o site do programa, que é www.tvcultura.com.br/rodavida. Boa noite, governador."
26/02/2007,Sérgio Cabral,5,Sérgio Cabral,"Boa noite, Paulo."
26/02/2007,Sérgio Cabral,6,Paulo Markun,Queria começar pelo seguinte: qual é a arma que o senhor tem para enfrentar o que chamam de crime organizado?
26/02/2007,Sérgio Cabral,7,Sérgio Cabral,"Olha Paulo, não há uma arma, não há uma bala, há uma série de ações que têm que ser realizadas em parceria com os poderes federal e municipal. É o que estamos fazendo. Exemplos práticos: no campo federal, a atuação com a Polícia Federal, com a Polícia Rodoviária Federal e o Gabinete de Gestão Integrada que nós implantamos no Rio, e que teve êxito no passado em Minas e também no Espírito Santo. Em São Paulo, após a crise de 2006, foi implementado com grandes resultados. Nós o implementamos há cerca de um mês e meio com a presença do Márcio Thomaz Bastos. Esse gabinete se reúne semanalmente. Eu participei da primeira reunião com o ministro, mas há uma rotina, isso gera camaradagem, uma troca de informações. Aí estão a Polícia Rodoviária Federal, Polícia Federal, as três Forças Armadas, a Abin, a Justiça do estado, o Ministério Público, as forças de segurança do estado e do município do Rio de Janeiro. Esse gabinete já tem dado grandes resultados, troca de informações, planejamento, a coisa está funcionando muito bem. Por outro lado, no aspecto municipal, o trânsito da cidade do Rio de Janeiro era de responsabilidade da Polícia Militar, com dois mil homens alocados para essa responsabilidade. Na série de convênios que assinamos com o prefeito César Maia, incluímos a municipalização da gestão do trânsito. Nós estamos repassando, região por região, a responsabilidade e vamos disponibilizar dois mil policiais que estavam no trânsito para o policiamento ostensivo. Outro aspecto importante é uma política junto com o governo federal na área de presídios. Precisamos aumentar o número de presídios do Rio de Janeiro, utilizar os presídios federais, nós já começamos a utilizá-los e vamos continuar. Outra questão muito importante é despolitizar a polícia, que estava muito politizada. Então, eu convidei para secretário de Segurança um delegado da Polícia Federal que comandava uma operação suporte no Rio de Janeiro nos últimos dois anos, o José Mariano Beltrano. Dei a ele “carta branca” para escolher o comandante da Polícia Militar, o chefe da Polícia Civil e os seus subordinados. Não houve interferência nenhuma no processo de escolha dos comandantes dos batalhões e das delegacias de polícia. Isso também motiva a tropa e a corporação. Além disso, ações que têm interface com segurança são importantes. Eu assumi um compromisso na campanha eleitoral que não usaria um tostão sequer da publicidade do estado para exaltação do governo. Não haverá anúncio de obra inaugurada ou qualquer ação do governo, toda a verba publicitária será utilizada para campanhas comunitárias, campanhas de conscientização. Nós vamos estrear agora, na quarta-feira, uma campanha sobre gravidez precoce. Nós pegamos uma menina que é hoje um hit parade brasileira, chamada Perlla. Ela será garota-propaganda de uma campanha. Tem 18 anos, vai falar aos corações das meninas da sua idade, da sua geração. Ela tem uma música chamada “Tremendo vacilão” e, com ela, levará a importância de se combater gravidez precoce, conscientizando as meninas."
26/02/2007,Sérgio Cabral,8,Carlos Marchi,"Governador, há pouco tempo, o senhor deu uma corajosa declaração falando em planejamento familiar. É um assunto do qual os políticos brasileiros geralmente fogem. Isso deve ser por pressão da Igreja e de vários setores da esquerda que não entendem bem o que seria o planejamento familiar. O senhor, agora, trouxe um exemplo disso, mas claro que uma política dessas dependeria muito mais do governo federal. O que o senhor diria que é uma política de planejamento familiar? Que medidas seriam eficazes nesse aspecto?"
26/02/2007,Sérgio Cabral,9,Sérgio Cabral,"Marchi, é um tema com enorme variáveis, mas vou te dar o exemplo ainda da gravidez precoce, número que me estarreceu: por ano, no Rio de Janeiro, 44 mil adolescentes ficam grávidas."
26/02/2007,Sérgio Cabral,10,Carlos Marchi,É evidente que a grande maioria é da faixa pobre.
26/02/2007,Sérgio Cabral,11,Sérgio Cabral,"A grande maioria. Mas você tem taxas na zona sul da cidade, na Tijuca, em Madureira, nos centros urbanos..."
26/02/2007,Sérgio Cabral,12,Denise Rothenburg,"O senhor acha que ainda dá para recuperar esses jovens na faixa de 15,16, 17 anos, uma geração que já está dedicada ao crime, vive do crime?"
26/02/2007,Sérgio Cabral,13,Sérgio Cabral,"Olha, Denise, eu acredito que sim, há experiências muito positivas. Eu tenho mantido permanente relacionamento, e vão sair aí uma série de ações em parceria, como por exemplo, com o grupo Afro Reggae. Em Belo Horizonte, o grupo teve uma experiência muito interessante, inclusive, na semana que vem eu vou a Belo Horizonte para conhecer a experiência do prefeito Fernando Pimentel na área urbanística e, também, com o governador Aécio Neves, conhecerei a experiência do grupo Afro Reggae com a Polícia Militar mineira. Quer dizer, trabalhando com a sociedade civil organizada, como o Viva Rio, com Afro Reggae, com a Cufa e com outras entidades voltadas para esses temas, usando instrumentos como cultura, educação, entretenimento, esporte e lazer, eu acredito que seja possível a gente ganhar essa guerra, que é uma guerra de coração e mentes, muito mais do que de bala."
26/02/2007,Sérgio Cabral,14,[...],
26/02/2007,Sérgio Cabral,15,[...],Uma política de segurança que vá além da polícia.
26/02/2007,Sérgio Cabral,16,Mário Simas Filho,Educação e saúde não têm que estar juntos?
26/02/2007,Sérgio Cabral,17,Sérgio Cabral,"Claro! É por isso que eu fiz questão de frisar que é uma ação não só policial, mas de inteligência. A integração é vital, Mário, é vital, é vital! Mas é também uma operação com entidades não-governamentais que trabalham em comunidades carentes, que têm credibilidade..."
26/02/2007,Sérgio Cabral,18,Ancelmo Gois,"Eu queria, governador, se me permite, discutir a questão da segurança e o papel do governo federal. Isso porque o Brasil vive uma questão de insegurança, e não é só o Rio. O ministro da Fazenda do Brasil ficou três horas refém em São Paulo. O Carnaval da Bahia atingiu índices de violência muito grandes. E, ao meu ver, é uma interpretação muito comum que a gente vê no Rio, já é uma tradição do governo federal a omissão a essa questão da segurança, se baseando no texto constitucional, que diz que o primeiro embate é o da esfera estadual. Mas, de qualquer forma, a questão de segurança atingiu um nível de calamidade tão grave e, como calamidade é um assunto constitucionalmente do governo federal, ele deveria se envolver mais. O senhor fala com grande entusiasmo da parceria com o Lula nessa área, mas o que eu vi no Rio é muito pouco, é uma meia dúzia de homens, não é aquela força toda que o Lula falou que ia mandar para lá. Enfim, também não participou ativamente. Quer dizer, o senhor está convencido que o Lula vai realmente inovar colocando a mão e enfrentando essa questão da segurança, ajudando os estados, e não só o Rio, a enfrentarem com mais dureza, com mais precisão, a questão da violência urbana no Brasil?"
26/02/2007,Sérgio Cabral,19,Sérgio Cabral,"Olha, estou convencido que sim. Primeiro, as primeiras ações do presidente Lula comigo, no Rio de Janeiro, foram de extrema parceria. No momento em que houve atentados antecedendo a minha posse, Lula se colocou à disposição, o secretário nacional de Segurança Pública e diretores de presídios federais estiveram comigo, mandamos os criminosos para Catanduvas. O presidente Lula, ao contrário dessa tradição, tem entrado na discussão. Tive a oportunidade de conversar com ele sobre isso. Ele me disse que está preparando um pacote para a área de segurança, e eu tive a oportunidade de sugerir ao presidente a criação de uma secretaria nacional de segurança pública. Quer dizer, hoje a responsabilidade da segurança pública está ligada ao Ministério da Justiça, e eu sugeri que criasse uma secretaria nacional com status de ministério, não vinculado ao ministério, mas com status de ministro, e levasse a Polícia Federal e a Polícia Rodoviária Federal para esse ministério, para essa secretaria. Eu acho que o Brasil está maduro para isso, o presidente está disposto a entrar nesse assunto com coragem."
26/02/2007,Sérgio Cabral,20,Renata Lo Prete,"Governador, queria fazer uma pergunta sobre a questão das milícias. Como fazer para remover as milícias das favelas sem que esse espaço seja total e imediatamente ocupado pelo tráfico?"
26/02/2007,Sérgio Cabral,21,Sérgio Cabral,"É, essa é a grande questão...Mas não podemos ter como referência uma ilegalidade versus outra ilegalidade. Porque, num primeiro momento, as milícias se oferecem como uma grande solução para o trabalhador que está ali na favela, refém de uma situação trágica, em que há criminosos do tráfico determinando qual a menina que eles vão namorar, como as coisas funcionam na favela, e tocando o terror. Há troca de tiros entre grupos e facções adversárias e, se entra a milícia, gera uma calmaria. E a gente está vendo agora que não é nada disso, é um controle paralelo, ilegal, que estabelece também a sua norma, a sua ordem, suas regras. O Estado, ausente, permitiu tudo isso. Então, nós estamos jogando duro nisso, Renata. Você pode estar certa de que o setor de inteligência da polícia está chegando duro, teremos novidades nos próximos dias, estamos operando para valer, vamos combater tanto o tráfico de drogas quanto as milícias. E levando esse questionamento: por que a polícia não está lá?"
26/02/2007,Sérgio Cabral,22,Paulo Markun,Mas a milícia não é a polícia?
26/02/2007,Sérgio Cabral,23,Denise Rothenburg,"É a questão da “banda podre”, né?"
26/02/2007,Sérgio Cabral,24,Sérgio Cabral,"É, por que a polícia não faz papel da milícia? Porque, evidentemente, a imagem dos milicianos...encapuzados, eles entram, é uma guerra, não tem nenhum tipo de controle do estado de direito democrático. E não é assim que nós queremos. Nós queremos enfrentar os criminosos, prendê-los. E, se numa troca de tiros, o bandido reagir, a polícia tem que atirar, mas é uma outra situação, uma outra situação. Quer dizer, a milícia tem uma outra conduta, que é a ilegalidade. Nós não podemos tolerar isso. Por isso é que a população, às vezes, questiona: “Por que a polícia não faz o que a milícia faz?”. É porque são condutas absolutamente diferentes. Agora, qual é a nossa proposta? Nós temos que fazer intervenções urbanas. A Colômbia tem dois exemplos bem-sucedidos e que estão gerando hoje uma crise política séria, quer dizer, é questão dos paramilitares..."
26/02/2007,Sérgio Cabral,25,Denise Rothenburg,Que teve milícia também.
26/02/2007,Sérgio Cabral,26,Sérgio Cabral,"Teve milícia também. A principal revista da Colômbia, há cerca de duas semanas, estampou na primeira página uma crise política do governo em função de uma certa leniência com a operação paramilitar. E não é isso que nós queremos. Por outro lado, a Colômbia tem experiências muito interessantes em urbanização, de valorização do policial e de uma nova organização da polícia nas ruas de Bogotá. Então, eu acho que, no caso do Rio de Janeiro, não é uma ação só polícia, há de se ter uma ação de intervenção urbanística, levar creches, levar escolas, porque o poder público não está nessas comunidades."
26/02/2007,Sérgio Cabral,27,[...],
26/02/2007,Sérgio Cabral,28,Sérgio Cabral,"O conceito é acessibilidade, que é tudo o que a comunidade da Rocinha queria, me pediu durante a campanha, é a remoção interna de moradores, vamos remover dois mil moradores da Rocinha para a mesma Rocinha, mas reconfigurando o layout da comunidade. Hoje você passa em frente a uma favela e disse assim: “Ali tem uma comunidade que você não entra”, porque ali é um terreno que é outra cidade. Assim não dá!"
26/02/2007,Sérgio Cabral,29,Dácio Malta,O senhor falou no início que uma das suas metas era despolitizar a polícia. E quem é que resolve isso? O principal suspeito de ter matado um investigador agora é um vereador do Rio de Janeiro.
26/02/2007,Sérgio Cabral,30,Sérgio Cabral,"Acho que isso tudo tem que ser objeto de investigação e “doa a quem doer”, quer dizer, não dá para tolerar político com mandato ou sem mandato envolvido com essa história. Eu acho que esse envolvimento, seja o candidato do tráfico ou o candidato da milícia, é muito ruim. O governo não deve tolerar isso. E é nessa linha que nós estamos atuando com o Ministério Público e com as forças federais. Posso te adiantar que temos trabalhado rigorosamente com a Polícia Federal nas investigações."
26/02/2007,Sérgio Cabral,31,Carlos Marchi,"Governador, eu queria que o senhor fizesse um diagnóstico de onde essa coisa começou. Tem gente, por exemplo, que diz que começou quando o Leonel Brizola proibiu a polícia de subir nos morros. Pode ter sido uma coisa importante, mas talvez não tenha mostrado tudo. Qual é o seu diagnóstico?"
