|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|21/02/2005|Simão Jatene|1|[Programa ao vivo, permitindo a participação de telespectadores]|
1|21/02/2005|Simão Jatene|2|Paulo Markun| Boa noite. O assassinato da freira americana e de mais quatro pessoas no Pará chamou a atenção do Brasil e, em boa medida, do mundo, para a violência sem limites na luta pela posse da terra. Uma luta que assusta não só pelo seu caráter sangrento, mas pela afronta ao estado de direito, ao poder público. Pistoleiros, posseiros, grileiros, fazendeiros, invasores de terra se misturam e se enfrentam numa aventura que revela um outro Brasil, comandado pelo crime e pela exploração irresponsável de recursos naturais. Este é o tema do Roda Viva desta noite que entrevista Simão Jatene, governador do Pará, o estado que tem vivido de maneira mais aguda a devastação de florestas e os problemas da violência no campo.
2|21/02/2005|Simão Jatene|3|[Comentarista]| Economista, 53 anos, Simão Jatene elegeu-se governador do Pará, pelo PSDB, em 2002, sucedendo o governador Almir Gabriel  de quem foi secretário da Produção. Especialista em desenvolvimento regional, tem participado desde o governo anterior dos principais programas de desenvolvimento do turismo, da mineração e da agricultura no Pará. Segundo maior estado brasileiro, só perde para a Amazônia, o Pará também tem uma história econômica montada no extrativismo. Começou com a exploração da borracha no começo do século XX; mais tarde veio a mineração de ferro em Carajás, ouro em Serra Pelada e, mais recentemente, a exploração da madeira. O Pará tornou-se líder da atividade madeireira no país, respondendo por dois terços da produção nacional. A atividade que cresceu de maneira desordenada e em grande parte de forma clandestina atraiu exploradores de todos os lados, da mesma forma que o sonho de encontrar emprego ou terra barata e recursos naturais para explorar, atraindo gente de todos os cantos. A disputa pela terra e a busca de riqueza criaram enfrentamentos entre esses novos personagens da floresta: madeireiros, grileiros, fazendeiros e posseiros. Os madeireiros agem em geral em terras que não pertencem a eles; os grileiros ocupam terras da União e com o tempo vendem as terras como se eles fossem os donos. Os posseiros agem para defender as terras que compraram de grileiros ou que tomaram posse para um dia reivindicar a propriedade. E os fazendeiros, com títulos legais ou não de terras, procuram se defender dos invasores. Em 2002, o Instituto da Terra do Pará calculou que quase a metade do estado já estava grilada, e o Ministério Público Estadual já investigava o envolvimento de autoridades e cartórios na emissão de títulos de posse fraudulentos. Confusão, disputa, conflito, corrupção, ausência do Estado e impunidade. A violência na floresta, como em outras áreas rurais do país, cresceu e ganhou destaque internacional a cada episódio de maior repercussão. Foi assim com o assassinato do líder seringueiro Chico Mendes em 1988, a morte de 19 trabalhadores sem-terra em conflito com a polícia em Eldorado dos Carajás em 1996, e agora com o assassinato da freira norte-americana Dorothy Stang em Anapu . Nascida nos Estados Unidos e naturalizada brasileira, a freira trabalhava na região há mais de trinta anos. Participava do PDS, Projeto de Desenvolvimento Sustentável, criado pelo movimento social e ambiental para apoiar a agricultura familiar. Dorothy Stang já havia alertado o governo federal sobre as tensões e ameaças de morte na região. O PDS Esperança, onde ela atuava, era uma área reconhecida pelo Incra , e ocupada por quatrocentas famílias. O assassinato da freira, seguido da morte de um trabalhador e três sindicalistas, reabriu o velho debate da violência e da impunidade no campo. Parlamentares da CPI da Terra denunciaram ao vice-presidente José Alencar o descontrole no Pará que, segundo a comissão, vive uma situação de guerra civil rural, e onde a indústria da pistolagem atingiu níveis alarmantes. A Comissão Pastoral da Terra acusou o governo de omissão e divulgou que há uma lista de mais de 150 pessoas ameaçadas de morte nas áreas de conflito no Pará. O governo federal reagiu com um pacote de medidas. Enviou dois mil soldados do Exército para ajudar a expulsar grileiros e madeireiros ilegais e controlar a ordem pública na região. Também decidiu montar um gabinete de crise no Pará, investigar as ameaças de morte e criar novas reservas ambientais: uma área extrativista e duas florestas nacionais. Na região onde a missionária foi assassinada, criou uma estação ecológica e um parque nacional; e interditou, por seis meses, oito milhões de hectares às margens da BR 163. Também planeja assentar imediatamente quinhentas famílias para reduzir a tensão em Anapu e na chamada Terra do Meio, outra área que tem projetos de proteção e pode se tornar alvo de novos conflitos. De seu lado, o governador Simão Jatene quer aprovar na Assembléia o Plano de Zoneamento Ecológico Econômico para pacificar os bolsões de violência. O zoneamento acaba com a expectativa de direito futuro, que hoje alimenta a grilagem e a violência.
3|21/02/2005|Simão Jatene|4|Paulo Markun| Para entrevistar o governador Simão Jatene, nós convidamos Roldão Arruda, repórter da editoria de política do jornal O Estado de S. Paulo; Rui Nogueira, diretor do site e da revista Primeira Leitura; Tereza Cruvinel, colunista de política do jornal O Globo; Adriana Ramos, coordenadora de políticas do Instituto Socioambiental e representante nacional das entidades ambientalistas no Conama, Conselho Nacional do Meio Ambiente; Júlio Veríssimo, coordenador da agência Folha, do jornal Folha de S.Paulo; e Maria Zulmira de Souza, coordenadora do quadro Biodiversidade Brasil do programa Repórter Eco da TV Cultura. Aqui no nosso estúdio acompanham a entrevista em nossa platéia os seguintes convidados: Inês Zanchetta, jornalista do Instituto Socioambiental; Bruno Konder Comparato, doutorando em ciência política pela USP; Juana Kweitel, advogada e coordenadora do projeto da ONG Conectas Direitos Humanos; Cristina Bodas, assessora de imprensa da ONG Greenpeace; Frank Guggenheim, diretor executivo da Greenpeace Brasil; Euclides Farias, assessor de imprensa do gabinete de governo do estado do Pará, e Orly Bezerra, assessor especial do governador Simão Jatene. Como sempre, todas as perguntas que não forem formuladas serão encaminhadas para o governador para que ele possa respondê-las posteriormente se assim o desejar. Boa noite, governador.
4|21/02/2005|Simão Jatene|5|Simão Jatene| Boa noite.
5|21/02/2005|Simão Jatene|6|Paulo Markun| Eu queria comentar com o senhor uma notícia que está, agora neste momento, nas agências de notícias e que diz o seguinte: “O juiz Lauro Alexandrino, da Comarca de Pacajá, no sudoeste do Pará, revogou nesta noite de segunda-feira o decreto que transformava em segredo de Justiça o inquérito policial sobre o assassinato da missionária. Esse decreto, que estabelecia segredo de Justiça foi feito a pedido do promotor de justiça Fábio Brabo de Araújo, do Ministério Público Estadual”. E a notícia comenta que a partir de agora, a polícia tem ainda prerrogativa de manter o segredo de Justiça, mas não tem mais a desculpa ou a justificativa de que isso foi feito por decisão judicial. Como ele tinha tomado essa decisão hoje e voltou atrás, eu queria perguntar, em primeiro lugar, como o senhor encara essa decisão e se o senhor acha que a polícia vai manter o segredo de Justiça e por que segredo de Justiça num processo como esse?
6|21/02/2005|Simão Jatene|7|Simão Jatene| Boa noite. Eu acho que antes de tudo é importante recuperar um fato. O Pará, mais uma vez, sofre com o fato deste país, nos seus cinco séculos, não ter enfrentado algumas questões básicas como, por exemplo, a questão agrária. O importante, que é uma questão do segredo de Justiça, é que as informações que se dispunham terminavam contribuindo muito mais para tumultuar o cenário do que para ajudar. Em função disso, nós tivemos ainda hoje de manhã, uma reunião com a Polícia Federal, uma reunião com o comandante do Exército lá no estado, onde a decisão foi conjunta diante das informações que se dispunham. E que, inclusive, o elemento que foi preso por identificação de ser o pistoleiro estava falando coisas que não pareciam ter consistência, mas que tinham sim o poder de complicar ou de tumultuar a investigação. Foi exatamente em função disso que, por uma decisão conjunta, e eu insisto nisso, o governo do estado, o governo federal através da Polícia Federal, através do Exército Brasileiro, se julgou que era conveniente manter, até que se esclarecesse um pouco mais a declaração desse senhor, sob segredo de Justiça. Foi exatamente isso.
7|21/02/2005|Simão Jatene|8|Paulo Markun| Ou seja, se eu entendi, o senhor acha que a polícia vai manter o segredo de Justiça?
8|21/02/2005|Simão Jatene|9|Simão Jatene| A não ser que se tenham fatos novos, com as informações de que dispunham, eu acho que sim. E insisto nisto: não é uma decisão da polícia do Pará. É uma decisão tomada em conjunto com a Polícia Federal e em conjunto com o Exército Brasileiro que, sem dúvida alguma, poderia levar muito mais a dificultar a investigação do que efetivamente apurá-la. O que é importante nesse período? Foi preso já o elemento conhecido como Fogoió, que é exatamente quem está dando essas declarações e que aí foi identificado como quem atirou na irmã . E tem também já preso o Tato , que é considerado um dos mandantes. Ele trouxe uma outra história que, aparentemente, pela avaliação tanto da Polícia Federal quanto das polícias Civil e Militar do estado, não tinha consistência, mas teria o objetivo de dificultar a investigação. Tanto que, inclusive antes de sair para cá, eu tive a informação de que ele já estava mudando sua declaração. Ele inicialmente chegou falando de envolvimento de movimentos sociais e tudo mais, como se ele estivesse inclusive a serviço de determinados grupos sociais. Então é exatamente isso que, na nossa avaliação, a esta altura, não ajuda.
9|21/02/2005|Simão Jatene|10|Paulo Markun| Há uma declaração, inclusive, governador, da Folha Online, uma reportagem de Tathiana Barbar, dizendo que o Fogoió, que é Raifran das Neves Sales, teria incluído entre os mandantes do crime, ou citado como um mandante do crime, um candidato a vice-prefeito derrotado nas últimas eleições. E a fonte que essa jornalista apresenta é a assessoria do governo do estado. O senhor tem essa informação?
