DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
08/10/2001,Steve Ballmer,1,Heródoto Barbeiro,"Boa noite. Ele comanda o maior fabricante de programas para computador do mundo. Tornou-se presidente da empresa que já revolucionou o mercado de computadores pessoais para que seu fundador pudesse pensar em uma outra revolução, de olho no futuro da informática. Para discutir que futuro é esse e o que muda na utilização dos computadores e também da internet e como isso pode refletir no Brasil, o Roda Viva de hoje entrevista o presidente da Microsoft, Steve Ballmer, o executivo que assumiu o lugar de Bill Gates na direção da empresa. Para entrevistar o presidente da Microsoft, Steve Ballmer, nós convidamos: o jornalista Ethevaldo Siqueira, especializado na área de telecomunicações e colunista do jornal O Estado de S. Paulo; Paulo Henrique Amorim, do programa Conversa Afiada, da TV Cultura de São Paulo; Hélio Gurovitz, diretor de redação da revista Negócios e Exame; Ivan Martins, diretor executivo da revista Dinheiro; Stephen Kanitz, articulista da revista Veja; Cora Rónai, editora de informática do jornal O Globo e o engenheiro de computação Tadao Takarashi, coordenador do programa Sociedade da Informação do Brasil, do ministério da Ciência e Tecnologia. Nós vamos, portanto, entrevistar hoje o Steve Ballmer. Obrigado por vir."
08/10/2001,Steve Ballmer,2,Steve Ballmer,Obrigado.
08/10/2001,Steve Ballmer,3,Heródoto Barbeiro,"A primeira pergunta que eu gostaria de fazer ao senhor: qual é a importância, na opinião do senhor, da informática para essa nova estruturação econômica do mundo que alguns chamam de globalização?"
08/10/2001,Steve Ballmer,4,Steve Ballmer,"Com certeza, o computador, a internet e a indústria da tecnologia de informação tiveram papéis importantes. Um deles foi aumentar a produtividade dos indivíduos e empresários no mundo todo. Considero isso um grande boom. Em qualquer lugar do mundo as pessoas falam sobre o aumento de produtividade, sobretudo na prestação de serviços ou para indivíduos e pequenas empresas. É muito animador. Outro aspecto foi o aumento de empregos e da economia dentro da própria indústria da tecnologia de informação. Nos EUA, no Japão, na Índia ou no Brasil, vimos esse fenômeno, a grande criação de empregos, gente trabalhando nesse setor no mundo inteiro. Além disso, temos uma rede global incrível, a internet, que faz a informação e as tecnologias viajarem rapidamente pelo mundo. Então, o mundo todo está muito mais unido e está se beneficiando desses eventos."
08/10/2001,Steve Ballmer,5,Heródoto Barbeiro,Paulo Henrique.
08/10/2001,Steve Ballmer,6,Paulo Henrique Amorim,"Senhor Ballmer, fazendo um follow up da pergunta do Heródoto, sobre o que a computação tem a ver com o futuro e com essa globalização, uma declaração que o senhor deu aqui e que provocou, evidentemente, repercussão, foi o fato de o senhor dizer que, na sua opinião, na opinião da Microsoft, o Brasil tem um potencial de crescimento maior do que qualquer outro país. Como é que o senhor compararia... Por que o senhor diz isso? E se nós levarmos em consideração países emergentes tão fortes quanto, por exemplo, a Índia e a China? Como o senhor compara o Brasil a essas duas economias emergentes?"
08/10/2001,Steve Ballmer,7,Steve Ballmer,"Com certeza, vemos potencial nos maiores mercados do mundo. O que me espantou nos últimos 4 ou 5 anos foi que, sob a perspectiva dos computadores pessoais, não só acreditei no grande potencial do Brasil, por causa da população numerosa e da economia, mas também vi um grande aumento no Brasil na aquisição de PCs. O mercado brasileiro é uma vez e meia ou duas vezes, talvez até duas vezes e meia, maior que o mercado de PCs na Índia, por exemplo. Na comparação com a China, apesar da pirataria no Brasil, ela aumentou demais naquele país. Então, além do aumento no mercado de PCs, o Brasil também evoluiu no mercado de software, coisa que não aconteceu na China. São esses os três grandes mercados, até que alguma coisa mude rapidamente na Rússia, talvez."
08/10/2001,Steve Ballmer,8,Heródoto Barbeiro,Ethevaldo Siqueira.
08/10/2001,Steve Ballmer,9,Ethevaldo Siqueira,"A minha pergunta é com relação à tecnologia. O senhor falou do papel da informática na globalização. Como o senhor vê esta convergência, que é bem maior que a própria informática... quando nós somamos informática, telecomunicações, microeletrônica, multimídia? E qual é o seu conceito de convergência?"
08/10/2001,Steve Ballmer,10,Steve Ballmer,"Há dois aspectos com relação à convergência e quero esclarecê-los. Um deles é: será que as tecnologias que sustentam TV, mídia, computadores e celulares vão ter a mesma plataforma de tecnologia? Assim, as pessoas criativas de todos esses ramos poderiam usufruir o trabalho umas das outras? A resposta a essa pergunta é: sim, com certeza. Claro. Dito isso, será que haverá uma única experiência no mundo do ponto de vista do consumidor? Claro que não. Às vezes, quero sentar diante da TV, não quero ter muito trabalho, talvez queira usar o controle remoto. Às vezes, quero me sentar diante do computador para fazer pesquisa ou planejamento financeiro e às vezes estou em algum lugar para onde não posso levar um computador, mas tenho o meu aparelho de bolso no meu bolso. Acho que haverá convergência de tecnologias e acho que vamos continuar vendo pelo menos três diferentes tipos de uso para tecnologias de informação e telecomunicações."
08/10/2001,Steve Ballmer,11,Heródoto Barbeiro,"Ivan, por favor."
08/10/2001,Steve Ballmer,12,Ivan Martins,"A sede da Microsoft é em Seattle. O senhor certamente acompanhou as manifestações que ocorreram na cidade quando houve a reunião da Organização Mundial do Comércio. E eu queria perguntar: o senhor, como presidente de uma das companhias mais importantes e mais influentes do mundo, possui qual visão a respeito desses jovens que no mundo inteiro criticam a globalização? Eles criticam, sobretudo, a prática das empresas multinacionais, a maneira como essas empresas estão ocupando o mercado, dispondo dos recursos econômicos e, de uma certa maneira, do futuro das pessoas."
08/10/2001,Steve Ballmer,13,Steve Ballmer,"Acho importante avaliar e respeitar as opiniões de várias pessoas, inclusive dos jovens, que têm uma visão diferente da minha. O que eu considero inevitável é que, de várias formas, não só é eficaz ser globalizado, e muitos concordam com isso. Mas, além de ser economicamente eficaz, é realmente inevitável. Mesmo o fenômeno das manifestações e protestos durante a reunião da OMC, em Seattle, foi globalizado. Foi incrível, porque, além de haver um problema, ele se espalhou instantaneamente pelo mundo e as pessoas que foram participar eram globais por natureza. Também aconteceu em Gênova. Respeito a opinião das pessoas, mas acho que essa tendência é facilitada pela tecnologia. A tecnologia da internet, da telecomunicação, da mídia garante que tudo o que acontece se manifeste de forma global."
08/10/2001,Steve Ballmer,14,Heródoto Barbeiro,Hélio Gurovitz.
08/10/2001,Steve Ballmer,15,Hélio Gurovitz,"Eu gostaria de fazer uma pergunta a respeito da Microsoft e do que a empresa pretende fazer em relação ao Brasil. A empresa tem sido uma das subsidiárias mais bem-sucedidas no mundo todo. Recentemente, inclusive, o presidente da filial brasileira foi promovido por causa disso. Agora, em contrapartida, embora a gente veja muito software da Microsoft, a gente use o software da Microsoft, a gente não vê desenvolvimento, a gente não vê pesquisa, a gente não vê a criação de uma pegada mais firme no Brasil. Eu gostaria de saber se a empresa tem a intenção de investir em pesquisa e desenvolvimento no Brasil. E, se é verdade que nós somos um dos países mais promissores no mundo do software, se isso não faz sentido do ponto de vista do negócio."
08/10/2001,Steve Ballmer,16,Steve Ballmer,"Você fez perguntas muito boas, que já me fizeram em vários países do mundo. A Microsoft faz 96% de toda pesquisa e desenvolvimento (p&d) em lugares dos quais dá para ir a pé ao escritório do Bill Gates. Isso tem um certo atrativo. Acreditamos na comunicação eletrônica, mas também gostamos do contato pessoal. Não temos nada contra outros lugares, mas gostamos de centralizar o departamento de p&d. Fazemos parte desse trabalho na Califórnia, porque compramos algumas empresas lá e também estamos começando bem devagar em alguns outros países. Na Índia, por causa das tendências do mercado, em Israel. Mas nosso centro de p&d é em Seattle até criarmos estratégias que nos permitam deslocar esse setor de Seattle. A questão não é se gostamos ou não do Brasil. Gostamos, mas não vamos pensar nisso. Quando pensarmos em tirar esse setor de Seattle, o Brasil será um bom lugar."
08/10/2001,Steve Ballmer,17,Heródoto Barbeiro,Tadao.
08/10/2001,Steve Ballmer,18,Tadao Takarashi,"Em conexão, inclusive, com a idéia de que a Microsoft um dia venha a distribuir as tarefas de desenvolvimento, mas num cenário mais amplo, a minha pergunta é a seguinte: olhando para 2005... o que é a Microsoft em 2005, segundo dois aspectos: a tecnologia que ela detém e o modelo de negócios? Por exemplo: no caso de tecnologia, se fala em novos tipos de interfaces, processamento de linguagem natural e assim por diante. E do ponto de vista do modelo de negócio é: como é que a Microsoft está gerando receita e como é que ela se relaciona com o mercado?"
08/10/2001,Steve Ballmer,19,Steve Ballmer,"Com relação à tecnologia para 2005, há duas mudanças que mais empolgam as empresas. Uma é, como você mencionou, tornar a interação do usuário com a máquina muito mais natural. Quando trabalho com a minha máquina, será que eu preciso mesmo saber tantos comandos, preciso saber digitar e conhecer o teclado? Será que preciso ter algumas dessas habilidades? Mas o computador reconhecerá nossa voz, nosso rosto, reagirá aos nossos comandos. Em vez de dizer “arquivo” e “abrir”, posso apenas pedir anotações da minha última viagem ao Brasil. O computador deverá estar apto a responder a isso em 2005, pelo menos em parte... ele deverá estar apto a isso. Estamos animados com essa interação mais natural, que inclui linguagem natural e outras tecnologias. Essa é uma mudança importante. Uma outra mudança que espero para 2005 é ver a revolução XML totalmente implementada. Trata-se de uma linguagem, como vocês sabem, que tem padrão aberto dentro da internet e que achamos que será a língua franca da rede, permitindo que computadores, programas, websites e pessoas integrem seu trabalho de maneira diferente. Isso vai dar ao usuário uma visão mais pessoal da rede. A minha homepage e não a da MSN, ou qualquer outra, a da Abril. Mas a minha homepage pessoal, eu vou poder ver com essas tecnologias. Minha agenda, a da minha esposa, que às vezes é mais importante que a minha, meus e-mails, resultados de vendas, tudo junto. Essa tecnologia de integração será o equivalente do clipboard na internet e será muito importante. Há ainda uma terceira mudança tecnológica, que vai acontecer por causa da internet: é a evolução do software com serviço. Hoje, você compra um software, recebe um CD e tem bastante trabalho com isso. Em 2005, o software deverá ser auto-suficiente. Ele deverá se instalar pela internet. Deverá se atualizar e fazer backup, tudo sozinho. Ele deve ajudar o usuário nas funções importantes e deve ajudar a compartilhar dados. São três mudanças em tecnologia. Em termos de negócios, são duas as grandes mudanças. A primeira é que vamos iniciar novos negócios. Muito nos vêem como a empresa do Windows e do Office e, hoje, essa é a maior parte do nosso negócio. Estamos criando servidores em empresas pequenas e também em grandes corporações. O retorno será de quase US$ 4 bilhões. É substancial. Estamos investindo numa rede de serviços. Através da MSN, também investimos em pequenas empresas. No Brasil ainda não, mas chegaremos ainda este ano. Por último, mas não menos importante, como eu disse numa outra resposta, acreditamos que devemos criar softwares utilizáveis em equipamentos móveis e TVs, criando uma plataforma comum de tecnologia. Novos negócios são uma forma de ampliar receita e, além disso, esperamos ver, talvez não em 2005, mas nos próximos 5 ou 6 anos, uma transição. Com o software se transformando em serviço, tecnologicamente vamos chegar a um ponto em que ele virá por meio da assinatura de um serviço e não da aquisição de um pacote como é hoje."
08/10/2001,Steve Ballmer,20,Heródoto Barbeiro,Cora.
08/10/2001,Steve Ballmer,21,Cora Rónai,"Eu queria voltar a dois conceitos que foram abordados aqui antes. Um é a globalização e o outro a pirataria. Quando se fala em globalização, se fala muito também em exclusão digital. Aliás, esse foi um conceito a respeito do qual o senhor conversou com o presidente Fernando Henrique Cardoso. E o que eu tenho a perguntar é o seguinte: tendo em vista que a gente ficou sabendo pelos jornais que a Microsoft está preocupada com a questão da exclusão digital, eu pergunto... e também com a coisa da pirataria, naturalmente, se não seria uma boa medida para combater isso repensar os preços que a Microsoft pratica no Brasil. Eu estive vendo a lista de preços. Hoje, compra-se um Windows 2000, que é um sistema operacional defasado como nós sabemos, porque vem o XP, por R$600,00. Isso equivale a 3 e poucos salários mínimos brasileiros. Um Office XP Standard, que é o que qualquer pessoa precisa para trabalhar dentro desse ambiente... bom, vamos usar a palavra monopolizado, pela Microsoft, do desktop, custa R$980,00, o que equivale a 5,4 salários mínimos brasileiros. Não seria uma boa a gente começar a pensar na exclusão digital por aí?"
08/10/2001,Steve Ballmer,22,Steve Ballmer,"Tenho duas coisas a dizer. É uma boa pergunta. Nós passamos muitas horas tratando dessa questão não apenas no Brasil, mas em países até bem menos afluentes. Fizemos testes, estudamos muito essa questão e há duas coisas a dizer. A primeira é que os preços de software e hardware, um em relação ao outro, são bem constantes em todo o mundo, Brasil, Estados Unidos, Índia. O preço relativo é bastante constante mundo afora. Sempre me pergunto por que o software deveria ser barato se o hardware não é barato em alguns países. Essa é uma questão..."
08/10/2001,Steve Ballmer,23,Cora Rónai,"Porque o senhor não faz upgrade tão freqüentemente do hardware. O software vem com mais bugs e a gente, a toda hora, tem que fazer correções do software, que não são correções, a gente sabe, são vendidas como upgrades. Desculpe."
