DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
04/04/2005,Tom Zé,1,Paulo Markun,"Boa noite! Ele se decidiu pela carreira musical depois de descobrir que não conseguia fazer música bonita para a namorada e, também, de abandonar a carreira de repórter. Um dos fundadores da Tropicália, certamente o mais irônico, irreverente e provocador, ele faz uma música nem sempre fácil de ouvir, mas é um dos mais criativos, originais e surpreendentes músicos do Brasil - que se tornou, também, referência da cultura brasileira no exterior. No centro do Roda Viva, esta noite, o compositor e cantor baiano Tom Zé, que, aos 68 - e 45 de carreira -, está estudando o pagode e reconquistando jovens."
04/04/2005,Tom Zé,2,[...],
04/04/2005,Tom Zé,3,Valéria Grillo,"Antônio José Santana Martins chegou a São Paulo na fervura cultural dos anos 60. Tinha saído de Irará, no sertão da Bahia, onde nasceu, e, mais tarde, trabalhou na loja de tecidos do pai. Vinha de Salvador, da Faculdade de Música da Universidade Federal da Bahia, onde teve uma formação musical erudita que extrapolava a baianidade. Talvez por isso fosse o mais cosmopolita do grupo baiano encabeçado por Gil e Caetano, além de ser o mais velho deles. Sua primeira música, primeiro lugar no Festival da Record de 1968, foi uma declaração de amor à cidade que ele adotou logo que chegou."
04/04/2005,Tom Zé,4,Tom Zé,"“São São Paulo meu amor / são oito milhões de habitantes / De todo o canto e nação / Que se agridem cortesmente / Correndo a todo vapor / Porém, com todo o defeito / Te carrego no meu peito.”"
04/04/2005,Tom Zé,5,Valéria Grillo,"Com São Paulo no peito e pouco dinheiro no bolso, foi morar na pensão do seu Freitas, na rua Conselheiro Botero, 1057, entre a Barra Funda e Santa Cecília. Um quartinho do fundo, o mais barato, com uma janela que só tinha vista para um telhado sem graça, acanhadinho, né, Tom Zé?"
04/04/2005,Tom Zé,6,Tom Zé,"Era uma paisagem acanhada, mas eu fazia de conta que era um telhado bonito."
04/04/2005,Tom Zé,7,Valéria Grillo,"Bonito, mesmo, ficou o jardim do prédio onde foi morar depois, durante trinta anos, no bairro de Perdizes. Ele mesmo cuidava da grama e das plantas, de comum acordo com o condomínio: uma terapia e um pouco de volta às origens de Irará, onde a vida sempre foi ligada à terra. Mesmo depois de se mudar para um prédio vizinho, Tom Zé continuou a cuidar do jardim, jardim alheio, gastando do bolso mais do que o salário mínimo que recebia do síndico para manter as plantas e comprar novas mudas. A atividade de jardineiro e as apresentações em universidades ajudaram Tom Zé a enfrentar os 15 anos de ostracismo que viveu entre 1973 e 1988. Na fase inicial da carreira, chegou a produzir quatro discos. Com alguns trabalhos mal recebidos pelo público e pela crítica, perdeu espaço no mercado e acabou esquecido pela Tropicália. Chegou a pensar em voltar a Irará e trabalhar com um primo em um posto de gasolina. Mas foi descoberto pelo astro do rock David Byrne, do Talking Heads. Em 1986, em uma viagem ao Rio de Janeiro, o roqueiro Byrne comprou um pacote de discos de samba em uma liquidação e entre eles, acidentalmente, tinha um do Tom Zé. A sorte bateu na porta. Chamado a Nova Iorque, o esquecido tropicalista acabou mostrando nos Estados Unidos a música inventiva e irrequieta que seduziu o líder do Talking Heads. Relançou discos, agradou crítica e público, fez turnês que se estenderam, depois, à Inglaterra e à França. Pode-se dizer: um sucesso internacional, uma nova referência da cultura brasileira no exterior. E, assim, o Brasil redescobriu Tom Zé, que retomou carreira e fez crescer a sua discografia. Um infarto após um festival de rock em Olinda, em 2002, quase atrapalhou, mas uma angioplastia refez o estrago no coração. Só as dores da alma permaneceram e continuam se manifestando na poesia aguda e no jogo de palavras em canções criadas para provocar, denunciar e protestar."
04/04/2005,Tom Zé,8,Tom Zé,"“Se você já sabe / Quem vendeu / Aquela bomba para o Iraque, / Desembuche: / Eu desconfio que foi o Bush.”"
04/04/2005,Tom Zé,9,Valéria Grillo,"Agora, ele protesta contra a segregação da mulher."
04/04/2005,Tom Zé,10,Tom Zé,"“Dizia meu avô: mulher assim é o diabo, é o demônio, é um pecado!”"
04/04/2005,Tom Zé,11,Valéria Grillo,"O novo CD é uma investigação sobre o pagode, com enredo feminino e supervisão de dois jovens para evitar que ele complicasse demais as músicas."
04/04/2005,Tom Zé,12,Tom Zé,"Tanto o Pedro quanto a Fernanda são meus amigos e vizinhos. Eu instituí com eles a combinação deles me proibirem de fazer a música difícil, para eu não ficar muito fazendo a elucubração."
04/04/2005,Tom Zé,13,Valéria Grillo,Tom Zé define o CD como uma opereta dramática que traz uma crítica ao homem e que reverencia e defende a mulher da velha opressão criada pela dominação masculina.
04/04/2005,Tom Zé,14,Tom Zé,"“O macho pela vida, se válida a molestar a mulher, se diverte, apavorada ela, que se pela, pouco pára de pé e padece...”"
04/04/2005,Tom Zé,15,[...],
04/04/2005,Tom Zé,16,Paulo Markun,"Para entrevistar Tom Zé, nós convidamos: Flávia Guerra, repórter do “Caderno Dois” do jornal O Estado de S. Paulo; Júlio Medaglia, maestro e responsável pelo programa Temas e variações da Rádio Cultura FM; Maria Amélia Rocha Lopes, jornalista e crítica de música; Tárik de Souza, crítico de música do Jornal do Brasil; Carlos Calado, jornalista, crítico de música e colaborador dos jornais Folha de S. Paulo e Valor Econômico; e Patrícia Palumbo, jornalista e apresentadora do programa Vozes do Brasil na Rádio Eldorado de São Paulo. O programa está também sendo acompanhado por vários convidados aqui em nossa platéia. Como você sabe, o Roda Viva é transmitido em rede nacional de tevê para todo o Brasil. Para participar, você pode fazer perguntas, críticas e sugestões pelo (011) 3252-6525, repetindo, (011) 3252-6525, ou pelo fax 3874-3454, ou ainda pelo endereço eletrônico do programa, que é rodaviva@tvcultura.com.br. Tom Zé, você bagunçou o coreto, aí! Virou uma salada, zoneou todo o cenário do nosso Aguilar, tudo que estava arrumadinho, fez um salseiro! O que é isso?"
04/04/2005,Tom Zé,17,Tom Zé,"Essa idéia toda é o trabalho do... a Trama tem um departamento de moda que a Malu, a Emanuela Carvalho, dirige e ela fez essa roupa linda de esmoler para mim, que é a situação em que o homem está hoje diante da mulher, não é?"
04/04/2005,Tom Zé,18,Paulo Markun,"Bom, mas se o homem está assim, a mulher está como?"
04/04/2005,Tom Zé,19,Tom Zé,"A mulher, no nosso show, está como a Suzana está hoje aqui: está bem vestida. O homem é que está na desgraça."
04/04/2005,Tom Zé,20,Paulo Markun,"Isso, você acha que - pulando um pouco da piada para a seriedade -, você acha que é fato? A situação da mulher é essa? O que a gente vê nas estatísticas e na realidade é o contrário: a mulher ganha menos, é discriminada, é segregada. Você acha que, ainda assim, o esmoler é o homem?"
04/04/2005,Tom Zé,21,Tom Zé,"O mundo está cheio desses segredos e dessas inversões. Na verdade, se trata do seguinte: a gente pensa que a gente tem o dinheiro, a gente pensa que a gente tem o poder; a gente conquista ou pela beleza, pelo charme, ou pela conta bancária, ou pelo casamento; conquista, ela vai lá, tira a roupa para você na cama, abre as pernas para você na cama. Mas aí vem onde está o mais importante: não abre o coração, porque ela não tem mais confiança. Depois de maltratada durante séculos e séculos, ela não tem mais confiança nesse inimigo em potencial. E, quando a mulher não abre o coração, tudo o mais é solidão, é uma tristeza mortal, é um desamparo em que o homem fica que é muito pior do que o que estou vestindo. O que eu estou vestindo é um símbolo bobo da tragédia da criatura masculina. Tanto, que é por isso que eu digo: este disco não é feminista, mulher não precisa de diabo de favor nenhum. Mulher já tem Dia das Mães, Dia da Sogra, Dia da Tia, Dia da Avó, Dia da Namorada, dia de não sei o quê; mulher já tem tudo, ela está cansada... E tudo isso é só para passar a mão na cabeça para no outro dia mandar a mão no rabo e “toma-lhe aí, filha da mãe, que tu não vale nada” e tal, que é o não-verbal das classes sociais mais finas e menos finas. Está sempre a mulher sendo agredida, violenta ou levemente. Ela pode levar para a Delegacia da Mulher ou não, mas ela só está tomando bucha."
04/04/2005,Tom Zé,22,Paulo Markun,"E o pagode não é a principal maneira de aplicar a bucha na mulher no que toca na música? O pagode, o ritmo do pagode...?"
04/04/2005,Tom Zé,23,Tom Zé,"E o pagode... Sim, correto, muito bem, perfeitamente! O pagode é, ao mesmo tempo, uma criatura tão segregada atualmente quanto a mulher. É claro que eu falo não é do gênero, que é realmente uma coisa, uma diluição trágica e tal, mas o que eu falo é que nós somos um povo... que nós temos que nos convencer de que nós temos 10% de ricos e 90% de pobres. E as últimas classes de pobres recebem de informação o menos possível, inclusive com uma cultura de massa desgraçada. E o que esse pessoal pode produzir? Bom, isso é a metade da pergunta; a outra, desculpe...?"
04/04/2005,Tom Zé,24,Paulo Markun,"Sim, se esse ritmo, que tem toda essa coisa da subalternidade, não acaba fazendo a apologia da mulher submissa."
