|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|29/09/2008|Wagner Moura|1|[programa ao vivo, permitindo a participação dos telespectadores]|
1|29/09/2008|Wagner Moura|2|Lillian Witte Fibe| Boa noite. Aos 32 anos, ele é um ator consagrado. Tanto a crítica quanto o público se desmancham em elogios para esse rapaz baiano que rouba a cena, seja no cinema, fazendo um traficante ou um policial honesto e linha dura, seja no palco, no papel do vingativo príncipe Hamlet , de Shakespeare, que lota um teatro de quinhentos lugares há mais de três meses. O Roda Viva recebe Wagner Moura, formado, veja só, em jornalismo. A gente volta em trinta segundos com o Roda Viva, que esta noite faz aniversário: 22 anos desde a primeira exibição. Até já.
2|29/09/2008|Wagner Moura|3|[intervalo]|
3|29/09/2008|Wagner Moura|4|Lillian Witte Fibe| Pode-se dizer que ele estourou há cinco anos, com trabalhos muito elogiados no cinema. Não demorou muito para que ele aparecesse na tela da  Globo. Mas a paixão é mesmo o teatro, onde ele descobriu a vocação, ainda adolescente, na cidade onde nasceu.
4|29/09/2008|Wagner Moura|5|[Comentarista]| O baiano Wagner Maniçoba Moura nasceu em Salvador, há 32 anos. O pai, militar, serviu em várias cidades, e ele passou grande parte da infância na cidade de Rodelas, no interior da Bahia. Preocupada com a criação do filho, a família retornou à capital baiana. A proximidade com tudo que a cidade grande oferecia deu um novo impulso para Wagner Moura. Com 15 anos de idade, começou sua carreira nos palcos da capital baiana, primeiro para ficar perto de garotas, mas logo se encantou em fazer uma coisa prazeirosa e ainda ganhar algum dinheiro. Nessa mesma época também tocava em uma banda de rock. Mas, no começo da carreira profissional, Wagner Moura chegou a balançar entre o jornalismo, com trabalhos em jornal e assessoria de imprensa, e as artes cênicas. Abortou a carreira jornalística depois de prejuízos e calotes e seguiu firme como ator. De 1992 a 1999, fez teatro em Salvador até seguir para o Rio de Janeiro, onde encenou a peça A máquina , de João Falcão. Na época, morou com o conterrâneo Lázaro Ramos . Na TV, fez seriados, a minissérie JK  e ganhou fama de galã depois das novelas da Globo A lua me disse  e Paraíso tropical . No cinema, deu os primeiros passos em 2000, no filme Sabor da paixão , ao lado de Murilo Benício e da espanhola Penélope Cruz. Já no cinema nacional, Wagner Moura participou de produções importantes, como Abril despedaçado, de Walter Salles, em 2000. Em 2003, Wagner Moura participou do muito comentado Carandiru . Nesse mesmo ano, trabalhou  O caminho das nuvens, e  Deus é brasileiro . No ano passado, fez outros longas: em Ó pai ó  contracenou no cenário que tanto conhece, Salvador, ao lado do também baiano Lázaro Ramos.  2007 foi um ano cheio de atividade no cinema. Por conta do filme Tropa de elite, seu rosto foi um dos mais vistos nas telas grandes e nos DVDs, sejam originais ou piratas. Como Capitão Nascimento, um herói para uns e anti-herói para outros, ganhou simpatia e reconhecimento do grande público. O filme traz, como Wagner Moura mesmo classifica, um ponto de vista fundamental para se entender e discutir a segurança pública: o olhar policial. Depois de três anos afastados do teatro, atualmente ele voltou aos palcos, onde encena Hamlet, de William Shakespeare, personagem por qual se declara apaixonado desde a juventude. Wagner Moura é casado com a fotógrafa Sandra Delgado e tem um filho de dois anos de idade.
5|29/09/2008|Wagner Moura|6|Lillian Witte Fibe|" Para entrevistar o ator Wagner Moura a gente convidou: Cristina Padiglione, editora do suplemento ""TV & Lazer"" e colunista do ""Caderno Dois"" do jornal O Estado de S. Paulo; Mônica Bergamo, colunista do jornal Folha de S.Paulo; Jefferson Del Rios, crítico de teatro do programa Metrópolis, da TV Cultura; Nina Lemos, repórter especial da revista TPM; Laila Dawa, repórter daqui da TV Cultura, que vai trazer para a entrevista as perguntas enviadas por telespectadores através do telefone: (11) 3677-1310 ou também pelo site www.tvcultura.com.br/rodaviva. Com a gente, claro, o cartunista Paulo Caruso, que dispensa apresentações. A gente tem também a colaboração de três usuários do comunicador Twitter, que permite a troca de pequenas mensagens via celular e e-mail. Eles vão colocar na internet as impressões sobre a entrevista de hoje. E para ver o que eles estão escrevendo, basta acessar os endereços que aparecem na tela. O Roda Viva também está no Twitter. Para seguir a gente, é só clicar ""follow"" no endereço twitter.com/rodaviva. Boa noite, Wagner Moura. Obrigada pela sua entrevista. Eu acho que hoje o programa vai ser de tietagem explícita, deixa eu avisar logo."
6|29/09/2008|Wagner Moura|7|[risos]|
7|29/09/2008|Wagner Moura|8|Lillian Witte Fibe| Wagner, me diga uma coisa, eu pensei que, diante de tanta discussão sobre o futuro das mídias, a queda mundial de bilheteria, discussão sobre equipamento digital mais leve, surgimento de telas pequenas, o sucesso de Hamlet é uma coisa paradoxal e a prova de que uma das mais antigas artes cênicas não está em discussão. Ela não vai acabar e está lotando teatros, com uma cadeira apertadinha que a gente não consegue pôr o joelho, um sucesso incrível.
8|29/09/2008|Wagner Moura|9|Wagner Moura| Não vai acabar nunca. Eu acho que as mídias se alimentam muito... as pessoas vão buscar no teatro o que elas não vêem no cinema, na televisão, na internet. Não acaba nunca, é uma arte milenar. E Shakespeare está vivo até hoje, vai enterrar a gente, nossos tataranetos também vão ver Shakespeare.
9|29/09/2008|Wagner Moura|10|Lillian Witte Fibe| Todo mundo está rediscutindo televisão, imprensa escrita, cinema. E o teatro está um sucesso.
10|29/09/2008|Wagner Moura|11|Wagner Moura| O teatro está aí, não acaba nunca.
11|29/09/2008|Wagner Moura|12|Lillian Witte Fibe| Há chances de estender  além de 2 de novembro?
12|29/09/2008|Wagner Moura|13|Wagner Moura| Já estendemos, vamos até fevereiro.
13|29/09/2008|Wagner Moura|14|Cristina Padiglione| Com relação a usar uma mídia que completa a outra, vocês usam a câmera . De quem partiu a idéia?
14|29/09/2008|Wagner Moura|15|Wagner Moura| Engraçado, porque o Aderbal Freire-Filho , diretor da peça, é totalmente avesso a essas coisas tecnológicas em espetáculos. E vocês viram os espetáculos dele, são sempre muito básicos, atores ali e pronto. E ele é que veio com essa história da câmera.
15|29/09/2008|Wagner Moura|16|Cristina Padiglione| E é um teatro com closes.
16|29/09/2008|Wagner Moura|17|Wagner Moura| Engraçado você falar isso, porque uma vez Jorge Furtado  me disse que não faz teatro porque teatro não tem close, só tem plano aberto. E não é verdade. Mas o teatro é tão lindo e tão poderoso porque o ator chama o close, não é? O ator chama para o close de uma mão, um rosto. Por isso que eu até fico meio assim de falar porque... eu acho o teatro uma arte muito poderosa e mais poderosa do que essas todas. E não é à toa que está vivo até hoje. E não morre nunca.
17|29/09/2008|Wagner Moura|18|Cristina Padiglione| A idéia não é tua?
18|29/09/2008|Wagner Moura|19|Wagner Moura| A idéia da câmera foi do Aderbal. E tem disso também: reforçar essa idéia de que enquanto está acontecendo uma coisa aqui, ver o outro lado. Uma das partes que eu gosto muito é quando Ophelia e Hamlet se encontram, e o Claudius e Polonius estão observando escondidos. A câmera mostra isso e o público está vendo alí atrás os dois personagens. Então, o público está vendo realmente, estão observando um close grande. É legal, mas não acho que é o mais interessante.
19|29/09/2008|Wagner Moura|20|Cristina Padiglione| Não digo isso, mas que é engraçado é.
20|29/09/2008|Wagner Moura|21|Wagner Moura| Eu acho que funciona bem, que é harmônico.
21|29/09/2008|Wagner Moura|22|Cristina Padiglione| Senti um pouco de temor, em um momento, quando estava prestando atenção na imagem e a cena que está se passando no palco, a principal, era outra, desviando o foco de atenção. Mas, enfim, num mundo em que você faz quase tudo ao mesmo tempo talvez funcione legal.
22|29/09/2008|Wagner Moura|23|Jefferson Del Rios| Wagner, em primeiro lugar queria te cumprimentar pela beleza de apresentação do seu Hamlet. Aliás, se a minha modesta opinião de crítico vale, eu recomendo a você, telespectador. Se não viu, vá lá correndo, porque é um grande trabalho, está na melhor linhagem dos grandes intérpretes brasileiros. Você honra o Sérgio Cardoso .
23|29/09/2008|Wagner Moura|24|Wagner Moura| Puxa vida!
24|29/09/2008|Wagner Moura|25|Lillian Witte Fibe| Fazendo um apêndice, tem que comprar com antecedência, porque lota. Eu estou telefonando para a bilheteria, por curiosidade, para saber. Quase que eu não consigo ver, quando vi que ia entrevistá-lo fui comprar o ingresso. E lota.
25|29/09/2008|Wagner Moura|26|Jefferson Del Rios| Eu sou curioso sobre atores que saem da província. Salvador é uma cidade meio africana, não é bem o interior da Bahia. E grandes atores brasileiros como o nosso maravilhoso Othon Bastos é um baiano de Tucano, o Tom Zé  é de Irará. E você teve a infância na cidade de Rodelas. Eu soube que nessa cidade tem muito mármore...
26|29/09/2008|Wagner Moura|27|Wagner Moura| Não, é uma cidade  ribeirinha. O que tem de interesse em Rodelas - e eu acompanhei isso quando criança, na beira do rio São Francisco, era lindo demais aquele rio que corria ali - é que ela se transformou numa nova cidade, fez parte daquelas que foram inundadas pela barragem Itaparica. Isso foi uma coisa muito interessante, porque a cidade inteira se mudou para alguns quilômetros à frente e se transformou em outra completamente diferente do que era antes. Mas a minha infância foi alí, à beira desse rio.
27|29/09/2008|Wagner Moura|28|Jefferson Del Rios| Você ficou lá até os 15 anos, não é?
28|29/09/2008|Wagner Moura|29|Laila Dawa| E por falar em Rodelas, a gente já tem a pergunta de um dos telespectadores: durante esse período em que você esteve no sertão da Bahia, quais os traços culturais que você percebeu lá que diferenciam esse lugar do resto do país? O que mais te marcou? O que você observa de diferente no resto do país e por outros lugares por onde andou? Pergunta de Alman Alves da Costa, de Sergipe.
29|29/09/2008|Wagner Moura|30|Wagner Moura|" É difícil falar isso. Eu sou muito esse homem que é fruto desse lugar, tanto que em Deus é brasileiro, quando eu li o roteiro, falei: ""eu sei que posso fazer isso bem, porque eu conheço muito aquilo, esse universo"" O que diferencia... Eu não sei... Está meio explícito, o sertão tem uma cultura popular muito forte, muito... Eu me lembro que a religiosidade é muito forte. Quando houve essa mudança de uma cidade para outra, me lembro que foi transportada uma imagem que eu não esqueço nunca mais. Havia uma imagem de Santo Antônio, padroeiro da cidade, feita de pedra pelos índios dali da região de Rodelas, e ele foi transportado de uma cidade para a outra. E a comoção causada nas pessoas por essa passagem desse santo de um lugar ao outro é uma coisa que eu não esqueço nunca mais. Eu lembro, como se fosse hoje, que uma hora que o santo bambeou, ele quase cai, as mulheres começaram a gritar. Então, tem um lado de cultura popular e de religiosidade entranhada dentro da alma das pessoas, mas eu acho que é superficializar dizer o que é um sertanejo. Guimarães Rosa falou muito melhor do que eu!"
