DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
22/03/2004|Alberto Navarro|1|[Programa ao vivo, que permitiu a participação do telespectador]|[Programa ao vivo, que permitiu a participação do telespectador]
22/03/2004|Alberto Navarro|2|Paulo Markun| Boa noite. O recente atentado terrorista em Madri aumentou as preocupações na Europa e já começou a mudar o discurso das lideranças políticas. Mas esta mesma Europa preocupada procura se fortalecer e deverá tornar-se, este ano ainda, a maior potência econômica e comercial do mundo. E o Brasil tem com isso um horizonte, um novo e importante parceiro econômico. Para falar da aproximação entre a Europa e o Brasil, das novas oportunidades brasileiras no mercado europeu e também das preocupações com o terrorismo internacional, o Roda Viva entrevista esta noite o embaixador Alberto Navarro. Ele é o chefe da delegação da Comissão Européia no Brasil, responsável pelas negociações que buscam novos acordos entre Brasil e Europa.
22/03/2004|Alberto Navarro|3|[Comentarista]| Alberto Navarro é de Santa Cruz de Tenerife, comunidade autônoma e espanhola nas Ilhas Canárias. Formado em direito na Universidade de Salamanca, começou carreira diplomática na Espanha em 1980 e se especializou em direito internacional, assuntos europeus e políticas de desenvolvimento e cooperação. Ele representa, no Brasil, a União em que a Europa se transformou ao longo de um processo de integração de mais de cinquenta anos. A idéia da unificação européia ganhou força em 1948, quando um programa de reconstrução começava a recuperar o que a Segunda Guerra havia destruído. A indústria do carvão e do aço era a espinha dorsal da economia européia na época. Em 1951, por iniciativa de seis países - Bélgica, Alemanha, França, Itália, Luxemburgo e Holanda -, surgiu a Comunidade Européia do Carvão e do Aço, centralizando e subordinando a produção a uma autoridade superior. Foi o primeiro passo. Em 1957, a idéia se ampliou e foi criada a Comunidade Econômica Européia, para colocar em prática os planos de um Mercado Comum Europeu, com base na unificação econômica e monetária. Em janeiro de 1999, nasceu o euro, marca registrada da União Européia. A moeda única simbolizou e consolidou a idéia de unificação lançada 56 anos atrás. Um só dinheiro, uma única cidadania européia complementar à cidadania original de cada cidadão e uma idéia de livre mercado e de fronteiras livres entre seus membros, a União Européia é citada como o processo de integração regional mais avançado da história. A ampliação do bloco, agora em maio, de 15 para 25 países, fortalece mais a União, embora ocorra em um momento delicado. O recente atentado terrorista em Madri [11 de março de 2004], que mudou o rumo das eleições espanholas impondo derrota ao atual governo, também colocou a União Européia em um patamar novo de preocupações frente ao terrorismo internacional. Enquanto o discurso e o debate político entram numa fase nova e mais angustiada, os planos econômicos seguem em frente atravessando oceanos. A nova União Européia, que passa de 380 milhões para 450 milhões de habitantes, vai se apresentar ao mundo este ano como o mais poderoso bloco econômico e comercial do planeta. E é esse o mercado que está se aproximando do Mercosul [Mercado Comum do Sul] e, em especial, do Brasil. O embaixador Alberto Navarro tem dito que 2004 é o ano do Brasil na Europa. Parceiro de peso, o Brasil é o principal beneficiário latino-americano dos investimentos europeus; e a Europa, o principal cliente agrícola do Brasil, pode ser mais que isso a partir de agora.
22/03/2004|Alberto Navarro|4|Paulo Markun| Para entrevistar o embaixador Alberto Navarro, nós convidamos: Eliane Oliveira, repórter de economia da sucursal de Brasília do jornal O Globo; Roberto Teixeira da Costa, economista e sócio da Prospectiva Consultoria Brasileira de Assuntos Internacionais; Vicente Adorno, editor de internacional da TV Cultura; Sérgio Malbergier, editor de mundo do jornal Folha de S. Paulo; Mauro Chaves, editorialista e articulista do jornal O Estado de S. Paulo; e André Mermelstein, diretor editorial das revistas Tele Time e Tela Viva, especializadas em assuntos de telecomunicações e mídia. [...] Boa Noite, embaixador.
22/03/2004|Alberto Navarro|5|Alberto Navarro| Boa noite.
22/03/2004|Alberto Navarro|6|Paulo Markun| Se a gente perguntar para o grande público brasileiro ou se mencionar a expressão União Européia, é muito provável que a gente receba uma pergunta de volta do tipo "em que campeonato de futebol isso vai acontecer?", "que time de futebol é esse”? Porque, na verdade, para a grande massa dos brasileiros, esse ainda é um conceito um pouco distante. O que o senhor imagina que é necessário acontecer para que essa realidade, que já existe efetivamente na Europa, seja de conhecimento do grande público brasileiro?
22/03/2004|Alberto Navarro|7|Alberto Navarro| Bom, é normal que para o público brasileiro a União Européia ainda não seja muito bem conhecida, porque também acontece o mesmo na própria Europa e muitas pessoas confundem a União Européia com o Conselho da Europa, com outras organizações. O projeto europeu é um projeto que começou há muitos anos, [há] quase cinquenta anos, depois da última Guerra Mundial - eu gosto mais de falar em guerra civil entre europeus -, e foi um projeto feito de pequenos passos. Tivemos um grupo de europeus muito mais idealistas, eles fundaram o Movimento Federal Europeu e quiseram construir de uma só vez os "Estados Unidos da Europa". O resultado foi o Conselho da Europa, mais uma organização como tantas no mundo, intergovernamentais, e outro grupo de europeus, que começou, como vimos agora na reportagem, com o carvão e o aço. E foi dessa maneira, com pequenos passos, que nós começamos a aventura da integração européia. Eu prefiro falar de Comunidade Européia, porque não estamos unificando. Cada Estado tem a sua língua, tem a sua história, temos monarquias, temos repúblicas, e o que estamos fazendo juntos, sobretudo, é assegurando a paz no continente europeu. Eu acho que esse é o melhor resultado do processo da construção européia. Pela primeira vez na história da Europa, que foi uma história de guerras, tivemos cinquenta anos de paz. E, ao mesmo tempo, a estabilidade política trouxe consigo a prosperidade econômica. Então, agora nós temos que fazer juntos o que é preciso, e o que é melhor de fazer juntos e não separadamente. Por exemplo, ter um mercado único ou ter uma moeda única [o euro]. E agora estamos tentando, também, ter uma presença internacional e ser um ator político. A Europa foi durante muitos anos um cenário de guerras, onde aconteciam as batalhas. Depois nos tornamos expectadores; de um cenário, passamos a ser um expectador. E os Estados Unidos intervinham, faziam as guerras e nós chegávamos atrás, sempre criticando, mas incapazes de atuar. Os Bálcãs [refere-se aos conflitos na Península Balcânica, situada à sudeste da Europa, é uma área de interseção entre a Europa e o Oriente Médio, palco de disputas territoriais e conflitos étnicos] são o melhor exemplo, até o momento, em que os Estados Unidos intervieram e a Europa ficou impotente. E agora estamos tentando não ser expectador, mas ser um ator político e achamos que no mundo globalizado atual não só a América Latina, o Mercosul ou o Brasil, mas também a África, a Ásia precisam de uma Europa mais presente, mais ativa neste mundo globalizado.
22/03/2004|Alberto Navarro|8|Roberto Teixeira da Costa| Embaixador, é irresistível quando se fala da União Européia, imediatamente não se tentar fazer alguma comparação com o Mercosul. Seria muito interessante, na sua perspectiva européia, como é que o senhor vê o Mercosul. Uma primeira definição sua é que a motivação básica na União Européia foi uma motivação econômica. E olhando aqui o Mercosul, basicamente, foi uma motivação política. Posteriormente, as correntes de comércio se intensificaram, tivemos uma fase muito próspera na relação bilateral quando a Argentina criou o plano de conversibilidade, depois quando o Brasil criou o Plano Real e depois entramos aí com as crises mundiais numa fase um pouco de aumentar muito o contencioso entre os dois países. Mas na essência, hoje, se compara muito, quando se quer falar da União Européia, fala-se do Mercosul. Como é que o senhor vê essa evolução do Mercosul? Evidentemente o Mercosul tem vinte anos e a União Européia tem cinquenta anos, quer dizer, durante esse processo muita coisa aconteceu. Como é que o senhor vê essa comparação entre União Européia e Mercosul?
22/03/2004|Alberto Navarro|9|Alberto Navarro| Nós vemos o Mercosul com muito interesse. A União Européia apoiou desde o início a criação do Mercosul, no ano de 1991, e continuamos a apoiar porque o atrativo para os empresários europeus, para os governos europeus, é criar uma zona maior do que é simplesmente cada país separadamente. Você falou muito bem que o Mercosul ainda é um adolescente, tem 14, 15 anos, e a União Européia já tem cinquenta. Nós, europeus, não gostamos de dar lições. Acho que é eurocentrismo olhar o mundo através da Europa e dar lições a todo mundo. Não é uma boa receita. Ao contrário, nós devemos compartilhar nossas experiências do lado europeu. Mas o Mercosul hoje é a quarta potência econômica do mundo. A primeira e a segunda são os Estados Unidos e a União Européia. Depende um pouco do tipo de câmbio entre o dólar e o euro. A terceira é o Japão, depois o Mercosul. Então, a criação de uma zona de livre comércio entre os 450 milhões de cidadãos da Nova União Européia, depois do primeiro de maio, e os 220 milhões de cidadãos do Mercosul, têm um interesse estratégico para nós. Estamos falando de mais de setecentos milhões de pessoas, um produto nacional bruto de mais de nove trilhões de euros. E, para nós, é uma relação estratégica: em primeiro lugar, porque se você olha o continente sul-americano, vai ver que temos muita instabilidade. Temos a Venezuela, com a sociedade partida em dois; temos a Colômbia, com uma guerra civil, mais de 2,5 milhões de marginalizados; problemas no Equador; problemas no Peru, para não falar da Bolívia. Então, para nós a estabilidade política no Cone Sul é fundamental. E, do ponto de vista econômico, nós somos o primeiro parceiro comercial do Brasil. Nós representamos - a União Européia - mais de 27% do comércio exterior do Brasil. Mais de 50% de todos os investimentos estrangeiros neste país provêm da Europa, então a Europa está comprometida com o futuro do Brasil. E, finalmente, temos razões não só políticas e econômicas, mas também éticas e morais. Quando falei com o presidente Lula [Luiz Inácio Lula da Silva, eleito presidente em 2002 e reeleito em 2006], há alguns meses, e apresentei as minhas cartas credenciais, eu disse para o presidente: "Eu me sinto aqui como [se estivesse] em casa. Eu comprovei que os brasileiros e os europeus olham o mundo com os mesmos olhos". E nós não gostamos da pena de morte, abolimos a pena de morte faz muitos anos. Nós assinamos o Protocolo de Quioto sobre a mudança climática, assinamos o Convenção de Ottawa [convenção realizada no Canadá, que determina a proibição do uso, armazenamento, produção e transferência de minas antipessoais, bem como sua destruição. Foi aberta para assinaturas em 1997, porém só entrou em vigor em 1º de março de 1999] contra as minas antipessoais, apoiamos a criação do Tribunal Penal Internacional [(TPI) criado com o objetivo de combater a impunidade de pessoas responsáveis por crimes de guerra e de crimes contra a humanidade], todas essas coisas são muito importantes e muitos outros países não compartilham. Você tenta fazer o mesmo com os Estados Unidos, com a China, com Japão, e vai ver que vai dar no mesmo.
22/03/2004|Alberto Navarro|10|Mauro Chaves| Embaixador, o senhor me parece uma pessoa otimista; e é muito bom esse otimismo não aqui, externo, como [também] interno. E quando o senhor fala no relacionamento União Européia e Mercosul, revela o grande otimismo de que este ano – o 2004 - vai ser feliz. Que o 2004 é o ano do Brasil com a União Européia. Inclusive eu li seu artigo de ontem na Folha de S.Paulo, em que o senhor fala das oportunidades que existirão. Então, eu queria entender melhor o seguinte: esse processo de ampliação da União Européia é um processo complicado, quer dizer, vão entrar novos dez países. São 11 línguas oficiais, e vão virar vinte línguas oficiais. Tem o problema de legislação interna, tem o problema, enfim, é muito complicado. Por outro lado, uma coisa que a gente sabe, também, é que esses novos países - Malta, Chipre... -, todos eles têm também uma quantidade muito grande de agricultores, parece que 3,5 milhões de agricultores. O grande problema do Brasil com a União Européia, a grande barreira, é o protecionismo agrícola europeu, que dizem que absorve mais ou menos... 50% do orçamento da União Européia vai para subsídios agrícolas. Eu pergunto o seguinte: neste momento de ampliação, qual seria o fator que facilitaria, que daria mais oportunidades para o Brasil? Porque me parece que é o contrário, quer dizer, esse processo de adaptação da União Européia a esse novo perfil bem ampliado, e com essas complicações todas que existem até com o aumento de agricultores que talvez exijam mais subsídios agrícolas. Eu não entendo bem, eu não consegui captar bem, por que este momento de 2004 é tão favorável a essa aproximação? 
