DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
21/10/1991|Alceni Guerra|1|Jorge Escosteguy| Boa noite. Criança e saúde são sempre dois temas polêmicos no Brasil. São polêmicos porque nem o povo tem saúde, nem as crianças têm um amparo e ajuda de que necessitam. Esses vão ser dois assuntos do Roda Viva que está começando agora pela TV Cultura de São Paulo. No centro do Roda Viva está o ministro da Saúde e da Criança, Alceni Guerra. O ministro Alceni Guerra tem 45 anos, é gaúcho de Soledade, pediatra e foi eleito por duas vezes deputado federal. Agora responde pelo Ministério da Saúde e da Criança. Para entrevistar Alceni Guerra esta noite no Roda Viva, convidamos: doutor Júlio Abramczyk, redator médico do jornal Folha de S. Paulo; Neuza Serra, produtora de jornalismo da rádio Nova Eldorado AM; Inês Knaut, repórter do Jornal do Brasil; José Antônio Severo, jornalista da Gazeta Mercantil; Márcio Chaer, editor de política do Jornal da Tarde; doutor Celso Guerra, médico hematologista e presidente da Associação Paulista de Medicina; Lucila Pinto, repórter do Programa de Saúde da TV Cultura e Marco Damiani, repórter do jornal O Estado de S. Paulo. Boa noite, ministro.
21/10/1991|Alceni Guerra|2|Alceni Guerra| Boa noite.
21/10/1991|Alceni Guerra|3|Jorge Escosteguy| Foi inaugurado recentemente, há poucos dias, o primeiro Ciac [Centro Integrado de Apoio à Criança. Projeto em nível federal de escolas que abrigariam estudantes em período integral. Inicialmente, o programa previa contruir mais de 5 mil unidades em todo o país, mas com a saída de Collor da Presidência, perdeu continuidade e poucas unidades foram construídas de acordo com o projeto original] do governo. Hoje, já à noite, nós estávamos ali, até um pouco antes do Roda Viva, vendo o noticiário na televisão e já havia reportagens dizendo que o Ciac abriu mas não tinha material escolar, previa 16 médicos e só havia seis, enfim... e aí a direção do Ciac foi lá dar explicações: “Não, as coisas vão entrar nos eixos e tal”. Como é que foi isso, ou seja, o Ciac vai ser mais uma obra pública para o governo exibir ou vai ser uma coisa que vai funcionar realmente?
21/10/1991|Alceni Guerra|4|Alceni Guerra| O Ciac, como todas as coisas boas que surgiram nesse país, nasce com uma oposição construtiva. No caso do Ciac, uma oposição feroz, uma oposição de vanguarda, uma oposição que não quis deixá-lo, no primeiro momento, sair do papel. Quando ele saiu do papel, não quis que ele recebesse dinheiro no Congresso Nacional e agora tenta desmistificá-lo, ver pontos críticos, ver defeitos que não existem.
21/10/1991|Alceni Guerra|5|Jorge Escosteguy| Quem não quis, ministro?
21/10/1991|Alceni Guerra|6|Alceni Guerra| Eu tenho a impressão que, volto a repetir até com um repto [desafio] que lancei há pouco tempo, quem é contra o Ciac deveria passar uma manhã na praça da Sé [em São Paulo], uma tarde na Baixada Fluminense e no dia seguinte ir a Vitória, Salvador, Recife, ver a situação dramática de um menino de rua. No Brasil, são sete milhões de crianças que não têm escola no primeiro grau. Desses sete milhões, 10% estão na rua sem vínculo familiar, não têm a mínima chance de serem cidadãos normais, como os que estão aqui nesta sala. Ser contra o Ciac é tentar torpedear a única tentativa séria dos últimos anos de se cobrir esse fosso, de se ultrapassar essa barreira. São sete milhões de crianças fora da sala de aula, três milhões que nascem todos os anos. A rede atual não tem condições de absorvê-los e existe um artigo da Constituição, o artigo 227, que manda o governo, com prioridade absoluta, construir o Ciac. Quem quiser, folheie a Constituição do Brasil e verá, artigo 227. Se o governo não fizer os Ciacs, estará infringindo a Constituição.
21/10/1991|Alceni Guerra|7|Márcio Chaer| Agora, ministro, no caso de São Paulo nós temos uma crítica do partido do governador Luiz Antônio Fleury [governador de São Paulo de 1991 a 1995, então no PMDB], em que a distribuição dos Ciacs, a distribuição geográfica, não estaria sendo feita de acordo com a demanda de crianças que precisam do ensino, mas de acordo com o apoio que esses prefeitos dariam. No caso de São Paulo, os representantes políticos do presidente Collor, seu irmão Leopoldo Collor, o Eliezer Batista [secretário de Assuntos Estratégicos do governo], o Euclides de Mello [um dos primos de Fernando Collor], essa é a crítica que tem sido feita aqui pelas autoridades de São Paulo. Eles não são contra o Ciac, mas contra o uso político da escola como moeda de troca.
21/10/1991|Alceni Guerra|8|Alceni Guerra| O governador Fleury conhece profundamente o presidente Collor, o ministro Alceni Guerra e sabe que nós jamais faríamos isso. A demanda para qual o Ciac está destinada é escola, saúde, pré-escola e creche [pontuando com os dedos], esporte, lazer, defesa dos direitos humanos. O governador Fleury sabe perfeitamente que quem vai comandar o processo em São Paulo é o seu governo. A representatividade que os deputados têm é uma representatividade que tem que ser respeitada. Eles foram eleitos exatamente para poder apontar prioridades, para poder dizer erros que nós eventualmente estejamos cometendo. Nós vamos respeitá-los e o governador também o respeita. O Ciac será construído em cima de parâmetros técnicos que o governador conhece, aplaude, quer Ciacs. Ele entende que no estado de São Paulo os Ciacs têm que se adaptar ao seu programa de governo e nós aceitamos, afinal ele é o governador eleito em São Paulo. Estamos discutindo com o secretário de Educação e vamos chegar a um consenso que beneficie o estado de São Paulo e toda sua população. Ouvi agora há pouco, num jornal de televisão, a notícia de que o governo de São Paulo precisa de 10 mil salas de aula. Nós sabíamos disso, ele já tinha nos dito. Ouvi do governador Fleury a afirmação de que com as centenas de Ciacs que nós temos propostos para São Paulo, ele pode viabilizar o seu programa. É o que nós queremos. E ouvi, Márcio, talvez a afirmação mais importante dele e, que depois se repetiu na sexta-feira, do governador Requião [Roberto Requião, governador do estado do Paraná de 1991 a 1994 e depois eleito mais duas vezes, em 2003 e 2007], que eu acho transcendental e que diz exatamente a importância do Ciac para a educação. Os dois disseram: “Com o dinheiro que nós vamos economizar na construção dos Ciacs, que será integralmente custeado pelo governo federal, nós vamos melhorar a capacitação profissional dos professores e melhorar seus rendimentos no trabalho”. É isso que nós queremos. O governador do Piauí afirmou a mesma coisa, o governador do Mato Grosso do Sul a mesma coisa. Com a construção dos Ciacs eles, que têm obrigação constitucional de investir na educação, vão usar esse dinheiro para melhorar a rede atual, que é o que nós queremos.
21/10/1991|Alceni Guerra|9|Inêz Knaut| Ministro, falando novamente do governador Fleury: ele disse no Jornal do Brasil que ele impõe quatro condições para que se implante o programa de Ciacs em São Paulo. Eu queria saber do senhor se essas condições são aceitáveis para o Ministério. Os prédios vão ter que diminuir de tamanho porque, segundo o Fleury, não existem lotes urbanos de um tamanho compatível com os Ciacs previstos no plano original. Segundo ponto: as indicações dos locais onde serão construídos os Ciacs, serão indicados pelo estado e não pelo governo federal. Quer dizer, competiria ao governo estadual indicar os locais. Tem que haver, no orçamento da União, uma dotação específica para manutenção dos Ciacs, porque o governo do estado não aceita manter os Ciacs sozinhos. Quarto ponto, projeto pedagógico tem que ser do estado. Em São Paulo, por exemplo, o Fleury quer que se mantenham três turnos diários de cinco horas, com duas refeições para cada turno. Os Ciacs originais, eles prevêem uma jornada escolar de oito horas. Queria saber se essas quatro condições ferem o plano original dos Ciacs, se o senhor está de acordo?
21/10/1991|Alceni Guerra|10|Alceni Guerra| Não, não fere. O número de horas que o governador quer, cinco horas, e o seu plano pedagógico, têm totais condições de serem aceitos. Eu, pessoalmente, como pediatra e como especialista em crescimento e desenvolvimento, vou pedir ao governador Fleury que estenda isso um pouco. Cinco horas de sala normal de aula... e eu gostaria, como ministro da Saúde, ministro da Criança e principalmente como pediatra, que fosse dado à criança paulista mais um tempo para a cultura, para o esporte, para tele educação, para iniciação ao trabalho e para integração comunitária. Isso é um pedido que eu vou lhe fazer, porque o plano pedagógico deve ser observado. Ele é o governador eleito em São Paulo, tem todo o direito de impor o seu plano pedagógico, como qualquer outro governador. Mas eu vou lhe fazer esse pedido, e vou fazê-lo pessoalmente nos próximos dias, para que ele reconsidere e estenda um pouquinho mais, porque eu fui aluno de escola integral e sei o valor que tem aquelas horas adicionais dentro de uma estrutura, não na sala de aula, mas dentro da estrutura integral de apoio à criança. Com relação...
