DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
15/07/1991|Alda Marco Antônio|1|[Programa ao vivo, permitindo a participação de telespectadores]|Programa ao vivo, permitindo a participação de telespectadores]
15/07/1991|Alda Marco Antônio|2|Jorge Escosteguy|Boa noite. Estamos começando mais um Roda Viva pela TV Cultura de São Paulo. A convidada do Roda Viva desta noite é a secretária do Menor do estado de São Paulo, Alda Marco Antônio. Alda Marco Antônio nasceu em Uberaba, Minas Gerais, onde foi líder estudantil, formou-se pela Universidade de São Paulo em engenharia ambiental e foi coordenadora e presidente da Comissão Sindical do Conselho Estadual da Condição Feminina. Durante o governo Orestes Quércia [1987-1991], foi secretária de Relações do Trabalho, e em seguida secretária de Estado do Menor, secretaria recém criada naquele governo. E foi confirmada no posto pelo novo governador, Luiz Antônio Fleury Filho [que sucedeu Orestes Quércia no governo de São Paulo]. Dentre os programas da secretaria, destacam-se 14 deles considerados inovadores, que atenderam a cerca de 250 mil crianças. Oito desses programas foram considerados modelo para o mundo pela Organização das Nações Unidas. Para entrevistar Alda Marco Antônio esta noite, nós convidamos a jornalista Mônica Teixeira; o editor de política da revista Isto É Senhor, Marcelo Parada; Jan Rocha, correspondente do jornal The Gardian; Maurício Stycer, editor de cidades do jornal Folha de S.Paulo; Percival de Souza, repórter especial do Jornal da Tarde e comentarista da TV Globo; Myriam Mesquita, socióloga e consultora do Núcleo de Estudos da Violência da Universidade de São Paulo, e Dácio Nitrini, diretor de operações jornalísticas do SBT. Boa noite, secretária.
15/07/1991|Alda Marco Antônio|3|Alda Marco Antônio|Boa noite.
15/07/1991|Alda Marco Antônio|4|Jorge Escosteguy|Os programas da Secretaria do Menor foram muito elogiados, inclusive pela ONU, mas ainda subsiste um problema. Um pouco antes do programa, nós estávamos conversando ali, a Heloisa Granito, que é jornalista aqui da TV Cultura, comentava e fazia esta pergunta. Ou seja, que apesar de tudo isso, todos que saímos em São Paulo, pelas ruas, encontramos pelas esquinas crianças pedindo esmolas, vendendo coisas, sendo exploradas por maiores etc. Como resolver esse problema? De repente esses programas não seriam apenas um paliativo para um universo tão grande, que é o problema do menor em São Paulo e no Brasil?
15/07/1991|Alda Marco Antônio|5|Alda Marco Antônio|Em primeiro lugar, eu devo dizer a você que nós estamos abrindo e conseguimos abrir uma senda na escuridão do atendimento público a crianças e jovens, no Brasil. Nossos programas são absolutamente inovadores, são modestos em termos de custos e revolucionários em termos de qualidade, em termos de resposta. Acontece que o que você vê no quadrilátero milionário de São Paulo, na Zona Sul, em termos de crianças pedindo esmola, não é uma questão simplesmente de educação. É também uma questão policial, já que essas crianças estão sendo exploradas por adultos, e hoje se constitui uma grande indústria: a indústria de se pedir esmola nas esquinas de São Paulo, de se vender balas. Em termos gerais, eu poderia responder a você e a todos os telespectadores, que essa questão está sendo enfrentada pelo lado da educação, com liberdade, que é o maior lema da Secretaria do Menor. Os programas estão criados, consagrados, não só por autoridades nacionais como também por autoridades estrangeiras, tanto que hoje abrimos a nossa experiência a educadores de outros países. Mexicanos e uruguaios estão hoje sendo treinados pela Secretaria do Menor. O fato da extensão desses programas a todas as crianças que deles necessitam não é uma decisão que está no âmbito da Secretaria do Menor, mas sim no âmbito dos governos. Agora, vou alertar: enquanto o Brasil for este país miserável, que explora os adultos, que paga salários indecentes, onde um trabalhador com carteira assinada não consegue sequer levar comida para dentro de casa, nós estaremos sempre correndo atrás de crianças na rua, porque elas saem à procura de comida, elas saem por uma questão de sobrevivência. O país precisa retomar o caminho do desenvolvimento e precisa, antes de tudo, respeitar quem trabalha, respeitar o trabalhador adulto.
15/07/1991|Alda Marco Antônio|6|Jorge Escosteguy|Agora a senhora disse que é um problema de polícia, esses menores explorados por maiores...
15/07/1991|Alda Marco Antônio|7|Alda Marco Antônio|Sem dúvida, eles estão...
15/07/1991|Alda Marco Antônio|8|Jorge Escosteguy|[falando ao mesmo tempo em que Alda] Está havendo algum trabalho com a polícia? Ou seja, a polícia não está lá?
15/07/1991|Alda Marco Antônio|9|Alda Marco Antônio|Eles estão sendo explorados por adultos que são criminosos, porque estão explorando crianças e, além de tudo, são contraventores penais, porque são vadios, estão fazendo vadiagem. Eu volto a repetir: a Secretaria do Menor trabalha no ângulo da educação, aborda essas crianças, ainda que com muita dificuldade, porque essas crianças têm a sua cabeça feita pelos adultos. Do lado dos adultos, é o lado do crime, e do lado do crime quem tem que atuar é a polícia.
15/07/1991|Alda Marco Antônio|10|Jorge Escosteguy|Mas há alguma iniciativa da Secretaria do Menor junto à Secretaria de Segurança ou a polícia, para que seja coibida essa prática?
15/07/1991|Alda Marco Antônio|11|Alda Marco Antônio|Nós trabalhamos muito bem junto com a Secretaria de Segurança, por exemplo, no SOS Criança, onde as atendentes dos telefones são policiais femininas, nós trabalhamos em colaboração. Nas ruas não; nas ruas nós não trabalhamos em colaboração com a Secretaria de Segurança.
15/07/1991|Alda Marco Antônio|12|Jorge Escosteguy|Mas não seria o caso de pedir, já que é um crime flagrante e evidente, a colaboração da Secretaria da Segurança, para coibir esse crime?
15/07/1991|Alda Marco Antônio|13|Alda Marco Antônio|A Secretaria de Segurança tem a obrigação de coibir, eu creio que ela está tentando coibir. Porém é uma questão muito ampla, muito grande. Nós sabemos que na cidade de São Paulo existem 105 mil mandados de prisão que não podem ser executados, porque não existem vagas nas prisões. Então, veja você, a dificuldade que deve ter a Secretaria de Segurança de lidar com o tráfico pesado, de lidar com sequestros, de lidar com crimes pesados. Provavelmente é considerado na Secretaria de Segurança, um crime menor, não sei, não posso responder, não tenho procuração para responder pela secretaria...
15/07/1991|Alda Marco Antônio|14|Jorge Escosteguy|[interrompendo] A senhora acha que é um crime menor?
15/07/1991|Alda Marco Antônio|15|Alda Marco Antônio|Não, eu acho um crime maior. Eu acho um crime bárbaro, eu acho que ele está deturpando a personalidade das crianças, e deveria ser coibido. Mas nós não podemos distanciar essa questão do resto do Brasil. Eu estou lhe dizendo e vou reafirmar: nós temos 105 mil bandidos adultos na cidade de São Paulo, que já cometeram crimes, que já foram julgados, e que foram condenados, e que não podem ser presos porque não existem condições de prisão para eles, não existem vagas nas prisões. Então esse é o quadro geral em que nós vivemos. Condenar a Secretaria de Segurança porque ela não prende esses marginais, esses marginais que exploram as crianças, talvez fosse um assunto à parte.
15/07/1991|Alda Marco Antônio|16|Dácio Nitrini|Dentro desse raciocínio, doutora Alda, o procurador Munir Cury, que chefia os promotores que trabalham exatamente na área ligada ao Estatuto da Criança e do Adolescente, aqui em São Paulo, pode estar certo quando ele faz críticas à Secretaria do Menor, dizendo que ela não cuida da vigilância e da segurança dentro das unidades da própria Febem [Fundação Estadual do Bem-Estar do Menor] como deveria, o que permite fugas de quadrilhas organizadas de jovens adolescentes que estão em alto grau de delinqüência.
15/07/1991|Alda Marco Antônio|17|Alda Marco Antônio|Eu não concordo em nada com o que você disse, e se o procurador Munir Cury disse isso, ele está errado. Porque dentro da unidade da Febem, nós não podemos trabalhar com armas, os vigilantes têm que trabalhar desarmados e isso é certo. Eu concordo com a lei, porque senão os acidentes lá dentro seriam muito perigosos.
15/07/1991|Alda Marco Antônio|18|Dácio Nitrini|Mas tem ocorrido fugas freqüentes, porque a imprensa tem registrado. Como trabalhar com isso?
15/07/1991|Alda Marco Antônio|19|Alda Marco Antônio|As fugas sempre aconteceram. Hoje nós temos em média duas fugas por dia, muito menos do que aconteceu no ano passado, e muito menos do que aconteceu no ano retrasado. Esse procurador deveria apontar o dedo na direção certa, quem faz a vigilância por fora dos muros da Febem é a Secretaria de Segurança Pública. A Secretaria do Menor, que é hoje responsável pela Febem, faz a vigilância interna com vigilantes civis desarmados. Nada se pode fazer mais do que nós fazemos. E eu fico abismada de ver uma autoridade achar demais duas fugas em média por dia, num presídio onde existem 850 a novecentos jovens presos. Eu não acho isso absolutamente nada de extraordinário.
15/07/1991|Alda Marco Antônio|20|Myriam Mesquita|Secretária, acompanhando o seu trabalho, como venho acompanhando há largo tempo, eu considero que o problema da criança e do adolescente em situação de perigo, abandono, o infrator etc, se constitui num problema resultado, independente de ele se constituir até em novas causas em termos de problema. Resultado de toda uma situação de miséria, como a senhora já colocou, de toda uma situação de abandono. Nesse sentido, em que medida haveria uma integração de outras áreas do governo para que a Secretaria do Menor tivesse condições de maior execução das suas políticas? Eu acho que esse seria o seu objetivo, nós reconhecemos o seu trabalho. Agora, independente disso, eu tenho a impressão de que se houvesse uma integração maior na área da Secretaria da Justiça, da Secretaria da Segurança, da Saúde, Educação e do judiciário, eu tenho a impressão de que a coisa não emperraria.
