DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
30/01/1989,Almino Affonso,1,Jorge Escosteguy,"Boa noite, estamos começando mais um Roda Viva. Este programa também é transmitido ao vivo pela Rádio Cultura AM e pelas TVs Educativas do Piauí, Ceará, Bahia, Porto Alegre e TV Cultura de Curitiba. Também é retransmitido pelas TVs Educativas do Mato Grosso do Sul, Minas Gerais e Espírito Santo. O convidado do Roda Viva desta noite é o vice-governador do estado de São Paulo, Almino Affonso. Você que está assistindo ao programa e quiser fazer perguntas pelo telefone pode chamar 252-6525, 252-6525. A Carla, a Marta e a Ivaneide estarão aqui para anotar as perguntas. Para entrevistar o vice-governador Almino Affonso nós convidamos os seguintes jornalistas: Fátima Turci, repórter de Economia da sucursal de São Paulo do Jornal do Brasil; Roberto Lopes, repórter do jornal Folha de S. Paulo; Tão Gomes Pinto, editor da revista IstoÉ Senhor; Cecília Pires, repórter do jornal O Estado de S. Paulo; Paulo Klein, repórter do jornal Diário Popular; Pedro Del Picchia, editor de reportagem da revista Afinal; Carlos Tramontina, apresentador do programa Bom Dia São Paulo, da TV Globo, e Terezinha Lopes, repórter da sucursal paulista do jornal O Globo. Almino Affonso, vice-governador de São Paulo, nasceu em Humaitá, no Amazonas, e tem 58 anos de idade. Foi líder da oposição na Câmara Federal durante o governo Jânio Quadros {Jânio Quadros: Jânio da Silva Quadros (1917-1992) nasceu no estado do Mato Grosso, mas destacou-se como político em São Paulo, onde foi deputado, prefeito e governador. Foi presidente do Brasil de janeiro a agosto de 1961, eleito com 5,6 milhões de votos - a maior votação até então jamais obtida no país. Renunciou alegando que “forças ocultas” o obrigavam a isso. Acredita-se que essa renúncia era uma encenação para que o Parlamento lhe concedesse liberdade governamental e para obter o apoio do exército. Figura singular, Jânio falava um português peculiarmente castiço e tomou medidas famosas, destinadas a criar uma imagem de inovação dos costumes e saneamento moral, como a proibição de biquínis, do lança-perfume e das brigas de galos. A criação de reservas indígenas, novas formas de relações internacionais e a condecoração do guerrilheiro Che Guevara foram outras de suas ações espetaculares. Utilizava uma vassoura como símbolo de campanha sinalizando que varreria a corrupção do governo.}, em 1962, e ocupou o cargo de ministro do Trabalho e da Previdência Social no governo João Goulart {João Goulart: O gaúcho João Goulart, conhecido como Jango, foi ministro do Trabalho, Indústria e Comércio no segundo governo de Getúlio Vargas (1951-1954), sendo forçado a renunciar após conceder um aumento de 100% ao salário mínimo, que causou forte reação dos empresários e da imprensa. Foi eleito duas vezes consecutivas vice-presidente do Brasil, em 1955 e em 1960, época em que as eleições para presidente e vice-presidente eram realizadas separadamente. Na segunda vez, assumiu a presidência, em 1961, após seu predecessor, Jânio Quadros, renunciar. Em 13 de março de 1964 anunciou, em um discurso histórico, no Rio de Janeiro, seu programa de reformas de base (nos setores agrário, fiscal, educacional, bancário e eleitoral), decretou a nacionalização das refinarias privadas de petróleo e desapropriou, para a reforma agrária, terras às margens de ferrovias, rodovias e zonas de irrigação de açudes públicos. Manteve uma política externa independente reatando relações diplomáticas com a União Soviética e se recusando a apoiar uma invasão em Cuba, proposta pelos EUA. Tudo isso provocou manifestações - como a Marcha da Família com Deus pela Liberdade - organizadas por setores da classe média, principalmente ligados ao clero e a entidades femininas, temerosos do “perigo comunista”. Essas manifestações, aliadas a um cenário de desemprego e inflação, deram sustentação popular ao golpe militar em 31 de março de 1964, que depôs Jango. Diante da cassação de seus direitos políticos por 10 anos, exilou-se em suas fazendas, na Argentina. Morreu, vítima de ataque cardíaco, no município argentino de Mercedes, em 6 de dezembro de 1976.}, em 1963. Com o movimento militar de 1964, Almino Affonso deixou o país e se exilou, só voltando em 1976. De volta ao Brasil, filiou-se ao MDB [Movimento Democrático Brasileiro {Movimento Democrático Brasileiro: MDB (Movimento Democrático Brasileiro), junto com a Arena (Aliança Renovadora Nacional), fazia parte do bipartidarismo existente no Brasil por imposição de Ato Institucional decretado pela ditadura militar na década de 1960, como instrumento de dominação política, sendo a Arena que mais claramente apoiava o governo. O período do bipartidarismo brasileiro durou quatro eleições proporcionais - 1966, 1970, 1974 e 1978 - e desapareceu em 1979, quando o Congresso decretou seu fim, sinalizando a abertura política e abrindo espaço para a reorganização de um novo sistema multipartidário. No começo da década de 1980, cinco novos partidos se estabeleceram: 1) Partido Democrático Social (PDS), herdeiro da estrutura organizacional da Arena; 2) Partido do Movimento Democrático Brasileiro (PMDB), principal herdeiro do extinto MDB; 3) Partido dos Trabalhadores (PT), braço eleitoral do movimento sindical paulista; 4) Partido Democrático Trabalhista (PDT) e 5) Partido Trabalhista Brasileiro (PTB), estes dois últimos reivindicando para si a herança do trabalhismo getulista.}]. Em 1986 foi eleito vice-governador na chapa liderada por Orestes Quércia {Orestes Quércia: Orestes Quércia é empresário e um dos fundadores do PMDB [Partido do Movimento Democrático Brasileiro]. Na carreira política foi vereador e prefeito da cidade de Campinas, deputado estadual e senador, além de ter sido eleito, em 1986, governador do estado de São Paulo. A gestão de Quércia foi marcada por grandes obras, como a duplicação de rodovias, investimentos em segurança, a construção do Memorial da América Latina, entre outras. O político enfrentou diversas situações polêmicas e acusações de desvio de verbas de obras, corrupção e ilegalidades no governo, como a aquisição de equipamentos sem licitação e má administração do banco Banespa [antigo Banco do Estado de São Paulo, vendido posteriormente para o espanhol Santander]. No seu governo, as universidades públicas do estado ganharam autonomia financeira. Em 1994, foi candidato derrotado à presidência da República, sendo o quarto mais votado. Bastante influente nos meios políticos, foi reeleito presidente do PMDB (já havia exercido o cargo entre os anos de 1991 e 1993) em 2006.}. Almino Affonso é apontado como um dos prováveis candidatos a candidato ao governo de São Paulo pelo PMDB. Vice-governador, para começar o nosso Roda Viva eu gostaria de lhe fazer uma pergunta conjunta, vamos dizer assim. Em primeiro lugar, se o senhor acredita que o governador Orestes Quércia será realmente candidato à Presidência da República. Em ele sendo candidato, o que o senhor preferiria: disputar da mesma forma a convenção do PMDB para disputar o governo de São Paulo ou permanecer os dois anos no governo?"
30/01/1989,Almino Affonso,2,Almino Affonso,"A primeira parte da pergunta eu tenho que responder com as próprias palavras do governador Quércia. Sucessivas vezes ele tem dito que não é candidato, que não pretende sê-lo, e isso ele reafirma também em privado nas conversas que eventualmente tenhamos mantido, de forma que eu sou obrigado a considerar que ele não é candidato, o que não impede que venha a ser."
30/01/1989,Almino Affonso,3,Jorge Escosteguy,"Agora, o PMDB o tem pressionado nesse sentido. O senhor acha que ele deve ser?"
30/01/1989,Almino Affonso,4,Almino Affonso,"Parte, pelo menos, do PMDB começa a ter manifestações nessa linha. O nosso candidato natural hoje é o doutor Ulysses Guimarães {Ulysses Guimarães: Político histórico do PMDB, partido do qual foi presidente por longo tempo, influenciou fortemente a política nacional. Começou a carreira como deputado estadual, eleito por São Paulo à Constituinte de 1947, na legenda do Partido Social Democrático (PSD). Elegeu-se deputado federal por seu estado, por onze mandatos consecutivos, de 1951 a 1995 (não tendo terminado o último mandato). Assumiu a pasta do Ministério da Indústria e Comércio no gabinete Tancredo Neves, durante a curta experiência parlamentarista brasileira (1961-1962). Apoiou, inicialmente, o movimento militar que, em 1964, depôs o presidente João Goulart, mas logo passou à oposição. Em 1973, lançou sua anti-candidatura simbólica à presidência da República como forma de repúdio ao regime militar, tendo como vice o jornalista e ex-governador de Pernambuco, Barbosa Lima Sobrinho. Participou de todas as campanhas pelo retorno do país à democracia, inclusive a luta pela anistia ampla, geral e irrestrita e o movimento pelas “diretas já”. Exerceu a presidência da Câmara dos Deputados em três períodos (1956-1957, 1985-1986 e 1987-1988); presidindo a Assembléia Nacional Constituinte, em 1987-1988. Em 1989, foi candidato derrotado à Presidência da República. Faleceu em acidente aéreo de helicóptero, ao largo de Angra dos Reis (RJ), em 12 de outubro de 1992, junto com a esposa D. Mora, o senador Severo Gomes e esposa, e o piloto. Seus restos mortais nunca foram encontrados.}, mas é provável que esse quadro não fique tão imóvel como hoje está e as circunstâncias políticas nacionais recoloquem em debate quem há de ser o nosso candidato à Presidência da República. Eu resumiria dizendo assim: Ulysses é o candidato natural. Se Ulysses não for o candidato, eu suponho que Quércia é o segundo nome imediatamente no rol dos muitos possíveis candidatos que o PMDB teria."
30/01/1989,Almino Affonso,5,[...],"Doutor Almino, ..."
30/01/1989,Almino Affonso,6,Almino Affonso,"[Para responder] A segunda parte da pergunta, eu lhe diria o seguinte: eu me sentiria no dever de assumir, se eventualmente ele viesse a disputar a Presidência, e, portanto, a deixar o governo em maio. Considero um dever ético assumir o governo, o que vale dizer que, do ponto de vista legal, eu estaria impedido de disputar em 1990 a sucessão estadual."
30/01/1989,Almino Affonso,7,Jorge Escosteguy,"Agora, o senhor, de qualquer forma, é candidato a candidato ao governo de São Paulo?"
30/01/1989,Almino Affonso,8,Almino Affonso,Eu não tenho porque esconder: eu sou candidato a candidato. Mas será oportunamente decidido pelo PMDB.
30/01/1989,Almino Affonso,9,Jorge Escosteguy,"Pedro Del Picchia, por favor:"
30/01/1989,Almino Affonso,10,Pedro Del Picchia,"Doutor Almino, o senhor tem voto na convenção nacional do PMDB? O senhor é membro do diretório ou convencional?"
