DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
07/06/1999|Aloysio Nunes Ferreira|1|[programa ao vivo, permitindo a participação dos telespectadores]|programa ao vivo, permitindo a participação dos telespectadores]
07/06/1999|Aloysio Nunes Ferreira|2|Paulo Markun|Boa noite. Ele é o responsável pelo encaminhamento de uma proposta radical de reforma do poder judiciário que inclui, entre outras coisas, o fim da Justiça do Trabalho e a adoção de controle externo sobre esse poder de República. No centro do Roda Viva esta noite, está o deputado Aloysio Nunes Ferreira, do PSDB [Partido da Social Democracia Brasileira] de São Paulo, relator da comissão especial de reforma do judiciário. Advogado, 54 anos, o deputado Aloysio Nunes Ferreira já foi vice-governador de São Paulo, por duas vezes deputado estadual e está em seu segundo mandato de deputado federal. Em seu relatório ele propõe também que as causas trabalhistas sejam cuidadas pela própria Justiça Federal e sugere a criação de órgãos de conciliação extrajudiciais, nos quais os conflitos entre patrões e empregados seriam resolvidos sem interferência da Justiça. O deputado defende ainda a extinção parcial da Justiça Militar [Superior Tribunal Militar] e um novo mecanismo para manter a morosidade dos tribunais, a súmula vinculante pela qual os juízes não poderiam proferir sentenças diferentes das decisões já tomadas pela Supremo Tribunal Federal em relação a esse mesmo assunto. A súmula vinculante [jurisprudência que, quando votada pelo STF, se torna um entendimento obrigatório ao qual todos os outros tribunais, juízes, poderes e a administração pública terão que seguir], segundo o deputado, diminuiria a entrada de novos recursos que atualmente são tentados exatamente em busca de uma sentença diferente da que já foi dada, ou até mesmo de simplesmente ganhar tempo. Para entrevistar o deputado Aloysio Nunes Ferreira, nós convidamos: Márcio Chaer, diretor da revista Consultor Jurídico; Luiz Fernando Ribeiro de Carvalho, presidente da Associação dos Magistrados Brasileiros; Reginaldo de Castro, presidente nacional da Ordem dos Advogados do Brasil; Kenarik Boujikian Felippe, presidente da Associação dos Juízes para a Democracia [ADJ]; Luiz Antônio Guimarães Marrey, procurador geral de Justiça do estado de São Paulo; Floriano Vaz da Silva, presidente da Academia Nacional de Direito de Trabalho de São Paulo; Enio Lucciola, chefe de reportagem da TV Cultura, que vai se encarregar de fazer as perguntas dos telespectadores; o jornalista Luiz Maklouf Carvalho, repórter do Jornal do Brasil. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Você pode participar do programa fazendo perguntas pelo telefone (011) 252-6525, pelo nosso fax, que é (011) 3874-3454 ou pela internet. O e-mail é rodaviva@tvcultura.com.br. Deputado Aloysio, boa noite.
07/06/1999|Aloysio Nunes Ferreira|3|Aloysio Nunes Ferreira|Boa noite.
07/06/1999|Aloysio Nunes Ferreira|4|Paulo Markun|O tema que nós vamos discutir aqui hoje é muito importante, mas quando eu estava vindo para cá de táxi... Os motoristas de táxi são uma boa fonte de informação e de referência para a gente saber o que se passa na cabeça da população. Esse motorista bem informado, assim como muitos motoristas são, me perguntou o seguinte: "Vocês vão discutir hoje a reforma do judiciário? O que isso vai mexer na minha vida?". Eu passo a pergunta ao senhor: o que isso vai mexer com a vida desse motorista de táxi e com a vida da maioria das pessoas que, ao contrário de quem está aqui hoje, não têm interesses diretamente ligados a essa discussão?
07/06/1999|Aloysio Nunes Ferreira|5|Aloysio Nunes Ferreira|Bem, a reforma do judiciário tem como objetivo propiciar ao Brasil uma Justiça que esteja mais ao alcance do cidadão, uma Justiça mais rápida, mais responsável perante a sociedade, mais eficiente. Esses são os objetivos gerais. O problema começa quando nós vamos dar as respostas concretas a essas questões. O problema é delicado porque nós não temos no mundo político uma tradição de reflexão sobre o poder judiciário. O poder judiciário é visto como um mundo à parte, os partidos políticos não têm uma tradição de pensamento sobre o poder judiciário. Freqüentemente, o próprio poder judiciário não tem uma visão global sobre si mesmo. Nós temos artigos, escritos, intervenções de juízes tratando do seu tribunal ou de juristas tratando do ramo ao qual eles são mais afeiçoados, mas nos falta uma referência global, uma reflexão global, tanto no mundo político quanto entre os próprios interessados ou aqueles que vivem a vida forense. Daí a dificuldade do tema.
07/06/1999|Aloysio Nunes Ferreira|6|Paulo Markun|Isso não significaria que justamente, em função dessa dificuldade, esse debate deveria se prolongar? Toda vez que vai se mexer em um vespeiro, as vespas dizem assim: “Olha, estão fazendo isso com muita pressa, não é assim, vamos esperar mais um pouco, vamos discutir mais um pouco!”. Acaba acontecendo o que acontece em muitas reformas que estão em discussão no Brasil. Passam-se quatro, oito anos e nada acontece. Minha pergunta é a seguinte: dá para fazer isso rapidamente ou é necessário debater isso com exaustão?
07/06/1999|Aloysio Nunes Ferreira|7|Aloysio Nunes Ferreira|Não, o debate não é recente, Markun. O debate teve um ponto forte na Constituinte, em 1988, [Constituinte de 1988] que deu uma nova configuração ao poder judiciário, alargou muito o campo dos atores do processo judicial, criou ações coletivas, ações de defesa de interesses difusos, criou novas modalidades de controle da constitucionalidade. Esse debate se prolongou durante a tentativa de revisão constitucional em 1994. Na legislatura passada, houve uma comissão formada na Câmara dos Deputados exatamente com objetivo de fazer a reforma do poder judiciário, que não pôde ser feita durante a revisão constitucional. A Câmara trabalhou dois anos e meio nesse assunto e retoma a discussão agora. O debate existe há bastante tempo, nós precisamos agora é de soluções.
07/06/1999|Aloysio Nunes Ferreira|8|Luiz Maklouf Carvalho|Deputado, antes de entrar no mérito da sua proposta e dos temas específicos, eu queria que o senhor comentasse o seguinte: o senhor ocupou um posto de relator muito disputado. O Antônio Carlos Magalhães chegou a quase exigir que o Jairo Carneiro [então deputado federal pela Bahia] fosse o relator dessa comissão, houve ali mais uma "briga de foice no escuro" em função desse posto. Eu fico imaginando a quantidade de lobbies fortes e vigorosos que o senhor deve ter enfrentado em uma comissão como essa, onde todos os interesses... ou seja, cada grupo de organizou... O senhor daria uma idéia para nós e para os telespectadores de como foi essa luta "de foice no escuro"?
07/06/1999|Aloysio Nunes Ferreira|9|Aloysio Nunes Ferreira|Houve, inicialmente, como você lembrou, uma disputa política em torno do comando da comissão, o que eu acho até muito saudável porque uma das causas pelas quais a comissão da reforma do judiciário na legislatura passada não pôde concluir o seu trabalho foi o alheamento em relação ao tema das forças políticas. Dessa vez, houve o empenho das forças políticas em ocupar os postos de comando, a presidência e a relatoria. Houve, em conseqüência dessa disputa, uma solução altamente benéfica de trazer as forças políticas para assumirem o problema do judiciário, que foi a solução dos relatores parciais: eu trabalho assessorado, mas ao lado de relatores de diferentes partidos, situação e oposição tratam de temas setoriais. Agora, quanto aos interesses que se manifestam, isso é a função normal do parlamento. É claro que não é uma questão simples, não é uma questão unívoca e não comporta soluções baseadas na verdade, ela comporta soluções baseadas em opções políticas. Não há verdade nisso, ninguém está com a verdade absoluta...
07/06/1999|Aloysio Nunes Ferreira|10|Luiz Maklouf Carvalho|Como isso funciona, deputado? São telefonemas, as pessoas lhe procuram por fax, cartas?
07/06/1999|Aloysio Nunes Ferreira|11|Aloysio Nunes Ferreira|Houve um contato extremamente civilizado em que as diferentes correntes de opinião do mundo forense apresentaram suas propostas. Quase todas foram por escrito. Houve audiências públicas desde a legislatura passada que foram repetidas desta vez, de modo que houve uma busca de convencimento que é absolutamente normal em se tratando de setores da sociedade que têm influência política, que participam do mundo político, que têm contato freqüente com o Congresso [Nacional], que conhecem o caminho para chegar naqueles que estão no processo decisório.
07/06/1999|Aloysio Nunes Ferreira|12|Reginaldo de Castro|Deputado.
07/06/1999|Aloysio Nunes Ferreira|13|Aloysio Nunes Ferreira|Pois não.
07/06/1999|Aloysio Nunes Ferreira|14|Reginaldo de Castro|Sobre a vocatória, confesso que não ouvi, durante todo o tempo e mesmo nas audiências públicas, nenhuma proposta nesse sentido. Eu chamaria de vocatória os incidentes de inconstitucionalidade e de interpretação de lei federal. Isso nos assustou muito porque, na verdade, nós não esperávamos que se ressuscitasse esse instrumento que, em 1977, acabou sendo imposto ao país com o fechamento do Congresso Nacional...
07/06/1999|Aloysio Nunes Ferreira|15|Paulo Markun|Reginaldo, é bom esclarecer porque a grande maioria dos telespectadores não tem a menor idéia do que seja isso.
07/06/1999|Aloysio Nunes Ferreira|16|Reginaldo de Castro|Sim, muito bem. O incidente de inconstitucionalidade permitirá ao Supremo Tribunal Federal interferir em uma demanda que esteja em curso no primeiro grau de jurisdição com o juiz, a quem inicialmente é distribuída uma ação, e essa questão é levada a julgamento no Supremo Tribunal Federal, portanto antes mesmo da decisão do juiz de primeiro grau. Dessa forma, o STF poderá interromper o processo sem que haja oportunidade de o juiz julgar aquela demanda, o recurso e depois o STF vir a apreciá-los depois. É uma antecipação, é uma interferência no devido processo legal, que é um direito assegurado no Artigo 5º da Constituição, portanto intocável. Isso nos surpreendeu muito... De onde surgiu essa idéia de ressuscitar esse instituto que é tão repudiado pelo mundo jurídico brasileiro?
