DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
28/02/1994|Álvaro A. Vidigal|1|[programa ao vivo, com participação do telespectador]|programa ao vivo, com participação do telespectador]
28/02/1994|Álvaro A. Vidigal|2|Jorge Escosteguy|Boa noite. Começa amanhã o Brasil da URV, Unidade Real de Valor. Começa mais um processo de aprendizado e convivência com mais um plano econômico de combate a inflação. Durante o dia de hoje, os telespectadores da Cultura puderam acompanhar o anúncio e os desdobramentos da medida provisória do governo que criou a URV. Acompanharam as reações e opiniões de líderes empresariais e dos trabalhadores e, certamente, estão aí em casa fazendo as contas, tentando imaginar como deve ser o salário pela média dos últimos quatro meses. No Roda Viva que começa agora pela Rede Cultura, nós vamos conversar sobre o novo plano econômico com o representante do setor específico da economia brasileira, o setor que apresentou o maior resultado no ano passado e que começou em 94 com toda a força. No centro da roda o nosso convidado desta noite é o presidente da Bolsa de Valores de São Paulo, Álvaro Augusto Vidigal. Formado em administração de empresas, 46 anos, Álvaro Augusto Vidigal assumiu a presidência da Bovespa [Bolsa de Valores de São Paulo] em 1991; é membro do Conselho de Administração da Bolsa de Mercadorias e de Futuro e do Conselho Superior de Economia das Federações das Indústrias de São Paulo e também diretor da Associação Comercial de São Paulo. Para entrevistar Álvaro Augusto Vidigal esta noite aqui no Roda Viva, nós convidamos: Denise Campos de Toledo, comentarista de Economia do Telejornal Brasil, do SBT; Ibsen Spartacus, chefe de pauta da TV Cultura de São Paulo; Fabio Phaim, repórter especial do Jornal da Tarde; Stephen Kanitz, professor da Faculdade de Economia e de Administração da USP; Rolf Kuntz, comentarista de economia do jornal O Estado de S. Paulo; José Fucs, editor de finanças da Revista Exame; José Paulo Kupfer, editor-chefe do jornal Zero Hora em São Paulo. Lembrando que o Roda Viva também é transmitido por outras 26 emissoras em todo o Brasil. Você que está em casa e quiser fazer perguntas por telefone pode chamar a Shizuca, a Cristina e a Ana que estarão anotando suas perguntas ou então mandar perguntas por fax. Boa noite, doutor Vidigal.
28/02/1994|Álvaro A. Vidigal|3|Álvaro Augusto Vidigal|Boa noite.
28/02/1994|Álvaro A. Vidigal|4|Jorge Escosteguy|Vamos imaginar - e, infelizmente, apenas imaginar - que eu estivesse seguindo os conselhos do nosso amigo Stephen Kanitz e tivesse colocado algumas economias na bolsa há uns dois ou três anos no fundo de ações, por exemplo. O senhor diria que hoje, diante das medidas anunciadas pelo governo, eu deveria estar mais tranqüilo ou mais inseguro em relação ao meu dinheiro?
28/02/1994|Álvaro A. Vidigal|5|Álvaro Augusto Vidigal|Acho que pode você ficar tranqüilo. A bolsa tem tido um excelente desempenho ao longo prazo e eu acho que tem possibilidades ainda de continuar sendo um bom investimento, uma vez que se busca nesse novo plano econômico a estabilização da economia, economia estável significa bolsa mais forte, significa novos investimentos nas indústrias, nos comércios, significa possibilidade de retomada do desenvolvimento, e isso é bastante positivo para os negócios com ações.
28/02/1994|Álvaro A. Vidigal|6|Jorge Escosteguy|No seu ponto de vista jurídico, vamos dizer assim, jurídico como presidente da Bovespa, o senhor faria que avaliação desse plano anunciado pelo ministro?
28/02/1994|Álvaro A. Vidigal|7|Álvaro Augusto Vidigal|Olha, avaliação não é jurídica...
28/02/1994|Álvaro A. Vidigal|8|Jorge Escosteguy|Como pessoa jurídica da Bovespa.
28/02/1994|Álvaro A. Vidigal|9|Álvaro Augusto Vidigal|Sim, eu acredito que o plano é bom. Ele é bom porque é simples, é fácil de ser entendido, ele é fácil de ser aplicado, ele não embute nenhuma mentira dentro dele, ele tenta trabalhar com o diário e com a verdade, eu acho isso extremamente favorável, acho que os agentes econômicos devem logo utilizar a URV como indexador e isso tudo deve facilitar o caminho para mais adiante, ao nós passarmos para o real, que seria a nova moeda que deve ser feita tão-logo esse processo esteja mais ou menos acomodado. Eu acho que o plano tem boas possibilidades de dar certo neste primeiro momento, não se esquecendo que eu acredito que os problemas estruturais da inflação não foram de todos saneados.
28/02/1994|Álvaro A. Vidigal|10|Jorge Escosteguy|Quais seriam esses problemas, na sua opinião?
28/02/1994|Álvaro A. Vidigal|11|Álvaro Augusto Vidigal|Eu acho que nós temos que fazer uma reforma fiscal e tributária mais profunda, não adianta só fazer um Fundo Social de Emergência, você pode resolver nesse momento, mas não resolve o problema a longo prazo. A longo prazo precisa ter uma simplificação tributária, uma vez que é muito complicado o sistema de tributação no Brasil. Nós temos impostos em cascata que oneram até a própria exportação, eu acho que isso precisa ser solucionado num ambiente de revisão constitucional, que nós temos agora a possibilidade de somar a esse plano a possibilidade de consertar o outro lado da economia, que é fazer uma reforma mais ampla e mais definitiva.
28/02/1994|Álvaro A. Vidigal|12|Jorge Escosteguy|Alguns políticos tiveram opiniões bastante retraídas, bastante céticas em relação a esse plano, e são políticos de tendências absolutamente díspares como, por exemplo, Esperidião Amin [ex-senador da República entre 1990 e 1999, e ex-governador de Santa Catarina de 1983 a 1987 e de 1999 a 2003], do PPR e o Miro Teixeira [deputado federal] do PDT, eles estão achando esse plano muito parecido com o Plano Cruzado. O senhor veria alguma semelhança nesse sentido?
28/02/1994|Álvaro A. Vidigal|13|Álvaro Augusto Vidigal|Não, eu não vejo nenhuma semelhança com o Plano Cruzado. Eu acho que o Plano Cruzado parte, do início, de uma premissa também correta de plano também correta, mas eles foram iludidos na tentativa de querer assegurar uma coisa que é impossível de assegurar. Eles deram um ganho muito grande ao salário naquele momento em congelar os preços, eles provocaram as demandas e não seguraram a outra parte, então não teve a possibilidade de sucesso, de maneira nenhuma, e, fora isso, o governo continua fazendo gastos em um período pré-eleitoral. Eu acredito que hoje já existe a consciência de que isso não é mais possível, de que não adianta criar moeda, criar ilusão, acho que temos mais possibilidades de que esse plano chegue a um termo muito melhor do que chegou o Plano Cruzado. É preciso, claro, que o governo não caia na tentação de eventualmente querer partir para fazer campanha eleitoral em cima do plano, que aí ele poderia gastar um dinheiro que ele provavelmente não tenha. Ele tem que cumprir um orçamento que se pressupõe equilibrado. Vai ser aprovado o orçamento agora mês que vem, e eu acredito que esse orçamento tem que ser equilibrado, se não for não vai adiantar de nada a adoção desse plano. Simplesmente um indexador não resolve alguma coisa.
