DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
05/07/2007,Amós Oz,1,Paulo Markun,"Boa noite! O terceiro programa da série do Roda Viva na Festa Literária Internacional de Parati apresenta, hoje, a entrevista de um escritor que tem a vida e a obra centrada num dos piores dramas vividos no mundo atual: o conflito entre árabes e israelenses. Ele participou de duas guerras como soldado de Israel. Depois tornou-se um militante pacifista e produziu uma obra literária que o transformou no mais importante escritor de língua hebraica, traduzido praticamente em todo o mundo. O Roda Viva entrevista hoje o ativista político e escritor israelense Amós Oz, o principal nome da literatura atual de Israel e um dos destaques da Festa Literária Internacional de Parati. Ele recebeu, na semana passada, o prêmio espanhol Príncipe de Astúrias de letras 2007 pela sua obra em defesa da paz e de denúncia contra o fanatismo. O Roda Viva começa em instantes."
05/07/2007,Amós Oz,2,[...],[intervalo]
05/07/2007,Amós Oz,3,Paulo Markun,O escritor Amós Oz construiu sua obra literária junto à construção do Estado de Israel. Sua literatura vem ajudando a revelar uma realidade marcada por relações de amor e ódio que varreram a Europa no século XX e que aumentaram o drama do conflito entre Israel e o mundo árabe.
05/07/2007,Amós Oz,4,[Comentarista],"A meninice de Amós Oz coincide com o início do Estado de Israel. As memórias de menino são as memórias de um país que foi criado quando Amós tinha apenas 8 anos. Nascido em Jerusalém, com o sobrenome Klausner, saiu de casa aos 15 anos, depois da morte da mãe e em conflito com o conservadorismo do pai. Foi morar num kibutz, espécie de colônia rural comunitária, quando adotou o sobrenome Oz, que significa coragem em hebraico. Como todo jovem israelense, fez serviço militar. Participou da Guerra dos Seis Dias {Guerra dos Seis Dias: Em 1967 Israel deu início ao armamento bélico de suas fronteiras, ao passo que o Egito ordenou um bloqueio no Golfo de Aqaba. O conflito começou em abril, quando Israel decidiu avançar nas colinas de Golã, na Faixa de Gaza e no norte do monte Sinai. Durante a operação, seis aviões sírios Mig foram abatidos pelos caças israelenses. As tensões entre árabes e israelenses, então, se acentuaram. A Jordânia abriu fogo contra Jerusalém e a Síria interveio no conflito. No terceiro dia de luta todo o Sinai já estava sob o controle de Israel. Os israelenses impuseram uma derrota devastadora aos adversários, isso porque, depois do confronto, a Palestina praticamente saiu do mapa geopolítico do Oriente, aumentando o número de refugiados palestinos na Jordânia e no Egito. Além disso, Síria e Egito estreitaram relações com a União Soviética, facilitando na renovação do seu arsenal bélico.}, em 1967, um ataque-surpresa para prevenir uma ofensiva conjunta que Egito, Síria e Jordânia preparavam contra Israel. Depois lutou na Guerra do Yon Kipur em 1973. Dessa vez, Israel [é] que foi atacado de surpresa pelo Egito e pela Síria, que pretendiam recuperar territórios perdidos na guerra anterior. Nesse período, Amós já havia iniciado sua produção literária e publicado ensaios de conteúdo pacifista. Em 1978, ajudou a fundar o movimento Paz Agora e foi se tornando conhecido por sua ação política em favor de negociações com palestinos e da idéia de um Estado para cada povo. Tornou-se, assim, uma figura de dupla importância na vida do país: pela militância em busca de uma solução de paz e pelo trabalho literário, que o colocou na posição do mais renomado romancista de Israel. Entre ensaios, novelas, contos e romances já produziu quase trinta livros, traduzidos em quase trinta línguas. Boa parte está disponível no Brasil: Não diga noite, A caixa preta, O mesmo mar, Pantera no porão, entre outros. Até o mais recente, De amor e trevas, onde conta a história de uma família e de parte de sua infância. Não é uma autobiografia, mas a reconstituição de personagens e conflitos familiares para fazer um paralelo com o conflito árabe-israelense. Amós Oz, que conta ter sido criado em meio a fanáticos de direita, costuma dizer que é um fanático recuperado. E aponta a literatura como um eficiente antídoto contra o fanatismo."
05/07/2007,Amós Oz,5,Paulo Markun,"Para entrevistar o escritor israelense Amós Oz, nós convidamos Helio Goldsztejn, coordenador do núcleo de arte e cultura da TV Cultura; Marcelino Freire, escritor; Noemi Jaffe, colaboradora do jornal Folha de S. Paulo; Norma Couri, correspondente da revista portuguesa Visão; Flávio Moura, crítico literário e editor da revista Novos Estudos Cebrap e professor da Facamp, e Luís Krausz, editor da Revista 18 e doutor em literatura judaica pela USP. Também temos a participação do cartunista Paulo Caruso, registrando em seus desenhos os principais momentos e os flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV, pela rede pública, para todo o Brasil. Mas, como o programa de hoje está sendo gravado, ele não permite a participação direta do telespectador. Boa noite!"
05/07/2007,Amós Oz,6,Amós Oz,Boa noite.
05/07/2007,Amós Oz,7,Paulo Markun,"O senhor, num certo trecho desse livro, o senhor diz que, às vezes os fatos comprometem a verdade. Eu queria que o senhor explicasse melhor essa frase."
05/07/2007,Amós Oz,8,Amós Oz,"Acredito muito nas concessões. Fazer concessões é um modo de vida. Sei que muitos jovens idealistas vêem as concessões como uma coisa ruim, acham que é falta de integridade e honestidade, que é uma coisa meio furtiva. No meu vocabulário, concessão é sinônimo da palavra vida. Onde há vida, há concessões. O contrário de concessão não é idealismo, o contrário de concessão é fanatismo, é morte. Acredite, entendo bastante de concessões, sou casado com a mesma mulher há 47 anos."
05/07/2007,Amós Oz,9,Paulo Markun,Norma.
05/07/2007,Amós Oz,10,Norma Couri,"O senhor diz que, para a confecção da paz, alguns elementos são necessários e são elementos que os políticos não costumam usar. Por exemplo, o senhor já citou os Beatles [banda de rock formada com quatro integrantes: John Lennon (guitarra e vocal), Paul McCartney (baixo e vocal), George Harrison (guitarra e vocal) e Ringo Starr (bateria e vocal) em Liverpool, Inglaterra, na década de 1960. Fez muito sucesso e é referência musical no mundo todo até hoje]: “O que está faltando no mundo é amor”. E outra vez o senhor citou as armas que os escritores usam: a literatura. Então, primeiro, nunca vai se chegar à paz com encontros, acordos, apertos de mão, decretos, divisão de território? E [de] que material estranho é feita a paz? Tão estranho, que há cinqüenta e oito anos ninguém sabe o que é paz naquela parte do mundo. Será que só lêem [William] Shakespeare [(1564-1616) romancista inglês. Seus poemas, contos e peças são frequentemente readaptados às situações cotidianas atuais, em especial as tragédias, que são bastante conhecidas. Por exemplo, Romeu e Julieta, Hamlet e Otelo] lá. Acaba tudo em tragédia?"
