DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
12/10/1998|Ana Mae Barbosa|1|Programa ao vivo|Programa ao vivo
12/10/1998|Ana Mae Barbosa|2|Paulo Markun| Boa noite. Ela tem chamado a atenção sobre a importância do ensino de arte no país e diz que uma sociedade só é desenvolvida quando é artisticamente desenvolvida. No centro do Roda Viva esta noite, a doutora em arte educação, Ana Mae Barbosa.
12/10/1998|Ana Mae Barbosa|3|[Comentarista Valéria Grillo]| Uma recente pesquisa feita pela Escola de Sociologia e Política de São Paulo deu a medida da distância existente entre público e arte: 63% dos paulistanos maiores de 14 anos nunca vão a museus, galerias ou exposições de arte. Esse escasso contato entre arte e público é um dos reflexos de 50 anos de educação modernista, que ensina a fazer, mas não ensina a apreciar e a compreender a arte. Esta interpretação é de Ana Mae Barbosa, o mais importante nome da arte-educação brasileira da atualidade. Professora de arte-educação da Universidade de São Paulo, também foi diretora do Museu de Arte Contemporânea da USP e professora visitante de várias universidades nos Estados Unidos e Inglaterra. Já publicou uma dúzia de livros sobre ensino da arte, defendendo a idéia de que as escolas devem ensinar a criança, não apenas a fazer arte, mas a entender e a ter prazer com a arte. A alfabetização visual influi na capacidade crítica das novas gerações e precisa ser muito bem considerada quando se pensa na formação da cidadania. [Fala de Ana Mae Barbosa]: “Você acha possível desenvolver consciência de cidadania sem um conhecimento claro da história do país do qual você é cidadão? Ou da arte do país do qual você é cidadão? Porque o artista é aquele que configura a imagem da sua cultura”.
12/10/1998|Ana Mae Barbosa|4|[VTs de matérias nas ruas]|
12/10/1998|Ana Mae Barbosa|5|Entrevistado| O que é a arte? Definir a arte é meio difícil.
12/10/1998|Ana Mae Barbosa|6|Entrevistado| Tudo o que a gente vive é arte.
12/10/1998|Ana Mae Barbosa|7|Entrevistado| Cinema, teatro.
12/10/1998|Ana Mae Barbosa|8|Entrevistada| Tapeçaria, pintura.
12/10/1998|Ana Mae Barbosa|9|Entrevistada| São os quadros?
12/10/1998|Ana Mae Barbosa|10|Entrevistado| Arte é música.
12/10/1998|Ana Mae Barbosa|11|Entrevistada| Tudo que você pode mexer e transformar.
12/10/1998|Ana Mae Barbosa|12|Entrevistada| Arte é tudo de bonito que a gente vê.
12/10/1998|Ana Mae Barbosa|13|Criança 1| [recitando] Ontem me “cordei”, fui ao banheiro e me banhei...
12/10/1998|Ana Mae Barbosa|14|Criança 2| [Mostrando seu desenho] Desenhei uma casa com uma chaminé, e o sol, um matinho e uma nuvem.
12/10/1998|Ana Mae Barbosa|15|Criança 1| [recitando] Me “pãozei” e me “cafezei”.
12/10/1998|Ana Mae Barbosa|16|Criança 3| Eu terminei. [avisando que terminou de pintar o rosto]
