DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
25/01/1988|André Franco Montoro|1|[programa ao vivo, permitindo a participação dos telespectadores]|[programa ao vivo, permitindo a participação dos telespectadores]
25/01/1988|André Franco Montoro|2|Augusto Nunes| Boa noite! Começa agora o programa Roda Viva, pela TV Cultura de São Paulo. O programa começa, nesta noite, a entrevistar todos os candidatos à Presidência da República, declarados ou não. Nosso primeiro entrevistado é o ex- governador de São Paulo, André Franco Montoro. Franco Montoro foi vereador, deputado estadual, federal e senador. Foi também ministro do Trabalho no governo parlamentarista de João Goulart. Ele é candidato à Presidência da República na sucessão do presidente José Sarney. Hoje, o Roda Viva conta com os seguintes entrevistadores: Jorge Escosteguy, editor-executivo da revista Isto é; Antonio Carlos Ferreira, jornalista da TV Cultura; Kleber de Almeida, editor do Jornal da Tarde; Izalco Sardenberg, editor de política da revista Visão; José Márcio Mendonça, editoralista do Jornal da Tarde e jornalista da Rádio Eldorado e da TV Bandeirantes; Melchíades Cunha Júnior, editor de economia da revista Afinal; José Carlos Bardawil, diretor da sucursal de Brasília da revista Senhor; Oliveiros Ferreira, diretor do jornal O Estado de S. Paulo. O cartunista Negreiros também estará conosco, acompanhando e registrando algumas cenas do programa. Governador Franco Montoro, o senhor declarou, há pouco tempo, que é a favor de um mandato de quatro anos para o presidente da República, mas não vê nada contra a figura do presidente José Sarney. Como o senhor consegue essa mágica? O senhor está querendo encurtar o mandato do presidente, mas não tem nada contra ele? 
25/01/1988|André Franco Montoro|3|André Franco Montoro| Você me fez uma pergunta muito oportuna. Eu acho que o problema do mandato não deve ser algo casuístico [arbitrário, manipulador]. Penso que quatro anos deve ser o mandato do presidente da República. 
25/01/1988|André Franco Montoro|4|Augusto Nunes| Todos os presidentes? 
25/01/1988|André Franco Montoro|5|André Franco Montoro| De todos os presidentes, não deve ser uma exceção em relação ao Sarney. Argumento [isso] com a história política do Brasil: quatro anos é o período de mandato dos prefeitos de todos os quatro mil municípios brasileiros, é o período dos governadores, foi o período de governo dos presidentes até a Constituição de 1947, é o mandato de todos os vereadores, deputados estaduais, deputados federais. Os senadores têm oito anos, duas vezes quatro anos, isto é, o período de quatro anos é o normal de nossa vida pública. Como norma geral, deve se estabelecer que o mandato do presidente da República seja de quatro anos, sem discriminação: cinco para os outros e quatro para o Sarney. Eu acho que a explicação é muito simples, é de interesse público que seja de quatro anos e eu...
25/01/1988|André Franco Montoro|6|Augusto Nunes| [interrompendo] Governador, se a Constituinte aprovar um mandato de cinco anos para todos os presidentes da República, o senhor passa a defender eleições diretas só no ano que vem ou continua defendendo eleições diretas em novembro deste ano? 
25/01/1988|André Franco Montoro|7|André Franco Montoro| Continuo defendendo diretas em 1988, porque acho que isso não depende de outras circunstâncias. Mas acho que a Constituição deve fixar o período de quatro anos por uma outra razão que eu acrescento: fui deputado federal por três legislaturas e, nessa ocasião, o deputado Tarso [de Morais] Dutra (1914-1983), do Rio Grande do Sul, que era presidente da Comissão de Justiça, estava muito preocupado com o regime eleitoral. Fez mesas-redondas com o Tribunal Superior Eleitoral, com outros setores da vida pública para fixarmos a data das eleições porque, com a retomada do regime democrático, tínhamos eleições a cada momento, decretada a autonomia de um município. Havia um tumulto e chegou-se à conclusão de que era preciso estabelecer como norma constitucional as eleições em datas certas. De quatro em quatro anos apenas também seria inconveniente, porque [havia um] grande número de eleições. Além disso, a eleição tem uma função mobilizadora, de esclarecimento, de educação, de formação de opinião pública. Então, se estabeleceu e é norma constitucional, que as eleições se façam de dois em dois anos. Tivemos eleições em 1980, 1982, 1984, 1986, 1988, 1990. Se nós estabelecermos o regime de cinco anos, quebra-se esse ritmo e nós vamos ter eleição em 1988, 1989 e 1990. Ora, a eleição que tem um grande aspecto mobilizador, tem também um aspecto de perturbação da administração. Como governador de São Paulo, tive que colocar dezenas de milhares de funcionários à disposição da Justiça Eleitoral. Eram escolas e centros de saúde que não funcionavam por causa do trabalho eleitoral. Multiplicando isso todos os anos, a vida pública torna-se impossível. Por todas essas razões, me parece que o normal é que as eleições sejam realmente de quatro em quatro anos. 
25/01/1988|André Franco Montoro|8|Oliveiros Ferreira| Governador, sua lógica tem um grave inconveniente: a boa administração suprimiria as eleições para não haver tumulto.
25/01/1988|André Franco Montoro|9|André Franco Montoro| Não, nem oito, nem oitenta! Eu acho que é uma...
25/01/1988|André Franco Montoro|10|Oliveiros Ferreira| [risos] Sua história também está um pouco falha. 
25/01/1988|André Franco Montoro|11|André Franco Montoro| Não, toda mercadoria tem seu preço, a democracia também. Nós pagamos com muita satisfação esse preço, mas é preciso que ele não se multiplique.
25/01/1988|André Franco Montoro|12|Oliveiros Ferreira| Qual é o tumulto provocado por uma eleição presidencial em um ano e uma eleição estadual em um estado, ou em dois estados e em alguns municípios, no outro ano ? 
25/01/1988|André Franco Montoro|13|André Franco Montoro| Não, não será em alguns estados, será em todos estados!
25/01/1988|André Franco Montoro|14|Oliveiros Ferreira| Mas por quê? O senhor se recorda que de 1946 a 1974 havia eleição para quatro e cinco anos. 
25/01/1988|André Franco Montoro|15|André Franco Montoro| Mas eu presumo que a boa norma seja aceita por todos, isto é, que as eleições se realizem como têm se realizado, de dois em dois anos. A interrupção para uma eleição presidencial, que não é isolada, atingirá os quatro mil municípios brasileiros.
25/01/1988|André Franco Montoro|16|José Carlos Bardawil| Governador, não seria melhor o senhor abrir o jogo?
25/01/1988|André Franco Montoro|17|[sobreposição de vozes]|[sobreposição de vozes]
25/01/1988|André Franco Montoro|18|André Franco Montoro| Eu sou a favor do princípio de quatro anos. 
25/01/1988|André Franco Montoro|19|José Carlos Bardawil| Governador, o senhor está argumentando os quatro anos como se isso fosse uma medida não discriminatória contra o presidente Sarney, uma questão técnica. Na verdade, é uma questão política. O senhor e um grupo de pessoas do PMDB [Partido do Movimento Democrático Brasileiro], o senhor Leonel Brizola e o PT [Partido dos Trabalhadores] acham que deve ser esse período, porque estão insatisfeitos com o governo Sarney. Não é verdade?
25/01/1988|André Franco Montoro|20|André Franco Montoro| Quem falou em quatro anos foi Tancredo Neves. Participei de várias reuniões e, naquela ocasião da eleição do Tancredo Neves, alguns defendiam que ele teria seis anos de mandato, outros pretendiam que ele fizesse a eleição logo, em dois anos. A conclusão a que se chegou - ainda mais conduzido por Tancredo Neves, com sua moderação característica - é que seriam quatro anos. Todos nós, líderes do movimento, falávamos em quatro anos. Ulysses Guimarães, Aureliano Chaves, José Sarney...
25/01/1988|André Franco Montoro|21|José Carlos Bardawil| Eu sou testemunha, porque ouvi o Tancredo falar três vezes em quatro anos para mim, pessoalmente.
25/01/1988|André Franco Montoro|22|André Franco Montoro| Tancredo Neves! Mais recentemente, o próprio presidente Sarney, ao encaminhar o projeto de convocação da Constituição, declarou que o mandato deveria ser de quatro anos, de modo que não há nenhuma política. Você disse que o problema era político: é político sim, mas... 
25/01/1988|André Franco Montoro|23|José Carlos Bardawil| Depois disso, houve um fato político, o senhor não pode negar que o presidente Sarney quis um mandato mais longo e foi apoiado politicamente.
25/01/1988|André Franco Montoro|24|André Franco Montoro| Não houve um momento em que eu tivesse mudado minha [opinião] a esse respeito. Sustentei sempre que o normal seria quatro anos, e os fatos e a opinião pública estão confirmando. As pesquisas feitas em todos os estados do Brasil mostram que a população deseja eleições em 1988. Já existe no senso da população a campanha nacional "Diretas 88".
25/01/1988|André Franco Montoro|25|Augusto Nunes| Governador, alguns telespectadores já começam a telefonar, lembrando que hoje faz exatamente quatro anos que foi realizado o primeiro grande comício pelas eleições diretas na Praça da Sé [um dos principais pontos de referência paulistanos, a praça é considerada o marco central da cidade]. Era o começo da campanha [Diretas Já], que foi uma das maiores manifestações populares da história do Brasil. Nós vamos rever algumas cenas desse e de outros comícios. Eu gostaria que o senhor, se sentir vontade de fazer isso, até comentasse as cenas e dissesse, em seguida, porque que não se realiza hoje uma campanha como a de 1984. Agora, vamos rever algumas imagens de 25 de janeiro de 1984, na Praça da Sé.
25/01/1988|André Franco Montoro|26|[exibição do vídeo]|[exibição do vídeo]
25/01/1988|André Franco Montoro|27|Augusto Nunes| Governador, esse comício foi convocado pelo senhor? Qual é a história desse comício, resumidamente?
25/01/1988|André Franco Montoro|28|André Franco Montoro| Esse comício foi praticamente convocado por mim, como governador de São Paulo, para o dia 25 de janeiro e tinha, de certa forma, uma descrença geral. Ninguém achava que seria possível realizar um comício dessas proporções no Brasil. Há muitos anos, não se faziam comícios no Brasil e parecia uma ousadia tentar isso na Praça da Sé, já que São Paulo não tinha uma tradição de comícios animados. Foi uma surpresa para todos.
