DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
29/06/1998|Antonio Ermírio de Moraes|1|Matinas Suzuki|Boa noite. Ele é o mais novo dramaturgo brasileiro. No palco do Roda Viva está o empresário Antonio Ermírio de Moraes. 
29/06/1998|Antonio Ermírio de Moraes|2|[Comentarista] O sobrenome é lendário na história empresarial do país e o nome completo parece referência a um mito. Perto dos 68 anos de idade, dirigindo o maior grupo empresarial do Brasil, Antonio Ermírio de Moraes é a imagem completa e cada vez mais rara do empresário nacionalista bem sucedido. Há dez anos é citado em publicações especializadas como um dos homens mais ricos do mundo. Antonio Ermírio, líder empresarial, homem de visão, ultrapassou o status de empreendedor e se tornou figura pública, celebrada por suas críticas contra a lentidão das ações do governo, contra os militares que não queriam eleições diretas e contra o desperdício de dinheiro público. Sempre sondado por políticos, foi convidado até para se candidatar a presidente da República. Aceitou apenas uma disputa para governador de São Paulo, em 1986, mas perdeu. Recolhido desde então às atividades de empresário e também de presidente do Hospital da Beneficência Portuguesa, Antonio Ermírio deu um novo passo em suas realizações profissionais|escreveu uma peça de teatro - Brasil Sociedade Anônima - que estréia este mês em São Paulo. Um drama que leva ao palco as agruras de um empresário milionário derrotado pela política econômica e pela ambição. Uma metáfora do Brasil na visão - para muitos - desse administrador sério e sisudo, que decidiu investir dinheiro e suor na produção teatral. 
29/06/1998|Antonio Ermírio de Moraes|3|Matinas Suzuki|Bem, para entrevistar o empresário Antonio Ermírio de Moraes, nós convidamos essa noite o jornalista Ricardo Kotscho, diretor de jornalismo da rede CNT; o Celso Pinto, que é colunista da Folha de S.Paulo; a Mayara Magri, atriz da peça Brasil S/A, de autoria do nosso entrevistado desta noite; a Neuza Sanches, subeditora da revista Veja; o Fernando Paiva, que é editor sênior da revista Capricho; e o Ibsen Spartacus, diretor editorial da Sigla Editora. O Roda Viva é transmitido em rede nacional com 150 outras emissoras de 18 estados brasileiros. Nós lembramos que você pode enviar aqui as suas perguntas para o doutor Antonio Ermírio de Moraes pelo telefone 252-6525. Repetindo, 252-6525. Se você preferir o fax, ligue para o número 874-3454; 874-3454. Boa noite, doutor Antonio Ermírio.
29/06/1998|Antonio Ermírio de Moraes|4|Antonio Ermírio de Moraes|Boa noite, Matinas. 
29/06/1998|Antonio Ermírio de Moraes|5|Matinas Suzuki|Muito nervoso com a estréia da peça? 
29/06/1998|Antonio Ermírio de Moraes|6|Antonio Ermírio de Moraes|À medida que se aproxima a data da estréia, eu confesso que o coração vai ficando apertado. 
29/06/1998|Antonio Ermírio de Moraes|7|Matinas Suzuki|Doutor Ermírio, só para a gente lembrar ao nosso telespectador, a peça estréia no dia 11 no teatro Procópio Ferreira. No elenco tem Irene Ravache [Irene Yolanda Ravache Paes de Melo, atriz do teatro e televisão, nascida em 1944, no Rio de Janeiro], Rogério Fróes [ator do cinema e da televisão, nascido em 1934], Suzy Rêgo [Suzy Sheila Rego, atriz, com atuação no teatro e televisão, nasceu no Rio de Janeiro em 1967], a Mayara Magri [Nascida em Mogi Guaçu, SP, em 1962, atua em teatro, cinema e televisão], que está aqui, e a direção do Marcos Caruso [Marcos Vianna Caruso é ator e autor de telenovelas, teatro e roteiros de cinema, formado em Direito pela Faculdade de Direito do Largo de São Francisco, nascido em São Paulo em 1952] . Está correto? 
29/06/1998|Antonio Ermírio de Moraes|8|Antonio Ermírio de Moraes|Tem mais alguns atores também. 
29/06/1998|Antonio Ermírio de Moraes|9|Matinas Suzuki|Entre outros atores. 
29/06/1998|Antonio Ermírio de Moraes|10|Antonio Ermírio de Moraes|Rogério Márcico [ator e dublador, tendo atuado em teatro e televisão, nascido em Poços de Caldas, MG, em 1930]. 
29/06/1998|Antonio Ermírio de Moraes|11|Mayara Magri|Jandir Ferrari [ator de televisão, nascido em Presidente Prudente no ano de 1965]. 
29/06/1998|Antonio Ermírio de Moraes|12|Antonio Ermírio de Moraes|Eugênia... 
29/06/1998|Antonio Ermírio de Moraes|13|Mayara Magri|Eugênia de Domênico [Maria Eugênia de Domênico é atriz, roteirista e diretora teatral]. 
29/06/1998|Antonio Ermírio de Moraes|14|Antonio Ermírio de Moraes|Tem uma porção de gente boa. 
29/06/1998|Antonio Ermírio de Moraes|15|Matinas Suzuki|Doutor Antônio, eu acho que o Brasil inteiro faz esta pergunta para o senhor: por que escrever uma peça de teatro? Por que um empresário como o senhor, com uma longa trajetória de sucesso na vida empresarial, se arrisca a ir para os palcos? 
29/06/1998|Antonio Ermírio de Moraes|16|Antonio Ermírio de Moraes|Você definiu bem: se arrisca. Mas eu acho que é uma obrigação. Afinal de contas, esta talvez seja a quarta vez eu venho aqui no programa Roda Viva. Eu já dei centenas de entrevistas. Eu já fui paraninfo, talvez, numas cem universidades por esse Brasil afora e, francamente, eu não estou satisfeito com a morosidade com que o Brasil encara os problemas sérios da nação. Então eu resolvi começar a escrever. Isso há dez anos. Foi exatamente na campanha de 1986, onde eu vi tanta coisa errada, tanta falsidade, que eu digo: meu Deus do céu, não é possível, um dia eu vou escrever uma peça de teatro. Mas a verdade é que o tempo da gente é muito curto, e eu tinha que escrever aos poucos, "devagarzinho". Escrevia, jogava fora. Domingo à noite, sábado de tarde. Idéias que nós tínhamos e que, naturalmente, depois se transformaram numa peça de teatro. Mas isso é uma espécie de um desabafo e é uma peça que eu acho que dá um pouco de dignidade ao homem brasileiro, quer dizer, à luta do homem brasileiro. É uma observação do cotidiano nesses últimos dez anos. E, sinceramente, eu não me considero um dramaturgo de jeito algum. Eu sou um engenheiro de profissão, quer dizer, gosto da minha profissão, mas escolhi exatamente escrever uma peça pelo fato de que já era hora de dizer presente no mundo artístico, muito embora eu não me considere... me considere um novato. Seria presunção da minha parte dizer que eu sou um dramaturgo. Jamais eu diria isso. 
29/06/1998|Antonio Ermírio de Moraes|17|Ricardo Kotscho|Doutor, nós hoje vamos falar muito de teatro. Mas hoje eu queria falar de uma questão que me aflige muito. O senhor falou... 
29/06/1998|Antonio Ermírio de Moraes|18|Matinas Suzuki|Ele já quer cortar o espaço do teatro brasileiro, o senhor vê como é que é [risos]... Mal começou e o Kotscho já vem e corta... 
29/06/1998|Antonio Ermírio de Moraes|19|Ricardo Kotscho|Matinas, tem uma questão que está aí na ordem do dia. Como é que o senhor, maior empresário do país, se sente vivendo num Brasil que paga o salário mínimo de 100 reais e o governo ainda ameaça não corrigir nem a inflação agora em maio? Como é que o senhor sente isso? 
29/06/1998|Antonio Ermírio de Moraes|20|Antonio Ermírio de Moraes|O aumento é muito aflitivo. É aflitivo para o trabalhador de salário mínimo, se bem que eu vou lhe dar o que eu conheço, dentro do nosso grupo empresarial, que hoje compreende aproximadamente 40 mil homens: o salário médio é da ordem de 1600 reais por mês. É bem verdade que desses 1600, oitocentos o governo recolhe, e infelizmente não dá nada pelos impostos arrecadados. Isso é uma tremenda injustiça. Essa é uma das razões pela qual eu resolvi escrever essa peça, porque eu vejo que você recolhe, recolhe, recolhe impostos, o governo cada vez quer cobrar mais impostos e, no final das contas, ele não dá nada ao trabalhador, nada que seja decente. Se você não fizer um contrato de saúde paralelo ao SUS [Sistema Único de Saúde], os empregados ficam às portas dos hospitais sem serem tratados. Se não fizer um programa de reciclar os professores na escola, você tem um programa medíocre também escolar; o transporte é péssimo. Então você vê o seguinte: não há educação, não há saúde, não há transporte. Quer dizer, e o governo assume tudo e depois não resolve nada e cobra hoje os encargos sociais – você pode chamar de encargo, deixar de ser encargo - a verdade é que se o empregado recebe mil, custa para a empresa dois mil. 
29/06/1998|Antonio Ermírio de Moraes|21|Ricardo Kotscho|O custo é esse? 
29/06/1998|Antonio Ermírio de Moraes|22|Antonio Ermírio de Moraes|É esse que é o custo. 
29/06/1998|Antonio Ermírio de Moraes|23|Ricardo Kotscho|Por exemplo, o senhor acha que de alguma maneira a sua peça pode mudar esse quadro? 
29/06/1998|Antonio Ermírio de Moraes|24|Antonio Ermírio de Moraes|Não vai poder mudar, mas é um desabafo também, eu quero dizer: olha, eu estou aqui presente, eu estou protestando, não é? 
29/06/1998|Antonio Ermírio de Moraes|25|Ricardo Kotscho|É um desabafo? 
29/06/1998|Antonio Ermírio de Moraes|26|Antonio Ermírio de Moraes|É um desabafo. Realmente é. 
29/06/1998|Antonio Ermírio de Moraes|27|Neuza Sanches|Mas de qualquer jeito, doutor Antônio, a sua peça coloca o industrial, no caso o Lucas, como um herói e eu reparei, ao ler a sua peça, que o representante da classe trabalhadora é somente uma empregada. Por que isso, doutor Antônio? O trabalhador também não é um herói no país? 
