DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
12/04/2004|Antonio Nóbrega|1|Paulo Markun| Boa noite. Ele buscou nos cantadores, atores e poetas populares a fonte para criar uma arte requintada, singular e quase sem limites. Misturando música, teatro e dança, trabalhando na divisa do erudito com o popular, ele tornou-se um multiartista, o nome não é lá essas coisas, mas explica mais ou menos o que ele faz, uma referência do Brasil cultural, criador e ator de uma alegoria muito brasileira. O Roda Viva entrevista, esta noite, Antonio Nóbrega, ator, compositor, cantor, bailarino, rabequeiro e brincante.
12/04/2004|Antonio Nóbrega|2|[Comentarista]| Antonio Nóbrega, nascido no Recife em 1952, filho de família de classe média, estudou música clássica na infância, aprendeu violino. Aos 18 anos, quando fazia parte da Orquestra Sinfônica do Recife, foi convidado pelo escritor Ariano Suassuna a integrar o Quinteto Armorial, o braço musical do movimento que buscava criar uma arte erudita brasileira com raízes populares. O quinteto misturava os sons de um conjunto de câmara clássico aos toques da música nordestina com batuque e rabeca. Nóbrega, violinista, virou também rabequeiro, mergulhando no sertão, convivendo com as danças os cantos e as artes do povo brasileiro. Ele começou a criar uma arte própria, expressão requintada de uma arte da periferia do Brasil. Uma espécie de arte dos excluídos, exercida por milhões de brasileiros. Ele conta que nos últimos 30 anos vem recriando tudo o que aprendeu com os cantadores, instrumentistas, cirandeiros, emboladores e brincantes. Transformou esse repertório rico e diversificado em espetáculos que levaram ao Brasil e a Europa os cantos, a poesia, o drama e a comédia humana de um país que o ator coloca em cena nas várias formas de um trabalho de muitas faces. O recifense que fez Pernambuco falar ao mundo, chegou a São Paulo em 1983, se instalou na Vila Madalena [bairro da cidade de São Paulo, conhecido por abrigar muitos artistas e comércio alternativo], onde foi criando aos poucos, com a mulher Rosane Almeida, o Teatro Brincante, um espaço rústico, cheio de improvisos e imaginação. Cenário de uma arte de gestos e máscaras, um pouco do teatro de oriente, um pouco da Commedia dell'arte [ver abaixo]. Rosane, que estudou circo, dividiu o palco com Nóbrega nos malabarismos e nas paródias. “Nós vamos chamar aqui e agora, para um bate-papo, assim cara a cara, Tonieta, vamos aplaudir”. Tonieta é um personagem pitoresco, um palhaço doce e ingênuo que pode lembrar Arlequim [criado astuto, insolente e enigmático, um dos personagens mais populares da Commedia dell'arte] ou lembrar Carlitos [um vagabundo de bengala e chapéu-coco, personagem que celebrizou o ator britânico Charles Spencer Chaplin (1889-1977)], mas é simplesmente Tonieta, que vem de Tonho, que vem de Antonio, que vem do Brasil. Carroceiro andante, faz da carroça, morada e palco. Tonieta é uma mistura de tipos populares, de personagens que vagueiam por ruas e praças do país, um filho de Deus, diria seu criador, dono de tantos outros personagens. O Brincante, que se tornou teatro-escola destinado à formação de educadores brincantes, é o eixo do mundo de Antonio Nóbrega, origem dos espetáculos e do trabalho musical que, além do amigos, envolve mais gente da família Nóbrega. A irmã Eugênia é flautista, o filho Gabriel, que já criança pegava na zabumba, cresceu e virou baterista e percussionista do grupo. O lunário perpétuo, título do último CD e do último espetáculo, resume esse universo simbólico do ator que se mistura ao cantor ao compositor e arranjador, ao instrumentista virtuoso, ao personagem de circo, ao dançador e bailarino. Irrequieto da boca aos pés, esse saltimbanco voa no palco encarnando as figuras de um zodíaco popular cheio de códigos e significados e, por isso mesmo, cheio de vida.
12/04/2004|Antonio Nóbrega|3|Paulo Markun| Para entrevistar Antonio Nóbrega, nós convidamos: o sociólogo Danilo Miranda, diretor regional do Sesc no estado de São Paulo; José Nêumane, editorialista do Jornal da Tarde; Helena Katz, crítica de dança do jornal O Estado de S. Paulo; Jefferson Del Rios, crítico de teatro da revista Bravo; Lázaro de Oliveira, jornalista do programa Metrópolis, da TV Cultura, e Valmir Santos, repórter colaborador do jornal Folha de S. Paulo. Boa noite, Nóbrega.
12/04/2004|Antonio Nóbrega|4|Antonio Nóbrega| Boa noite.
12/04/2004|Antonio Nóbrega|5|Paulo Markun| Queria começar pelo seguinte: provocação. Você já deu... em várias entrevistas, já declarou que não gosta da palavra, da expressão folclore e prefere a idéia da cultura popular. Essa posição de separar folclore e cultura popular não é uma posição folclórica? Não tem um pouco disso de... quer dizer, no fundo é a mesma coisa, o que distingue para você?
12/04/2004|Antonio Nóbrega|6|Antonio Nóbrega| Não. Se tem alguma coisa de folclore na atitude é justamente por conta... Por conta disso que eu não... essa folclorização que eu não gosto. Eu acho que a cultura popular, quando ela é folclorizada, ela se torna débil, ela se torna fraca, ela se fragiliza. E normalmente hoje a palavra folclore, quando a gente vê qualquer atividade, manifestação da cultura popular, quando a gente a reconhece como coisa folclórica, a gente, de certa forma, está a diminuindo. Não tem relação a cultura folclórica... um pensamento do que realmente ela representa.
12/04/2004|Antonio Nóbrega|7|Paulo Markun| É mais ou menos um “Parque do Xingu”, deixa os índios lá e tudo bem.
12/04/2004|Antonio Nóbrega|8|Antonio Nóbrega| É que faz parte como se fosse alguma coisa exótica, alguma coisa menor, não é?
12/04/2004|Antonio Nóbrega|9|Valmir Santos| Uma coisa folclórica.
12/04/2004|Antonio Nóbrega|10|Antonio Nóbrega| Ela traz até um certo sentimento de manifestação conformista, não é? E talvez seja por isso até que os jovens e as pessoas em geral não vêem na cultura popular a força que ela guarda, a vitalidade, a riqueza, por até a identificarem com alguma coisa do universo do passado, do universo do conformismo.
