DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
04/07/1994,Arnaldo Cohen,1,Roseli Tardelli,"Boa noite. Nós nos sentimos orgulhosos quando um brasileiro tem seu talento reconhecido internacionalmente. O brasileiro que ocupa hoje o centro do Roda Viva, o pianista Arnaldo Cohen, já foi definido pelo The Times, como possuidor de uma técnica deslumbrante a serviço da música, como vamos conferir agora."
04/07/1994,Arnaldo Cohen,2,[...],[Gravação de Arnaldo Cohen tocando piano]
04/07/1994,Arnaldo Cohen,3,[Comentarista],"Carioca, Arnaldo Cohen já fez mais de 1500 concertos nas mais importantes salas de espetáculo de todo o mundo. Após triunfar em vários concursos nacionais, Arnaldo Cohen iniciou sua carreira no exterior, depois que venceu, em 1972, o Concurso Internacional Busoni [nomeado em homenagem a Ferruccio Busoni (1866-1924), compositor, pianista e maestro italiano] na Itália. Em 1992, ele recebeu o título de Honorary Fellow do Royal Northern College of Music, em Manchester, título esse concedido pela primeira vez a um artista sul-americano. Além da carreira de solista, Arnaldo Cohen integra o Trio Amadeus e já disse que considera importante, na interpretação de uma obra, o pianista imprimir sua personalidade à partitura. Para entrevistar o pianista Arnaldo Cohen, nós convidamos o maestro Julio Medaglia, o maestro, diretor e apresentador de programas da Rádio Cultura FM; o jornalista João Gabriel de Lima, editor da revista Veja; o crítico musical, Arthur Nestrovski, professor de comunicação e semiótica da PUC e colaborador da Folha de S. Paulo; Helena Katz, professora de semiótica da Universidade Católica de São Paulo e colaboradora do programa Metrópolis, da Rede Cultura; o crítico musical Carlos Haag, colaborador do Caderno 2 do jornal O Estado de S. Paulo; o jornalista Irineu Franco Perpétuo, redator da Folha de S. Paulo, e o jornalista César Giobbi, responsável pela coluna Persona do jornal O Estado de S. Paulo. Arnaldo, boa noite."
04/07/1994,Arnaldo Cohen,4,Arnaldo Cohen,Boa noite.
04/07/1994,Arnaldo Cohen,5,Roseli Tardelli,"Pois é, você já disse que considera importante, na interpretação de uma obra, o pianista imprimir a sua personalidade. Qual é a personalidade que o Arnaldo quer mostrar quando ele está interpretando uma obra?"
04/07/1994,Arnaldo Cohen,6,Arnaldo Cohen,"Acho que a gente tem tantas personalidades, não é, tantos “eus” e eu acho que a função do intérprete... na realidade, a coisa toda funciona como se fosse um filtro em que a música passa pela personalidade do intérprete, com a sua sensibilidade, com a sua musicalidade, seu talento, enfim, todos os setores de organização e de sensações de cada um. E, a cada momento, ele sai com um carimbo próprio, é por isso que a cada momento você toca diferente, porque hoje eu estou diferente de amanhã e isso é que faz certamente a carreira, a música, a função do intérprete mais fascinante. Cada momento é diferente, porque cada momento nós estamos diferentes e cada um de nós tem tantos “eus” dentro e vamos ver qual deles vai se manifestar naquele momento."
04/07/1994,Arnaldo Cohen,7,Roseli Tardelli,Qual é o eu [de] que você gosta mais quando toca?
04/07/1994,Arnaldo Cohen,8,Arnaldo Cohen,"Eu acho que não tenho muito tempo para fazer esse tipo de análise, não, porque eu tenho a sensação de que, quando eu toco, eu sinto antes do que as pessoas ouvem e sentem, consequentemente. Quando eu vou dar um acorde, a minha intenção já passa para a música, o público vai ouvir o resultado da minha intenção depois que aquele acorde for tocado. Mas, quando aquele acorde já foi tocado, eu já estou em outro. Então eu acho que existe um pequeno gap [intervalo em inglês], uma pequena diferença de tempo entre a criação e a absorção dessa criação. Então eu não sei. Às vezes, eu saio de um concerto e as pessoas me perguntam: “Como foi?” Eu tenho uma idéia geral, mas, às vezes, eu ouço uma gravação e digo “puxa, eu não sabia que eu conseguia tocar tão rápido”."
04/07/1994,Arnaldo Cohen,9,Julio Medaglia,"A gente poderia dizer que esses “eus” que você tem hoje, dentro de você, você também foi buscar em alguns modelos do piano no século XX, por exemplo? Quer dizer, existiam umas tendências pianísticas ou alguns solistas em si que foram servindo para você, de uma certa forma, como uma espécie de modelos, que você foi selecionando e depois compondo o seu próprio piano?"
04/07/1994,Arnaldo Cohen,10,Arnaldo Cohen,"Eu comecei a minha vida muito tarde como profissional, mas eu acho que o [Vladimir] Horowitz [ (1903-1989), ucraniano considerado um dos mais virtuosos pianistas de todos os tempos e um dos melhores intérpretes de Sergei Rachmaninoff], certamente, foi um dos pianistas que mais me influenciou, inclusive na escolha do repertório, como o Terceiro Concerto de Rachmaninoff [Sergei Rachmaninoff (1873-1943), compositor, virtuose do piano e maestro russo que figura entre os músicos mais influentes do século XX], determinadas peças de [Franz] Liszt [(1811-1886), compositor romântico e pianista virtuoso húngaro que ficou conhecido em toda a Europa e é considerado o criador da moderna técnica pianística], eu fui muito influenciado por ele. E, depois, eu fui muito influenciado pelo [Arturo Benedetti] Michelangeli [(1920-1995), pianista italiano erudito que figura entre os mais virtuosos do século XX], que é exatamente o oposto do Horowitz em termos de preocupação com a estética, aquela coisa da perfeição, a obsessão pela perfeição. Mas eu sempre tive muita noção... exatamente a propósito da sua pergunta, a história do filtro da personalidade. E, hoje em dia, eu acho que é importante a gente ouvir os outros, mas eu acho que a cópia é absolutamente impossível, porque, se você tentar copiar alguém, a música adquire um caráter muito mais caricatural, porque é como, de repente, você querer assumir a personalidade de uma outra pessoa."
