DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
10/05/1993,Aspásia Camargo,1,[...],[programa ao vivo]
10/05/1993,Aspásia Camargo,2,Jorge Escosteguy,"Boa noite. Acreditem se quiser: no próximo dia 23, na cidade de Santa Cruz, no Rio Grande do Sul, será declarada ou proclamada a República do Pampa. Isto mesmo, será o primeiro ato, digamos, oficial de um movimento que pretende separar do resto do Brasil os três estados do Sul: Paraná, Santa Catarina e Rio Grande do Sul. Os três formariam um novo país, a chamada República do Pampa. Os organizadores do movimento defendem a realização de um plebiscito para oficializar o separatismo. Na raiz desse e de outros movimentos, estão, entre outras coisas, o sistema de recolhimento e retorno de impostos que desagrada a muitos estados ricos. Muitos acham que estão sendo lesados, porque produzem muito e boa parte dessa produção acaba beneficiando os que não produzem. Além disso, é claro, [existe] a chamada crise da federação. No Roda Viva que começa agora pela TV Cultura, nós vamos discutir a questão do separatismo e o sistema federativo do Brasil. No centro da roda, está a nossa convidada desta noite, a historiadora Aspásia Camargo, para quem “não existe verdadeiramente uma federação no Brasil, mas o pacto regional de distribuição de benefícios e de cargos”. Aspásia Camargo é carioca, tem 48 anos e vários livros publicados, entre eles, O golpe silencioso. Está no prelo um novo livro, O federalismo incompleto. Foi secretária da Cultura do estado do Rio durante o governo Moreira Franco. Atualmente, Aspásia Camargo é coordenadora do Fórum Permanente da Fundação Getúlio Vargas, onde é professora de política brasileira. Lembramos que o Roda Viva também é transmitido ao vivo pela TV Pernambuco, TV Cultura do Pará, TV Maíra de Rondônia, TV Minas Cultural e Educativa, TVE da Bahia, TVE do Ceará, TVE do Piauí, TVE do Paraná, TVE de Porto Alegre, TVE do Espírito Santo e TVE do Mato Grosso do Sul. Para entrevistar Aspásia Camargo esta noite no Roda Viva, nós convidamos Mauro Chaves, editorialista e articulista do jornal O Estado de S. Paulo; Luiz Alberto Bahia, articulista da Folha de S.Paulo; José Casado, jornalista da Gazeta Mercantil; Eduardo Bueno, editor executivo do jornal Zero Hora, de Porto Alegre; Marcelo Pontes, diretor de redação do Jornal do Brasil em São Paulo; Rafael de Lala, editorialista da Gazeta do Povo, de Curitiba; Carlos Augusto Setti, jornalista da TV Cultura em Brasília; e Carlos Alberto Longo, professor titular do Departamento de Economia da Universidade de São Paulo. Boa noite professora."
10/05/1993,Aspásia Camargo,3,Aspásia Camargo,Boa noite.
10/05/1993,Aspásia Camargo,4,Jorge Escosteguy,Até que ponto a senhora acha que é possível levar a sério movimentos como esse no Rio Grande do Sul que pretende declarar a República do Pampa?
10/05/1993,Aspásia Camargo,5,Aspásia Camargo,"Olha, se levarmos a sério demais, vamos interpretar mal os acontecimentos, mas se também não levarmos a sério de jeito nenhum, talvez tenhamos a surpresa de ver que o problema pode se agravar e se transformar em alguma coisa muito mais grave, muito mais séria, verdadeiramente numa separação."
10/05/1993,Aspásia Camargo,6,Jorge Escosteguy,A senhora é mineira ou é carioca?
10/05/1993,Aspásia Camargo,7,Aspásia Camargo,Eu sou carioca...
10/05/1993,Aspásia Camargo,8,Jorge Escosteguy,"[Porque a senhora disse] se levar muito a sério, mas também não levar muito a sério... [referência ao chamado “jeitinho mineiro” de não deixar clara a opinião em questões polêmicas] Continue, por favor."
10/05/1993,Aspásia Camargo,9,Aspásia Camargo,"É verdade, eu acho que nós temos que medir muito isso e saber que é um sinal de alguma coisa que está errada. E eu acho que o que está errado é a federação brasileira e o que está errado é a inflação. No fundo, o pai e a mãe do separatismo se chamam inflação."
10/05/1993,Aspásia Camargo,10,Jorge Escosteguy,"Mas essas pessoas, naturalmente, não são os representantes desses descontentamentos, ou seja, pessoas como esse senhor [Irton] Marx, que está organizando esse movimento."
