DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
09/08/1989,Aureliano Chaves,1,Jorge Escosteguy,"Boa noite. Estamos começando mais um programa da série Roda Viva, eleições de 1989. Estão sendo entrevistados no Roda Viva, ao longo dessa semana, os 10 candidatos melhor colocados na pesquisa de opinião. Serão dois programas por noite. Um às 21:30 e outro às 22:30. Cada candidato será entrevistado durante uma hora. Para essa série especial, convidamos dois grupos de jornalistas que estarão aqui, todas as noites, representando os mais importante meios de comunicação do país. O primeiro convidado do Roda Viva desta noite é o candidato a presidente da República pelo Partido da Frente Liberal, Aureliano Chaves de Mendonça. Já participaram desta série, o senador Mário Covas [(1930-2001), ex-prefeito de São Paulo, ex-governador de São Paulo, deputado e senador. Ficou em quarto lugar nas eleições presidenciais de 1989], candidato a presidente pelo PSDB [Partido da Social Democracia Brasileira]; o ex-governador Fernando Collor de Mello [Foi o primeiro presidente eleito pelo voto direto depois do regime militar], candidato do PRN [Partido da Reconstrução Nacional] e o deputado Luiz Inácio Lula da Silva [Ficou em segundo lugar na campanha eleitoral de 1989 e eleito presidente da República de 2003 a 2010], candidato a presidente pelo PT [Partido dos Trabalhadores]. Para entrevistar Aureliano Chaves esta noite, nós convidamos os seguintes jornalistas: Carlos Nascimento, editor de jornalismo da TV Record; Júlio Mesquita, diretor do jornal O Estado de S. Paulo; Roberto Müller, vice-presidente do jornal Gazeta Mercantil; Carlos Tramontina, repórter da TV Globo; Luiz Weis, redator da revista Super Interessante; Clóvis Rossi, jornalista do jornal Folha de S. Paulo. Aureliano Chaves de Mendonça construiu sua candidatura basicamente do prestígio que conseguiu quando era vice-presidente do então general João Baptista Figueiredo {Figueiredo: João Baptista de Oliveira Figueiredo (1918-1999), foi o último presidente do regime militar, que vigorou no Brasil entre 1964 e 1985. Durante o seu governo, de 1979 a 1985, promoveu a lenta transição do poder político para os civis. Foi candidato à presidência da República por via indireta, escolhido pelo seu partido, a Arena, obtendo a vitória no colégio eleitoral do Congresso Nacional em 1978 contra o General Euler Bentes Monteiro, pelo MDB. Na época, foi concedida a anistia, quando voltaram ao Brasil os exilados do regime militar. Também realizaram-se as primeiras eleições diretas para governador de estado desde 1965. Sua gestão ficou inicialmente marcada pela grave crise econômica que atingiu o Brasil e o mundo com as altas taxas de juros internacionais, altos índices recessivos e inflacionários e com a dívida externa crescente do Brasil, além de um aumento na instabilidade social. As contas externas encontraram relativo equilíbrio ao final de seu governo, com aumento das exportações e da independência nacional do mercado externo, especialmente na área do petróleo. Depois de seu governo, afastou-se definitivamente da vida política.}. Nas ocasiões que assumiu interinamente a presidência, teve atitudes polêmicas para o regime da época como, por exemplo, impedir que fosse processado, pela lei de Segurança Nacional, o padre Aristide Escamiaux e que pudesse sair em liberdade do país. Medidas como essa atraíram para ele apoio de grandes parcelas do empresariado e da classe média, mas Aureliano acabou perdendo pontos como ministro das Minas e Energia do governo Sarney [José Sarney, presidente da República de 1985 a 1990]. Sofreu desgaste com sua indecisão em deixar o governo e hoje enfrenta resistências dentro do próprio Partido da Frente Liberal. Ministro, boa noite."
09/08/1989,Aureliano Chaves,2,Aureliano Chaves,Boa noite.
09/08/1989,Aureliano Chaves,3,Jorge Escosteguy,"Poderíamos começar a nossa entrevista hoje com essa questão das resistências que o senhor estaria enfrentando dentro do próprio Partido da Frente Liberal para poder deslanchar sua candidatura. O senhor acha que essas questões estão sendo contornadas, resolvidas?"
09/08/1989,Aureliano Chaves,4,Aureliano Chaves,"Em primeiro lugar, é preciso colocar esse problema nos seus devidos lugares. A minha candidatura não resultou de uma postulação da minha parte. Ela resultou de uma convocação do meu partido. Eu estava em Belo Horizonte, considerando a minha vida pública já encerrada, uma vez que no momento em que eu tive mais de 50% de intenção de voto das pesquisas realizadas na época em que eu estava exercendo a vice-presidência da República, as circunstâncias levaram a mim e a um grupo de companheiros apoiar a candidatura de Tancredo {Tancredo: Histórico político mineiro, foi eleito como presidente do Brasil, pelo Colégio Eleitoral, no dia 15 de janeiro de 1985, recebendo 480 votos, contra 180 dados a Paulo Maluf e 26 abstenções. Tancredo foi o primeiro presidente civil do Brasil depois de mais de 20 anos de ditadura militar. Sua vitória, mesmo sendo por eleição indireta, foi entusiasticamente recebida pela população e é tida ainda hoje como uma das mais complexas e bem-sucedidas operações da história política do Brasil, numa situação delicada após a campanha pelas “diretas já” ter mobilizado o país. No entanto, Tancredo não chegou a assumir a presidência. Na véspera da posse foi internado no Hospital de Base, em Brasília, com fortes dores abominais. José Sarney, seu vice, o substitui interinamente em 15 de março de 1985. Depois de sete cirurgias, veio a falecer em 21 de abril, aos 75 anos de idade, vítima de infecção generalizada, causando grande comoção nacional. No dia seguinte, Sarney foi empossado oficialmente no cargo, governando até 1990.} Neves. Eu considerava a minha vida pública encerrada, quando fui procurado pelo presidente do meu partido, o senador Marco Maciel [Foi um dos fundadores do PFL, Partido da Frente Liberal, tornou-se Democratas (DEM) em 2007. Foi deputado federal, governador de Pernambuco, foi vice-presidente da República de 1995 a 2002], que me dera ciência de que a comissão executiva do partido, por unanimidade, havia considerado a minha candidatura como candidatura natural. Aquilo era, na realidade, uma convocação dirigida ao presidente de honra do partido para que ele, naturalmente, emprestasse a sua colaboração para aglutinar o partido e preparar melhor o partido para as eleições de 1990. Os fatos evoluíram e eu acabei me submetendo a uma prévia dentro do partido. Um fato que, sob certos aspectos, é inédito no país. É a primeira vez que um partido político ouve as bases, pratica democracia interna na escolha de um candidato. Num universo de mais 200 mil eleitores, 208 mil filiados ao partido, eu tive 130 mil votos. Então, essa convocação que eu recebera das lideranças do partido, foram confirmadas pelas bases do partido. Não há, portanto, que considerar... Resistência de onde? Se a cúpula do partido, através do presidente do partido, me convocou para ser o candidato do partido e, posteriormente, as bases do partido confirmaram essa convocação, não há o que falar."
09/08/1989,Aureliano Chaves,5,Jorge Escosteguy,"Bom, nós vamos fazer como nas outras noites, uma roda inicial com todos os nossos convidados e depois o Roda Viva volta ao seu caráter, à sua característica normal, de intervenções durante o decorrer da entrevista. Carlos Nascimento, da TV Record, por favor."
09/08/1989,Aureliano Chaves,6,Carlos Nascimento,"Bom, se o senhor tem, efetivamente, o apoio das bases do partido, porque elas não se refletem agora, num momento em que o senhor precisa das intenções de voto e o senhor aparece aí com apenas 1% da preferência do eleitorado? Onde é que está este apoio?"
09/08/1989,Aureliano Chaves,7,Aureliano Chaves,"Bom, em primeiro lugar é preciso levar em conta que o nosso partido, do ponto de vista de presença popular, não é um grande partido. Ele é um partido que tem uma presença congressional. Tanto que só temos um governador eleito. Só um governador eleito. E o fato que está ocorrendo comigo se repete com a candidatura de um brasileiro ilustre que é o senhor Ulysses {Ulysses: Político histórico do PMDB, partido do qual foi presidente por longo tempo, influenciou fortemente a política nacional. Começou a carreira como deputado estadual, eleito por São Paulo à Constituinte de 1947, na legenda do Partido Social Democrático (PSD). Elegeu-se deputado federal por seu estado, por onze mandatos consecutivos, de 1951 a 1995 (não tendo terminado o último mandato). Assumiu a pasta do Ministério da Indústria e Comércio no gabinete Tancredo Neves, durante a curta experiência parlamentarista brasileira (1961-1962). Apoiou, inicialmente, o movimento militar que, em 1964, depôs o presidente João Goulart, mas logo passou à oposição. Em 1973, lançou sua anti-candidatura simbólica à presidência da República como forma de repúdio ao regime militar, tendo como vice o jornalista e ex-governador de Pernambuco Barbosa Lima Sobrinho. Participou de todas as campanhas pelo retorno do país à democracia, inclusive a luta pela anistia ampla, geral e irrestrita e o movimento pelas “diretas já”. Exerceu a presidência da Câmara dos Deputados em três períodos (1956-1957, 1985-1986 e 1987-1988); presidindo a Assembléia Nacional Constituinte, em 1987-1988. Em 1989, foi candidato derrotado à presidência da República. Faleceu em acidente aéreo de helicóptero, ao largo de Angra dos Reis (RJ), em 12 de outubro de 1992, junto com a esposa D. Mora, o senador Severo Gomes e esposa, e o piloto. Seus restos mortais nunca foram encontrados.} Guimarães. Além do mais, não confundir intenção de voto com decisão de voto. São coisas completamente diferentes. Desse total de entrevistados nessas chamadas pesquisas que envolve, geralmente, um universo relativamente pequeno, 37% definiram intenção de voto. Os restantes não definiram intenção de voto. Então, o que ocorre? Existe uma grande parte do eleitorado que ainda sequer manifestou a sua intenção de voto. Intenção de voto é uma coisa e decisão de voto é outra coisa. A decisão de voto está nas urnas. Pode, às vezes, ocorrer que a intenção de voto se transforme em decisão de voto, mas também pode não ocorrer. Esse que é um dado em realidade."
09/08/1989,Aureliano Chaves,8,Roberto Müller,"Ministro Aureliano, eu vou fazer uma pergunta ao senhor que é um pouco, se o senhor me permite, aos políticos da sua época. Todos nós nos recordamos, a sociedade brasileira como um todo se recorda, o senhor como vice-presidente da República do governo do general Figueiredo, liderou pesquisas, como o senhor mesmo disse, de intenção de voto. Depois, dependeu basicamente, sem menosprezo a nenhum outro interlocutor da cena política nacional, mas se pudéssemos resumir em dois homens, a eleição de Tancredo Neves, a eleição indireta, já que o Congresso nacional, representantes do povo, rejeitaram a eleição direta. Então, os políticos liderados, de um lado pelo senhor, do outro pelo doutor Ulysses, decidiram consertar um entendimento que levou à chefia da nação, o presidente Tancredo Neves que, infelizmente e tragicamente, deixou o país e deixou a presidência. Pois bem, passou-se algum tempo, passaram-se já quase cinco anos do governo de transição, e esses homens, Aureliano Chaves, Ulysses Guimarães, que estão na memória de todos, de alguma maneira, ajudaram a conduzir a transição democrática, ajudaram a acabar com a coisa da ditadura, do governo autoritário. Não importa se o senhor estivesse no governo e o senhor Ulysses estivesse contra, os senhores se entenderam como se entenderam para escolher Tancredo, como se entenderam para escolher Sarney, como se entenderam para formar o ministério. E hoje, são dois homens sob cuja honorabilidade raramente se ouve alguma observação... fala-se tanto de outros políticos, mas eu não ouço dizer nada contra a honorabilidade de Aureliano Chaves e contra a honradez de Ulysses Guimarães. Eu gostaria de perguntar ao senhor como eleitor, como jornalista e eu acho que talvez interprete a curiosidade de muitos telespectadores... É claro que as pesquisas, como o senhor diz, não representam tudo, nem todos responderam, é uma parcela minoritária que manifestou a intenção de votos, mas manifesta pelo menos um sentimento desta parcela. O que a seu juízo, com a sua experiência já longa na vida pública, o que estará acontecendo neste país? Que os homens da sua idade, que os homens que poucos anos atrás emprestaram o seu talento, o seu poder de conciliação para encontrar uma solução que foi pior que a eleição direta, mas foi melhor que a continuação da ditadura? O que terá acontecido com esses homens que hoje tem um, dois, três, no máximo 4% da pesquisa? O país perdeu a memória? Os senhores deixaram de saber fazer política? O que houve?"
09/08/1989,Aureliano Chaves,9,Aureliano Chaves,"Os tempos mudam com muita velocidade, mas particularmente num país como o Brasil, os tempos mudam com mais velocidade ainda. Agora, é muito difícil aferir-se determinados fatos. Há um fato concreto, o país é amplamente [abre os braços] dominado pela mídia eletrônica e, às vezes, procura-se fotografar o pensamento do candidato pela fisionomia do candidato. Projeta-se instantaneamente... porque é assim que funciona, em média, a chamada mídia eletrônica, projetando muito mais a imagem e muito menos o pensamento. Então, corre-se o risco de pensar que se está abandonando candidatura para presidente da República e está se querendo escolher um bom locutor de televisão ou um bom artista de novela. Isso pode ocorrer. Além do mais, eu respeito. Afinal de contas, a sabedoria é do povo. O povo tem, no recôndito da sua alma e da sua inteligência [coloca as mãos na cabeça], muita sabedoria. Quem não se lembra do que ocorreu com o grande, o extraordinário Winston Churchill? [(1874-1965), estadista britânico, escritor, jornalista, orador e historiador. Foi primeiro-ministro britânico em 1940. Notabilizou-se por resistir ao regime nazista. Em seus discursos, lembrava que o povo britânico deveria ser resistente e chamou a Segunda Guerra Mundial de desnecessária. Em 1953, Churchill recebeu o prêmio Nobel de literatura por suas memórias de guerra] Sem cuja bravura, sem cuja determinação o mundo seria outro hoje. Um homem que reavivou o sentimento de resistência do povo inglês, depois de [...]. Quem não tivesse a têmpera de aço de Churchill teria sucumbido diante das bombas V2 [míssil de curto alcance] que caíam sobre Londres. E da ofensiva de Londres com bombardeios para baixar a moral do povo inglês. Winston Churchill levantou-se como um gigante e como um gigante conduziu a Inglaterra num período de sangue, suor e lágrimas para a vitória final. E, ao invés de ser premiado pela vitória final, foi castigado sendo derrotado como candidato à câmara dos comuns [referente à Câmara dos Deputados], no seu distrito eleitoral. Essas coisas podem ocorrer."
09/08/1989,Aureliano Chaves,10,Luiz Weis,"Ministro, vamos voltar por um momento ao Brasil. O senhor falou em mídia eletrônica e, pouco antes de vir para cá, eu estava vendo o noticiário da noite e eu vi o senhor falando, em Foz do Iguaçu, a uma reunião de ruralistas. E o senhor disse coisas como: “A agricultura não pode dar prejuízo. É preciso dar habitação ao povo”. Em outro canal, o candidato do PDS [Partido Democrático Social], Paulo Maluf [Foi prefeito de São Paulo 2 vezes, secretário de transportes e governador do estado de São Paulo. Foi eleito, em 2006, deputado federal. Terminou a campanha eleitoral de 1989 em quinto lugar], dizia que era preciso acabar com a carestia. Ontem à noite, aqui nesse mesmo Roda Viva, o candidato Fernando Collor de Mello dizia que precisava por o corrupto na cadeia. E assim vai e assim vai e assim vai... Ouvimos um, ouvimos todos. O senhor não acha que todos nós, os partidos, os políticos e o povo, estamos perdendo uma excelente ocasião de fazer, dessa campanha eleitoral, um foro para a discussão de um projeto nacional que vá além do imediatismo do pronto-socorro em que o Brasil se encontra?"
