DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
18/08/2008|Ayaan Hirsi Ali|1|Lilian Witte Fibe|Boa noite. Ela contou sua história num livro e ajudou a produzir um documentário sobre as condições das mulheres muçulmanas. Por conta disso foi ameaçada de morte por fundamentalistas. Precisou deixar a Holanda, onde estava refugiada, e chegou a se eleger deputada para depois se exilar nos Estados Unidos, onde vive sob forte esquema de segurança. Nossa convidada de hoje é a polêmica escritora Ayaan Hirsi Ali, que se tornou conhecida no mundo por denunciar maus tratos e defender os direitos das mulheres muçulmanas. A nossa entrevista começa já, já.
18/08/2008|Ayaan Hirsi Ali|2|Lilian Witte Fibe|Ayaan Hirsi Ali é reconhecida como uma das maiores críticas do islamismo. Recentemente lançou seu mais novo livro, no qual, além de denunciar a repressão sofrida pelas mulheres muçulmanas, critica o multiculturalismo e cobra mais rigor do Ocidente com relação ao islã.
18/08/2008|Ayaan Hirsi Ali|3|[Comentarista]|Ayaan Hirsi Ali nasceu na Somália, mas por causa da militância política do pai foi obrigada a deixar o país. Aos cinco anos, por uma tradição local, foi submetida a uma cliterectomia, a extirpação do clitóris. Criada numa família islâmica, de acordo com as tradições da religião, se viu forçada pela família a um casamento com um primo distante, que morava no Canadá. A caminho de encontrar o marido, fugiu e seguiu para a Holanda, onde pediu asilo. Estudou ciências políticas e se elegeu deputada da Câmara Baixa do Parlamento holandês, onde ficou de janeiro de 2003 a maio de 2006. Deixou o país no final de 2006, após perder o cargo e a cidadania holandesa, acusada de mentir ao solicitar asilo. Ayaan Hirsi Ali escreveu o argumento para o filme Submission [Submissão, filme realizado em 2004 e exibido na televisão holandesa, é um curta-metragem de dez minutos sobre a violência exercida contra as mulheres muçulmanas, especialmente a circuncisão feminina, e alertando para outros abusos, como incestos, estupros consentidos, casamentos forçados e o suicídio forçados de jovens mulheres muçulmanas migrantes], do holandês Theo Van Gogh. Nele, apresenta o seu ponto de vista sobre a submissão das mulheres muçulmanas. Após a exibição, viu o seu parceiro na produção ser assassinado. Um bilhete fincado em seu peito dizia que ela seria a próxima. Desde então, passou a andar com seguranças. Em 2007, Ayaan lançou um livro autobiográfico onde conta a sua trajetória: Infiel retrata o percurso da garota que nasceu na Somália, um dos países mais pobres da África, viveu exilada na Arábia Saudita, Etiópia e Quênia, e que depois se transformou em deputada e escritora, na Holanda. Neste ano [2008], Ayaan Hirsi Ali lançou A virgem na jaula: um apelo à razão. O livro é uma coleção de escritos que elaborou graças ao trabalho de tradutora que teve nos primeiros anos na Holanda. A experiência possibilitou que ela tivesse contato com histórias de outras famílias muçulmanas que, mesmo no Ocidente, mantêm os costumes de seus países de origem. Em 2005, a revista Time a incluiu na lista das cem pessoas mais influentes do mundo. Ayaan Hirsi Ali esteve no Brasil para participar da conferência Fronteiras do Pensamento Copesul-Braskem, realizada em Porto Alegre e Salvador, no final do mês de junho [de 2008]. Atualmente, vive em Washington, nos Estados Unidos, onde trabalha no American Enterprise Institute [for Public Policy Research – Instituto Americano de Empreendimento para a Pesquisa de Política Pública] na defesa dos direitos das mulheres muçulmanas.
18/08/2008|Ayaan Hirsi Ali|4|Lilian Witte Fibe|Para entrevistar a escritora Ayaan Hirsi Ali, convidamos: Daniel Piza, editor executivo e colunista do jornal O Estado de S. Paulo; Norma Couri, correspondente da revista portuguesa Visão; Marta Góes, jornalista e dramaturga; Demétrio Magnoli, editor do jornal Mundo – Geografia e Política Internacional. A Luiza Moraes, repórter do núcleo de jornalismo da TV Cultura que traz para a entrevista as perguntas enviadas por telespectadores e internautas. Temos também a participação de Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa.
18/08/2008|Ayaan Hirsi Ali|5|Lilian Witte Fibe|Boa noite senhora Ayaan, obrigada pela sua presença. Eu queria começar lhe perguntando o que a senhora tem achado... Como a senhora tem visto as recentes decisões do presidente francês Nicolas Sarkozy que quer restringir... acaba de assumir a presidência da Comunidade Européia e quer restringir muito a presença dos imigrantes, que está propondo deportar os imigrantes ilegais, isso na Europa. Nos Estados Unidos eu queria saber como que a senhora está vendo a possível eleição do candidato democrata Obama [Barak Hussein Obama elegeu-se presidente dos Estados Unidos, em 2009, tornando-se o primeiro negro a alcançar esse posto, com mandato previsto até 2012], cuja avó mora no Quênia, nasceu lá.
18/08/2008|Ayaan Hirsi Ali|6|Ayaan Hirsi Ali|Vou começar pela decisão do presidente Sarkozy, na França. Sei que, quando foi ministro do Interior e líder de seu partido [UMP – Union pour un mouvement populaire – de tendência de centro-direita], ele insistiu em um plano comum europeu para a imigração, assim como eles têm um plano comum para a agricultura. E parte daquele plano seria não apenas estabelecer onde são as fronteiras da União Européia, mas também “quem permitimos entrar na União Européia e quem rejeitamos” – e o que fazer a respeito de imigrantes ilegais. No momento, na Europa, se você é um imigrante ilegal... na Holanda, por exemplo, você poderia passar pelas fronteiras não controladas e morar ilegalmente na Alemanha ou na Bélgica, ou mesmo mudar-se para a França ou outros lugares. Por isso, no momento, acho boa essa iniciativa dele de centralizar a questão da imigração na Europa. Como isso vai funcionar, eu não sei. A respeito de Barack Obama como possível presidente democrata, creio, assim como muitas pessoas dentro e fora dos Estados Unidos, que Barack Obama é um candidato com muitas qualidades. Acho que ele conseguiu muito, fez uma campanha bastante eficaz. Acho também que ele divulgou sua mensagem de mudança como uma mensagem de proselitismo que está pegando fogo. Se for eleito, será com base nisso, e se ele governar o país como está dirigindo essa campanha e como tem levado sua vida, creio que não temos nada a temer. Mas, novamente, não posso prever o futuro.
18/08/2008|Ayaan Hirsi Ali|7|Lillian Witte Fibe|A senhora tem a expectativa de que a relação americana com o mundo islâmico melhore caso ele seja eleito?
18/08/2008|Ayaan Hirsi Ali|8|Ayaan Hirsi Ali|Creio que isso seja um mito. Não importa quem seja o presidente dos Estados Unidos. Qualquer presidente terá de promover os interesses americanos. E não é do interesse dos Estados Unidos hoje, por exemplo, manter... como muitos muçulmanos no mundo muçulmano sentem, dar apoio a ditaduras que oprimem seu próprio povo. Em nome do islamismo, a Jihad, ou Guerra Santa, foi iniciada contra os infiéis, e contra o Grande Satã, ou seja, os Estados Unidos [e] contra Israel. Como presidente, Barack Obama herdará, antes de mais nada, tudo que a administração Bush deixou para trás. [George Walker Bush, presidente dos Estados Unidos de forte tendência conservadora. Sua administração (2001-2009) representou um endurecimento dos Estados Unidos para com os países que se opunham à política externa estadunidense intervencionista] Mas ele também precisa estabelecer suas próprias idéias sobre como lidar com o Irã, sua relação com Israel. E tenho certeza que isso não será muito agradável para muitas pessoas que rejeitam os Estados Unidos e Israel. Mas ele é o presidente dos Estados Unidos – e não o presidente do mundo muçulmano. E é uma ilusão vê-lo de outra forma.
18/08/2008|Ayaan Hirsi Ali|9|Norma Couri|Você acha que se a Hillary tivesse ganho [a convenção para escolher o candidato do Partido Democrata à presidência dos Estados Unidos, e assim, caso fosse eleita], se fosse uma mulher presidente, seria melhor para as mulheres muçulmanas?
18/08/2008|Ayaan Hirsi Ali|10|Ayaan Hirsi Ali|No momento, essa é uma pergunta hipotética, ela não venceu. Por isso, não tenho uma resposta a essa pergunta. Mas minha experiência me diz que não basta ter uma mulher como líder. Depende do programa desse candidato à presidência, ou desse presidente. E, de modo geral, fiquei bastante decepcionada com os três candidatos – Barack Obama, Hillary Clinton [primeira-dama (1993 – 2001), senadora (2001 – 2009) e secretária de Estado da administração Obama (2009 – )] e o senador McCain [candidato do Partido Republicano às eleições presidenciais de 2008]. Eu não ouvi e posso ter perdido alguma coisa, mas não ouvi de nenhum deles em suas campanhas a idéia de tratar da situação da mulher muçulmana como uma prioridade.
