DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
23/09/1996|Caetano Veloso|1|[Programa gravado não permitindo a participação dos telespectadores]|[Programa gravado não permitindo a participação dos telespectadores]
23/09/1996|Caetano Veloso|2|Matinas Suzuki| Boa noite! O Roda Viva está completando dez anos e cerca de 500 programas. Para abrir a série de entrevistas especiais que comemoram essa década do Roda Viva, nós convidamos um dos mais importantes artistas brasileiros, Caetano Veloso.
23/09/1996|Caetano Veloso|3|[Vídeo com imagens da carreira de Caetano]|[Vídeo com imagens da carreira de Caetano]
23/09/1996|Caetano Veloso|4|[Comentarista Valéria Grillo]| Encontrar a virtude da preguiça requer tempo. Paciência para assistir ao horizonte refletir um sem-número de cores e nomes. Ser Caetano é algo para um Pessoa, um Caymmi, um Drummond ou um João da bossa de escrever. Diriam, talvez, um espírito musical eternizando esquinas, linhas, ritmos, linguagem, versos. O ser Caetano já foi Lamartine Babo em Tabu e Gregório de Mattos em Os sermões. Mas o fascínio por um mundo de fotogramas resultou em um exercício atrás da câmera, o Cinema falado. Ser Caetano talvez desse um filme, e com ele mesmo cantando, como já se ouviu em O quatrilho; Índia, a filha do Sol; Tieta. São 50 e poucos anos experimentando levar idéias de Salvador a Nova Iorque, passando pelo Rio, Buenos Aires, Roma, Madri e Montreux. Uma celebração acesa em olhos que enxergam um Brasil trágico, utópico e fantástico. Dos quase mil dias de exílio à “ferveção” da praça Castro Alves [em Salvador, onde os trios elétricos do carnaval terminam seu trajeto], Caetano Veloso provoca estranheza, luz, tristeza e um rebolado de meia-lua inteira. Do rock ao samba. As métricas são estações dessa preguiça virtuosa, quase filosófica, silenciosa, divertida, bacante, superbacana. Um exibicionismo pretensioso, teatral, lúcido, de chamar música, cinema e poesia – qualquer uma dessas artes – de gostosa.
23/09/1996|Caetano Veloso|5|Matinas Suzuki| Para entrevistar o Caetano Veloso, esta noite, nós convidamos o cineasta Cacá Diegues, que é diretor do filme Tieta do agreste, que está em circuito nacional; o economista Eduardo Giannetti da Fonseca; Cesare de Florio La Rocca, presidente do Projeto Axé; o jornalista Marcos Augusto Gonçalves, editor do [caderno] Domingo da Folha de S. Paulo; Hubert Aranha, do Casseta e Planeta [programa humorístico exibido semanalmente pela Rede Globo], e o psicanalista Luiz Tenório Oliveira Lima. O Roda Viva é transmitido em rede nacional com 150 outras emissoras de 21 estados brasileiros. Nós lamentamos muito, mas esta noite você não poderá enviar as suas perguntas para o Caetano Veloso, porque este programa foi gravado. Boa noite, Caetano!
23/09/1996|Caetano Veloso|6|Caetano Veloso| Boa noite!
23/09/1996|Caetano Veloso|7|Matinas Suzuki| Depois de dez anos, o Roda Viva conseguiu te trazer! [risos]
23/09/1996|Caetano Veloso|8|Caetano Veloso| Finalmente, mas eu consegui chegar aqui!
23/09/1996|Caetano Veloso|9|Matinas Suzuki| Exato.
23/09/1996|Caetano Veloso|10|Caetano Veloso| Eu tinha vontade de fazer, mas não tinha calhado... Agora deu!
