DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
08/02/1999|Candido Mendes|1|Paulo Markun| Boa noite. Ele acha que o presidente Fernando Henrique Cardoso sonha com O Príncipe, [O Príncipe livro] de Maquiavel, mas oscila entre o deleite do intelectual no poder e a fisiologia do “é dando que se recebe”, que comanda aí o jogo político muitas vezes. No centro do Roda Viva esta noite o cientista político, sociólogo, advogado, escritor, acadêmico, professor e reitor Candido Mendes de Almeida. O carioca Candido Mendes, setenta anos, é membro da Academia Brasileira de Letras, do Conselho Internacional de Ciências Sociais da Unesco e é reitor da Universidade Candido Mendes no Rio de Janeiro. Considerado um dos mais importantes intelectuais brasileiros, publicou obras sobre desenvolvimento, crise, justiça, tecnocracia e América Latina. Entre essas obras, uma trilogia que vasculha os últimos trinta anos da vida política brasileira. Acaba agora de lançar este livro aqui, A presidência afortunada, um livro sobre o Brasil de hoje, sobre os dilemas de Fernando Henrique, a partir de sua reeleição. O desafio de corrigir nos próximos quatro anos os erros cometidos no primeiro mandato. Para entrevistar o professor Candido Mendes, nós convidamos: o jornalista José Nêumanne, editorialista do Jornal da Tarde; o jornalista Reinaldo Azevedo, editor-chefe das revistas República e Bravo; a socióloga Aspásia Camargo, da Fundação Getúlio Vargas; a jornalista Mônica Teixeira, da TV Cultura aqui de São Paulo e colunista do jornal Gazeta Mercantil; o jornalista Luiz Weis, articulista do jornal O Estado de S. Paulo; o cientista político Gildo Marçal Brandão, professor da Universidade de São Paulo e o cientista político Carlos Novaes. O Roda Viva é transmitido em rede nacional para todo o Brasil, para todos os estados brasileiros e também para Brasília, e infelizmente hoje você não vai poder fazer perguntas porque este programa não está sendo exibido ao vivo. Boa noite, professor.
08/02/1999|Candido Mendes|2|Candido Mendes| Boa noite.
08/02/1999|Candido Mendes|3|Paulo Markun| Este título do livro do senhor, A presidência afortunada, o senhor o manteria hoje, é afortunada a presidência de Fernando Henrique Cardoso [FHC]?
08/02/1999|Candido Mendes|4|Candido Mendes| Eu acho que manteria, porque mais do que nunca é o teste que está aí. Eu acho que a fortuna também persevera quando se consegue responder. Eu acho que já houve muita sorte até agora, para que agora venha a capacidade e a resposta ao muito que foi dado, à expectativa nacional, para que neste segundo mandato a social-democracia possa funcionar.
08/02/1999|Candido Mendes|5|José Nêumanne| Teria o presidente abusado da sorte, professor? Na sua opinião ele teve essa sorte e abusou dela, por isso a perdeu?
08/02/1999|Candido Mendes|6|Candido Mendes| Não, eu acho que cabe ao "príncipe" essa capacidade de fazer do fato, fazer da circunstância um ato que passe a ser da sua própria racionalidade. Ele sabe domar o fato. Ele sabe, sobretudo, seduzir.
08/02/1999|Candido Mendes|7|Luiz Weis| Professor, a sedução exercida pelo presidente Fernando Henrique é sobejamente conhecida. Agora, depois do colapso do real [Plano Real], muito do que se vinha dizendo dele, no primeiro mandato, de uma dificuldade de tomar decisões, de uma espécie de pouco apetite pelo exercício efetivo do cargo e não apenas pela sedução, pela capacidade de gerar compromissos, estaria hoje deixando o Brasil quase que acéfalo. Então, o sociólogo francês Alain Touraine [ver entrevista com Touraine no Roda Viva] disse que o presidente Fernando Henrique está em declínio. Os jornais importantes publicam editoriais dizendo que ele tem que tomar decisões, e o mercado vê um presidente aquém da demanda do momento, o que é, portanto, aquém da condição de príncipe.
08/02/1999|Candido Mendes|8|Candido Mendes| Neste momento eu diria o contrário. Eu acho que o presidente, a decisão de desvalorizar é uma decisão fundamentalmente dele, eu não discuto o resultado. Digo que não houve pobreza de decisão. Houve uma decisão contundente, extremamente grave e assumida.
08/02/1999|Candido Mendes|9|Paulo Markun| A sensação que a gente tem não é essa. A sensação que a gente tem é que o presidente foi forçado a fazer isso, pelo menos é o que todo noticiário indica, que todas as análises justificam, e que acabou fazendo isso muito tarde.
08/02/1999|Candido Mendes|10|Candido Mendes| O depoimento do antigo presidente do Banco Central é de que o presidente estava determinado a isso, já em função também de todas as conversações internacionais. E que no momento em que a coisa teve que se definir, eu acredito que não houve mais postergação...
08/02/1999|Candido Mendes|11|Luiz Weis| Mas houve uma percepção da sociedade – só para terminar esse capítulo. Nessa semana crucial, inclusive da história moderna brasileira...
08/02/1999|Candido Mendes|12|Candido Mendes| Crucial na história moderna brasileira.
08/02/1999|Candido Mendes|13|Luiz Weis| ... o presidente sai de férias e volta, sai de férias e volta. Vai para Sergipe, vai para a fazenda. Quer dizer, há uma vacilação que reforça todo o estereótipo que se cria em torno da imagem do presidente.
08/02/1999|Candido Mendes|14|Candido Mendes| Houve um protagonismo de modificação. Eu acredito que o presidente tentou ainda naquele momento realizar o cenário de uma relativa calma dentro desse tipo de vendaval que nós tivemos. O que "o príncipe" normalmente faz? O que é que os príncipes renascentistas fizeram? Na hora das principais comoções eles continuaram nos seus jogos, nas suas leituras ou ouvindo Maquiavel. Eu acredito que nesse sentido as saídas em termos de cenários foram ainda alguma coisa que se somou na idéia de tornar ainda rotineiro o momento gravíssimo que se estava atravessando.
08/02/1999|Candido Mendes|15|Reinaldo Azevedo| Professor, há pelo menos quatro anos, e com mais clareza há um ano, desde Delfim Netto [economista, professor universitário e político, Antônio Delfim Netto (1928-) é conhecido como o ministro da Fazenda que regeu a economia durante o período em que o Brasil apresentou o maior e mais extenso crescimento anual do PIB, o chamado "milagre econômico", época também do forte controle de preços e salários], que simboliza aqui, no meu raciocínio, o pensamento político mais conservador, ou historicamente dado como conservador, a Maria da Conceição Tavares [economista, considerada uma referência do pensamento intelectual brasileiro, também foi deputada federal pelo PT] que vocaliza um pensamento mais progressista, tanto quanto estridente, se falava da bobagem – eu acho que a palavra é essa – de se manter a política cambial da forma como ela vinha. Não se via, exceção feita ao presidente do Banco Central, ou ao então presidente do Banco Central, Gustavo Franco – e me parece que as divergências internas do próprio governo comprovam isso – ele era uma espécie de defensor isolado da política cambial na forma como ela vinha. Ou seja, todo o desastre que se previa, no que diz respeito a essa questão técnica em particular, está acontecendo, está se dando. A minha pergunta é menos se errou ou não – me parece que a essa altura está bastante claro que errou. Em que momento "o príncipe" no poder chega a uma espécie de ponto de inflexão em que ele cega e não consegue mais ver a realidade, portanto, ele é um plebeu, como qualquer um de nós, sabendo quase nada, como qualquer um de nós.
08/02/1999|Candido Mendes|16|Candido Mendes| Não sei se é um plebeu. Eu sei que o novo mandato foi visto no templo interior do príncipe como a hora de ajustar as questões, resolvê-las. Acho até que aí houve um outro erro. Muita coisa poderia ter sido feita já no pós-eleitoral do 4 de outubro. Hoje mesmo a posição do Don Bush [George Herbert Walker Bush (1924-), foi presidente dos Estados Unidos de 1989 a 1993] que me parece das mais importantes e que está aí vista como...
