DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
12/05/2003|Carlos Fino|1|Paulo Markun|Boa noite. Em quase todos os acontecimentos importantes, surgem personagens que, mesmo não sendo centrais, ganham destaque pela participação ou pelo envolvimento que acabam tendo nesse caso. É, por exemplo, esse o caso de jornalistas que cobrem fatos importantes de muita repercussão. A Guerra do Iraque, que também ficou conhecida como a "guerra das coberturas jornalísticas", celebrizou repórteres e cinegrafistas que, por sorte ou azar, por coragem, faro profissional ou por disposição ao risco, se colocaram à frente da batalha para informar melhor o mundo. O Roda Viva entrevista, hoje, um desses personagens, o jornalista Carlos Fino, da Rádio e Televisão Portuguesa [RTP]. Ele é integrante da equipe do Jornal Dois, o principal serviço informativo da RTP Dois, o canal internacional da emissora portuguesa dedicado à cultura e ao noticiário internacional. Carlos Fino foi correspondente em Moscou e em Washington e também foi correspondente de guerra da RTP em Bagdá. E foi através dele, e retransmitindo a RTP, que a TV Cultura também divulgou, em primeira mão aqui no Brasil, a notícia do início da Guerra do Iraque.
12/05/2003|Carlos Fino|2|[Comentarista]|Diariamente, em transmissões para o mundo todo, a Rádio e Televisão Portuguesa trazia as imagens e os acontecimentos que faziam de Bagdá o palco principal da Guerra do Iraque. Instalado no Hotel Palestina, na capital iraquiana, onde se concentraram os jornalistas estrangeiros, Carlos Fino foi o primeiro repórter a transmitir o início dos bombardeios sobre Bagdá. A TV Cultura estava conectada à RTP e nossa programação especial também acompanhou o relato de Carlos Fino marcando o início da Guerra do Iraque. Nos dias que se seguiram, a presença do repórter português no canal internacional da RTP foi uma constante, trazendo detalhes da operação de guerra e da vida da cidade à medida que ela ia sendo destruída pelas bombas. A equipe portuguesa também acompanhou de perto o drama de famílias que tiveram suas casas destruídas, muitas vezes com a perda quase total da família. Viu também a fúria da população, indignada com os ataques que não poupavam os civis. Foi em meio a situações de revolta que Carlos Fino e o cinegrafista Nuno Patrício sofreram agressões numa rua de Bagdá. Confundidos com estrangeiros ligados aos americanos, levaram pontapés, socos e coronhadas, como também aconteceu a uma jornalista da Bulgária. Embora saíssem feridos, tiveram mais sorte que outros jornalistas destacados para acompanhar a guerra. Dois deles, cinegrafistas da agência Reuters [agência européia de notícias] e do Canal Telecinco [canal espanhol de notícias] morreram quando um canhão americano, num ataque inexplicado, disparou contra o Hotel Palestina onde 200 jornalistas estavam hospedados. No total, em três semanas de guerra, pelo menos 12 jornalistas morreram no Iraque. Movidos pela batalha das coberturas e pelo que muitos deles consideram senso de responsabilidade profissional, acabaram chegando perto demais do perigo ao procurarem chegar perto demais da notícia.
12/05/2003|Carlos Fino|3|Paulo Markun|Para entrevistar o jornalista Carlos Fino, nós convidamos Lourival Sant’Anna, repórter especial do jornal O Estado de S. Paulo; Jaime Spitzcovsky, diretor do site Prima Página, editor-chefe do Jornal do Terra e membro do grupo de análise e conjuntura internacional da Universidade de São Paulo; Demétrio Magnoli, doutor em geografia urbana pela Universidade de São Paulo e editor do Jornal Mundo, de geografia e política internacional dedicado às escolas de ensino médio e superior. Está também com a gente, Laura Mattos, repórter do caderno "Ilustrada" do jornal Folha de S. Paulo. Participam do programa, ainda, Vicente Adorno, editor de internacional da TV Cultura e Paulo Daniel Farah, professor de literatura da Faculdade de Filosofia, Letras e Ciências Humanas da Universidade de São Paulo e um dos editores deste livro: Porque nós, brasileiros, dizemos não à guerra, da editora Planeta.
12/05/2003|Carlos Fino|4|Paulo Markun|Boa noite, Carlos Fino.
12/05/2003|Carlos Fino|5|Carlos Fino|Muito boa noite.
12/05/2003|Carlos Fino|6|Paulo Markun|Obrigado pela sua presença aqui no programa. Eu queria começar por uma pergunta que, sinceramente, me vem à cabeça sempre que eu vejo colegas aceitando essa missão de cobrir guerras. O que é que leva um jornalista a participar de uma cobertura desse tipo onde se sabe que a chance dele morrer é muitas vezes maior, como foi dez vezes maior no caso do Iraque, do que o soldado?
12/05/2003|Carlos Fino|7|Carlos Fino|Olha, nós próprios nos colocávamos essa questão. Eu recordo-me que nos farrapos de conversa que nós tínhamos entre os serviços que fazíamos, havia interrogações e uma delas era essa. Recordo-me de ter essa conversa com uma colega minha da rádio Foeeurope, que está situada em Praga, ela é do Uzbequistão, ex-União Soviética, situada em Praga. É uma mulher relativamente desenraizada, pressuponho eu. Verdadeiramente, eu não sei o que é que nos leva a...
12/05/2003|Carlos Fino|8|Paulo Markun [interrompendo] É a adrenalina?|aulo Markun [interrompendo] É a adrenalina?
12/05/2003|Carlos Fino|9|Carlos Fino|Não, nós interrogávamos: “Será pela fama, será pelo dinheiro”? No nosso caso, não é certamente pelo dinheiro. A fama, enfim, é relativa. Eu já sou, em Portugal, um dos jornalistas relativamente conhecidos, porque já fiz o fim da União Soviética, fui duas vezes correspondente em Moscou, portanto não foi propriamente isso que me levou lá. Eu julgo que há motivações diferentes, consoantes às pessoas, naturalmente. Cada caso será um caso. Mas em todos eles, julgo que há algo de um desespero qualquer. Um desespero de causa ou até de vida. Cada um terá o seu. Por outro lado, eu penso que há, no meu caso... acaba por se formar, eu julgo, uma espécie de imperativo categórico do jornalista, do repórter. Se está a acontecer, nós temos que ir. E depois, [tem] um pouco dessa situação do chefe de redação ou do diretor que olha em volta e dá de caras conosco. Porque já foi o sujeito que esteve em outras guerras. Simplesmente isso, esse conjunto de motivos. Mas há um grau talvez de desespero. É pessoal também, isso que talvez nos motiva.
12/05/2003|Carlos Fino|10|Paulo Markun|E volta-se diferente?
