DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
07/08/2000|Carlos Guilherme Mota|1|[programa ao vivo, permitindo a participação dos telespectadores]|programa ao vivo, permitindo a participação dos telespectadores]
07/08/2000|Carlos Guilherme Mota|2|Paulo Markun|Boa noite. Há quase quatro décadas ele vem reescrevendo a história do Brasil e procurando desvendar que país é este em que vivemos hoje e que futuro podemos esperar com o passado que tivemos. O Roda Viva entrevista esta noite um dos mais importantes historiadores brasileiros, o professor Carlos Guilherme Mota.
07/08/2000|Carlos Guilherme Mota|3|[Comentarista]|Formado em história em 1963 pela Faculdade de Filosofia, Ciências e Letras da Universidade de São Paulo, o paulistano Carlos Guilherme Mota fez carreira completa na USP. É mestre, doutor, livre-docente e professor titular de história contemporânea e de pós-graduação. Já escreveu 14 livros, com destaque para Ideologia da cultura brasileira (1933-1974). O livro, com prêmio APCA [Associação Paulista de Críticos de Arte], foi escrito como ponto de partida para uma revisão histórica. Causou polêmica ao colocar em discussão as formas de pensamento no Brasil, contrariando a idéia de que somos um país manso, de língua única e que não tem contradições. Seu mais recente trabalho mostra o fôlego do historiador que, em seus artigos e estudos, analisa e defende a formação de uma nova sociedade civil. Carlos Guilherme Mota coordenou a obra coletiva Viagem incompleta - A experiência brasileira (1500-2000), dois volumes publicados pela editora Senac São Paulo e Sesc-São Paulo. O livro reúne estudos e ensaios de vários historiadores convidados e de orientações intelectuais diferentes. O primeiro [volume], que é o Formação: histórias, procura enxergar o Brasil em uma visão que vai da Pré-História da América tropical à passagem da monarquia para a república. O segundo volume, A grande transação, se dedica ao Brasil do século XX. Os estudos dos dois volumes mesclam interpretações clássicas e inéditas sobre as identidades ambíguas do Brasil após quinhentos anos de história e oferecem novas reflexões sobre nossa cidadania, sobre passados não muito bem resolvidos, sobre experiências coletivas que deram origem ao Brasil e que podem ajudar na procura de caminhos para o futuro da sociedade brasileira.
07/08/2000|Carlos Guilherme Mota|4|Paulo Markun|Para entrevistar o professor Carlos Guilherme Mota, nós convidamos: o museólogo Fábio Magalhães, diretor-presidente do Memorial da América Latina; o sociólogo Gabriel Cohn, professor titular do Departamento de Ciência Política da Universidade de São Paulo; Eni Orlandi, professora de análise de discurso do Departamento de Lingüística e coordenadora do Laboratório de Estudos Urbanos [Labeurb] da Universidade [Estadual] de Campinas; a pedagoga Carlota Boto, diretora da Faculdade de Filosofia, Letras e Educação da Universidade Presbiteriana Mackenzie e professora de história da educação da Faculdade de Ciências e Letras da Unesp [Universidade Estadual Paulista Júlio de Mesquita Filho] de Araraquara; Luiz Weis, articulista do jornal O Estado de S. Paulo; o historiador e cientista político Marco Aurélio Garcia, que é secretário de relações internacionais do Partido dos Trabalhadores [PT] e professor da Universidade [Estadual] de Campinas. O Roda Viva é transmitido para todos os estados brasileiros e também para Brasília. Professor Carlos Guilherme, boa noite.
07/08/2000|Carlos Guilherme Mota|5|Carlos Guilherme Mota|Boa noite.
07/08/2000|Carlos Guilherme Mota|6|Paulo Markun|O segundo volume da obra que o senhor organizou tem como subtítulo A grande transação. Nos dias de hoje, falar em "grande transação" é sempre assustador. Eu queria saber efetivamente se esse elo, se a grande transação é o que permanece no período histórico analisado, ou seja, se em todos esses ensaios, com toda a variação de pontos de vista e de orientação dos seus autores, existe algo que diz “isso aqui é o traço de união que desenha o Brasil contemporâneo".
07/08/2000|Carlos Guilherme Mota|7|Carlos Guilherme Mota|A história do Brasil vem sendo reelaborada de maneira vigorosa por muitos autores. Nós passamos pelo menos metade das nossas vidas discutindo grandes transições: a transição para a democracia, a transição do feudal para o capitalismo, a transição...E, de repente, nos damos conta de que parecemos um pouco como aquela história de Alice no País das Maravilhas [obra clássica inglesa de Lewis Carol, publicada em 1865. Do gênero surrealismo, conta a história de uma menina que vai para um mundo fantástico, repleto de sátiras, absurdos e sonhos], onde andamos, andamos e estamos mais ou menos no mesmo lugar. Ou, como diria um [líder político] da República Velha [período político brasileiro entre 1889, quando a República foi proclamada, até 1930, com a Revolução Tenentista], “É preciso fazermos a reforma para não fazermos a revolução”. Ou ainda, como diria o grande [Giuseppe di] Lampedusa [(1896-1957) escritor italiano]: "É preciso mudarmos bastante para ficarmos no mesmo lugar" [A citação está na obra O leopardo que fala da decadência da aristocracia siciliana]. A história do Brasil dá um pouco essa sensação para o historiador. Mas, de fato, preferi dar esse título para criar perguntas como essa sua, para sair do tema sobre para onde estamos caminhando. Parece que há sempre uma grande negociação em torno do nosso presente e também é uma negociação, é uma transação freqüente sobre o nosso passado. História também é objeto de negociação, há versões e versões. Quanto à idéia de transação, essa é antiga, é do século XIX pelo menos, de Justiniano José da Rocha...
07/08/2000|Carlos Guilherme Mota|8|Paulo Markun|[interrompendo] Ação, reação, transação... [Justiniano José da Rocha (1812-1869) professor e um dos primeiros jornalistas brasileiros a direcionar seus textos para a análise política. A referência diz respeito à obra Ação, reação, transação: duas palavras sobre atualidade política no Brasil (1865), uma das principais do escritor]
07/08/2000|Carlos Guilherme Mota|9|Carlos Guilherme Mota|Exatamente! Ainda estamos, como diria o nosso professor, mestre e saudoso Michel Debrun [(1921-1997) escritor francês. No Brasil desde 1956, lecionou sociologia e ciência política em diversas universidades como a Universidade de São Paulo, Fundação Getúlio Vargas e Universidade Estadual de Campinas], no tema da grande conciliação, que é um dos grandes livros dele [refere-se à obra A conciliação e outras estratégias, editada em 1983, que reitera que a política brasileira não mudou desde 1822, com a independência, e que o país tem dificuldades em constituir sua identidade nacional]. Nós estamos sempre conciliando um pouco e organizando, costurando pelo alto, costurando por cima. Eu acho que é esse o sentido desse título.
07/08/2000|Carlos Guilherme Mota|10|Paulo Markun|O senhor acha que há esse traço efetivo? Quer dizer, essa transação que foi explicitada justamente por esse... Essa pena de aluguel, que era o Justiniano José da Rocha, começou ali no Império e não parou mais?
