DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
29/08/2005|Carlos Velloso|1|[Programa ao vivo, permitindo a participação do telespectador]|[Programa ao vivo, permitindo a participação do telespectador]
29/08/2005|Carlos Velloso|2|Paulo Markun| Boa Noite. Ele é o responsável pela realização de eleições no país e, mais do que nunca, defende uma profunda reforma eleitoral no Brasil. O passe inicial poderia ser uma reforma partidária acabando com as legendas de aluguel, punindo parlamentares que mudam de partido e buscando nova fórmula para financiar as campanhas eleitorais. O Roda Viva entrevista, esta noite, o ministro Carlos Velloso, presidente do TSE - Tribunal Superior Eleitoral.
29/08/2005|Carlos Velloso|3|[Comentarista]| É a segunda vez que Carlos Velloso preside o TSE ao longo de uma carreira jurídica de mais de quarenta anos. Mineiro de Entre Rios, formado em direito, entrou no judiciário estadual de Minas Gerais em 64, como promotor de justiça. Nos anos seguintes, através de concursos, foi juiz estadual e federal em várias instâncias até chegar ao ponto alto da carreira em 1999, como presidente do Supremo Tribunal Federal, de onde saiu como ministro para um segundo mandato na presidência do Tribunal Superior Eleitoral. O primeiro ocorreu entre 1994 e 1996. Foi Carlos Velloso quem diplomou Fernando Henrique Cardoso na presidência da República. Naquele período, criou uma Comissão de Notáveis para estudar e propor uma reforma do sistema eleitoral. Agora, no segundo mandato, ele retoma o tema, que também ganha destaque e importância em função da crise política. O debate no Congresso Nacional em torno de mudanças no sistema político tem eco no TSE [Tribunal Superior Eleitoral], onde o ministro Velloso já colocou a reforma partidária e a mudança no financiamento das campanhas eleitorais como uma das prioridades do seu curto mandato. Carlos Velloso deixa o TSE em janeiro de 2006, quando completará setenta anos e terá de se aposentar compulsoriamente. Mas, até lá, um evento importante vai marcar a atuação da Justiça Eleitoral em todo o país: o referendo sobre a proibição de venda de armas de fogo e munições no Brasil. A consulta popular está marcada para 23 de outubro, quando termina a Campanha Nacional de Desarmamento, que pretende atingir a meta de quinhentas mil armas entregues voluntariamente pela população. O TSE também vai organizar a propaganda gratuita que será feita no rádio e na televisão sobre o referendo. De primeiro a vinte de outubro, grupos a favor e contra a comercialização de armas e munições vão defender suas idéias em busca do “sim” ou do “não” do eleitor.
29/08/2005|Carlos Velloso|4|Paulo Markun| Para entrevistar o presidente do TSE, Carlos Velloso, nós convidamos: Guilherme Evelin, repórter político do jornal O Estado de S. Paulo; Alberto Rollo, especialista em direito eleitoral e administração pública; Silvana de Freitas, repórter do jornal Folha de S. Paulo; Denise Rotemburgo, colunista do jornal Correio Braziliense; Márcio Chaer, diretor do site Consultor Jurídico; e Alexandre Machado, editor de política da TV Cultura. Temos também a participação do cartunista Paulo Caruso registrando em seus desenhos os momentos e os flagrantes do programa. [...] Boa noite, ministro.
29/08/2005|Carlos Velloso|5|Carlo Velloso| Boa noite, Paulo Markun.
29/08/2005|Carlos Velloso|6|Paulo Markun| Queria começar pela reforma política. Todo mundo fala nessa reforma política, em cada crise brasileira ela volta à cena e ela não acontece nunca. O senhor acha que ela acontecerá desta vez?
29/08/2005|Carlos Velloso|7|Carlos Velloso| Bom, a crise é grave e a crise costuma ter essa força de cura, então eu acredito que possa ocorrer sim a reforma. E depois, Paulo Markun, eu acredito muito naquele núcleo bom, naquele núcleo de parlamentares dignos, honestos que temos no Congresso Nacional. E esses parlamentares, muitos deles se comunicam comigo, estão desejosos de fazer uma reforma política, estão sofrendo com o que está ocorrendo, então eu penso que será possível sim.
29/08/2005|Carlos Velloso|8|Paulo Markun| Mas há uma espada do tempo sobre a cabeça de todos nós...
29/08/2005|Carlos Velloso|9|Carlos Velloso| É verdade.
29/08/2005|Carlos Velloso|10|Paulo Markun| ... Porque depois do dia trinta de setembro acabou-se a inana, digamos assim, como dizia a minha avó.
29/08/2005|Carlos Velloso|11|Carlos Velloso| É verdade. O princípio da anualidade, art. 16 da Constituição: toda norma que interfira com um processo eleitoral deverá estar vigente um ano antes das eleições.
29/08/2005|Carlos Velloso|12|Denise Rotemburgo| Agora já está se falando em uma PEC para ampliar esse prazo. O senhor não acha que será um casuísmo mudar o prazo, agora, faltando trinta dias para acabar?
29/08/2005|Carlos Velloso|13|Carlos Velloso| Denise, talvez é casuísmo sim, mas é um casuísmo para o bem. Então, eu penso que seria útil, sabe?
29/08/2005|Carlos Velloso|14|Alexandre Machado| A propósito, presidente, esse momento é um momento propiciatório a mudanças, não é? O país está traumatizado com tudo que aconteceu, está mais aberto a pensar nessas modificações. Agora, esse momento conturbado, é bom conselheiro nesse momento, quer dizer, é bom fazer reforma numa hora como essa ou talvez fosse melhor que se tratasse disso numa situação de mais tranqüilidade?
