DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
07/03/1988,Cauby Peixoto,1,Antonio Carlos Ferreira,"Boa noite. Nós estamos começando o programa Roda Viva, que é transmitido simultaneamente pela Rádio Cultura AM de São Paulo e retransmitido pelas TVs Educativas de Minas Gerais, Mato Grosso do Sul, Bahia, Piauí e Espírito Santo. O nosso entrevistado desta noite é Cauby Peixoto. Cauby Peixoto de Barros nasceu em Niterói no dia 10 de fevereiro, o ano ninguém sabe com certeza, porque ele não gosta de dizer quantos anos tem. 53 anos talvez, 55...57 disse uma enciclopédia respeitável [risos de todos]. Mas Cauby não diz, ninguém sabe realmente quantos anos ele tem. O que se sabe é que em 54 [1954], há 34 anos atrás, já era um ídolo nacional, com fã-clubes espalhados pelo país inteiro e meninas desmaiando na platéia. De lá para cá, sua carreira registra momentos de sucesso absoluto com períodos de relativo ostracismo. Em 1958, por exemplo, tentou sucesso nos Estados Unidos com o nome de Ron Coby. Não deu muito certo. Em 1970 ganhou o Festival Internacional da Canção em San Remo, mas só há oito anos, com o LP Cauby, Cauby de músicas de Chico Buarque, Caetano Veloso eTom Jobim, Cauby Peixoto conquistou o público refinado e a crítica de música. O brega virou chique e mostrou a todo mundo, definitivamente, que é o dono de uma das melhores vozes da música brasileira. E é por isso que Cauby Peixoto está no centro desta Roda Viva de hoje e será entrevistado pelos seguintes jornalistas e críticos de música: Teresa Cristina de Barros, repórter da TV Cultura; Maria Cristina Duarte, diretora de redação da revista Cláudia; Okky de Souza, editor-assistente da revista Veja; Celso Curi, empresário e jornalista; Leão Lobo, crítico de TV da Folha da Tarde; Ruy Castro, jornalista e sócio da produtora The Cat’s Miau; Maurício Stycer, repórter da Folha Ilustrada da Folha de S. Paulo e Kleber de Almeida, editor do Caderno de Sábado do Jornal da Tarde. O cartunista Negreiros fará desenhos que serão mostrados ao longo do nosso programa. A platéia é formada por membros do fã-clube de Cauby, do bairro de Santana, aqui de São Paulo. O telespectador poderá fazer perguntas por telefone, através da Bernadete, da Zezé e da Cidinha pelo telefone 252-6525. E a primeira pergunta que eu vou fazer ao Cauby, eu tenho certeza que é uma pergunta que vai surgir muito aqui pelos telefones de todos os nossos entrevistados depois dessa introdução que eu fiz aqui de apresentação ao Cauby. Cauby, afinal quantos anos você tem e por que todo esse mistério?"
07/03/1988,Cauby Peixoto,2,Cauby Peixoto,"Olha, Tonico... não é? [confirmando o apelido do apresentador]. Tonico, eu sou aquariano, certo?"
07/03/1988,Cauby Peixoto,3,Antonio Carlos Ferreira,"Isso nós já sabemos. O mês está bem fixado, é fevereiro. [sorri]"
07/03/1988,Cauby Peixoto,4,Cauby Peixoto,"O aquariano é uma pessoa realmente diferente, sabe. Claro que com seus defeitos também, muitos defeitos, mas ele é “um povo” que não gosta muito - me parece que, pelo menos a maioria - não se preocupa muito com a velhice, com a idade, aniversário. Nós fugimos sempre dessas coisas convencionais. Não vibramos com isso, vibramos para os outros, mas para nós não. Eu vou a muitos aniversários e tal, as pessoas contam a idade para mim, festejam, comemoram, mas eu não, eu faço o contrário, eu fujo, eu desapareço. Eu fiz uma auto-catequese em mim mesmo de... Porque quando eu vim para São Paulo, eu vim muito jovem, 16 anos, e eu queria cantar, era fissurado em música e não podia cantar de noite. Meu irmão era pianista na boate Oásis, pianista de jazz, Moacir Peixoto, e eu queria cantar de qualquer maneira, então eu tive que falsificar os documentos, aquele jeitinho nosso, não é? Falsifiquei os documentos para 19 [anos] e aí me perdi mesmo na idade, certo?"
07/03/1988,Cauby Peixoto,5,[...],[risos]
07/03/1988,Cauby Peixoto,6,Antonio Carlos Ferreira,"Não é possível. O Ruy já tem uma pergunta, Ruy?"
07/03/1988,Cauby Peixoto,7,Ruy Castro,"Cauby, acontece que os jornalistas têm por obrigação bisbilhotar a vida dos outros e nem todo jornalista é aquariano, então a gente fica com vontade de perguntar isso. Por exemplo, se você oficialmente nasceu em 1935 e você estreou na boate Casa Blanca, no Rio, em Copacabana, com seu irmão Moacir, em 1950, você tinha, teria 15 anos. Como você com 15 anos podia trabalhar numa boate em Copacabana?"
07/03/1988,Cauby Peixoto,8,Cauby Peixoto,"Como é? Trabalhar? [Cauby demonstra, durante o programa, certa dificuldade de audição]"
07/03/1988,Cauby Peixoto,9,Ruy Castro,Como você poderia trabalhar aos 15 anos numa boate em Copacabana?
07/03/1988,Cauby Peixoto,10,Cauby Peixoto,"Pois é, a boate tinha, tinha uma pilastra, era escura, todas as boates naquela época era mais escurinhas ainda. Então tinha uma pilastra assim [gesticula], duas pilastras e eu cantava meio escondido. Tinha uma cortina atrás do palco e eu cantava ali, escondido e tal, até que um dia o dono descobriu e me botou para fora. E procurava cantar sempre no [tom] grave. O Moacir dizia: “Olha, canta grave para pensarem que você já é um rapaz adulto""."
07/03/1988,Cauby Peixoto,11,Ruy Castro,Com que idade você gravou seu primeiro disco?
07/03/1988,Cauby Peixoto,12,Cauby Peixoto,"O primeiro disco foi aqui em São Paulo, no Corte Real, uma música chamada “Tudo lembra você”, versão do Mário Nonato, que era diretor da Rádio Excelsior. Muito bonita por sinal, mas não fez um grande sucesso porque eu não tinha nome também. Mas foi muito executada aqui em São Paulo. O primeiríssimo disco."
07/03/1988,Cauby Peixoto,13,Antonio Carlos Ferreira,Cauby...
07/03/1988,Cauby Peixoto,14,Maria Cristina Duarte,"Cauby, deixa eu... Como você está bem na minha frente e eu queria atestar, não sei se a televisão está fazendo jus, mas você não precisa ficar no escuro se você quiser enganar porque você está com uma pele de bebê! [risos] É verdade, é verdade. Mas eu me lembro que quando tinha a Revista do Rádio [uma das publicações impressas sobre música e celebridades mais famosa do Brasil, que circulou entre os anos 40 e 50], não é? Eu via você sempre rasgado, cheio de beijos, as mulheres te consumiam. Se você tivesse que escrever um livro de memórias, você podia contar qual foi o amor mais correspondido e o mais desastrado?"
07/03/1988,Cauby Peixoto,15,Cauby Peixoto,"Poderia contar muita coisa. Muita coisa. Realmente eu já devia ter escrito, mas eu escrever, né? Já escreveram um livro e tal, mas foi uma biografia. Era a minha viagem nos Estados Unidos, alguma coisa da época dos Anos Dourados, realmente foi uma coisa que marcou muito, a rádio. Mas eu deveria escrever um livro, um pouco de Cauby e um pouco do homem, do ser humano, juntar os dois, digamos assim. Porque... uma carreira é uma coisa muito, muito difícil para se fazer, não pelas dificuldades, pelos obstáculos, não. Mas o artista tem que ter uma capacidade, uma obediência, tem que ser um ótimo aluno, senão ele não chega lá, sabe? É uma... filosofia, fui muito bem orientado, um homem muito inteligente, chamado Di Veras [empresário e “padrinho” Edson di Veras, que em meados dos anos 50, ajudou a forjar Cauby como artista e produto, providenciando desmaios de fãs, jabás, roupas mal alinhavadas que se rasgavam com facilidade ao assédio da platéia], que hoje é como meu pai, super inteligente, um Q.I. acima do normal."
07/03/1988,Cauby Peixoto,16,Maurício Stycer,"Cauby, você tem saudade dessa Era do Rádio {Era do Rádio: Até o final dos anos 1950, o rádio possuía um enorme glamour no Brasil. Ser artista ou cantor de rádio era um desejo acalentado por milhares de pessoas, especialmente os jovens. Pertencer ao “cast” de uma grande emissora, como a Rádio Nacional, era suficiente para que o artista conseguisse fazer sucesso em todo o país.}?"
07/03/1988,Cauby Peixoto,17,Leão Lobo,Uma borboleta!
07/03/1988,Cauby Peixoto,18,Cauby Peixoto,Saudade?
07/03/1988,Cauby Peixoto,19,Leão Lobo,Uma borboleta está voando aí. [interrompe]
07/03/1988,Cauby Peixoto,20,Cauby Peixoto,"É, tudo bem. Ótimo. Dá sorte."
07/03/1988,Cauby Peixoto,21,[...],[risos]
07/03/1988,Cauby Peixoto,22,Antonio Carlos Ferreira,"Só para explicar para os telespectadores que talvez não tenham visto é que tem aqui uma libélula, se não me engano, circulando em torno do nosso estúdio. Por favor, Cauby."
07/03/1988,Cauby Peixoto,23,Cauby Peixoto,"Bom, claro que a gente tem saudades, né? Eu tenho saudade de tudo, da música... A música brasileira é...quando eu canto nos shows, é pouco executada hoje, né? Mas interessante que o público, o público quer ouvir essa música que eu cantei, inclusive, antes da minha aparição, que é essa riqueza maravilhosa, desde a seresta, do chorinho, samba-exaltação [gênero de samba que surgiu no Brasil na década de 40, sofisticado, exaltando as qualidades e a grandiosidade do país. A principal composição é Aquarela do Brasil, de Ary Barroso]. É isso que eles gostam, é isso que eles pedem."
07/03/1988,Cauby Peixoto,24,Maurício Stycer,Como você explica isso? Por que você acha que existe essa volta? Querem que você cante os seus velhos sucessos? Não há coisas boas novas para serem cantadas?
07/03/1988,Cauby Peixoto,25,Cauby Peixoto,"Por favor, aumenta o sonzinho um pouquinho mais. [pedindo para aumentar o tom da voz, pois não está escutando as perguntas]"
07/03/1988,Cauby Peixoto,26,Maurício Stycer,Não há músicas novas boas para ser cantadas?
07/03/1988,Cauby Peixoto,27,Cauby Peixoto,"Jovem, tem a música romântica jovem e muito boa, muito boa. Têm aí autores, compositores brasileiros e americanos, cubanos..."
07/03/1988,Cauby Peixoto,28,Leão Lobo,Quem que você gosta hoje?
07/03/1988,Cauby Peixoto,29,Cauby Peixoto,Tem coisa jovem muito boa...
07/03/1988,Cauby Peixoto,30,Leão Lobo,Quem que faz sucesso hoje que você gosta?
07/03/1988,Cauby Peixoto,31,Cauby Peixoto,"... Que dá até para dançar, né? Rita Lee tem músicas bonitas."
07/03/1988,Cauby Peixoto,32,Leão Lobo,"Você, por exemplo, falou que as pessoas pedem para você cantar músicas e tal, não só as antigas, mas todos os seus sucessos, né? Por que você acha, então, que se as pessoas pedem tanto para você cantar, por que que você não faz shows em estádios, por que que você não grava discos hoje?"
07/03/1988,Cauby Peixoto,33,Cauby Peixoto,Esquema.
07/03/1988,Cauby Peixoto,34,Leão Lobo,Pois é. O que é esse esquema? Isso que eu queria que você... você que está dentro do esquema...
07/03/1988,Cauby Peixoto,35,Cauby Peixoto,"Olha, esquema... As coisas já foram muito mais espontâneas, né? E... Nós dávamos para o público com mais autenticidade, digamos assim, e era uma época em que se exigia mais potencial vocal. Se bem que eu, eu canto das duas formas, né? Soltando a voz nas estradas e com a voz mais intimista, que eu gosto muito - aliás, eu gosto, eu prefiro uma voz mais suave, é como se faz hoje. O que acontece é que nós não temos uma gravadora, não temos uma televisão. As coisas mudaram, hoje a gente vai na televisão e canta uma música e geralmente tem que ser “Conceição” [maior sucesso do cantor] ou então uma música que o produtor pede para cantar porque está em sucesso, porque tem que ser uma música alegre. Eu sou um cantor romântico..."
07/03/1988,Cauby Peixoto,36,Leão Lobo,Mas por que você acha que acontece isso?
07/03/1988,Cauby Peixoto,37,Cauby Peixoto,"... Eu quando canto num programa, por exemplo, do Fausto Silva [apresentador de programa dominical Domingão do Faustão da Rede Globo de Televisão], aí eu tenho que cantar uma música que possa agitar o auditório, né? Não tem que ser uma romântica, eu posso cantar “Conceição”, mas eu preciso cantar uma outra para agitar. Então aí é aquela coisa de quase uma apelação, se bem que eu fui crooner [cantor(a) que se apresenta normalmente acompanhado por uma orquestra completa e cuja maior característica é a versatilidade, já que interpreta vários estilos musicais], o crooner canta qualquer gênero de música, cha cha cha, mambo, rock, qualquer coisa, não é? É um exercício, é muito bom ser crooner. A gente aprende muito..."
07/03/1988,Cauby Peixoto,38,Leão Lobo,"Mas, esse esquema que eu queria que você me explicasse um pouco mais, eu nunca entendo direito o que é esse esquema das gravadoras com as televisões, porque eu vejo..."
07/03/1988,Cauby Peixoto,39,Cauby Peixoto,"Esse esquema é o dólar, amigo, é o dólar."
07/03/1988,Cauby Peixoto,40,Leão Lobo,Hum-hum.
