DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
22/06/1993,Chico Anysio,1,[...],"[programa gravado, portanto sem a participação dos telespectadores]"
22/06/1993,Chico Anysio,2,Jorge Escosteguy,"Boa Noite. Estamos começando mais um Roda Viva pela TV Cultura de São Paulo. Nosso assunto de hoje é o humorismo, humor e outros assuntos, política e etc, porque o nosso convidado desta noite é um polivalente. No centro da roda está sentado Chico Anysio, cearense de Maranguape, 62 anos, humorista, comediante, compositor, pintor, diretor de teatro, comentarista esportivo e escritor. Chico Anysio está lançando seu décimo quarto livro: Jesuíno, o profeta. Este programa, pela TV Cultura será transmitido ao vivo também pela TV Pernambuco, TV Cultura do Pará, TV Maíra de Rondônia, TV Minas Cultural e Educativa, TV Vídeo Cabo de Belo Horizonte, TVE da Bahia, TVE do Ceará, TVE do Piauí, TVE do Paraná, TVE de Porto Alegre, TVE do Espírito Santo e TVE do Mato Grosso do Sul. Para entrevistar Chico Anysio, esta noite aqui no Roda Viva, nós convidamos: Alex Solnik, editor da revista Interview, jornalista Edélcio Mostaço, Tato Coutinho, editor de telejornalismo da TV Cultura de São Paulo, o cartunista Paulo Caruso, Regina Echeverria, repórter da revista Ícaro. Lembramos aos telespectadores que, como este programa foi gravado, não haverá perguntas por telefone, ao vivo. Boa Noite Chico."
22/06/1993,Chico Anysio,3,Chico Anysio,"Boa Noite, boa noite para todos."
22/06/1993,Chico Anysio,4,Jorge Escosteguy,"Você parece que depois de todas essas atividades aqui: humorista, comediante, compositor, etc, etc, está pensando em se dedicar a uma outra que é a de político, se candidatar a deputado. Isto é verdade?"
22/06/1993,Chico Anysio,5,Chico Anysio,"Não. Pensei só. Foi verdade durante um espaço de tempo, porque eu calculei que o fato de fazer um personagem, não me obrigasse a tirá-lo do ar por quatro meses antes da eleição, porque eu me sinto tão isolado do professor Raimundo, ele é uma coisa tão diferente de mim, que eu pensei que ele pudesse seguir, desde que eu não o fizesse através dele nenhuma..."
22/06/1993,Chico Anysio,6,Jorge Escosteguy,Propaganda política ou algo parecido.
22/06/1993,Chico Anysio,7,Chico Anysio,"Propaganda política. Mas aí, depois, eu fui informado que não, que mesmo a voz teria que sair do ar. E, se o programa saísse do ar por quatro meses, a Globo não o colocaria de novo, então, tirar do ar o programa, eu não vou desempregar..."
22/06/1993,Chico Anysio,8,Jorge Escosteguy,Não valia a pena trocar o personagem do professor Raimundo por outro personagem? Política.
22/06/1993,Chico Anysio,9,Chico Anysio,"Não, não, não."
22/06/1993,Chico Anysio,10,Jorge Escosteguy,"Agora, por que você de repente resolveu aderir..."
22/06/1993,Chico Anysio,11,Chico Anysio,"Porque eu sempre fui convidado, muito. Desde que voltaram as eleições eu sempre fui convidado. Já fui convidado até para ser candidato a senador e a deputado estadual, a vereador, deputado federal e tal. Eu nunca aceitei. Aí, neste ano, como eu não estava mais fazendo o Fantástico nem o Jornal da Globo, nada. De cara limpa, eu achei que pelo fato de fazer apenas o professor Raymundo, que isso seria uma coisa viável, e aí admiti essa possibilidade."
22/06/1993,Chico Anysio,12,Jorge Escosteguy,"Mas eu digo... Por que a política? Quer dizer, por que você de repente gostaria de ser um deputado, por exemplo, deputado federal?"
22/06/1993,Chico Anysio,13,Chico Anysio,"Por uma razão, porque eu acho que era a maneira de cortar um pouco a grande frustração da minha vida que era não ter sido advogado. Eu acho que eu seria um bom advogado, e o deputado é um advogado do povo, eu não iria para lá do mesmo modo que a maioria está, eu iria para valer, não é? Talvez eu fosse ser o ridículo da Câmara."
22/06/1993,Chico Anysio,14,Jorge Escosteguy,Um humorista fazendo o político a sério?
22/06/1993,Chico Anysio,15,Chico Anysio,"A sério. Então, talvez eu fosse ser o ridículo da Câmara, não me importava isso."
22/06/1993,Chico Anysio,16,Regina Echeverria,"Você acredita nisso, Chico? Acha que é possível fazer política a sério no Brasil? Hoje com representatividade, indo para Câmara, sendo deputado, senador?"
22/06/1993,Chico Anysio,17,Chico Anysio,"Acho difícil, acho difícil, mas não me custava tentar."
22/06/1993,Chico Anysio,18,Regina Echeverria,"Você acha que valia a pena? Você tem 36 anos de televisão, estava falando agora não é? Uma troca dessas?"
22/06/1993,Chico Anysio,19,Chico Anysio,"Não, eu não ia trocar. Eu ia fazer também, entendeu? Eu não ia trocar."
22/06/1993,Chico Anysio,20,Jorge Escosteguy,"Quer dizer, a legislação não obrigaria você a uma troca, no caso, se você tivesse que sair do ar?"
22/06/1993,Chico Anysio,21,Chico Anysio,"Não, não, eu não trocaria. O que eu queria é continuar com a minha Escolinha... [Escolinha do professor Raimundo {Escolinha do professor Raimundo: Foi criada por Chico Anysio em 1952 na Rádio Mayrink Veiga. Consistia de uma sala de aula onde o Professor Raimundo (Chico Anysio) servia como escada para as piadas dos alunos, interpretados por diversos comediantes. Foi editada em programas de televisão como Noites Cariocas (TV Rio, 1957), Chico City (TV Globo, 1973) e Chico Anysio Show (TV Globo, 1988), mas o mais sucesso foi mesmo o programa solo que ficou na Rede Globo de 1990 até 2002 ‐ primeiro aos sábados e depois de segunda à sexta, à tarde. Esse formato literalmente fez escola, muitos programas iguais foram exibidos em várias emissoras: A escolinha do barulho (Record), A escolinha do Golias (SBT) e Uma escolinha muito louca.}]"
22/06/1993,Chico Anysio,22,Regina Echeverria,"[interrompendo] Se você tivesse que optar, não escolheria?"
22/06/1993,Chico Anysio,23,Chico Anysio,"Ah, não! Se eu, eu já optei, já optei."
22/06/1993,Chico Anysio,24,Tato Coutinho,"Você acha que o fato de ser um humorista, te daria mais legitimidade para circular nesse meio, na Câmara?"
22/06/1993,Chico Anysio,25,Chico Anysio,"Não, eu acho o seguinte: Eu acho que..."
22/06/1993,Chico Anysio,26,Tato Coutinho,[interrompendo] No meio de tanta trapalhada.
22/06/1993,Chico Anysio,27,Chico Anysio,"Não eu vou falar uma coisa aqui que vai parecer até um vitupério, mas eu tenho uma grande credibilidade junto ao povo. Eu nunca fiz comercial de nada que não fosse bom. Até já deixei de ganhar dinheiro por isso, eu nunca deixei de ser um advogado do povão. O meu programa durante 35 anos esteve semanalmente no ar e era absolutamente crítica social. Eu sempre defendi o pobre, o preto, o nordestino, o retirante, o mendigo, o preso, o esfarrapado. Então, rico, nos meus programas, sempre fez papéis ridículos, nunca eu fiz um rico que se desse bem no meu programa. Que era uma maneira de dar um sonho, que fosse, para o povão que vê o programa. Então, eu fiz uma pesquisa, eu não estava insso assim, aleatoriamente. Quando me ocorreu que eu poderia me candidatar, eu encomendei ao Ibope [Instituto Brasileiro de Opinião Pública e Estatística] uma pesquisa, e a pesquisa foi surpreendente, o próprio Ibope ficou surpreso com aquela pesquisa, não é que me davam, 58% votariam em mim para deputado estadual, 53% para deputado federal; 44% votariam em mim para senador, trinta e tantos por cento para prefeito, 28% para governador e 18% votaria em mim para presidente da República."
22/06/1993,Chico Anysio,28,Regina Echeverria,Isso saindo por onde? Por que estado?
22/06/1993,Chico Anysio,29,Chico Anysio,Isso por São Paulo.
22/06/1993,Chico Anysio,30,Regina Echeverria,São Paulo?
22/06/1993,Chico Anysio,31,Chico Anysio,É
22/06/1993,Chico Anysio,32,Jorge Escosteguy,"Partido? Partido, você tinha algum?"
22/06/1993,Chico Anysio,33,Chico Anysio,"Não, eu tinha quatro partidos em vista, possíveis. Três com certeza."
22/06/1993,Chico Anysio,34,Jorge Escosteguy,"Da sua preferência, qual seria?"
22/06/1993,Chico Anysio,35,Chico Anysio,O PMDB.
22/06/1993,Chico Anysio,36,Alex Solnik,"Você sairia praticamente eleito, não é? No cargo de deputado, até senador, tranqüilamente, não é?"
22/06/1993,Chico Anysio,37,Chico Anysio,Eu acho que sim. Acho que para deputado com certeza.
22/06/1993,Chico Anysio,38,Alex Solnik,"E prefeito e governador, bem possível, até."
22/06/1993,Chico Anysio,39,Chico Anysio,"Acho que até levava mais dois comigo, não é?"
22/06/1993,Chico Anysio,40,Alex Solnik,"Agora, Chico, você... Não sei se você viu um vídeo que está passando aqui no Brasil, um vídeo inglês, sobre a Rede Globo?"
22/06/1993,Chico Anysio,41,Chico Anysio,"Não, não vi."
22/06/1993,Chico Anysio,42,Alex Solnik,"E aí, nesse vídeo, algumas pessoas, inclusive o Chico Buarque é uma delas, compara Roberto Marinho {Roberto Marinho: Empresário e jornalista fluminense (1904-2003). Foi proprietário do maior complexo de comunicação do país, as Organizações Globo. Irineu Marinho seu pai, morreu em 1925, época em que Roberto, com 21 anos, era repórter do jornal O Globo, recém fundado. Recusou-se a comandar o jornal por se sentir sem condições, então passou por vários cargos conhecendo a dinâmica de um jornal até assumir a direção, em 1931. Em 1965 organizou o sistema Globo de Rádio e a Rio Gráfica Editora ‐ hoje Editora Globo. Sob sua direção, a Rede Globo tornou-se na maior cadeia de TV do país e do mundo, exportando programas para mais de 50 países. Era apaixonado por artes plásticas, por caça submarina e hipismo, foi o fundador também da Sociedade Hípica Brasileira. Em 1993, ocupou a cadeira de número 39 da Academia Brasileira de Letras (ABL), mesmo não possuindo uma carreira literária. Tornou-se “imortal” pelos serviços prestados ao rádio e à televisão brasileira. Durante sua vida teve grandes adversários, como Assis Chateaubriand, Carlos Lacerda, Samuel Wainer e Leonel Brizola, sempre por causa de suas relações conflituosas com o poder. Muitas vezes foi acusado de ser conivente com o governo, principalmente durante a ditadura militar, período onde ocorreu o maior crescimento de suas organizações. Em 1998, já com 94 anos, passou o controle das Organizações Globo aos quatro filhos, estando porém, sempre presente: Roberto Irineu passou a supervisionar a televisão, João Roberto passou a dirigir o jornal e José Roberto, o sistema de rádio. Morreu no dia 6 de agosto de 2003, com 98 anos.} com cidadão Kane [personagem do filme de mesmo nome, dirigido e estrelado por Orson Welles, que seria o homem mais rico do mundo comandando uma empresa de comunicação]."
22/06/1993,Chico Anysio,43,Chico Anysio,Sei.
22/06/1993,Chico Anysio,44,Alex Solnik,"É um cara tão poderoso que tem o poder político, além das telecomunicações. Você concorda? Você acha que o Roberto Marinho é um cidadão Kane ?"
22/06/1993,Chico Anysio,45,Chico Anysio,"Ele pode até ser, mas ele não se fez, fizeram-no, não é? Porque, como eu sou da Globo há 24 anos, eu acompanhei o princípio da Globo, não é? Venho de longe nela. Eu sou da Globo no tempo que a Globo não era líder ainda. Então a Rede Globo, ela se fez uma grande potência, uma grande força, ela é, mas isso aí se deve muito mais à falta de concorrência. O Roberto Marinho, eu não acho que ele tenha pensado algum dia em vir a ser o que ele é hoje. Cidadão Kane, não. Eu acho que cidadão Kane é uma comparação meio pejorativa. Mas eu acho, também, que tem uma coisa a favor dele, talvez seja contra. Nunca houve caso de estação nenhuma manter durante tantos anos a liderança. A Globo é caso ímpar no mundo. Só ela consegue isso. Mas ela não..."
22/06/1993,Chico Anysio,46,Alex Solnik,"[interrompendo] Você acha bom? Porque ela tem o monopólio, não é?"
22/06/1993,Chico Anysio,47,Chico Anysio,"Não, eu acho péssimo! Falta concorrência, não acho nada bom. Não, não acho, não acho, A Globo parte de uma audiência inicial de 25 pontos. Eu acho que nada no ar, dá 25 na Globo..."
