DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
20/09/1999|Ciro Gomes|1|Paulo Markun|Boa noite! Aos 22 anos, ele foi deputado estadual pelo PDS [Partido Democrático Social]; aos 26, pelo PMDB [Partido do Movimento Democrático Brasileiro]; aos 30, prefeito de Fortaleza [1989-1990]; aos 32, governador do Ceará [1991-1994] pelo PSDB [Partido da Social Democracia Brasileira]; aos 37, ministro da Fazenda [1994-1995] de Itamar Franco [presidente da República de 1992 a 1994]; aos 40, disputou e perdeu as eleições presidenciais pelo PPS [Partido Popular Socialista], recebendo sete milhões e meio de votos; agora, aos 41, Ciro Gomes volta ao centro do Roda Viva, como um dos mais jovens pretendentes da sucessão presidencial e na posição de segundo colocado nas pesquisas de opinião.
20/09/1999|Ciro Gomes|2|[inserção de vídeo]|inserção de vídeo]
20/09/1999|Ciro Gomes|3|Vera Souto|Ciro Ferreira Gomes nasceu em Pindamonhangaba, interior de São Paulo, mas foi criado no Ceará, onde se formou em direito. Foi casado com Patrícia Saboya Gomes, com quem teve três filhos. Em 1988, venceu a eleição para a prefeitura de Fortaleza com o apoio do então governador [do Ceará] Tasso Jereissati [de 1987 a 1991 e de 1995 a 2002]. Depois, Ciro Gomes ajudou a fundar o PSDB e interrompeu o mandato de prefeito em 1990 para disputar a sucessão estadual. Tornou-se o mais jovem governador do país e o único eleito pelo partido dos tucanos [o PSDB]. Como governador, reduziu em 32% a taxa de mortalidade infantil no Ceará e seu programa de saúde recebeu o prêmio do Unicef [Fundo das Nações Unidas para a Infância, na sigla em inglês], entregue em Nova Iorque. Em setembro de 1994, Ciro Gomes deixou o governo cearense para assumir o Ministério da Fazenda, em substituição a Rubens Ricúpero [ministro da Fazenda em 1994]. Foi uma escolha pessoal do presidente Itamar Franco, que surpreendeu. Como ministro, Ciro Gomes manteve o Plano Real sob controle até a eleição e posse do presidente Fernando Henrique Cardoso [presidente de 1995 a 2002]. Ele causou polêmica ao chamar de "otários" os consumidores que pagavam ágio na compra de automóveis.
20/09/1999|Ciro Gomes|4|Ciro Gomes|[em entrevista] Quem paga é otário e quem cobra é ladrão.
20/09/1999|Ciro Gomes|5|Vera Souto|Em 1995, Ciro Gomes transmitiu o cargo de ministro a Pedro Malan [ministro da Fazenda de 1995 a 2002] e mudou-se para os Estados Unidos. Ali, fez um curso de pós-graduação e escreveu uma série de artigos criticando a política econômica do governo. Em 1996, de barba crescida, lançou o livro O próximo passo. E o passo seguinte foi trocar o PSDB pelo PPS para disputar as eleições presidenciais de 1998. Ficou em terceiro lugar, com cerca de 11% dos votos válidos.
20/09/1999|Ciro Gomes|6|[fim da inserção de vídeo]|fim da inserção de vídeo]
20/09/1999|Ciro Gomes|7|Paulo Markun|Para entrevistar o ex-governador e ex-ministro da Fazenda Ciro Gomes, nós convidamos Márcio Moreira Alves, colunista de política do jornal O Globo; Fernando Canzian, editor de Brasil do jornal Folha de S.Paulo; Mônica Teixeira, apresentadora do Opinião Nacional da TV Cultura; Dora Kramer, colunista de política do Jornal do Brasil; Bob Fernandes, redator-chefe da revista Carta Capital; e Gildo Marçal Brandão, professor do Departamento de Ciência Política da Universidade de São Paulo. O Roda Viva é transmitido ao vivo em rede nacional para todos os estados brasileiros e também para Brasília. Se você quiser participar do programa, pode fazer perguntas utilizando (011) 252-6525 ou ainda utilizando o fax (011) 3874-3454 e, finalmente, a internet, onde o nosso endereço é rodaviva@tvcultura.com.br. Boa noite, Ciro Gomes!
20/09/1999|Ciro Gomes|8|Ciro Gomes|Boa noite, Markun!
20/09/1999|Ciro Gomes|9|Paulo Markun|Vou começar pelo seguinte ponto. Quando o senhor passou para o PPS, certamente foi uma atitude ousada, uma atitude arriscada deixar um partido que tem uma sólida base parlamentar como o PSDB para buscar um partido muito menor e muito menos expressivo do ponto de vista eleitoral. Hoje, o que aparece na sua legenda é uma quantidade muito grande de pessoas que estão aderindo ao PPS, claramente com o objetivo de estar dentro do partido antes do dia 30 de setembro [último dia do prazo para os candidatos às eleições legislativas de 1999 deferirem suas filiações partidárias] e de poder disputar as próximas eleições, de obter uma legenda. O senhor não acha que isso é ruim para o PPS e para a sua candidatura?
20/09/1999|Ciro Gomes|10|Ciro Gomes|Se fosse isso, seria péssimo, mas eu não vejo isso acontecer. Claro que eu tenho visto essa versão, muito mais imposta por quem, à direita e à esquerda, teme que a gente finalmente supere aquele constrangimento, que era um constrangimento respeitável, de dizer que nós não podíamos aspirar a participar do processo político brasileiro porque não tínhamos quadros, tínhamos uma candidatura solitária etc. etc. Hoje, nós temos quadros que, em São Paulo, podem se vincular a alguma tática eleitoral, porque o [deputado federal] Emerson Kapaz é uma das pessoas que podem se postular pelo partido - mas não é isso que está acontecendo no Brasil. Os senadores e outras pessoas que estão entrando não têm postulação nenhuma relativa à eleição municipal. O que há, na verdade, é que as pessoas no Brasil estão procurando uma posição capaz de se qualificar na crítica e de propor uma saída, um caminho, uma alternativa para o país. E, crescentemente, nós somos o único partido que está conseguindo fazer isso.
