DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
13/09/2004,Cláudio Weber Abramo,1,[...],[programa ao vivo]
13/09/2004,Cláudio Weber Abramo,2,Paulo Markun,"Boa noite. Ele comanda o braço brasileiro de uma organização internacional criada para combater a corrupção no mundo. Subornos, propinas, financiamentos irregulares de campanhas políticas, relacionamentos impróprios entre empresários, políticos e funcionários públicos são práticas muito comuns e também muito perversas. Elas barram o desenvolvimento da ética e da cidadania e barram também o desenvolvimento da economia. Para discutir esse tema, o Roda Viva entrevista esta noite Cláudio Weber Abramo, diretor executivo da organização não-governamental Transparência Brasil."
13/09/2004,Cláudio Weber Abramo,3,[...],[inserção de vídeo]
13/09/2004,Cláudio Weber Abramo,4,Narração de Valéria Grillo,"Cláudio Weber Abramo é jornalista, bacharel em matemática pela Universidade de São Paulo e mestre em filosofia da ciência pela Universidade de Campinas, a Unicamp. Foi editor de economia do jornal Folha de S.Paulo; secretário executivo de redação da Gazeta Mercantil; e comanda as ações da Transparência Brasil desde a criação da entidade, há quatro anos. A organização não-governamental é ligada à Transparência Internacional, que surgiu em 1993, na Alemanha, e já levou a sessenta países seu trabalho de combate, não só à grande corrupção nas transações e contratos nacionais e internacionais, como à corrupção política e à pequena corrupção dos cidadãos. O problema tem escala e interligação mundial, mas varia de país a país, conforme a percepção que governos e sociedades têm da corrupção e como ela é combatida. Nas estatísticas da Transparência Internacional, em 133 países os menos corruptos são: a Finlândia, em primeiro lugar, seguida da Islândia, Dinamarca e Nova Zelândia, Cingapura, Suécia, Holanda, Austrália, Noruega e Suíça. Não por acaso, países que apresentam os melhores níveis de democracia e cidadania. Na relação dos mais corruptos, entre os 133 países analisados, Bangladesh está em último lugar. O Brasil aparece em 54º, atrás de Cuba [em 43º lugar], do Uruguai [em 33º lugar] e bem mais atrás do Chile [em 20º lugar]. Num índice de avaliação de zero a dez, criado pela Transparência, o Brasil, em 2002, tinha quatro pontos; em 2003, ele aparece um pouco menos corrupto, com 3,9 pontos, situação mantida em 2004. Na pesquisa sobre a percepção da corrupção, entre quatro mil empresas brasileiras, 74% delas consideram que a corrupção é um grande obstáculo ao desenvolvimento empresarial; 87% registram que a cobrança de propinas e o nepotismo ocorrem com alta freqüência em licitações públicas; e 83% apontaram corrupção na fiscalização tributária. Quanto à experiência que essas quatro mil empresas tiveram com a corrupção, 70% delas disseram gastar até 3% do faturamento com propinas. Para 25% dessas empresas, esses custos vão de 5% a 10%; 62% dos pesquisados relataram que já estiveram sujeitos a pedidos de propinas; 25% chegaram a receber pedidos de propinas para obter licenças do poder público; e 50% já foram objeto de achaques por fiscais tributários. As investigações melhoraram no país, o número de denúncias e prisões aumentou, mas a corrupção ainda é um desafio ao Brasil, além de ser um fator de atraso. Estudiosos analisam que propinas e subornos contaminam o ambiente de negócios e prejudicam o desenvolvimento econômico, da mesma forma que, na política, bloqueia a democracia e a cidadania ao financiar de forma irregular as campanhas eleitorais e, depois, fazer mau uso e até desviar dinheiro público."
13/09/2004,Cláudio Weber Abramo,5,Paulo Markun,"Para entrevistar Cláudio Weber Abramo, da ONG Transparência Brasil, nós convidamos Gerson Camaroti, repórter de política da sucursal de Brasília do jornal O Globo; Lourival Sant'Anna, repórter especial do jornal O Estado de S. Paulo; Maurício Dias, jornalista e colaborador da revista Carta Capital, que está lançando o livro A mentira das urnas: crônicas sobre dinheiro e fraude nas eleições, pela editora Record; Fernando Rodrigues, colunista e repórter da sucursal de Brasília do jornal Folha de S.Paulo; Marcelo Mendroni, promotor de justiça criminal da cidade de São Paulo e ex-chefe do Gaeco (Grupo de Atuação e Combate ao Crime Organizado) do Ministério Público Estadual; e Cláudio Couto, cientista político da PUC, Pontifícia Universidade Católica de São Paulo. O Roda Viva é transmitido pela Rede Pública de Televisão para todo o Brasil, incluindo Brasília, e também pode ser acompanhado, através da rádio Cultura AM, em 1200 quilohertz. Se você quiser participar do programa, pode fazer a sua pergunta, sua crítica, sua sugestão pelo telefone, que é o (0-11) 252-6525; pode ainda utilizar o nosso fax, que é (0-11) 3874-3454 ou o contato pelo endereço eletrônico do programa, que é rodaviva@tvcultura.com.br. Cláudio, boa noite."
13/09/2004,Cláudio Weber Abramo,6,Cláudio Weber Abramo,Boa noite.
13/09/2004,Cláudio Weber Abramo,7,Paulo Markun,"Bom, eu queria fazer uma correção, porque você nos alertou para o fato de que o índice de 2004 não saiu ainda. Aquele índice de 2002 eram 4 pontos e baixa para 3,9 em 2003. E queria aproveitar para perguntar: como é que se chega a uma nota desse tipo, que tipo de indicadores são cotejados?"
13/09/2004,Cláudio Weber Abramo,8,Cláudio Weber Abramo,"Bom, esse é um indicador de percepções de corrupções, de opiniões de pessoas a respeito da corrupção nos países. Esse índice é feito... é na verdade uma cesta de índices. Existem muitas empresas e instituições internacionais que examinam os riscos que estão envolvidos nos países, para investimentos especialmente. Então fazem uma série de perguntas, está certo?, para interlocutores que são advogados de bancas internacionais, funcionários de bancos, membros de entidades multilaterais etc. Perguntam-se várias coisas, entre as quais: qual é o grau, o nível de corrupção que se imagina existir nos países. A Transparência Internacional, por via de um economista alemão chamado Johann Lambsdorff, coleta esses índices, faz uma normalização estatística e produz essa nota, que vai de zero a dez. É bom observar que o índice de percepção de corrupção da Transparência Internacional não é um índice que diz respeito apenas ao executivo federal – no caso do Brasil, por exemplo, não é? –, diz respeito ao país, quer dizer, é o grau de corrupção percebida no país como um todo."
13/09/2004,Cláudio Weber Abramo,9,Gerson Camarotti,"Cláudio, o que eu pergunto é o seguinte: o presidente Lula, quando candidato, se comprometeu, inclusive com a Transparência, em criar critérios para diminuir a corrupção no país. Hoje, como é que está, um ano e meio de governo Lula, pouco mais de um ano e meio, a corrupção aumentou, diminuiu, como é que o senhor avalia isso?"
13/09/2004,Cláudio Weber Abramo,10,Cláudio Weber Abramo,"Bom, é impossível responder essa pergunta dessa forma, quer dizer, eu não sei se a corrupção aumentou ou diminuiu. O governo Lula, como você disse, o Lula, quando era candidato, assinou com a Transparência Brasil um documento que se chamava compromissos anticorrupção, em que nós havíamos definido uma série de medidas concretas para combater a corrupção. Durante o primeiro ano do governo Lula, esses compromissos basicamente não foram cumpridos; as medidas que nós havíamos sugerido para combater a corrupção naquele documento não foram adotadas. A partir do final do ano passado, mais ou menos, e mais especialmente depois do caso Waldomiro Diniz [que ocupava o cargo de subchefe de Assuntos Parlamentares da Presidência da República. Foi acusado, em 2004, de negociar com bicheiros o favorecimento em concorrências públicas em troca de propinas e contribuições para campanhas eleitorais], o governo Lula passou a ter uma atitude diferente com respeito a essa questão da corrupção, do combate à corrupção. Antes havia uma atitude um tanto arrogante, eu diria, ou uma atitude que negava um pouco o diálogo a respeito da questão e, depois, com o aprendizado do poder, houve um amolecimento, digamos, uma forma mais aberta de discutir questões. Nós temos, por exemplo, uma relação muito boa com a Controladoria-Geral da União, com o ministro Waldir Pires e sua equipe, em torno de programas e de iniciativas [para combater a corrupção]."
