DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
25/09/2000|Colette Avital|1|[Programa gravado, não permitindo a participação de telespectadores]|Programa gravado, não permitindo a participação de telespectadores]
25/09/2000|Colette Avital|2|Paulo Markun|Boa noite. Ela está na linha de frente das negociações que tentam uma solução pacífica para o conflito entre Israel e o mundo árabe. Às vésperas da possível criação do Estado Palestino independente, agora, em novembro, o Roda Viva entrevista a embaixadora e deputada israelense, Colette Avital. Nascida na Romênia e vivendo em Israel desde os dez anos de idade, Colette estudou ciência política e literatura e fez carreira no Ministério Israelense do Exterior. Foi representante diplomática em vários países e cônsul geral de Israel em Nova York. No ano passado, assumiu uma vaga no parlamento israelense, [desde então], Colette Avital tem participado das reuniões de cúpula, que discutem [a formação do novo Estado Palestino] e é uma das cinco pessoas que formam o bloco político mais próximo ao primeiro-ministro de Israel Ehud Barak [(1999-2001)] nessa busca do acordo de paz. Para entrevistar a deputada israelense Colette Avital nós convidamos: o jornalista Moisés Rabinovici, editor chefe do jornal O Estado de S. Paulo, e ex-correspondente do jornal em Israel e nos Estados Unidos; Paulo Daniel Farah, professor da USP [Universidade de São Paulo], doutor em literatura árabe, editor adjunto [do caderno] Mundo, do jornal Folha de S. Paulo; Vicente Adorno, editor de Internacional da TV Cultura de São Paulo; o jornalista Jaime Spitzcovsky, diretor do site Prima Página [www.primapagina.com.br] e autor de coberturas jornalísticas em mais de quarenta países, principalmente no Oriente Médio; o jornalista Antônio Cabral, especializado na área internacional; o rabino Henry Sobel, presidente do rabinato da Congregação Israelita Paulista; e o sheikh Muhammad Ragip da ordem Dervixes Halveti Al-Jerrahi. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. E, como este programa está sendo gravado, infelizmente não será possível a sua participação por telefone. Boa noite, embaixadora.
25/09/2000|Colette Avital|3|Colette Avital|Boa noite.
25/09/2000|Colette Avital|4|Paulo Markun|Eu queria começar com uma pergunta [para a qual] eu sei que nenhum de nós tem a resposta, infelizmente, mas acho que uma pista, talvez, a senhora tenha. A que distância se encontra a paz definitiva entre Israel e o mundo árabe?
25/09/2000|Colette Avital|5|Colette Avital|Há um paradoxo. Acho que a distância é muito pequena, porque as posições estão, agora, um pouco mais próximas. Mas, a verdade é que nós ainda temos problemas muito grandes porque, pela primeira vez, colocamos na mesa as questões-chave do conflito, de que nunca falamos antes. Por exemplo, o assunto de Jerusalém.
25/09/2000|Colette Avital|6|Paulo Markun|Exatamente.
25/09/2000|Colette Avital|7|Colette Avital|Já fizemos muito progresso. Temos que lembrar que nós estamos sem nos falar há sete anos. Porque, de um lado e de outro já conhecemos muito bem as nossas posições. Já sabemos o que podemos fazer e o que não podemos conseguir. Durante esses sete anos, acho que andamos por um corredor, preparamos o caminho, mas agora é a hora da verdade. E temos, não só [que] compreender as nossas posições, mas tomar decisões, aprender decisões. E isso é muito difícil de aprender.
25/09/2000|Colette Avital|8|Paulo Markun|Como fica, digamos, a solução desses problemas imaginando-se que toda a negociação de Camp David [casa de campo do governo dos Estado Unidos. O local é conhecido por sediar grandes tratados e acordos políticos] acabou não resultando efetivamente em um acordo. E a gente, que não participa desse tipo de negociação. O público, em geral, tem sempre a impressão que quando se sentam à mesa as pessoas mais poderosas - quer dizer, aquelas que representam os seus países e os seus interesses - mediadas pelo presidente da nação mais poderosa do mundo, seria, teoricamente, mais fácil resolver o problema do que quando se sentam à mesa interlocutores de segundo escalão, ou mesmo de primeiro escalão, mas que não têm, digamos, essa representação de significado. Quer dizer, unir Yasser Arafat e o primeiro-ministro de Israel, sentados à mesa discutindo, para quem vê de fora parece ser um caminho mais curto para o entendimento do que quando se sentam representantes desses dois setores. Como se resolve isso não havendo, daqui até 15 de novembro, previsão de um encontro definitivo?
25/09/2000|Colette Avital|9|Colette Avital|Tudo acontece ao mesmo tempo porque havia todo o tempo e há agora equipes que agora estão à mesa, três equipes que estão negociando. Mas para [enfrentar] as grande decisões é necessária muita coragem.
25/09/2000|Colette Avital|10|Paulo Markun|Quer dizer, da sua cautelosa explicação eu não consegui compreender se a senhora é otimista em relação à perspectiva de paz a curto prazo ou não.
