DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
28/04/2008,Contardo Calligaris,1,Mônica Teixeira,"Boa noite. Ele pensa que, se as pessoas refletirem mais, vão poder viver melhor, por isso gosta de provocar reflexões. Utiliza os acontecimentos do dia-a-dia para analisar a cultura contemporânea. O noticiário aponta conflitos que a cultura encobre e, às vezes, desvenda aspectos da vida do mundo de hoje. É escritor e colunista da Folha de S.Paulo. O que diz traz a marca da psicanálise, sua profissão de origem. Contardo Calligaris, um inquieto observador da cultura brasileira, é o convidado de hoje do Roda Viva. Você vê a entrevista em um instante. O psicanalista Contardo Calligaris é um cidadão do mundo. Nasceu na Itália, estudou na Suíça, na França, e viveu mais de 20 anos viajando entre o Brasil e os Estados Unidos, clinicando e dando aulas em universidades. Vem dessa experiência de estrangeiro a análise aguçada que faz do mundo e da vida contemporânea."
28/04/2008,Contardo Calligaris,2,"[inserção de vídeo] É fácil impor restrições ao terceiro mundo. Países ricos que desmataram tudo que podiam agora querem limitar a floresta dos outros. Setembro de 2001, Nova Iorque. Por que um acontecimento como esse provoca sentimentos de indignação em algumas pessoas e de comemoração em outras? Na Europa, a extrema-direita ganha terreno e a xenofobia expõe uma contradição","europeus precisam de imigrantes, mas não conseguem conviver com eles. A política fez crescer nossa esperança na democracia, o que não evita o voto errado e talvez nossos representantes nem façam o que a gente tenta expressar votando. E o Brasil? Consegue ser uma nação? Brasileiros compartilham o sentimento de uma comunidade de destino? Estão todos no mesmo barco? No divã do terapeuta, as dificuldades sentimentais e amorosas se misturam a frustrações e tentativas de juntar os cacos de relações em crise. A busca do amor é um caminho cheio de armadilhas. No extremo do desamor e do desafeto, a violência redesenha ou reafirma a realidade. Às vezes, através de um adolescente que comete um crime repugnante ou quando uma filha mata os pais numa casa que não parece muito diferente da nossa. E mesmo quando pai e madrasta são suspeitos da morte de uma filha numa casa que também não parece muito diferente da nossa. Refletindo e escrevendo sobre o cotidiano que nos rodeia e, muitas vezes, nos assusta, Contardo Calligaris se orienta pelo fato de que a realidade tem uma razão de ser e que, se essa razão se manifesta nas outras pessoas, deve existir também em nós. Por isso trata dessas coisas na primeira pessoa do plural e lança sobre elas o olhar mais penetrante e independente de um estrangeiro ou de um desterrado como ele costuma se definir. Dos 60 anos de vida, Contardo Calligaris passou a maior parte do tempo fora da terra natal, Milão, na Itália. Psicanalista, psicoterapeuta e ensaísta, formou-se na Suíça e na França e está radicado no Brasil há 20 anos, dez deles vividos entre São Paulo e os Estados Unidos, onde também foi professor convidado na New School de Nova Iorque e na Universidade da Califórnia. Colunista do jornal Folha de S.Paulo, onde tem uma coluna semanal, já escreveu centenas de ensaios, crônicas e tem 11 livros publicados, entre eles impressões sobre o Brasil, sobre nossa cultura e o modo de ser e pensar brasileiro. Em outro, analisou um fenômeno cultural que se tornou fonte de dificuldades e preocupações na família moderna. Escreveu cartas destinadas a terapeutas revelando também bastidores da profissão. E chegou agora onde mais queria, seu primeiro romance, O conto do amor. Uma história que tem traços autobiográficos, mas construída na forma de ficção. Nova frente de trabalho de um terapeuta que lida com a realidade no consultório e na coluna semanal do jornal."
28/04/2008,Contardo Calligaris,3,Mônica Teixeira,"Para entrevistar o psicanalista Contardo Calligaris, convidamos: Ricardo Kotscho, repórter da revista Brasileiros e do portal iG; Jurandir Freire Costa, psicanalista, escritor e professor de medicina social da Universidade Estadual do Rio de Janeiro; Eliane Brum, repórter especial da revista Época; Caterina Koltai, socióloga e psicanalista, professora dos programas de graduação e pós-graduação em ciências sociais da PUC de São Paulo; Clóvis Rossi, colunista do jornal Folha de S.Paulo; Mário Sérgio Cortella, professor titular do Departamento de Teologia e Ciências da Religião da PUC de São Paulo, e Laís Duarte, aqui, à minha esquerda, repórter do Núcleo de Jornalismo da TV Cultura, que traz para esta entrevista as perguntas enviadas pelos telespectadores. Temos também a participação do cartunista Paulo Caruso registrando em seus desenhos os momentos e os flagrantes do programa. Você também pode participar perguntando pelo telefone ou, se preferir a internet, o nosso site é http://www.tvcultura.com.br/rodaviva. Boa noite, Contardo Calligaris."
28/04/2008,Contardo Calligaris,4,Contardo Calligaris,Boa noite.
28/04/2008,Contardo Calligaris,5,Mônica Teixeira,"É um prazer recebê-lo. Contardo, no material que a produção do programa reuniu, tem uma entrevista sua de 1996, dada ao Jornal do Brasil, repórter Cláudio Cordovil, em que você fez a seguinte afirmação, entre outras: “a mídia nos serve o que queremos dela”. Então, a minha pergunta é: o que é que a mídia, cobrindo o caso Isabela {caso Isabela: Isabella Oliveira Nardoni morreu em março de 2008, aos cinco anos de idade, após cair do sexto andar do edifício residencial London, zona norte de São Paulo, onde o pai Alexandre Alves Nardoni e a madrasta Anna Carolina Jatobá moravam. Polícia e perícia concluíram que a criança foi jogada pela janela de seu quarto. O crime chocou o país e transformou-se em manchete dos noticiários, principalmente porque os suspeitos pelo assassinato eram o pai e a madrasta, que foram presos e aguardam julgamento.}, nos serve e tem mantido o interesse de... eu ousaria dizer de todos, há um mês já?"
28/04/2008,Contardo Calligaris,6,Contardo Calligaris,"Acho que pensar que a mídia fabrique o interesse das pessoas é atribuir à mídia um poder que, na verdade, ela gostaria de ter, eventualmente, mas não tem. Acho que a mídia consegue captar um interesse ou pelo menos responder a um... a um desejo, um interesse que já está lá. Por exemplo, nos primeiros dias depois da morte de Isabela, acho que a capa da Folha de S.Paulo deu a fotografia de um menino que tinha sido marcado por um ferro de boi. Era uma foto bastante impactante. Sumiu no dia seguinte. Diante, simplesmente, do fato de que as pessoas queriam saber mais... Bom, tem razões pelas quais as pessoas..."
28/04/2008,Contardo Calligaris,7,Mônica Teixeira,Isso quer dizer: o que será que tem de nós ali?
28/04/2008,Contardo Calligaris,8,Contardo Calligaris,"Claro, claro. Tem razões, porque é um quadro familiar muito parecido com o quadro familiar da gente. Por sua vez, foi a oportunidade para que se falasse dos sentimentos que existem, inevitavelmente, numa boa metade das famílias, em todas as famílias nas quais tem filhos de um casamento anterior, enteados, enteadas. E não são sentimentos ruins necessariamente. Só que a família mudou, não é? A metade das pessoas, mais ou menos, se divorcia, se casa de novo e nesse... levam para esses casamentos filhos dos casamentos anteriores e é preciso inventar novas maneiras de conviver. Porque seria um pouco babaca, enfim, pensar que “ah, tá, vai ser tudo legal; a gente vai se amar, os enteados são a mesma coisa do que os filhos”. Sim, claro, seria legal, mas não é bem assim. É um pouco mais... tem uma série de..."
28/04/2008,Contardo Calligaris,9,Mônica Teixeira,"Deixa eu só completar aqui. Mas você, falando isso, está dizendo que a família... que no primeiro casamento mantido indissolúvel esses conflitos não existem?"
28/04/2008,Contardo Calligaris,10,Contardo Calligaris,"São outros, não é que não tenha... Sem conflitos não tem nada. Não acho que exista um quadro familiar sem conflitos. Só que tem conflitos novos. Eu não sou nunca um cara nostálgico. Acho que a nostalgia do que já foi – do que já foi a família, do que já foi a vida –, francamente, não é comigo. O que me interessa muito mais é sempre pensar “bom, o presente é isso; o que é que a gente faz de interessante com isso?”"
