DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
01/01/1996|Daniela Mercury|1|[programa gravado, não permitindo a participação dos telespectadores]|programa gravado, não permitindo a participação dos telespectadores]
01/01/1996|Daniela Mercury|2|Matinas Suzuki|Boa noite, o canto do Roda Viva esta noite é de Daniela Mercury.
01/01/1996|Daniela Mercury|3|[Comentarista]|Unindo samba ao pop, eletrizando a axé music, Daniela Mercury é perita em arrebanhar multidões com suas músicas. Bailarina desde os oito anos de idade, aos 16, ela já cantava na noite baiana, e um ano depois, começava a atravessar os carnavais sobre trios elétricos. Cantando por horas a fio, justifica os apelidos de infância "pinga-fogo" e "furacão". O carnaval de Daniela se projetou para além dos trios elétricos. Com três discos, ela conquistou uma coleção de troféus e se tornou a primeira brasileira a receber um disco de diamante, o que equivale a um milhão e duzentas mil cópias vendidas do álbum O Canto da Cidade [1992]. Na Argentina, ela ganhou disco de ouro antes de fazer qualquer apresentação, e nos Estados Unidos o jornal The New York Times celebrou sua música como uma peça legítima da cultura pop internacional. Daniela Mercury conquistou o mundo sem se descuidar de sua vida pessoal. Filha de um corretor de imóveis e de uma socióloga, casada e mãe de dois filhos, a cantora conta com um esquema familiar de assessoria que contrasta com sua imagem frenética no palco. Contratada por cinco anos pela gravadora Sony, ela acha que algumas de suas músicas podem ser traduzidas para o espanhol e até para o inglês. Seria mais uma etapa na carreira da moça, capaz de fazer sucesso em qualquer lugar do planeta, sempre mantendo a magia de esquentar a multidão onde quer que se apresente.
01/01/1996|Daniela Mercury|4|Matinas Suzuki|Para entrevistar Daniela Mercury esta noite, nós convidamos o produtor musical, músico e compositor João Marcelo Bôscoli; o poeta e animador cultural Waly Salomão; Soraia Yoshida, que é editora-chefe da revista Áudio News; a Vera Souto, que é repórter da TV Cultura; Paulo Lima, editor da revista Trip; Okky de Souza, editor da revista Veja; Nizan Guanaes, diretor de criação da DM9 Publicidade. Eu lembro a vocês que o Roda Viva é transmitido em rede nacional por 48 outras emissoras, em 17 estados brasileiros. Hoje não estamos citando perguntas dos telespectadores porque este programa foi gravado no ano passado. Bom, parece que temos novidade este ano no Carnaval da Bahia, que já se aproxima. Parece que você vai mudar de trio, mudar de percurso, como é que é? Como vai ser seu Carnaval esse ano lá?
01/01/1996|Daniela Mercury|5|Daniela Mercury|É interessante falar disso no Brasil. Porque é um universo que, apesar de já ser conhecido hoje inclusive pela minha música, é uma troca que tem muito a ver com a Bahia, com os blocos, com a minha história em cima dos trios, especificamente lá no Nordeste, que acolhe muito, que tem acolhido, que tem se "carnavalizado". Eu, este ano, estou passando para o Crocodilo [bloco tradicional do Carnaval baiano], é meu primeiro ano. Eu, que desfilei no bloco Internacionais, o bloco mais tradicional de Salvador, durante três anos...Estou mudando, é um bloco jovem, um bloco que também já tem dez anos de Carnaval, porque eu estou completando, este ano, dez anos de Carnaval em Salvador. E escolhi o percurso da Barra, que já tem sido festejado pelo público há muitos anos, que já tem conseguido reunir um público enorme. Neste ano, eu resolvi assumir o desafio de desfilar todos os dias, de domingo a terça, na beira do mar, e fazer com que esse trajeto, que a Bahia já consagrou, possa ser mais um espaço para a música da Bahia de uma forma mais forte, quem sabe.
01/01/1996|Daniela Mercury|6|Matinas Suzuki|Daniela, de vez em quando, o Carnaval da Bahia dá uma virada. Você vê ritmos novos, vê aparecer...o Carnaval hoje mudou bastante. Você acha que ainda teremos novidades aí? Há um novo período, porque também tem o lado do axé que ficou conhecido no Brasil inteiro etc, mas tem um lado, andou se questionando um pouco, falando que o axé estava um pouco repetitivo, essa coisa toda. Essa nova geração que veio, que apareceu mais ou menos na música contemporânea, com Olodum, com Carlinhos Brown [músico, compositor, produtor cultural baiano. Compôs músicas famosas como "Rapunzel" e "Arrepio", gravadas por várias cantoras do Brasil. Também participa de projetos socioeducacionais em Salvador], com você, que o Brasil inteiro conheceu...Você acha que já tem os frutos dessa geração? O Carnaval vai dar uma mexida? Como você está vendo o ambiente do Carnaval da Bahia?
01/01/1996|Daniela Mercury|7|Daniela Mercury|Olhe, esse mercado que o Carnaval criou é muito especial, de Salvador, do interior da Bahia, ele tem revelado, todos os anos, novos artistas. A Bahia, eu acho que até pelo consumo de massa de sua própria música, tem uma necessidade muito grande de se reciclar todos os anos, de que os artistas locais tragam novos trabalhos. As músicas são tocadas por todas as bandas, são extremamente massificadas, e talvez por isso haja essa impressão de que a música é repetitiva, mas eu tenho sempre a sensação de que o Carnaval não pede muitos outros temas. Eu estava refletindo sobre isso...Quando a gente está no Carnaval, a vontade que temos é de não pensar em nada, é pensar no verão, nas coisas gostosas, no amor, na bebida, nas coisas mais carnais possíveis, para que esses cinco dias sejam de liberdade, de "lavar a alma". Temos cinco dias para fazer tudo que não conseguimos fazer nos outros dias do ano. Mas, mesmo assim, mesmo com esses temas sempre muito presentes, o Carnaval da Bahia consegue, a partir desse universo musical extremamente rico ritmicamente, criar outras referências na música universal, coisas que vão além daqueles cinco dias.
01/01/1996|Daniela Mercury|8|Matinas Suzuki|Você vai, este ano, mudar de horário também. Você costumava sair no começo da tarde, ao meio-dia.
01/01/1996|Daniela Mercury|9|Daniela Mercury|Saía ao meio-dia, eu abria o Carnaval. Esse ano, eu vou sair às seis horas da tarde, no Farol da Barra, saio sexta-feira com um bloco alternativo, e saio domingo, segunda e terça, também no grupo Crocodilo, às seis da tarde.
01/01/1996|Daniela Mercury|10|Matinas Suzuki|E para você, essas mudanças são interessantes?
