DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
05/10/1998|Davi Kopenawa Yanomami|1|Paulo Markun| Boa noite! Ele diz que os brancos desenham suas palavras porque o seu pensamento é cheio de esquecimento e que o dos índios não é. Eles guardam e passam para as crianças as palavras dos seus antepassados, pois assim elas renovam e ampliam os pensamentos. No centro do Roda Viva esta noite o líder indígena Davi Kopenawa Yanomami. Ele é um dos participantes do evento Brasil 500 anos – aqui o material do Brasil 500 anos - que o Instituto Itaú Cultural, a Funarte [Fundação Nacional de Arte, fundação do governo que promove estudos, pesquisas, serviços e apresentações artísticas nas áreas das artes visuais, teatro, cinema, vídeo, dança e outros], o Ministério da Cultura estão promovendo já como parte das comemorações dos 500 anos do chamado Descobrimento do Brasil. Um dos ciclos desse evento, "A outra margem do Ocidente", reúne, até o dia cinco de novembro, no Itaú Cultural da Avenida Paulista, aqui em São Paulo, e no Palácio da Cultura do Rio de Janeiro, 27 filósofos, antropólogos e historiadores do Brasil e do exterior para discutir as sociedades indígenas, o tema do Roda Viva desta noite.
05/10/1998|Davi Kopenawa Yanomami|2|[Comentarista]| Na descoberta do Brasil, calcula-se que 4 ou 5 milhões de índios viviam aqui, divididos talvez em 1400 tribos ao longo de todo o território, não se sabe ao certo. Hoje são pouco mais de 300 mil, em 220 sociedades, menos de 10% do que eram na chegada dos descobridores. Passado o primeiro momento de um possível encanto no encontro desses dois povos tão diferentes, a história dos índios brasileiros seguiu o mesmo rumo da de tantos outros povos nativos subjugados de forma cruel à cultura do mundo branco ocidental. Quase cinco séculos depois, o pouco que restou daquela sociedade diferente, que descobridores e colonizadores não conseguiram entender e aceitar, tenta se organizar para garantir a sobrevivência possível. Davi Yanomami é um dos raros líderes indígenas a assumir a dianteira da batalha pela defesa dos direitos dos povos nativos junto aos brancos. Ele nasceu na comunidade yanomami de Roraima, uma das maiores do Brasil. E em seu primeiro contato com o homem branco, pode ter revivido o sentimento experimentado por seus antepassados diante da mesma situação. Líder espiritual e político de seu povo, Davi Yanomami já cumpriu uma longa jornada pelos gabinetes de Brasília e até da ONU [Organização das Nações Unidas] para conseguir a demarcação do território yanomami. Mas as fronteiras indígenas ainda não se tornaram barreiras à exploração branca, que segue fechando o cerco em torno das aldeias por todo o país. Ameaçados pelo fogo das grandes queimadas nas fazendas vizinhas, encurralados por madeireiros e garimpeiros, que só deixam destruição e morte no rastro da busca do ouro, os índios brasileiros estão definhando e suas crianças têm um fardo pesado pela frente. Entre brincar e descobrir como exercer a subsistência, precisam aprender ou reaprender a própria língua, correr atrás de uma identidade cultural que estão perdendo ou que já foi perdida entre os que migraram para as cidades e se transformaram em índios urbanos, gente sem rumo e ainda mais pobre. Os que ficaram nas aldeias não podem se preocupar apenas com a caça ou a pesca. Precisam refazer a vida. E para isso procuraram também os espíritos da floresta, pedindo paz, futuro, proteção à natureza. Eles deixam, nas palavras de Davi Yanomami, o alerta de que a destruição branca terá seu preço. “Brancos não sabem segurar o céu no seu lugar. Eles também acabarão morrendo”. Davi Yanomami.
05/10/1998|Davi Kopenawa Yanomami|3|[Yanomami significa ser humano. O povo que leva esse nome caracteriza-se por uma sociedade de caçadores-agricultores da floresta tropical do norte da Amazônia cujo contato com a sociedade nacional é, na maior parte do seu território, relativamente recente. Seu território cobre, aproximadamente, 192.000 km², e situa-se em ambos os lados da fronteira Brasil-Venezuela entre as nascentes da região Orinoco - Amazonas (afluentes da margem direita do rio Branco e esquerda do rio Negro). Esse povo constitui um conjunto cultural e lingüístico composto de quatro subgrupos adjacentes que falam línguas da mesma família (Yanomae, Yanõmami, Sanima e Ninam). A população total dos Yanomami, no Brasil e na Venezuela, é hoje estimada em cerca de 26.000 pessoas. No Brasil, a população yanomami é de cerca de 12.500 pessoas, repartidas em 188 comunidades (censo Funasa). A terra indígena yanomami cobre 96.650 km² de floresta tropical e foi homologada por um decreto presidencial em 25 de maio de 1992.]|[Yanomami significa ser humano. O povo que leva esse nome caracteriza-se por uma sociedade de caçadores-agricultores da floresta tropical do norte da Amazônia cujo contato com a sociedade nacional é, na maior parte do seu território, relativamente recente. Seu território cobre, aproximadamente, 192.000 km², e situa-se em ambos os lados da fronteira Brasil-Venezuela entre as nascentes da região Orinoco - Amazonas (afluentes da margem direita do rio Branco e esquerda do rio Negro). Esse povo constitui um conjunto cultural e lingüístico composto de quatro subgrupos adjacentes que falam línguas da mesma família (Yanomae, Yanõmami, Sanima e Ninam). A população total dos Yanomami, no Brasil e na Venezuela, é hoje estimada em cerca de 26.000 pessoas. No Brasil, a população yanomami é de cerca de 12.500 pessoas, repartidas em 188 comunidades (censo Funasa). A terra indígena yanomami cobre 96.650 km² de floresta tropical e foi homologada por um decreto presidencial em 25 de maio de 1992.]
05/10/1998|Davi Kopenawa Yanomami|4|Paulo Markun| Para entrevistar Davi Yanomami, nós convidamos os jornalistas: Ulisses Capozoli, repórter da área de ciência e tecnologia do jornal O Estado de S. Paulo; Gilberto Nascimento, sub-editor de Brasil, da revista Isto É; Dilea Frate, diretora geral do programa Jô Onze e Meia, do SBT; a fotógrafa Cláudia Andujar, secretária executiva da Comissão Pró-Yanomami; o antropólogo Beto Ricardo, pesquisador do Instituto Sócio-Ambiental de São Paulo; a jornalista Rosa Gaugirtano, repórter fotográfica; e o sociólogo Laymert Garcia, professor do Instituto de Filosofia e Ciências Humanas da Unicamp. Davi, boa noite!
05/10/1998|Davi Kopenawa Yanomami|5|Davi Yanomami| Boa noite!
05/10/1998|Davi Kopenawa Yanomami|6|Paulo Markun| Esta é a primeira vez que eu faço um programa com um índio e também é a primeira vez que eu vejo tanto bichinho dentro do estúdio [câmera mostra pequenos insetos voadores ao redor da lâmpada]. Você acha que uma coisa tem a ver com a outra, que eles estão aqui por alguma razão? 
05/10/1998|Davi Kopenawa Yanomami|7|Davi Yanomami| Eu acho que esse bichinho, eles tá aqui comigo pra você pensar o movimento da floresta, porque dentro da floresta tem muito desses daí. Então, eu estou aqui... ele tá querendo aparecer também como eu na televisão e também aparecer na televisão como representante da terra. 
05/10/1998|Davi Kopenawa Yanomami|8|Paulo Markun| E esses bichos e todas as coisas que tem na floresta, elas ficam fora de lugar quando saem de lá? Na cidade, por exemplo, a gente ainda encontra alguns tipos de bichos e até de árvores, e de coisas, mas não tem aquele conjunto que é a floresta, tem?
05/10/1998|Davi Kopenawa Yanomami|9|Davi Yanomami| Tem, tem muito esse aí [Davi pensa que Markun perguntou sobre os insetos que rodeavam a lâmpada do estúdio]. Vocês chamam cupim. Nós chamamos “alam’conaxip”. Então toda floresta tem. Nas montanhas, na beira do rio e no lavrado tem esse cupim grande, [onde] eles mora.
05/10/1998|Davi Kopenawa Yanomami|10|Paulo Markun| E você que já esteve numa porção de cidades grandes, né? Você já esteve em Nova Iorque, teve em Brasília, onde mais?
