DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
03/11/2008,David Lynch,1,Lillian Witte Fibe,"Boa noite. Ele é um dos diretores mais controvertidos e cultuados do cinema contemporâneo. Faz filmes que pouca gente entende, é verdade. E quem vê, ou ama, ou odeia. Personagens bizarros, imagens alucinantes que expressam sonhos e até delírios. Histórias que nem sempre têm um fim e que flertam com o real e o surreal que rondam a natureza humana. Enfim, um cinema de dar nó na cabeça e que fez dele um dos mais conhecidos cineastas da atualidade. O Roda Viva entrevista hoje o diretor, escritor, fotógrafo, pintor e compositor americano David Lynch. São dele os filmes: O homem elefante, Coração selvagem, Veludo azul, Cidade dos sonhos e a famosa série de TV Twin Peaks. A entrevista começa em trinta segundos."
03/11/2008,David Lynch,2,[...],[Vinheta do programa]
03/11/2008,David Lynch,3,Lillian Witte Fibe,"O cineasta David Lynch veio ao Brasil para divulgar a técnica da meditação. Mas não é uma meditação qualquer, não. Segundo ele, só a transcendental é que é o máximo, um hábito ao qual ele aderiu já há mais de trinta anos. Lynch, que já fez dez filmes, não acredita no futuro do cinema, nem da televisão, muito menos do DVD. Tudo isso vai parar é na internet, com o seu maravilhoso e leve mundo digital."
03/11/2008,David Lynch,4,[Vídeo] [Imagens de David Lynch e de suas produções. Narração,Valéria Grillo]
03/11/2008,David Lynch,5,"Tudo o que o cineasta faz e gosta vai entrando no endereço eletrônico através de vídeos, CDs com trilhas sonoras de seus filmes e uma ampla lista de produtos que compõem sua loja virtual","bonés, pôsteres, fotos, bótons, camisetas e até café torrado, produzido com grãos orgânicos e vendido com a grife do diretor. O café, uma obsessão do cineasta, ajuda a fundação David Lynch a arrecadar fundos para programas de redução de estresse em escolas, através da meditação transcendental. A fundação também estuda os efeitos da meditação na criatividade, aprendizagem, depressão e o uso de drogas. Meditação é um tema que tem ocupado cada vez mais David Lynch. Sua vinda ao Brasil, em agosto de 2008, foi para divulgar o seu livro: Em águas profundas – criatividade e meditação. Autobiográfico, o livro mostra como a meditação influenciou a vida e o processo criativo de David Lynch. Típico americano de classe média, Lynch gostava de desenhar e pintar, quando era criança. Acabou estudando artes plásticas e foi a partir da pintura, ao fazer animações de seus quadros, que ele passou a se interessar por cinema. Seu primeiro filme veio em 1977, Eraserhead, é baseado em um episódio da vida pessoal, quando sua namorada engravida. No filme, o bebê nasce com deformidades, um impacto que marca a série de personagens bizarros e complexos que também povoariam seus outros filmes. O sucesso de bilheteria e crítica veio com o Homem elefante. A história de um jovem que tem o rosto deformado por uma doença, e durante anos é explorado como uma atração de circo. Foi indicado a 8 Oscar. O diretor depois teve outras duas indicações por Cidade dos sonhos e Veludo azul, outros dois sucessos. Cidade dos sonhos também foi prêmio de melhor diretor do Festival de Cannes de 2001. Cannes há havia premiado David Lynch com a Palma de Ouro em 1990, pelo filme Coração selvagem. O sucesso mundial do diretor veio com a série de TV Twin Peaks. O título é o nome de uma cidade fictícia, no norte dos Estados Unidos, habitada por personagens misteriosos. É o cenário para a história que gira em torno da investigação sobre o brutal assassinato da adolescente Laura Palmer. A série foi exibida entre 1990 e 1991, em vários países, inclusive no Brasil, e deu origem a outro filme de David Lynch, Twin Peaks – os últimos dias de Laura Palmer."
03/11/2008,David Lynch,6,[...],[Fim do vídeo]
03/11/2008,David Lynch,7,Lillian Witte Fibe,"Para entrevistar o cineasta David Lynch, convidamos o Ricardo Calil, que é redator chefe da revista Trip; José Geraldo Couto, crítico de cinema e colunista da Folha de S.Paulo; Ubiratan Brasil, subeditor do Caderno Dois do jornal O Estado de S.Paulo e Leon Cakoff, crítico de cinema e diretor da Mostra Internacional de Cinema de São Paulo. A Laís Duarte, do jornalismo aqui da TV Cultura, vai fazer ao nosso entrevistado as perguntas dos telespectadores que foram encaminhadas antes, porque o programa de hoje é gravado. E claro, o Paulo Caruso está aqui também. Ele vai desenhando aí os momentos do nosso programa. Hoje você vai ter um concorrente, que é o próprio entrevistado, Caruso. Ele adora pintar também e faz os seus próprios desenhos. Boa noite, senhor David Lynch. Obrigada pela presença."
03/11/2008,David Lynch,8,David Lynch,Boa noite.
03/11/2008,David Lynch,9,Lillian Witte Fibe,"Vamos começar falando sobre meditação, até para não contrariá-lo. Meditação é conhecida entre a gente como o repouso da mente. Uma técnica não invasiva, barata, custo zero, sem efeitos colaterais e que, até onde a gente está informado, tem recebido cada vez mais adesões da medicina ortodoxa e ocidental. Eu já li cardiologista falando que meditação, combinada a uma dieta correta, faz mais bem, às vezes é muito melhor do que o bisturi, para o coração. Com a gente aqui no Brasil, eu acho que tem... existe uma certa curiosidade em entender qual é a sua meditação, a transcendental. O senhor, nessa sua peregrinação pelo Brasil, saberia dizer às pessoas que ficaram curiosas e interessadas como achar, por exemplo, o professor certo a que o senhor se refere, para a meditação transcendental aqui no Brasil? E, enfim, como tornar possível, basicamente, se chegar à felicidade infinita?"
03/11/2008,David Lynch,10,David Lynch,"Há muitas formas de meditação. E nunca se diz que uma é melhor do que a outra. Trata-se de uma escolha pessoal. Mas sempre digo que não saberia que meditação iria fazer se me tirassem a meditação transcendental. A meditação transcendental tira você da superfície da mente e lhe dá a chave que abre a porta para os níveis mais profundos, para transcender para uma consciência sem limites e para a felicidade. A felicidade infinita. Ao vivenciá-la você se sente vivo e cresce através dela. Todos têm consciência, mas nem todos têm o mesmo nível. Por que ficar com um certo nível de consciência, se existe uma técnica disponível que lhe permite expandi-la, trazendo-lhe apenas coisas boas? O efeito da expansão da consciência é que a negatividade começa, de fato, a diminuir. O peso da negatividade sob a qual vivemos. É algo muito libertador. Entre outras coisas, ela elimina o estresse. Você vivencia uma alegria infinita. Uma felicidade infinita. E vê o estresse desaparecer completamente. Trata-se de um ensinamento bastante específico. Você recebe um mantra, uma vibração sonora específica, que mexe com a percepção interior e você mergulha, naturalmente, através de níveis sutis da mente e do intelecto e transcende. Você precisa de um professor verdadeiro para ensiná-lo. Para lhe dar o mantra e lhe dizer como usá-lo. E então, quando souber como meditar corretamente, isso faz parte da sua vida, você vai em frente e vê tudo melhorar."
03/11/2008,David Lynch,11,Lillian Witte Fibe,"Mas de que maneira, aqui no Brasil, as pessoas podem encontrar esse professor certo? O senhor sabe onde?"
