DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
14/05/2001|Debate Crise Energética|1|Paulo Markun|Boa noite. A crise do setor elétrico nacional coloca o Brasil diante de novos dilemas. A era da energia abundante e de tarifas baratas acabou. A eletricidade produzida não é mais suficiente e, a curto prazo, poucos resultados são possíveis. O problema, que não é novo nem exclusivo no Brasil, coloca o racionamento como inevitável e nos obriga a um novo e importante debate. O Roda Viva esta noite faz uma edição especial, trazendo para o centro do programa a crise do setor elétrico e a discussão que isso provoca na busca de soluções e na revisão do nosso modelo energético.
14/05/2001|Debate Crise Energética|2|[Comentarista]|O Brasil vai sofrer um racionamento de energia da ordem de 20% a partir de primeiro de junho. Alguns técnicos prevêem conseqüências tão graves para a economia quanto as da crise do petróleo em 1973, causada pela guerra no Oriente Médio [foi a segunda fase da crise que aconteceu porque os Estados Unidos decidiram apoiar Israel em relação à ocupação de territórios palestinos na guerra do Yom Kippur. Por conta disso, os países árabes aumentaram o preço do barril de petróleo em 300%. Em vários países foram adotadas medidas de economia]. Na atual crise, o governo culpa São Pedro, que não mandou chuvas suficientes este ano. Os especialistas em energia discordam. Eles dizem que faltou investimento, principalmente em linhas de transmissão. Nos últimos 6 anos, o consumo de energia elétrica no país cresceu 33%, enquanto a expansão da capacidade geradora ficou em 25%. A falta de chuvas agravou o problema reduzindo os reservatórios a níveis críticos, principalmente porque 84% de toda energia elétrica produzida no Brasil depende de quedas d’água. O restante vem de usinas térmicas, 13%, e das usinas nucleares de Angra dos Reis, 3%. Na outra ponta, a do consumo, a indústria responde por 43%, o uso em residências, 27%, no comércio 16%, outras utilizações 14%. O governo admite que custou a perceber o tamanho da crise. Primeiro falou em adotar um programa de racionalização, depois mudou o discurso para cotas com multas, por fim, ao se dar conta da gravidade, optou pelo racionamento com "apagões". A idéia da multa, que era impopular e poderia gerar uma enxurrada de ações na Justiça, foi abandonada, mas permanece a ameaça de elevação da tarifa como forma de estimular investimentos na geração de energia e reduzir o consumo. Para a Federação das Indústrias de São Paulo, uma coisa já está certa: o racionamento vai comprometer as metas de crescimento econômico do país.
14/05/2001|Debate Crise Energética|3|Paulo Markun|Para participar deste programa especial, nós convidamos o professor Maurício Tolmasquim, coordenador do programa de planejamento energético da COP [entidade ligada à preservação do meio ambiente], da Universidade Federal do Rio de Janeiro; participa também o economista Adriano Pires, professor da Universidade Federal do Rio de Janeiro. Está conosco, ainda, a advogada Flávia Lefevre Guimarães, coordenadora de serviços públicos do Instituto Brasileiro de Defesa do Consumidor, o Idec. Participa do Roda Viva especial, o engenheiro eletricista e jornalista, Paulo Ludmer, diretor executivo da Associação Brasileira dos Grandes Consumidores Industriais de Energia, Abrace. Está ainda no Roda Viva, o jornalista José Paulo Kupfer, colunista e editor de opinião do jornal Gazeta Mercantil e também o engenheiro eletricista Afonso Henriques Moreira Santos, secretário de Energia do Ministério de Minas e Energia. Para botar a bola em jogo, eu queria aqui ler, resumidamente, a notícia que vem da agência Estado, com um resumo do que foi discutido hoje na instalação da câmara de gestão da crise energética, que foi conhecida aí um pouco, humoristicamente, como "Ministério do Apagão". O presidente Fernando Henrique Cardoso [presidente do Brasil entre 1995 e 2002] instalou essa câmara e disse que vai antecipar, em cinco dias, o anúncio das medidas de racionamento de energia elétrica nas regiões Sudeste, Nordeste e Centro Oeste. Norte e Sul do país ficam fora, por enquanto. E amanhã será publicada, no Diário Oficial da União, uma medida provisória que permite, por exemplo, que essa câmara de gestão proponha mudanças no orçamento da União, permitindo obras que atendam à necessidade de desenvolvimento do setor elétrico ou até mesmo determinar que haja mais agilidade por parte do Ibama [Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis] na liberação de licenças ambientais para construção dessas usinas. Há outras medidas como, por exemplo, a saída do funcionalismo às 5 horas da tarde, metas para redução do gasto de eletricidade nos organismos oficiais, mas nenhuma definição mais clara, salvo o fato de que o racionamento começará no dia primeiro de junho [as medidas seguiram até março de 2002]. O ministro Pedro Parente [engenheiro e chefe da Casa Civil de junho de 1999 a 2002. Ministro do Planejamento, Orçamento e Gestão de abril a julho de 1999] já mencionou que nem mesmo a possibilidade de algum tipo de punição para quem gaste a mais está descartada, embora não vá existir, segundo ele, aquela multa que havia sido proposta, pelo menos, nos moldes em que se propôs anteriormente. Eu queria propor aos participantes aqui um desafio. É evidente que a compreensão de porque chegamos a essa situação, as responsabilidades indiscutíveis do governo, a falta de planejamento, a redução de investimento que houve, são temas importantes do nosso debate, mas eu tenho a impressão, falando em nome do público, do telespectador, que o mais importante do que isso é tentar entender o que é que acontece a partir do dia primeiro de junho neste país, o que é que a gente pode fazer, se é que pode fazer alguma coisa, para evitar que isso seja algo parecido com aquelas catástrofes que a gente vê nos filmes norte-americanos e que lá, no cinema, terminam sempre muito bem, muito obrigado, graças a alguns heróis. A situação na vida real é um pouco diferente. Eu queria começar com o secretário para que ele, enfim, colocasse aí o seu ponto de vista em relação a isso. O que vai acontecer, o que é que dá para saber que já vem pela frente?
14/05/2001|Debate Crise Energética|4|Afonso Henriques|Primeiramente, eu queria cumprimentar e agradecer o convite. Quem viu o posicionamento do presidente sabe que as orientações e determinações serão conhecidas na sexta-feira, portanto, não me cabe divulgar nada antes, até porque não conheço... será feito nesse período, nós temos muitos estudos e a decisão será tomada até sexta feira. Mas eu vou tratar de maneira mais genérica. Eu sou um otimista, acho que durante muitos anos nós, da academia, que é minha origem, a universidade, defendíamos conservação de energia, defendíamos uma mudança de postura da sociedade brasileira, defendíamos co-geração, fontes alternativas, eu acho que é chegado o momento. Eu não falo isso de forma poética, eu falo isso de forma muito pé no chão. Acho que essa oportunidade é única para a sociedade brasileira reavaliar aquela energia relativamente barata, aquela energia abundante, porque aqui no Brasil nós sempre seguimos... era a oferta sempre atendendo a demanda, raríssimas vezes tivemos problemas. Nós temos que saber que isso é bastante custoso, que isso é uma opção da sociedade... por vezes deixamos de ter saúde, deixamos de ter transportes para ter um parque gerador, até por vezes exagerado, e deixamos de fazer a nossa parte. Usar racionalmente esse recurso, usar racionalmente energia, porque a energia sempre implica em degradação. Eu uso uma lâmpada aqui, pode ter certeza que eu tenho algum problema ambiental na ponta, portanto, essa mudança de postura condiz totalmente com este novo momento que vivemos nesse século XXI, de preservar os recursos ambientais, de termos uma nova ética na sociedade como um todo.
14/05/2001|Debate Crise Energética|5|Paulo Markun|Quem se habilita?
14/05/2001|Debate Crise Energética|6|José Paulo Kupfer|Eu queria saber se alguém tem uma idéia... Eu vejo especialistas aqui, não é o meu caso, eu sou apenas um jornalista, se alguém tem uma idéia de como poderá ser o corte de energia. Porque as pessoas querem saber quando é que elas vão ter que planejar a subida no elevador, por exemplo. Como isso pode ser, qual é a melhor maneira, o que se pode imaginar que, na situação atual, o governo possa decidir enquanto a isso? Perguntar para o Paulo, que conhece bem esse assunto, embora a coisa dele seja os grandes consumidores, aqueles do tempo, né, Paulo, que consomem ¼ de toda energia que o país consome. Mas não é esse o caso, talvez você possa dar um ajuda nessa parte.
14/05/2001|Debate Crise Energética|7|Paulo Ludmer|Boa noite a todos. É muito difícil desenhar essas coisas que dependem de regras. Eu tento me colocar, talvez seja excessivo da minha parte, mas tento me colocar no lugar das pessoas que estão sentadas, a essa hora, tentando desenhar como é que as pessoas vão subir no elevador. É de uma complexidade, Kupfer, de uma complexidade que... Veja bem, eu acho que o governo, pensando para frente...
14/05/2001|Debate Crise Energética|8|José Paulo Kupfer|[interrompendo] Deixa eu tentar focar. É melhor períodos menores de corte em picos, por exemplo, de 7 às 9 da noite, que é um horário que consome mais, ou é melhor períodos maiores de 4, 5, 6 horas em momentos em que o consumo é menor, de tarde, no começo da manhã? O que é mais interessante, o que vai acabar prevalecendo, se o ponto de vista técnico for considerado?
14/05/2001|Debate Crise Energética|9|Paulo Ludmer|Eu ia desaguar na resposta, só peço um pouco de paciência. Eu vejo que as pessoas que lá estão, elas estão com critérios, alguns razoáveis e indiscutíveis. A gente sente, em todas as simulações que até agora foram apresentadas à sociedade, a gente sente um privilégio, as atividades produtivas que vão pagar as contas nacionais, públicas, as contas externas que vão manter os empregos produtivos, empregos de alta qualidade, difíceis de serem erguidos para uma mão-de-obra melhor que o Brasil tem. E vejo que esse privilégio, que não é tanto, é um pouquinho em percentagem de corte, é distinto do corte que se pretende aplicar ao ócio, ao entretenimento, ao divertimento, que são muito importantes para a vida humana, para a qualidade de vida. Então, eu vejo, Kupfer, que não há...
14/05/2001|Debate Crise Energética|10|José Paulo Kupfer|[interrompendo] Novela vai ficar no escuro, é isso que você está falando? [ri]
