DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
29/03/1990|Debate Plano Econômico: visão dos jornalistas|1|Rodolfo Konder| Boa noite! A TV Cultura apresenta hoje um Roda Viva especial. Um programa de debate sobre o Plano Brasil Novo, o pacote econômico deixado pelo governo Collor. No centro da roda, o Plano Brasil Novo, assim como há dois anos esteve o Plano Cruzado. Os nossos convidados de hoje também são especiais: são, igualmente, o centro da roda e são os debatedores. Os convidados desta noite são os seguintes jornalistas: Luis Nassif, editor da coluna Dinheiro Vivo; Celso Ming, editor de Economia do Jornal da Tarde; Pedro Cafardo, editor de Economia do jornal O Estado de S. Paulo; Fábio Pahim, repórter especial do Jornal da Tarde e da Jovem Pan; e Stephen Kanitz, o nosso comentarista econômico da TV Cultura. Lembramos que o Roda Viva é transmitido ao vivo hoje pelas TVs Educativas de Porto Alegre, Bahia, Minas Gerais, Espírito Santo e Pará. É, ainda, retransmitido pela TV Nacional de Brasília. Você, que está assistindo o programa de casa, pode fazer perguntas pelo telefone (011) 252-6525, que a Carla, a Ana e a Cristina estarão anotando as suas perguntas. Na platéia, assistem o programa convidados da produção. Ainda fará parte da nossa mesa, esta noite, o jornalista econômico Marco Antônio Rocha. O Marco Antônio Rocha é editor de Economia da TV Record, mas ele está atrasado e nós não sabemos se está estudando as novas medidas do governo ou se ficou retido em alguma fila de banco. Vamos começar o programa propondo uma questão, que é a seguinte: alguns analistas dizem que o Plano Brasil Novo, também conhecido como Plano Collor, já está fazendo água, já abriram buracos na represa do presidente. E eu gostaria de saber se algum dos jornalistas presentes endossa essa informação e essa tese.
29/03/1990|Debate Plano Econômico: visão dos jornalistas|2|Luis Nassif| Eu acho que não.
29/03/1990|Debate Plano Econômico: visão dos jornalistas|3|Rodolfo Konder| Não?
29/03/1990|Debate Plano Econômico: visão dos jornalistas|4|Luis Nassif| Eu acho que você tem um deserto nordestino daquele bem seco e tem uma pocinha d’água lá, e tem gente querendo se afogar na pocinha d’água.
29/03/1990|Debate Plano Econômico: visão dos jornalistas|5|[risos]|[risos]
29/03/1990|Debate Plano Econômico: visão dos jornalistas|6|Rodolfo Konder| Mas a represa continua solidamente?
29/03/1990|Debate Plano Econômico: visão dos jornalistas|7|Luis Nassif| Sólida, não sei. Agora, que não tem dinheiro para lado nenhum, não tem. O que está acontecendo com o plano são as exceções que foram abertas até agora: não permitem irrigar, não permitem nascer ainda nem um pé de cacto.
29/03/1990|Debate Plano Econômico: visão dos jornalistas|8|Rodolfo Konder| E as medidas de hoje?
29/03/1990|Debate Plano Econômico: visão dos jornalistas|9|Luis Nassif| Não...
29/03/1990|Debate Plano Econômico: visão dos jornalistas|10|Rodolfo Konder| Essa linha especial de crédito?
29/03/1990|Debate Plano Econômico: visão dos jornalistas|11|Luis Nassif| Essa linha especial vai dar um desafogo para as empresas durante um mês, para a folha de pagamento. Eu acho que o plano tem uma questão básica: eles fizeram um cálculo em cima do ritmo de geração de cruzeiros... [corrigindo-se] de cruzados [na verdade, cruzados novos, moeda brasileira criada pelo Plano Verão e que circulou entre fevereiro de 1989 e março de 1990, quando o Plano Collor a substituiu pelo cruzeiro, que valia 1000 cruzados novos] que a economia produzia e acharam que bastava deixar 20%, que o restante as empresas iam conseguir vendendo os seus bens. Só que, quando tiraram tudo, a capacidade de vender caiu barbaramente. Então, eu acho que o plano não... ele tem que flexibilizar muito mais, ainda. Eu acho que o que foi flexibilizado até agora não é suficiente para fazer água, não; está faltando muita água, ainda, para o plano.
29/03/1990|Debate Plano Econômico: visão dos jornalistas|12|Rodolfo Konder| Celso Ming, o Congresso é que vai desempenhar esse papel?
29/03/1990|Debate Plano Econômico: visão dos jornalistas|13|Celso Ming| O Congresso vai ter um papel importante, realmente. Eu tenho a impressão de que o Congresso não vai mexer na essência do plano: ele vai tentar fazer algum acerto. Mas eu acho que é a própria sociedade que vai pedir os acertos do plano - se é que são necessários esses acertos. E, neste momento, eu acho que não há ninguém que tenha condições de dizer com muita clareza quanto dinheiro está faltando na economia. Eu acho que esse dado, esse número, foi tirado, assim, meio de uma cartola, que eu não sei bem de onde foi - mas, também, ninguém sabe que número colocar no lugar. E é preciso, então, saber, sentir primeiro o pulso do mercado. Eu acho que nenhum assalariado está gastando o seu salário, apenas aqueles que tiveram uma certa antecipação. Esse é o primeiro ponto. Segundo ponto: as empresas seguraram tudo. Terceiro: das pessoas que tinham dinheiro, que foram no banco e tiraram o dinheiro, muito dinheiro está entesourado ainda. Os próprios bancos, eles estão emperrados, não são esse ventilador que está jogando outra vez o dinheiro no mercado. Então, ninguém tem idéia, ninguém tem idéia de quanto dinheiro existe por aí e que vai circular. Eu acho que isso vai acontecer na primeira semana de abril - primeira, segunda semana de abril -, quando o salário voltar a irrigar; e [então] o pessoal vai tomar uma decisão: se vai gastar ou se vai poupar.
