DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
22/03/1990|Debate Plano Econômico: visão dos empresários|1|Jorge Escosteguy|Boa noite! A TV Cultura apresenta hoje um Roda Viva especial, um programa de debate sobre o Plano Brasil Novo, baixado pelo governo Fernando Collor [1990-1992]. No centro da roda, o Plano Brasil Novo [há um enorme cifrão deitado no lugar da cadeira central do Roda Viva], onde esteve, há dois anos, o Plano Cruzado. Os nossos convidados de hoje também são especiais. São, igualmente, o centro da roda e os debatedores. Nós convidamos, para o debate de hoje aqui no Roda Viva, o presidente da Federação das Indústrias do Estado de São Paulo [Fiesp], Mário Amato; Laerte Setúbal, conselheiro da Associação Brasileira de Comércio Exterior; Sérgio de Freitas, diretor da Federação Brasileira de Bancos; Teófilo Orth, presidente da ABDIB, Associação Brasileira para o Desenvolvimento da Indústria de Base; Pedro Camargo Neto, presidente da Sociedade Rural Brasileira; Roberto Capuano, presidente do Creci [Centro Regional de Corretores de Imóveis]; e Luiz Carlos Mendonça de Barros, economista e professor da Unicamp [Universidade Estadual de Campinas]. Para nos ajudar no debate de hoje estamos aqui, também, com nosso comentarista econômico da TV Cultura, o jornalista, o economista Stephen Kanitz. Lembramos que o Roda Viva é transmitido ao vivo hoje pelas TV Educativas de Porto Alegre, Minas Gerais e Espírito Santo e TV Cultura de Curitiba e retransmitido pela TV Nacional de Brasília e pela TV Cultura do Pará. Você, que está em casa e quiser fazer perguntas por telefone, pode chamar (011) 252-6525. A Carla, a Ana e a Shizuka estarão anotando suas perguntas. Para começar o programa, nós faremos, hoje, uma rodada inicial com cada um dos nossos debatedores, para que cada um nos diga que efeitos positivos ou negativos o plano do governo Fernando Collor teve sobre seu setor específico. Nós começaremos, então, com o presidente da Fiesp, Mário Amato. Por favor.
22/03/1990|Debate Plano Econômico: visão dos empresários|2|Mário Amato|Muito bem. Primeiramente, eu estou muito feliz de estar aqui em tão boa companhia. Eu gostaria de fazer alguns comentários. Nós, empresários há longa data, nós queremos economia de mercado, nós somos contra a inflação e nós achamos que alguma coisa precisava ser feita. Não se poderia conviver com uma inflação de 70%, 80%. A nossa casa fez um trabalho que praticamente coincide bem com o Plano Cruzado. Mas ele projeta em longo prazo, para o ano 2000. Alguma coisa de drástico, alguma coisa devia ser feita. Confesso que, no estudo que fizemos neste plano, consideramos esse plano bem acabado, de uma estrutura redonda e que não contempla só... ou, por outra, ele faz com que haja uma distribuição grande, principalmente dos maiores para os menores. É um programa que não tem retorno, porque, ao voltar esse plano, ele teria conseqüências desastrosas. Ele contempla uma redução da inflação, que é aquilo que nós todos desejamos. Entretanto, alguma coisa precisa ser feita, principalmente no que tange a um ponto que eu considero de extrema importância: existem especuladores, existem aplicadores e existe o capital produtivo. Eu acho que colocar em uma mesma mesa esses três tipos de pessoas é muito difícil. Por isso, alguma coisa precisa ser feita. Eu tenho esperança de que o Congresso irá modificar para melhor, sem arruinar a estrutura do plano. E o que eu gostaria de deixar para mais, nas minhas considerações, é dizer que a Federação das Indústrias apóia o plano através do seu departamento de Economia e, através do seu departamento jurídico, acha que não há nada inconstitucional. Agora, o que nós precisamos é que haja uma forma mais hábil de fazer com que ele seja administrado. Evidentemente, hoje, os problemas estão muito sérios, porque atingem uma massa muito grande, que é a massa do trabalhador que não recebe o seu próprio salário. Nós já passamos telegrama, já falamos com a ministra [da Fazenda, Zélia Cardoso de Mello, ministra entre 1990 e 1991, que lançou o Plano Collor], fomos muito bem atendidos, inclusive com o presidente do Banco Central, e eles compreenderam que alguma coisa deve ser feita. Evidentemente, hoje, eu tive um contato com o presidente do Sindicato dos Trabalhadores, [Luiz Antônio] Medeiros, e, quando eu disse que devia ter um pouco de paciência ele disse que o trabalhador não pode ter paciência, porque ele precisa levar comida para casa. No que eu estou perfeitamente de acordo. Evidentemente, precisam imediatamente serem feitas algumas modificações. Eu acho que o mais importante é que a empresa deve ser preservada. Nós devemos... a empresa produtiva, que gera riqueza, deve ser preservada. E outro fator importante é que o governo também cumpra a sua parte, porque, no passado, tudo o que se fez acabou não tendo resultado porque o governo foi incapaz de fazer a sua parte.
22/03/1990|Debate Plano Econômico: visão dos empresários|3|Jorge Escosteguy|Doutor Laerte Setúbal, por favor.
22/03/1990|Debate Plano Econômico: visão dos empresários|4|Laerte Setúbal|Bom, em relação ao plano, eu diria que, fundamentalmente, a decisão é uma espécie de alternativa do diabo: era isso ou a hiperinflação. [De maneira] que, dentro dessa visão, a aceitação do plano tem que ser uma aceitação, digamos, do menor mal. Dentro do ângulo sob o qual eu gostaria de conversar a respeito - seria a minha especialidade, que é o comércio exterior: Indiscutivelmente, em uma primeira visão do plano, em uma primeira leitura do plano, o comércio exterior foi altamente favorecido. Por quê? Ele criou, ele decretou o fim do chamado "efeito gaveta", que era a gaveta do diretor da Cacex [Carteira de Comércio Exterior, órgão do Banco Central para licenciar, financiar e produzir estatísticas sobre o comércio exterior do Brasil, extinta em 1990], onde se colocavam as listas dos produtos de exportação que eram proibidos. Ele eliminou o chamado Anexo C, os produtos que eram proibidos à importação; e eliminou os programas de importação que as empresas eram obrigadas a fazer. E vocês podem imaginar que uma empresa que quisesse alterar sua linha de produção tinha que alterar o programa, autorizado no início do ano - e, portanto, era uma burocracia fantástica. E ele eliminou as guias de importação, que é a chamada anuência prévia. Tudo isso caiu. Caíram também o adicional de fretes e o adicional de taxas portuárias em 50%; e [o plano] prevê a [sua] eliminação total em 1991. Finalmente, ele elimina totalmente as isenções relativas à importação e acabou com as ZPEs, que são as zonas de processamento de exportação [distritos industriais onde há, para as empresas de exportação ali instaladas, incentivos fiscais, cambiais e regulatórios] - que eram, realmente, um entrave que trazia problemas. E o ponto fundamental foi o câmbio flutuante [com o Plano Collor, o governo deixou temporariamente de fixar o câmbio oficial entre o cruzado e o dólar]. Então, em uma primeira visão, realmente, o setor foi altamente beneficiado. Porém, se a gente fizer uma análise um pouco mais fina e rápida: primeira questão, a do câmbio flutuante. A situação do comércio exterior é uma situação que pega a exportação, pega a importação, pega o financiamento no exterior e pega a parte de investimentos - porque, para exportar, precisa-se investir. A relação do câmbio, no momento, não foge de duas realidades fundamentais, quais sejam: [as relações] câmbio-preço e a câmbio-salário. A relação câmbio-preço nunca esteve tão baixa nos últimos cinco anos - ou seja, o câmbio hoje, em torno de trinta e poucos cruzeiros por dólar, é altamente desfavorável. Ou seja, o preço de venda dá prejuízo nessa base. Portanto, a relação câmbio-preço é um fator desestimulador das exportações. A relação câmbio-salário também, neste momento - eu estou falando disso dentro do fator tempo, que precisa ser levado em consideração, como se fosse uma fotografia; eu não sei o que vai acontecer amanhã, mas hoje a situação é essa, e essa é a que eu queria reproduzir -, a relação câmbio-salário, para se ter uma idéia, os salários, nos últimos dias, cresceram cerca de 14% a 15%, por causa do abaixamento, digamos, dos preços; houve uma valorização dos salários. De outro lado, o câmbio caiu 14%, também. Um subiu e o outro desceu. O que fez um gap entre câmbio e salário, que, neste momento, [faz com que] uma empresa que dependa, por exemplo, de três grandes insumos - energia elétrica, combustíveis e salários -, ela esteja absolutamente inviabilizada para exportação. De maneira que, então, as exportações, das quais, aparentemente, as medidas que foram tomadas são estimuladoras, o seu resultado final demonstra que, neste momento, não são. Sob o ponto de vista de importação, nem falar, porque as empresas que fizeram programas durante o período do governo [José] Sarney [1985-1990] e anteriores - acreditando no país e investindo e importando para expandir a sua produção de um modo geral -, depositaram no Banco Central, em moeda estrangeira, valores substanciais para serem utilizados no momento da chegada da importação. A obrigação do Banco Central nada mais era do que pegar esse dinheiro e pagar o exportador estrangeiro na hora em que a importação chegou aqui. Então, vamos dizer, admitamos que uma empresa tivesse depositado no Banco Central vinte milhões de dólares. Então, conforme o equipamento [importado] viesse chegando, ia se pagando. Acontece que sai a famigerada Circular 1611, que simplesmente, diz: "Não, você só pode retirar 20% disso; os outros 80% ficam congelados em 24 meses" - 18 mais seis, 18 meses standard mais seis. O que é que resultou? A empresa vai ter que levantar [os vinte milhões] para receber, exclusivamente, quatro milhões de dólares - que são 20% dos vinte -, e os outros 16, ela tem que levantar novamente! Dinheiro dela, depositado no banco! Ora, é preciso ter uma visão de que [entre] o banco e o governo [há] uma continuidade. O banco é, fundamentalmente, um vendedor de confiabilidade. Não é nem de credibilidade, é mais do que isso: ou é confiança ilimitada ou não existe. É como vidro: se trincar, joga fora. Não há interesse em você trabalhar com uma instituição financeira que não transmita essa postura definitiva. Então, a importação, neste momento, está passando por uma situação dramática. A mesma coisa aconteceu para as empresas que investiram e que tomaram empréstimos no mercado internacional - por exemplo, no Banco Mundial, que tem clausulas do tipo "Se você não pagar as parcelas correspondentes, você é obrigado a pagar o total do empréstimo". Então, a empresa que fez um empréstimo de cem milhões de dólares e que deveria pagar, agora, três ou quatro milhões de dólares, um pouco de juros e um pouco de amortização - dois milhões de amortização, digamos, oitocentos mil dólares -, não vai pagar. Com isso, vence o contrato na sua totalidade. Ela não só deixa de - evidentemente, se ela não gastou os cem, gastou cinquenta -, ela deixa de receber os cinquenta que deveria receber e tem que pagar a totalidade. Então, o comércio exterior, neste momento, está traumatizado sobre o ponto de vista operacional. No seu ponto de vista exclusivamente da visão global, parece um grande negócio; mas está totalmente traumatizado. É essa a mensagem que eu deixo.
22/03/1990|Debate Plano Econômico: visão dos empresários|5|Jorge Escosteguy|Muito obrigado. É o Roda Viva apresentando hoje um debate especial sobre o Plano Brasil Novo, do governo Fernando Collor de Melo. Nós vamos ouvir, agora, o dr. Sérgio de Freitas, diretor da Federação Brasileira dos Bancos. Por favor.
22/03/1990|Debate Plano Econômico: visão dos empresários|6|Sérgio de Freitas|Muito bem. Eu gostaria de avaliar a situação presente de dois ângulos: como brasileiro e como diretor da Federação Brasileira de Bancos - que, no momento, é uma peça-chave da estruturação desse programa. Como brasileiro: nós vimos o Brasil, durante vinte anos, seguir um caminho de desequilíbrio crônico no setor público que nos levou à beira da hiperinflação, com diversas desigualdades e desestruturas que precisavam ser corrigidas e que nunca foram enfrentadas. E nós chegamos, recentemente, a uma situação que beirava a catástrofe. Surge das Alagoas um presidente eleito em voto direto pelo povo, em campanha brilhante, que desenvolve, posteriormente, um programa de reformas econômicas que é da amplitude que o Brasil exigia, pela dimensão dos problemas que enfrentávamos, de um lado, e, também, [do outro,] que tem as diretrizes gerais que todos nós defendíamos - pelo menos, aqueles que o elegeram e concordavam com a sua opinião. O programa satisfaz na intensidade, satisfaz na direção geral. Quando analisamos o programa dentro da sua estrutura econômica - e, depois, vamos analisar isso com mais detalhe -, nós também sentimos uma grande afinidade com o traçado geral a que ele se propôs. O traçado geral, basicamente, é o de fazer com que as classes possuidoras de riquezas pagassem os desequilíbrios passados do governo e resgatassem esses desequilíbrios acumulados pelo governo ao longo dos anos - e prometendo então o governo fazer, daqui para a frente, as correções na operação de cada ano, de tal modo que nós não restabelecêssemos a situação crônica e crítica que tivemos ao longo dos últimos vinte anos por diversas razões. Muito bem, um programa como esse - de excelente qualidade, desenvolvido por um presidente com um drive, com o dinamismo que o nosso atual presidente tem, com a diretriz geral que é aquela que todos nós preconizávamos nos bancos, na indústria, no comércio, nos trabalhadores, no sentido de mais liberdade - só pode, realmente, receber o maior aplauso de todos os brasileiros. E é exatamente isso que mostram as taxas de aprovação do plano, porque a queda do índice inflacionário era realmente o grande objetivo de toda a nação brasileira - e esse objetivo está sendo alcançado pelo programa econômico do presidente Collor. Isso falando como brasileiro. Falando como diretor da Federação Brasileira de Bancos - que foi a frente primeira onde se desenvolveu o plano: o plano tem seus aspectos econômicos, tem os seus aspectos financeiros, tem os seus aspectos monetários. Houve uma transformação monetária bastante significativa em que não só se mudaram todas as formas de operação do sistema financeiro, como até a própria moeda foi mudada, com critérios sofisticados de conversão, e os ativos financeiros sofreram tratamentos diferenciados. Portanto, houve uma transformação muito, muito grande. E o timing, o tempo [o instante] em que essas medidas foram anunciadas acabou sendo perturbado no último momento: houve a decretação antecipada de um feriado bancário porque se imaginavam - e provavelmente haveria - movimentos especulativos de todos tentando se defender de algo que ninguém sabia exatamente bem o que era. De modo que houve a necessidade da antecipação de feriados bancários e isso atropelou a seqüência natural de medidas que o governo pretendia adotar. Então, o que aconteceu foi que, na parte estritamente operacional - eu diria na parte de organização e método -, foi o que outro dia eu discutia com um observador do mercado - na área de organização e métodos, realmente, nós temos, ainda, uma série de definições a adotar. Se bem que a grande maioria dos problemas já foi resolvida. O sistema bancário recebeu as informações em detalhe na noite de domingo - e, quando eu falo do sistema bancário, eu não falo de ouvir dizer, eu estava na sala onde nós recebíamos as informações do Banco Central. As últimas circulares e normas chegaram na noite de domingo. Algumas delas nem chegaram na noite de domingo; por exemplo, a que permitia o saque da caderneta de poupança em qualquer dia: essa, eu só li no jornal na segunda-feira de manhã. E, obviamente, há uma série de informações que nem sempre vêm adequadamente expressas - às vezes, por autoridades, nós já tivemos casos neste sentido; às vezes, da parte do próprio manual do Banco Central, que contém contradições em relação às normas que ele mesmo ou que o governo expediu; às vezes, são interpretações de repórteres; às vezes, são interpretações nossas, das administrações dos bancos, que, obviamente, depois, nós podemos analisar. Recebemos um número fantástico de normas a digerir, a interpretar e a colocar nos nossos computadores da noite para o dia. Às vezes, então, as nossas administrações, às vezes, os nossos sacrificados funcionários que foram obrigados a passar - com prazer até, não obrigados -, a passar esses dez dias trabalhando durante a noite em expedientes alongados, com o intuito de dar cumprimento o mais amplo possível àquilo que o governo determinou... Não há, da parte do sistema bancário, nenhum objetivo de criar nenhum empecilho. Nós queremos, o nosso objetivo é, o mais rapidamente possível... Imaginamos que, nos próximos dias, isso aconteça: todo esse esquema fantástico, toda essa transformação que envolveu, em alguns bancos, alterações de quatro mil programas em computador - e, depois, eu posso mostrar aqui o tamanho das normas que nós tivemos que divulgar às nossas agências -, o nosso objetivo é que tudo isso esteja completado ao longo desta semana, de modo que, na próxima semana, nós possamos dar contribuições adicionais para que o programa realmente funcione. Nós, aqui, teremos oportunidade de debater as perspectivas do programa econômico. Eu não me furtarei a discutir os problemas da área bancária, mas acho que, realmente, isto é um problema transitório, que está em fase de superação. Hoje já foi, em uma série de serviços da atividade bancária, muito melhor do que ontem - e melhor do que anteontem. E, na semana que vem, nós temos certeza - assim como foi no Plano Cruzado e como foi no Plano Verão -, a nossa operacionalidade estará completa, com a colaboração que temos tido do público - que às vezes, realmente, é sacrificado por toda essa série de falhas que nós mencionamos; algumas nossas, algumas não nossas. E teremos, então, oportunidade de ver o sucesso do plano que agora se iniciou com as correções que eventualmente precisarão serem feitas.
22/03/1990|Debate Plano Econômico: visão dos empresários|7|Jorge Escosteguy|Quer dizer, semana que vem, então, uma promessa de um serviço bancário melhor do o dessa semana. Nós vamos ouvir, agora, o presidente da Abdib, Associação Brasileira para o Desenvolvimento da Indústria de Base, Teófilo Orth. Por favor.
22/03/1990|Debate Plano Econômico: visão dos empresários|8|Teófilo Orth|Boa noite. É bom estar aqui. A Abdib, como o nome já traz... [cinco segundos de gravação muda] ...base já há muitos anos. Quer dizer, o Brasil, desde o início da década de 1980, vem torrando o seu capital básico, que é a indústria de base. Indústria de base, aqui, precisa ser entendida como a grande infra-estrutura do país. Porém, eu gostaria também de tecer alguns comentários com relação à indústria de bens e capitais no seu todo, não apenas aquela indústria pesada, ligada aos investimentos que estavam, praticamente, no setor produtivo estatal - que, nós todos sabemos, desde 1980 já sofre uma redução sensível e, a partir de 1982, com a parada da entrada de recursos externos, ela praticamente entrou em mera estagnação ou manutenção do existente, quando possível; pouquíssima ampliação. Então, a nossa preocupação com relação a esse setor sempre foi extremamente aguda. E nós víamos que, apesar dos [planos] Cruzado, Bresser, Verão e tudo que se seguia, essa hipótese de retomada do desenvolvimento nesse setor básico era praticamente inviável, em função do estrangulamento da nossa dívida externa, causada pela divida externa, a impossibilidade de superávits primários [saldo entre receita e despesa do governo, mas sem incluir o pagamento dos juros de suas dívidas] na própria estrutura brasileira, de modo a retomar esse desenvolvimento, pelo menos no setor produtivo estatal. Tentamos, sugerimos várias hipótese de trabalho, como, por exemplo, a vertente da privatização do chamado investimento incremental. Não estávamos pensando em aquisição de ativos, porque sabíamos perfeitamente que ativos estatais, simplesmente adquiridos pelo capital nacional, exauririam o capital nacional, na verdade. De forma que o plano era esperado com toda a força. Nós acreditamos que ainda teremos um período de espera para que esse desenvolvimento básico seja retomado. Mas já existe, digamos, uma espécie de cenário armado para que isso possa ocorrer. Não acreditamos, no entanto, como ligeiramente parece que vem sendo acreditado, que essa enorme quantia que foi bloqueada nos cofres do Banco Central seja a realimentação do processo de investimento. Não. Esse dinheiro, para nós, é, em parte, falso. Ele não existe, ele vai micar mesmo, nós não temos a menor dúvida a respeito disso. E imaginar que ele retorne via investimento, evidente que é saudável; mas, seguramente, realimentaria o processo da mesma forma anterior, através de um sistema de reirrigação errada da moeda na economia. De forma que o que nós acreditamos é que o plano viabiliza, isso sim, a possibilidade de nós conversarmos com o capital externo - seja ele de risco ou de financiamento - e este, sim, vai ser uma das partes principais ou uma das peças principais dessa retomada de desenvolvimento. Não acreditamos em milagres. Acreditamos também - como o doutor Mário Amato disse muito bem - que o Estado tem que cumprir a sua parte obrigatoriamente ou nós teremos [esticando as palavras e emulando enfado] novamente a realimentação de todo o processo da forma mais crônica e, assim, é meio que uma espécie de anestesia que vai nos tomando, e nós vamos nos sintonizando com ela, e nós criamos os mecanismos de defesa - e tudo acaba na chamada graxa grossa da inflação. É isso que nós esperamos que não ocorra mais. E, então, basicamente, o setor está extremamente esperançoso, ainda que sabendo que, durante um período, sofrerá essa espera. No entanto, há uma preocupação básica - havia e há, ainda - no setor privado: investimentos que estavam em curso. E, aí, esse setor é que nos tem mantido. Falamos aqui de celulose de papel, falamos aqui de petroquímica, falamos aqui de agroindústria. A ruptura deste processo por força do bloqueio dos recursos próprios é o que nós preocupa muito. Porque, normalmente, nós temos, aí, um tripé: BNDES [Banco Nacional de Desenvolvimento Econômico e Social], recursos próprios, algum dinheiro de conversão de exportação - troca cambial, alguma coisa de um sócio estrangeiro, normalmente muito pouca. Então, essa pauta - recursos próprios - está bloqueada. Nós queremos sugerir, quando as coisas se acalmarem um pouco, que isso seja recanalizado através do sistema do BNDES. Por exemplo, certo? Para se evitar qualquer tipo de privilegiamento ou coisa errada, mas que ele seja realimentado para que esses grandes projetos não sofram [na] solução de continuidade. Este é apenas um detalhe dentro do quadro geral.
22/03/1990|Debate Plano Econômico: visão dos empresários|9|Jorge Escosteguy|O senhor - desculpe - o senhor disse que esse dinheiro vai micar, não vai voltar? O senhor acha que ninguém vai receber esse dinheiro de volta?
22/03/1990|Debate Plano Econômico: visão dos empresários|10|Teófilo Orth|É essa a nossa impressão. Depois de 18 meses, sendo pago em 12 parcelas, sem correção monetária, sem nada, supondo uma inflação da ordem de 4% ou 5% naquele período: não acredito que seja muito pessimista minha suposição, mas nós já teremos uma redução de 40% desse valor.
