DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
14/08/2006|Debate segurança pública|1|Paulo Markun|Boa noite. A volta dos ataques do crime organizado na capital e no interior dão uma nova dimensão para o desafio que a criminalidade coloca ao poder público. Desafio que se tornou ainda mais complicado pela contaminação política do problema e pelas mudanças de tática do comando do crime para driblar as ações de segurança. Depois de uma seqüência de novos ataques na semana passada, o seqüestro de um repórter e de um auxiliar técnico da Rede Globo, num sábado, abriu novamente a discussão sobre a extensão e os rumos da violência na maior cidade do país. Esse é o tema do programa de hoje, uma edição especial que coloca no centro do debate a crise da segurança pública em São Paulo. Desde 2002, o governo de São Paulo, o poder judiciário e a Polícia Militar vêem sendo alvo de atentados atribuídos ao PCC, mas foi neste ano que a facção criminosa começou a dar nova demonstração de força.
14/08/2006|Debate segurança pública|2|[Comentarista]|Foram três ondas de violência desde maio, quando a transferência de mais de setecentos presos ligados ao PCC para a penitenciária de Presidente Venceslau, no interior de São Paulo, provocou uma mega rebelião e uma seqüência de atentados contra postos policiais, delegacias, agências bancárias, supermercados e ônibus. Em julho, a segunda onda. O isolamento de líderes do PCC e a precariedade nos presídios semi-destruídos pelos motins motivaram novos ataques, dessa vez com uma tática diferente: o assassinato de agentes penitenciários – oito funcionários do presídio foram mortos a mando do crime. Na semana passada, uma terceira onda de ataques atingiu postos de gasolina e bancos na capital e interior, além dos prédios do Ministério Público e da Secretaria Estadual da Fazenda, no centro de São Paulo. No sábado de manhã uma nova estratégia: integrantes da facção seqüestraram o repórter Guilherme Portanova e o auxiliar técnico Alexandre Calado, da Rede Globo, numa padaria próxima à emissora, no bairro do Brooklin, zona sul de São Paulo. No final da noite de sábado, o técnico Alexandre Calado foi libertado levando à Globo um vídeo cuja exibição era exigida pelos seqüestradores como garantia de vida do repórter. O vídeo exibido a meia-noite pela emissora entrou depois na programação jornalística e está no site do [programa dominical] Fantástico. Mostra um integrante do PCC, com rosto coberto, lendo um comunicado da facção criticando o sistema penal brasileiro, reclamando humilhações e espancamentos e pedindo liberdade para presos que já cumpriram pena e ainda não foram soltos. Eles querem também condições carcerárias mais humanas e dizem que a luta da facção é contra a polícia e os governantes; 24 horas depois da divulgação do vídeo, o repórter Guilherme Portanova foi libertado no bairro [paulistano] do Morumbi, conseguiu uma carona até a porta da emissora e contou que estava bem e que não foi agredido pelos seqüestradores.
14/08/2006|Debate segurança pública|3|[Vídeo com declarações do governador Cláudio Lembo]|Uma tragédia, mas felizmente terminou bem com a vida do jovem repórter, ele sobreviveu e isso me deixa muito feliz e que agora vamos analisar tudo que o aconteceu nesse seqüestro para tirar experiências eventuais.
14/08/2006|Debate segurança pública|4|[Vídeo com declarações de Márcio Thomaz Bastos, ministro da Justiça (2002-2006)]|Eu não conheço todos os fatos no pormenor, mas acredito que foi uma decisão acertada. Foi a decisão que coloca a vida do ser humano acima de qualquer outra consideração. Nós temos que chegar ao sistema único de segurança pública do Brasil para ter esses ganhos de eficiência que nos levem a vencer essa guerra, que nós não podemos perder.
14/08/2006|Debate segurança pública|5|Paulo Markun|Para discutir essa crise da segurança pública, bem como as idéias que neste momento movimentam o debate, o Roda Viva de hoje convidou uma bancada de jornalistas e especialistas que têm dedicado sua vida profissional ao estudo e a pesquisa em torno desse problema. Para este debate nós convidamos o escritor e jornalista investigativo Percival de Souza, vice-presidente do Instituto Brasileiro Giovanni Falcone que estuda e pesquisa o crime organizado; o antropólogo social Luiz Eduardo Soares, estudioso da violência, ex-coordenador de Segurança do Rio de Janeiro e ex-secretário nacional de Segurança Pública; Nancy Cardia, doutora em psicologia social, coordenadora adjunta do Núcleo de Estudos da Violência da Universidade de São Paulo; o promotor de justiça Roberto Liviano, membro do movimento do Ministério Público Democrático, entidade não-governamental integrada por representantes do Ministério Público; a criminalista Lúcia Casari que já foi promotora e hoje é diretora da Fundação Doutor Manoel Pedro Pimentel, ligada à Secretaria de Administração Penitenciária e que trabalha com reintegração social de presos; convidamos também o jornalista e escritor Audálio Dantas, vice-presidente da ABI, Associação Brasileira de Imprensa e o jornalista da TV Cultura, Renato Lombardi. Nós também temos a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa. O Roda Viva, você sabe, é transmitido em rede nacional de TV para todo o Brasil. [...] Boa noite. Eu queria começar colocando em debate e já explicando que, como eu conversei anteriormente, nós não temos uma regra muito estabelecida e um pode, eventualmente, apartear o outro, desde que o entendimento seja assegurado. Então, colocando a seguinte questão: do meu ponto de vista, existe uma escalada desse movimento criminoso, que vem crescendo de intensidade, e que está utilizando métodos cada vez mais abusados, se é que a palavra não é modesta para definir o que está acontecendo. Então, queria especular se vocês imaginam que isso, essa escalada tenha chegado ao seu auge ou que a gente possa assistir ainda, dramaticamente, coisas piores daqui para frente? Lúcia, eu acho que eu poderia, poderia começar com você.
14/08/2006|Debate segurança pública|6|Lúcia Casari|Olha, a situação, entendo, é extremamente preocupante. E me traz muito a imagem... Eu lembro muito a situação da Itália e da Colômbia, onde os níveis de criminalidade chegaram a ser altíssimos, até que as autoridades realmente tomaram por termo resolver a questão. Eu acho que é o que falta no Brasil. Brinca-se com a segurança pública. Não houve uma conjunção de idéias, de segmentos, de autoridades dispostas realmente a resolver a questão. Então, acho que está faltando vontade política de resolver. Muito discurso e pouca prática.
14/08/2006|Debate segurança pública|7|Paulo Markun|Nancy.
14/08/2006|Debate segurança pública|8|Nancy Cardia|Eu não tenho certeza se houve realmente uma escalada, se você olhar objetivamente o mundo de eventos, o número de vidas perdidas, se você contabilizar dessa forma, eu acho que, na verdade, em maio ocorreram muito mais coisas e que a gravidade dos eventos de maio foram muito maior. O que se observa é que a inoperância das instituições continua. Então, de um lado, continuam ocorrendo eventos sim, mas acho que eles estão diminuindo, eles estão perdendo a força, apesar de que podem continuar provocando muitas ondas. Como é o caso... Porque vai mudando, a cada ocorrência. E isso é parte também do terror, [ele] não quer ter previsibilidade. Também parece muito mais um... Eles, usando as oportunidades e aberturas que vão sendo criadas... mas acho que a intensidade vem diminuindo.
14/08/2006|Debate segurança pública|9|Paulo Markun|Luiz.
14/08/2006|Debate segurança pública|10|Luiz Eduardo Soares|É uma situação grave, qualquer que seja o nosso diagnóstico, acho que todos nós reconhecemos que é muito grave e, Markun, como este é um programa muito especial, com telespectadores também muito especiais, eu acho que nós temos uma oportunidade raríssima de refletir com mais profundidade, e os interlocutores propiciam esse mergulho um pouquinho mais fundo. No dia-a-dia, nós estamos sempre discutindo a crise e a emergência, mas se nós não formos capazes, de fato, de pensar as razões pela quais esses problemas acontecem, nós nunca vamos sair da crise e da emergência. O Brasil transitou da ditadura para a democracia e esse trânsito foi consagrado na Carta de 1988 [Constituição de 1988], todas as instituições se adaptaram ao novo código democrático. A área de segurança pública foi deixada à margem, ficou alheia a esse processo de racionalização, modernização e democratização. Hoje, nós temos instituições policiais, instituições também na área penal, sistema penitenciário em particular, que são obsoletas, são irracionais, são ingovernáveis, inadministráveis, refratárias a toda gestão racional, não valorizam seus policiais, seus profissionais ou agentes, enfim, seus profissionais. E não são capazes de enfrentar o problema na sua complexidade, enfim, o problema contemporâneo numa sociedade que se globaliza diante de um crime que se trans-estadualiza e trans-nacionaliza. Então, o que cumpre fazer? Eu acho que, além das respostas imediatas, que evidentemente são aquelas possíveis no repertório limitado, que é o que nos oferece a pobreza das instituições públicas brasileiras nessa área, nós temos de retomar o processo da transição democrática e entendê-lo na área da segurança pública, e promover aquelas reformas estruturais e profundas que são inadiáveis. Mas isso, como acho que talvez todos estejamos de acordo, vai exigir, de fato, uma outra postura: menos politização partidária, menos retórica e mais compromisso com mudanças substantivas, ousadas, audaciosos e contrárias às expectativas corporativas.
