DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
08/08/2005|Delcídio Amaral|1|[programa ao vivo]|programa ao vivo]
08/08/2005|Delcídio Amaral|2|Paulo Markun|Boa noite. Pouco mais de dois meses depois do início dos trabalhos, a CPI dos Correios já tem uma dimensão aproximada do tamanho do escândalo e da rede de envolvimento de parlamentares, assessores, empresários e funcionários de partidos políticos nas denúncias do mensalão. O que mais podem revelar as investigações, [e quais são] as conseqüências e o aprendizado que o Brasil tira dessa crise política? Eis a discussão desta noite no Roda Viva. O nosso convidado é o senador Delcídio Amaral, do PT do Mato Grosso do Sul, presidente da Comissão Parlamentar Mista de Inquérito dos Correios. [Inserção de imagens do senador, mas, por problemas técnicos, sem áudio] Bem, nós tivemos um problema de áudio no nosso VT e eu pergunto aqui o que nós fazemos, se tocamos adiante ou... Vamos em frente. Para entrevistar o senador Delcídio Amaral, nós convidamos: Luiz Weis, articulista do jornal O Estado de S. Paulo; Mário Simas Filho, redator-chefe da revista IstoÉ; Alexandre Machado, editor de política da TV Cultura; Helena Chagas, diretora da sucursal de Brasília do jornal O Globo; Luiz Carlos Azedo, repórter especial do Correio Braziliense; e Gustavo Krieger, diretor da sucursal de Brasília da revista Época. Temos também a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa [aparece uma caricatura de Delcídio Amaral]. O Roda Viva é transmitido em rede nacional de TV para todo o Brasil. Para participar, você pode fazer sua pergunta, sua crítica, sua sugestão – não vale falar do problema do VT que a gente acabou de exibir – pelo telefone (011) 3252-6525 – desse VT eu vou reclamar pessoalmente – ou pelo fax 3874-3454, ou ainda pelo endereço eletrônico do programa, que é rodaviva@tvcultura.com.br. Boa noite, senador.
08/08/2005|Delcídio Amaral|3|Delcídio Amaral|Boa noite, Markun, e boa noite a todos seus telespectadores e jornalistas aqui presentes.
08/08/2005|Delcídio Amaral|4|Paulo Markun|Queria começar com uma pergunta simples. O que já se sabe com certeza, que a CPI dos Correios apurou e que a gente pode declarar em alto e bom som, ou o que o senhor pode declarar?
08/08/2005|Delcídio Amaral|5|Delcídio Amaral|Entendo, Markun, que é um momento muito difícil. Hoje, com dois meses de funcionamento da CPMI dos Correios, nós já levantamos muitas coisas. Através das informações que recebemos, existe claramente uma movimentação financeira forte que nós estamos investigando quanto à coincidência com migrações partidárias, votações e outros conceitos aí que foram desenvolvidos ao longo dessas semanas. Ela começou nos Correios a partir de uma denúncia de [pagamento de propina de] três mil reais [ao ex-funcionário dos Correios Maurício Marinho], e isso...
08/08/2005|Delcídio Amaral|6|Paulo Markun|Começou a investigação, não a movimentação financeira...
08/08/2005|Delcídio Amaral|7|Delcídio Amaral|Isso, essa já vinha... mas tem toda uma lógica. Quer dizer, começou com os três mil reais, depois nós começamos a discutir os contratos. Entre esses contratos, existiam os contratos de publicidade. Esses contratos de publicidade, um dos donos das empresas que prestavam era o senhor Marcos Valério [acusado de ser um dos coordenadores do mensalão, suas empresas seriam as responsáveis pela distribuição do dinheiro a parlamentares], que já havia sido denunciado pelo deputado Roberto Jefferson, e aí esse leque se ampliou. E hoje nós estamos analisando os contratos dos Correios, nós estamos analisando toda a sistemática de gestão pública, e acho que a gente pode apresentar propostas importantes, porque a CPI não é só para punir, mas também para apresentar soluções para a gestão pública, para o sistema financeiro, para a questão da reforma política, do lobby. Ontem, inclusive, eu estava conversando com o deputado Eduardo Paes, que vai se ocupar dessas questões, dessas propostas que vão surgir em função da CPMI. Acho que nós avançamos muito, muitos nomes já surgiram, outros surgirão; nós estamos começando agora a cruzar os dados. Eu não tenho dúvida nenhuma de que nós apresentaremos resultados que a opinião pública espera.
08/08/2005|Delcídio Amaral|8|Paulo Markun|Só para ficar claro, isso significa que não se trata de pagamento de dívidas de campanha tão somente?
08/08/2005|Delcídio Amaral|9|Delcídio Amaral|Aparentemente não, por tudo que a gente já verificou, quer dizer, que todos os parlamentares verificaram. O conceito de única e exclusivamente se pagar a campanha, aparentemente por aquilo que nós estamos verificando, o raciocínio não é tão retilíneo e tão cartesiano como se esperava inicialmente.
08/08/2005|Delcídio Amaral|10|Helena Chagas|O senhor assumiu a presidência da CPI... o senhor é petista, o senhor assumiu a presidência da CPI a pedido do presidente Lula. Sabe-se que ele telefonou para o senhor e pediu que o senhor assumisse, e de lá para cá a CPI apurou uma série de operações envolvendo pessoas do governo, o ex-ministro José Dirceu, um dos mais importantes, a oposição está nos calcanhares querendo pegar o presidente Lula. Até agora não se sabe, nada pegou o presidente, mas existe esse movimento por parte da oposição. Como o senhor está se sentindo como petista? O senhor fala com o presidente Lula, o senhor tem contato, o senhor tem conversado com o Palácio do Planalto? Como é o seu comportamento como petista na presidência da CPI?
