DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
26/06/1995|Dercy Gonçalves|1|[Programa gravado não permitindo a participação do telespectador]|Programa gravado não permitindo a participação do telespectador]
26/06/1995|Dercy Gonçalves|2|Matinas Suzuki Jr.|Boa noite! Ela é a dama das comédias do mais verdadeiro teatro brasileiro. Oficialmente, ela acaba de completar 88 anos mas contesta essa data no papel e na vida. “Não sou velha e estou uma beleza”, diz. No palco iluminado do Roda Viva de hoje está Dolores Gonçalves Costa, a nossa Dercy Gonçalves. O Roda Viva agradece a Rede Globo pela presença da Dercy Gonçalves esta noite no nosso programa. Para entrevistar a atriz Dercy Gonçalves nós convidamos esta noite o escritor e dramaturgo Flávio de Souza; Maria Cristina Poli, apresentadora do programa Vitrine da Rede Cultura; o repórter do jornal O Globo, João Wady Cury; Marta Góes, redatora-chefe da revista Cláudia; Zeca Camargo, editor da Folha Ilustrada da Folha de S. Paulo; o repórter Sérgio Roveri, do Jornal da Tarde; e a atriz Iara Jamra. O Roda Viva é transmitido em rede nacional por outras trinta emissoras de sul a norte do Brasil. Como este programa foi gravado, nós não recebemos perguntas dos telespectadores por telefone ou por fax. Boa noite, Dercy Gonçalves!
26/06/1995|Dercy Gonçalves|3|Dercy Gonçalves|Boa noite!
26/06/1995|Dercy Gonçalves|4|Matinas Suzuki Jr.|Você está muito elegante.
26/06/1995|Dercy Gonçalves|5|Dercy Gonçalves|É! Eu sempre fui de apurar bem a minha idade, a minha personalidade. Sempre fui muito vaidosa e não gosto de deixar a peteca cair. Eu já estava falando para as meninas aí: a mocidade de hoje não liga quando elas são jovens, pensam que nunca vão ficar velhas, então estão ficando feias. Feias agora, quando ficarem velhas vão botar chapéu verde na cabeça pra ficarem bonitas.
26/06/1995|Dercy Gonçalves|6|[risos]|risos]
26/06/1995|Dercy Gonçalves|7|Matinas Suzuki Jr.|Dercy, você está fazendo, agora, no Teatro João Caetano no Rio de Janeiro um novo espetáculo chamado Dercy Gonçalves: uma história, uma vida. Como é que é esse espetáculo?
26/06/1995|Dercy Gonçalves|8|Dercy Gonçalves|Não é nada de novo [risos]. É um espetáculo que eu tenho, esse espetáculo, há dez anos. Eu modifico... É como a Coppélia [ballet baseado na obra O homem de areia publicada por Ernst Theodor Wilhelm Hoffman (mais conhecido por E.T.A. Hoffman) em 1815. Estreou na Ópera de Paris em 1870 e foi o espetáculo mais representado na cidade], como A viúva alegre [a opereta mais famosa do mundo, cujo texto é de autoria de Viktor Leon e Leo Stein e as músicas, de Franz Lehár. Estreou em Viena em 1905 e, além de várias adaptações, foi transformada em filme em 1952], a Traviata [ópera italiana La Traviata de Giuseppe Verdi]... É a mesma coisa. É um espetáculo que você vai, olha e morre de rir e diz “nunca vi tão engraçado”. E você já assistiu muitas vezes. Esse é o meu espetáculo! Porque, do contrário, eu não levaria o espetáculo tantos anos se o espetáculo não fosse um [enfatiza] sucesso. Porque eu - com esta idade - não iria estar blefando ninguém, nesta idade não estaria fazendo picaretagem, nem chantagem com os meus companheiros, meus brasileiros. E eles vão e me aplaudem na entrada e na saída. Então, eu sou muito orgulhosa do meu espetáculo.
26/06/1995|Dercy Gonçalves|9|Matinas Suzuki Jr.|Dercy, você, nesse espetáculo, faz uma homenagem também a toda a sua carreira e às pessoas que trabalharam com você, essa coisa toda. Tem algum papel que você gostaria de fazer e que não fez?
26/06/1995|Dercy Gonçalves|10|Dercy Gonçalves|Não, eu não tenho papel nenhum! Eu não penso em nada, eu gostaria de trabalhar. Que é o mal que tem o brasileiro - eu não sei por que. Ele encosta um artista - [o] bom encosta - e começa a fabricar artista, como agora estão fabricando na Globo mesmo, em todo lugar. “É o maior! É não sei o quê!”... A tal de Babalu [refere-se à Letícia Spiller, que interpretou a personagem Babalu na novela Quatro por quatro em 1994, na Rede Globo]... Eu nem sei se aquela mulher é artista. Eu acho ela uma mulher linda! Aquela puta mulher. Mas não pode dar adjetivos [como os] que você está usando agora comigo. Ah, eu me sinto a Babalu! Então eu não gosto. Dê oportunidade aos novos, mas não ilumine tanto [por] que eles caem em borra lá de cima, né? Porque ficam convencidos, ficam impossibilitados de aceitar um negócio menor. Não estou falando para esculhambar - porque eu nada faço para esculhambar ninguém - faço para construir, faço para que eles entendam que estão maltratando os artistas que estão começando. Você primeiro aprende a engatinhar, primeiro aprende a andar de carrinho, depois anda com suas pernas. Não! “Ainda bem começou engatinhar! É o maior! Super! Hiper! Caceta, faz tudo!”. É um horror!
26/06/1995|Dercy Gonçalves|11|[risos]|risos]
26/06/1995|Dercy Gonçalves|12|Matinas Suzuki Jr.|Ô Dercy, como é que você começou? Como é que foi?
26/06/1995|Dercy Gonçalves|13|Dercy Gonçalves|O meu começo foi muito simples, muito humilde, como sou até hoje. O meu sucesso termina ali. Eu não sou... Se eu fosse uma convencida nessa turma que anda aí... Pô! Andaria dando gritos por todo lado, porque o meu espetáculo é um sucesso. O meu espetáculo é um achado. Mas sou uma pessoa que acha que amanhã é outro dia. Não sei se amanhã ainda estou viva, se amanhã eles ainda me querem, porque nada... Todo mundo, tudo é descartável.
26/06/1995|Dercy Gonçalves|14|Maria Cristina Poli|Dercy, desse pessoal novo que apareceu nessas últimas décadas, qual deles que te faz rir?
26/06/1995|Dercy Gonçalves|15|Dercy Gonçalves|Eu não acho graça em ninguém, porra! Eu acho tudo tão superficial. Eles querem a comédia, vão fazer comédia... Pensam que sair vestido de mulher, de veado, ficar dando porrada um no outro, que isso é comédia. Comédia não é isso!
26/06/1995|Dercy Gonçalves|16|Maria Cristina Poli|Mas não surgiu nenhuma boa comediante?
26/06/1995|Dercy Gonçalves|17|Dercy Gonçalves|Não! Tem muita gente boa, tem muita gente boa. Muita gente nova até que não é... Que não tem “confete” em cima, mas tem muita gente nova muito boa.
26/06/1995|Dercy Gonçalves|18|Sérgio Roveri|Dercy, se você fosse chamada para fazer, por exemplo, um programa tipo A escolinha da professora Dercy [refere-se ao programa Escolinha do professor Raimundo, que era interpretado pelo comediante Chico Anysio e tinha outros humoristas como alunos], quem que você...
26/06/1995|Dercy Gonçalves|19|Dercy Gonçalves|Eu não gosto de escolinha! Eu não gosto de ensinar nada a ninguém! Eu não sou professora! Gosto muito que me dêem um texto que eu possa desenvolver à vontade. Agora, porque o Chico Anysio tem uma escolinha, então começa essa porrada de escolinha em todo o lugar! É uma falta de imaginação danada das televisões do Brasil, das pessoas, dos diretores do Brasil! É uma falta de imaginação! Não criam nada, só copiam! É uma vergonha, sabe? Então, pára!!! Não fala mais em escolinha que me irrita. [risos]
26/06/1995|Dercy Gonçalves|20|Sérgio Roveri|Complementando a pergunta da Maria Cristina... Comediantes novos... Você gostaria de trabalhar com algum?
26/06/1995|Dercy Gonçalves|21|Dercy Gonçalves|Eu não tenho nada com isso, eu não vou dar opinião. Fica mal pra mim se eu esculhambar uma. Eu falo da Babalu, mas é porque a Babalu está começando hoje... Ela nem sabe [mas] eu estou dando cartaz a ela, estou dando cartaz a Babalu. Eu acho ela é uma gracinha de menina, mas pô... Eu falo Babalu porque Babalu é um nome engraçado. Podia ser uma Babacachu [risos]. Podia ser, mas Babalu é engraçadinho. Eu falo dela porque o nome é engraçado, mas não que eu discrimine. [Como dizem]: “essa vai matar a Dercy”; “essa acabou com a Dercy”; “ah... agora a Dercy se fodeu”. [risos]
26/06/1995|Dercy Gonçalves|22|Marta Góes|Mas, Dercy, tem muitas atrizes que se orgulham de dizer que são da sua linhagem.
26/06/1995|Dercy Gonçalves|23|Dercy Gonçalves|Ah, mas tem que se orgulhar! Porque o meu estilo eu criei, permaneceu e é o que está comandando... Porque o estilo não era esse não, meu bem. Eu duvido que a dona... uma atriz qualquer dessas aí "classudas", que não assoam o nariz... Como é que é? [Duvido] que elas aceitassem levar um pastelão na cara. Não, não aceitava! Dar uma gargalhada, levantar as pernas, deitar na cama de mau jeito a não ser com tudo... Eu duvido. Esse é o meu gênero: é um gênero irreverente, é um gênero que lancei e que tenho muito orgulho de ser a professora desse gênero no meu país.
26/06/1995|Dercy Gonçalves|24|Marta Góes|Você reconhece alguma herdeira, digamos assim, do seu estilo?
26/06/1995|Dercy Gonçalves|25|Dercy Gonçalves|Não, não tem! Herdeira igual a mim não tem, igual Pelé não tem, igual ao Einstein não tem. Não tem! Mas podem fazer o gênero. Todas elas todas, todas... Atores, Nanini [Marco Nanini], todos eles estão fazendo o meu gênero. Estão fazendo aquilo que Dercy Gonçalves fazia e que era recriminada, que chamavam de puta, [e diziam] “bota essa mulher na cadeia!”. Porque os meus filmes eram assim... Quando saía um filme meu, eu tinha até medo de sair na rua. Porque [diziam] : “bota ela na cadeia!”. A imprensa [dizia]: “não presta! É uma merda! Pa-ta-ti...”. E hoje é cultura essa porra toda.
26/06/1995|Dercy Gonçalves|26|Matinas Suzuki Jr.|Ô Dercy, há uma passagem em seu livro - Dercy de cabo a rabo - que me chamou particularmente a atenção, que é a seguinte: que essa imagem que você criou da mulher aberta, que fala o que pensa, que fala...
26/06/1995|Dercy Gonçalves|27|Dercy Gonçalves|[Interrompe] Eu não sou aberta, eu sou fechada.
26/06/1995|Dercy Gonçalves|28|Matinas Suzuki Jr.|Exato, e que você... Com os homens, você tinha um comportamento que era um comportamento tímido.
26/06/1995|Dercy Gonçalves|29|Dercy Gonçalves|Ninguém sabe como é que eu estava com os homens, porque eu não fazia público. Como é que eles inventam? Eu falei no livro? Não, o livro...
26/06/1995|Dercy Gonçalves|30|Matinas Suzuki Jr.|Que você era tímida.
26/06/1995|Dercy Gonçalves|31|Dercy Gonçalves|Eu sempre fui, porque, meu filho, minha vida foi na Praça Tiradentes [centro do Rio de Janeiro]. Então ali, na Praça Tiradentes, sabe como é que eu fazia? Levantava da cama para tomar meu café e ia para o botequim da Praça Tiradentes. Ficava sentada ali até aparecer um que pagasse.
26/06/1995|Dercy Gonçalves|32|Matinas Suzuki Jr.|Você tinha quantos anos?
26/06/1995|Dercy Gonçalves|33|Dercy Gonçalves|Minha juventude, minha mocidade, até entrar no esquema da Praça Tiradentes. Aí fui para o Teatro São José [Teatro Municipal de São Paulo. Esteve instalado em diversas regiões da cidade e era obrigado a se mudar constantemente por questões políticas. Em 1898, o teatro estava no Largo Municipal, foi incendiado e, depois disso, instalado em seu local definitivo, no centro da cidade, próximo ao Viaduto do Chá]... Teatro São José, perdi... Ali no Teatro São José fiz uma temporada de sucesso... [Diziam]: “Dercy Gonçalves. Quem é essa menina?”. Era cantora. [Diziam]: “quem é essa menina?”. Só que depois fiquei tuberculosa, fui para o sanatório e ninguém mais me quis, ninguém mais me quis! Trabalhava no circo, trabalhava em parque, trabalhava em tudo, levantava a minha saia, mostrava as minhas pernas... São boas, eu tenho as pernas boas para trabalhar! [Mas] não queriam! Até que eu resolvi casar. Casei com um jornalista, peguei um otário [risos]. Casei com um jornalista... Eu disse: “porra, mas o que é casar com um jornalista? Porque [é] ele que comanda essa porra toda... Então eu vou casar”. Aceitei. [Ele disse]: “ah, vamos trepar?”. [Respondi]: “não, senhor! Não trepo, só caso.” [risos] Casei no dia 31 de dezembro de 1942.
26/06/1995|Dercy Gonçalves|34|Matinas Suzuki Jr.|E aí começou a mudar?
26/06/1995|Dercy Gonçalves|35|Dercy Gonçalves|Fui a pé para o escrivão, lá na rua Dom Manoel [centro do Rio de Janeiro], voltei a pé, fomos comer uma feijoada, na Praça Tiradentes. Foi o casamento. Eu não fiz casamento, fiz um arranjo, um negócio para a minha vida.
26/06/1995|Dercy Gonçalves|36|Matinas Suzuki Jr.|Foi aí que você mudou o nome, você já usava Dercy Gonçalves?
26/06/1995|Dercy Gonçalves|37|Dercy Gonçalves|Eu sempre usei Dercy Gonçalves, desde que sai da minha terra. Porque, em primeiro lugar, tinha medo do meu pai. Do meu pai não deixar, do meu pai não querer... Porque era ser puta, ser artista. Mas eu, então, tirei logo o meu nome. Botei Dercy porque a Dona Darcy Vargas era uma mulher muito importante na época, muito importante mesmo, como sempre foi e eu gostava do nome dela. Aí Dona Maria [...] disse bota Darcy, mas já tem o Darcy... Tinha um Darcy Casarré. “Ah, bota Der...”. Eu queria ficar no “Dar” ou no “Der”. [risos] E fiquei!
26/06/1995|Dercy Gonçalves|38|Maria Cristina Poli|Você rompeu com a sua família, Dercy?
26/06/1995|Dercy Gonçalves|39|Dercy Gonçalves|Eu não rompi, eu não tinha família! Meu pai... eu tinha medo dele porque ele sempre dava muita porrada, me bateu muito. Ele sempre foi muito severo... Na época... Isso tem setenta anos.
26/06/1995|Dercy Gonçalves|40|Sérgio Roveri|Ô, Dercy... Essa maneira como as garotas, as atrizes da época eram vistas pela sociedade, isso mudava com o sucesso ou não? Depois que você passou a fazer sucesso...
26/06/1995|Dercy Gonçalves|41|Dercy Gonçalves|[Interrompe] Mas eu não sei o que é sucesso. Eu não sei o que é fracasso, eu não sei o que é sucesso. O fracasso é quando você morre de fome, você vai para um asilo, você começa a pedir. E sucesso é aquilo: você [se] asfixia com tanta mordomia e depois tira. Não tive nem uma coisa, nem outra, tudo meu foi brando. Tenho minhas coisas, eu não tenho nada demais, não sou rica, não sou remediada, não sou porra nenhuma. Eu sou... Eu tenho para viver... vivo com o que tenho. O negócio é você viver com o que tem. Então é um sucesso a sua vida! A minha vida é um sucesso por que se eu tinha pão com feijão, eu gostava, eu estava feliz. Se não tinha, se comia [...]. Mas também nunca fui muito... Eu gosto! Até hoje a minha comida é angu, carne seca, feijão e arroz.
26/06/1995|Dercy Gonçalves|42|Sérgio Roveri|A qualquer hora, né?
