DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
12/06/1995|Dias Gomes|1|Matinas Suzuki|Boa noite. Há mais de 50 anos ele coleciona os tipos de uma enciclopédia chamada Brasil. Os pagadores de promessas, os reis de ramos, os roques santeiros, os bem amados, os arapongas. No capítulo de hoje do Roda Viva está Alfredo de Freitas Dias Gomes, dramaturgo, autor de novelas e membro da Academia Brasileira de Letras. Para entrevistar o autor e escritor Dias Gomes, nós convidamos hoje à noite: o Alberto Guzik, crítico de teatro do Jornal da Tarde. A editora executiva do programa Metrópolis da Rede Cultura, Maria Amélia Rocha Lopes. Rita Buzzar, escritora e autora de novelas. O jornalista Hamilton dos Santos, crítico de livros da revista Maire Claire. Claudinei Ferreira, apresentador do programa Certas Palavras da rádio CBN. Esther Hamburger, colaboradora da Folha de S. Paulo e pesquisadora do Cebrap, Centro Brasileiro de Análise e Planejamento. Boa noite, Dias Gomes.
12/06/1995|Dias Gomes|2|Dias Gomes|Boa noite.
12/06/1995|Dias Gomes|3|Matinas Suzuki|Você poderia contar um pouco para nós o que é esse livro que você está lançando, Decadência?
12/06/1995|Dias Gomes|4|Dias Gomes|Decadência é...
12/06/1995|Dias Gomes|5|Matinas Suzuki|É o país?
12/06/1995|Dias Gomes|6|Dias Gomes|É uma metáfora do país nos últimos anos, principalmente na última década, a partir da morte de Tancredo [Neves] até o impeachment de [Fernando] Collor [de Mello]. Através de uma família tradicional, que passa por todas essas crises pelas quais passou o país nesses últimos anos. A crise econômica, a crise moral, a crise ética, a perda de valores, de identidade etc. e tal. Então este é um romance despretensioso, não tem nenhuma pretensão senão contar uma história de uma maneira simples, direta...
12/06/1995|Dias Gomes|7|Matinas Suzuki|O livro vai virar uma minissérie, como a gente falou, [mas eu tenho] uma pergunta que eu acho que todo mundo deve lhe fazer. Esse livro não está saindo em uma hora um pouquinho errada? Ou seja, não é no momento em que o país está com perspectivas de mudanças, que as pessoas parecem que voltaram a acreditar em uma transformação do Brasil, existe uma certa expectativa.
12/06/1995|Dias Gomes|8|Dias Gomes|Por causa disso nós não vamos falar do passado? Não, vamos refletir sobre o passado, já que é sobre ele que nós vamos construir um Brasil novo. Inclusive o romance termina com um sopro de otimismo, esperando que o país tenha mudado. Eu não sei se é otimismo ou é ironia.
12/06/1995|Dias Gomes|9|Maria Amélia Rocha Lopes|Dias Gomes, dessa vez você fez o processo inverso. Primeiro nasceu a minissérie e depois o livro.
12/06/1995|Dias Gomes|10|Dias Gomes|É, eu fiz a coisa de cabeça para baixo. [risos]
12/06/1995|Dias Gomes|11|Maria Amélia Rocha Lopes|Agora, você não acha que isso, de certa maneira, poderia ter prejudicado um pouquinho o romance? Eu estou falando como leitora. Eu acabei de ler e eu comecei a ver, à medida que eu ia lendo, eu fui vendo atores. Então a impressão que me deu é que era muito mais um roteiro do que um romance mesmo, na acepção da palavra...
12/06/1995|Dias Gomes|12|Dias Gomes|É possível.
12/06/1995|Dias Gomes|13|Maria Amélia Rocha Lopes|Quer dizer, esse processo inverso não prejudica um pouco o livro?
12/06/1995|Dias Gomes|14|Dias Gomes|Não sei. Eu sinceramente não sei responder. Algumas pessoas que leram acharam que isso até era uma coisa inovadora, porque pela primeira vez o romance recebe uma influência da televisão. Porque o romance recebeu influências neste século, por exemplo, muita influência da psicanálise, depois foi a influência do cinema. E a televisão, que é uma coisa dos nossos dias, você não nota uma influência sensível no romance. Quer dizer, pode ser que através disso se tenha conseguido uma certa influência. O romance realmente pode ter sido influenciado pela televisão, porque a minissérie foi feita antes. Se isso é bom ou mal eu não sei.
12/06/1995|Dias Gomes|15|Maria Amélia Rocha Lopes|Quando você fez o livro, você já ia pensando em personagens? Porque eu não vi a minissérie, não tenho idéia de quem trabalha, de quem atua nela.
12/06/1995|Dias Gomes|16|Dias Gomes|Não. Quando eu escrevi...
12/06/1995|Dias Gomes|17|Maria Amélia Rocha Lopes|Mas tem alguns personagens em que você começa a enxergar alguns atores, assim, é muito curioso.
12/06/1995|Dias Gomes|18|Dias Gomes|Quando eu escrevi o livro, ainda não tinha sido escolhido o elenco. Então os personagens estavam na minha cabeça, mas com a sua fisionomia própria, não aquela do ator que vem depois. Portanto essa influência não tem.
12/06/1995|Dias Gomes|19|Esther Hamburger|Muitas vezes as suas novelas e minisséries vieram de adaptações das suas próprias peças de teatro.
12/06/1995|Dias Gomes|20|Dias Gomes|Quase todas.
12/06/1995|Dias Gomes|21|Esther Hamburger|Eu acho que isso é uma coisa bem interessante, meio específica sua. Você podia falar um pouco como é que é? Por que começa sempre pelo teatro? Por que o teatro é privilegiado aí?
12/06/1995|Dias Gomes|22|Dias Gomes|Porque eu comecei pelo teatro, eu comecei como autor de teatro. A minha vida profissional começa no teatro, em 1942, quando eu tive a minha primeira peça encenada. Antes disso, eu tinha escrito já uma peça que foi premiada [A comédia dos moralistas, premiada pelo Serviço Nacional de Teatro (SNT), em 1939], aos 15 anos de idade, mas que infelizmente não foi encenada. Então eu comecei no teatro, depois eu tive uma breve incursão pelo rádio, até aqui em São Paulo, por motivos econômicos eu tive que aceitar o emprego no rádio. Depois eu voltei ao teatro, então foi aí que realmente eu tive um... eu escrevi a maioria da minha obra mais conhecida.
12/06/1995|Dias Gomes|23|Alberto Guzik|Dias, você passou pela história do teatro brasileiro recente, por quase toda ela. 1942, aí você pega... você não entra no TBC [Teatro Brasileiro de Comédia], mas você entra no final do TBC, pela mão do Flávio [Nogueira] Rangel [(1934-1988), diretor e destacado encenador, pertence à primeira geração de brasileiros na era pós-Teatro Brasileiro de Comédia], para a sua consagração com O pagador de promessas [peça encenada pela primeira vez em São Paulo, em 1960] e A revolução dos beatos [peça criada em 1962 pelo Teatro Brasileiro de Comédia, com direção de Flávio Rangel, recebeu o Prêmio Governador do Estado de São Paulo de melhor texto]. Depois você vai para a televisão. Como é que você vê esse processo? O que você sente de fundamental, se mexeu no teatro, e o que de fundamental se mexeu na sua obra nesses 53 anos?
12/06/1995|Dias Gomes|24|Dias Gomes|É, até houve uma intriga feita por um repórter, um jornalista, que fez uma manchete escandalosa em um jornal no Rio em 1980. A manchete era assim: "Que Nelson Rodrigues [(1912-1980), importante e polêmico dramaturgo, jornalista e escritor brasileiro] não me ouça, mas eu sou o teatro brasileiro". [risos] Eu nunca disse isso.
12/06/1995|Dias Gomes|25|Alberto Guzik|Você nunca disse isso?
12/06/1995|Dias Gomes|26|Dias Gomes|Nunca disse isso. Ele é que me disse, focalizando esse meu tempo de teatro, que eu comecei nos anos 1940, ainda no velho teatro, eu passei pela renovação...
12/06/1995|Dias Gomes|27|Alberto Guzik|Você começou com o Procópio Ferreira? [nome artístico de João Álvaro de Jesus Quental Ferreira, (1898-1979), ator, diretor de teatro e dramaturgo brasileiro, atuava no circo-teatro, que além de números de acrobacias, malabarismo e palhaçadas, apresentava a adaptação de peças de teatro. Do circo-teatro passou às comédias, produzindo uma inovação: lançou o teatro de frases, com tiradas e expressões cortantes para substituir a tradicional comédia de costumes]
