DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
23/05/1988|Dirce Tutu Quadros|1|[programa ao vivo, permitindo a participação dos telespectadores]|[programa ao vivo, permitindo a participação dos telespectadores]
23/05/1988|Dirce Tutu Quadros|2|Augusto Nunes| Boa noite, começa aqui mais um Roda Viva, pela TV Cultura de São Paulo. Este programa é transmitido simultaneamente pela Rádio Cultura AM e retransmitido pelas TVs Educativas dos estados de Minas Gerais, Espírito Santo, Mato Grosso do Sul, Bahia e Piauí. Roda Viva é apresentado ao vivo, portanto podemos receber perguntas encaminhadas pelos nossos telespectadores pelo telefone (11)252-6525. Nossa entrevistada desta noite é famosa desde que nasceu. Com apelido Tutu, ela é filha do casal Jânio da Silva Quadros e Eloá do Vale Quadros. Só isso bastaria para que Tutu fosse muito conhecida, mas ela começou há poucos anos uma carreira política. É hoje deputada federal pelo PTB [Partido Trabalhista Brasileiro]. Dirce é a nossa entrevistada desta noite e está no centro da roda, formada pelos seguintes entrevistadores: Ricardo Kotscho, repórter da sucursal paulista do Jornal do Brasil; Maria Cristina Duarte, diretora de redação da revista Cláudia; Clóvis Rossi, repórter do jornal Folha de S.Paulo, Aloísio de Toledo, comentarista político do jornal O Estado de S. Paulo; Júnia de Sá, redatora da revista Veja; Terezinha Lopes, repórter da sucursal paulista do jornal O Globo; Sérgio Rondino, editor de política do Jornal da Tarde; Tão Gomes Pinto, diretor da sucursal de São Paulo do Correio Braziliense. O cartunista Paulo Caruso também registra cenas do programa. Agradecemos também a presença de alguns convidados da produção do Roda Viva. Deputada Dirce Tutu Quadros, há algum tempo se discutiu sua verdadeira nacionalidade. Todos nós sabemos que a senhora nasceu no Brasil, mas agora existe a versão de que a senhora tem a nacionalidade americana, teria se naturalizado norte-americana. Qual é sua nacionalidade verdadeira?
23/05/1988|Dirce Tutu Quadros|3|Dirce Tutu Quadros| O que você acha que eu sou?
23/05/1988|Dirce Tutu Quadros|4|Augusto Nunes| Eu acho que a senhora é brasileira.
23/05/1988|Dirce Tutu Quadros|5|Dirce Tutu Quadros| Eu sou mais brasileira do que qualquer outra coisa que o Brasil possa produzir, eu nunca pedi a nacionalidade [norte-americana] e contesto o documento que, inclusive, é só um xerox.
23/05/1988|Dirce Tutu Quadros|6|Augusto Nunes| A que a senhora atribui essa preocupação de algumas pessoas em apresentar a senhora como uma americana naturalizada?
23/05/1988|Dirce Tutu Quadros|7|Dirce Tutu Quadros| Isso tudo começou com a minha atividade na fiscalização e controle do governo, porque o governo não está acostumado com democracia, ele não quer ser contestado, não tem credibilidade e está envolto em corrupção. Ele luta de forma desonesta contra tudo que se apresenta contra ele.
23/05/1988|Dirce Tutu Quadros|8|Clóvis Rossi| Gostaria que a senhora precisasse essa acusação. Quem do governo está envolto em corrupções? Quem teria levantado esse xerox, na medida em que a senhora acha que essa denúncia surge a partir da sua atividade?
23/05/1988|Dirce Tutu Quadros|9|Dirce Tutu Quadros| O ministro Antônio Carlos Magalhães mandou me participar que iria acabar comigo se eu me envolvesse no caso do OAS [construtora, uma das empresas de ACM], inclusive ele declarou ao jornal Estadão que teria que fazer minha denúncia em inglês na tribuna. E eu respondi que faria em inglês, espanhol, francês, português, que são idiomas que eu domino, mas que as denúncias teriam o mesmo conteúdo. Não sei quem produziu o documento, inclusive, meu advogado, que é um grande jurista, pediu que a minha assinatura seja verificada e que o documento seja traduzido.
23/05/1988|Dirce Tutu Quadros|10|Aloísio de Toledo| A senhora morou nos Estados Unidos?
23/05/1988|Dirce Tutu Quadros|11|Dirce Tqutu Quadros| Morei.
23/05/1988|Dirce Tutu Quadros|12|Aloísio de Toledo| Por quantos anos?
23/05/1988|Dirce Tutu Quadros|13|Dirce Tutu Quadros| Quase 17 anos.
23/05/1988|Dirce Tutu Quadros|14|Aloísio de Toledo| E a senhora parece que tem filhos norte-americanos...
